name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
A Brief History of Human Spaceflight,https://www.coursera.org/learn/human-spaceflight,Arts and Humanities,History,Dr. Chuck Layne,"This course provides a view of the history of spaceflight, from early writings telling of human's fascination of space through the early Russian and American space stations. Developed as an interesting and entertaining slice of space history that is accessible to anyone with an interest in human spaceflight",16198.0,4052.0,4.4,406.0
A Journey through Western Christianity: from Persecuted Faith to Global Religion (200 - 1650),https://www.coursera.org/learn/western-christianity-200-1650,Arts and Humanities,History,Bruce Gordon,"This course follows the extraordinary development of Western Christianity from its early persecution under the Roman Empire in the third century to its global expansion with the Jesuits of the early modern world. We explore the dynamic and diverse character of a religion with an enormous cast characters. We will meet men and women who tell stories of faith as well as of violence, suppression, and division. Along the way, we encounter Perpetua and her martyrdom in Carthage; the struggles of Augustine the bishop in North Africa; the zeal of Celtic monks and missionaries; the viciousness of the Crusades; the visions of Brigit of Sweden; and the fracturing of Christianity by Martin Luther’s protest. We hear the voices of great theologians as well as of those branded heretics by the Church, a powerful reminder that the growth of Christianity is a story with many narratives of competing visions of reform and ideals, powerful critiques of corruption and venality, and exclusion of the vanquished.  The troubled history of Christian engagement with Jews and Muslims is found in pogroms and expulsions, but also in the astonishing ways in which the culture of the West was transformed by Jewish and Islamic learning.

We shall explore the stunning beauty of the Book of Kells, exquisitely prepared by monks as the Vikings terrorized the coast of England. We will experience the blue light of the windows of Chartres, and ponder the opening questions of Thomas Aquinas’ great Summa. We will read from the Gutenberg Bible of the fifteenth century, which heralded the revolution brought by the printing press. We will travel from Calvin’s Geneva to Elizabeth’s England to Trent, where a Catholic Council met to inaugurate a modern, missionary Catholic church. We will walk through the great Escorial of Philip II of Spain, hear the poetry of John of the Cross, and follow the Jesuits to Brazil and China.
 
Christianity in the West was forged in the fires of conflict and tumult, and it brought forth both creativity and violence. It echoed with calls for God’s world to be transformed, it inspired the most sublime art and architecture, yet it also revealed the power of the union of cross and sword to destroy. The course is a journey through the formation of the West as one strand of Christianity, as one chapter in a global story. It is a journey that has shaped our world.",33909.0,25899.0,4.8,570.0
A Voice of Their Own. Women's Spirituality in the Middle Ages.,https://www.coursera.org/learn/womens-spirituality,Arts and Humanities,History,"Delfi I. Nieto-Isabel, Blanca Garí, Núria Jornet","Have you ever heard about medieval mysticism or medieval heresies? Have you ever wondered about the particular role women played in medieval spirituality? Do Hildegard of Bingen, Clare of Assisi, Marguerite Porete, the Cathar ladies or Isabel de Villena ring a bell? Have you ever felt like you wanted to know more about them? If your answer to any of these questions was yes, then this MOOC, A voice of their own. Women’s spirituality in the Middle ages is what you were looking for. 

A Voice of their own is much more than a course. It is an invitation to follow the paths traced by the spiritual experiences of medieval women. It is a challenge that, should you let it, will take you to places where you will see and hear things that will astonish you. Here you will find medieval women playing a major role in the spiritual transformations of the Middle Ages, founding monastic movements and orders, writing about their experiences, traveling the roads of Europe to spread their ideas, creating spiritual landscapes, as well as both material an intangible architectures. In this MOOC, these women will speak to you from the past, and you'll see that their voices still hold great validity in the present.",11877.0,8855.0,4.5,90.0
A l’avènement du christianisme : l’archéologie des derniers païens,https://www.coursera.org/learn/archeology,Arts and Humanities,History,"Patrizia Birchler Emery, Matteo Campagnolo, Anne-Françoise Jaccottet-Muller , Jean Terrier, Lorenz E. Baumer, André-Louis Rey, Christophe Schmidt","Dans ce MOOC, vous explorerez une vision différenciée du rapport entre païens et chrétiens durant l’Antiquité tardive, basée essentiellement sur les témoignages archéologiques. Nous verrons ensemble que la confrontation et le conflit religieux, souvent évoqués dans les écrits de l’époque notamment par les historiens de l’église, étaient l’exception plutôt que la norme.

Le premier module de ce MOOC vous permettra de définir le cadre et le contexte historique de l’Antiquité tardive. Vous découvrirez dans la suite du cours des thèmes plus spécifiques de cette période fascinante. Iconographie, architecture, sculpture, mosaïque et numismatique seront ainsi illustrés par de nombreux cas d’études et documents visuels. 
Après avoir suivi ce MOOC, vous connaîtrez les textes officiels et les événements importants de l’avènement du christianisme comme religion d’Etat. Vous saurez prendre une distance critique avec des aprioris sur « l’imperméabilité » des sphères païenne et chrétienne. Vous serez enfin à même d’analyser la permanence d’architecture ou de thèmes iconographiques et mythologiques païens dans une société christianisée. 
Différent-es enseignant-es du Département des sciences de l’Antiquité de l’Université de Genève vous accompagneront tout au long de ce MOOC.",,1974.0,4.6,24.0
Activism in Sports and Culture,https://www.coursera.org/learn/activism-sports-culture,Arts and Humanities,History,Chris Webber,"Sports have become an ever-present reflection of American culture, and an important symbol of the divisions and alliances in our society. Sports and political change walk hand in hand in America. The way that athletes and institutions deal with questions of race, economic hardship, nationalism, and political ties have become central to the way that we understand ourselves and our society. And yet, there are those who would prefer their sports free of controversy and opinion. Dedicated athletes, coaches, and media personalities have pushed back against this refrain, demanding to be seen not just as entertainers but as fully formed humans with political opinions and experiences. Their struggles against injustice have changed the face of America and kicked off a reckoning within modern-day sports. 

How does context inform the shape and outcome of protests? What is it about sports that provides space — or doesn't — for political statements? Why do some of us expect athletes to be activists, when others would rather they ""shut up and dribble""? We'll explore all of these questions and more in this class. 

Your professor will be NBA All-Star and TNT Sports journalist and commentator Chris Webber, who leads interviews with iconic activists, including John Carlos and Jemele Hill as they wrestle with the meanings and outcomes of their activism. You'll read and watch primary source documents about acts of protest, and academic and journalistic work that reckons with the legacies of those acts. By the end of the course, you'll have a better understanding of historical and contemporary protest moments, and be able to create and apply new ways of thinking about the activism within the world of sports in history and today.",,2616.0,4.5,11.0
Age of Cathedrals,https://www.coursera.org/learn/age-of-cathedrals,Arts and Humanities,History,Howard Bloch,"An introduction to some of the most astonishing architectural monuments the world has ever known—Gothic cathedrals.  We shall study the art, literature, intellectual life, economics, and new social arrangements that arose in the shadow of the cathedrals and that were such an important part of the revival of cities in the twelfth and thirteenth centuries.  The goal of the course is a better appreciation of the High Middle Ages, a world that is still recognizably our own.",32578.0,16543.0,4.7,438.0
Age of Jefferson,https://www.coursera.org/learn/ageofjefferson,Arts and Humanities,History,Professor Peter S. Onuf,"This course provides an overview of Thomas Jefferson's work and perspectives presented by the University of Virginia in partnership with Thomas Jefferson’s Monticello. Together, UVA and Monticello are recognized internationally as a UNESCO World Heritage Site.",27251.0,17836.0,4.7,422.0
Alle origini della civiltà  mediterranea: archeologia  della città dal Levante  all’Occidente - III-I millennio a.C.,https://www.coursera.org/learn/nigro-levante-occidente,Arts and Humanities,History,Lorenzo Nigro,"Quali sono le radici più profonde di quel mix di culture che chiamiamo ‘civiltà mediterranea’? Quali commistioni e quali scambi hanno prodotto il suo frutto più completo, ossia la città, come luogo delle comunità che plasmano il loro territorio e i loro spazi? Quali elementi formarono il sostrato condiviso di usanze, tradizioni, idee, scoperte ed innovazioni che hanno messo a confronto e mischiato popoli diversi per millenni. Cosa ha fatto, dalla ceramica alla metallurgia, dalla gastronomia all’architettura, dall’arte alla religione di un mare una culla di civiltà? L’archeologia può servire a sviluppare queste domande e cercare delle risposte non scontate, toccando con mano quello che gli antichi popoli del Mediterraneo ci hanno lasciato. Punto di osservazione privilegiato del corso è l’antica città fenicia di Mozia, posta al centro del “mare di mezzo”. Attraverso l’esperienza diretta dello scavo, con immagini prese dal vivo, il corso vuole far toccare a chi vorrà parteciparvi le tessere del grande mosaico della civiltà mediterranea. Il diario dello scavo - il libro dell’archeologo - e la piccozzina usata per scavare saranno i due strumenti che ci condurranno attraverso il mare a scoprire cosa furono realmente queste antiche città, e come il loro contributo è ancora parte della nostra memoria condivisa.",2540.0,2063.0,4.9,113.0
America Through Foreign Eyes,https://www.coursera.org/learn/america-through-foreign-eyes,Arts and Humanities,History,"Dr. Julie Fette, Dr. Anne S. Chao, Dr. Jeffrey Fleisher, Dr. Moramay López-Alonso,   Dr. Lida Oukaderova","The United States has always been a source of fascination — both attraction and repulsion — for the people of France, Mexico, China, and African countries such as Nigeria, Ghana, and Sudan.  ""America Through Foreign Eyes"" is a rich, interdisciplinary, international course that features Rice University faculty from a variety of disciplines and area studies. Focused on perceptions of America abroad, the course is a cross between World Cultures and American Studies. The course features five core modules, each covering the perceptions and interactions of particular regions with America, Americans and Americanization.",16222.0,22234.0,4.7,348.0
"American Education Reform: History, Policy, Practice",https://www.coursera.org/learn/edref,Arts and Humanities,History,"Dr. John L. Puckett, Dr. Michael Charles Johanek","Discover what shapes how we talk about schools today by exploring the history of U.S. education reform. Engage with the main actors, key decisions, and major turning points in this history. See how social forces drive reform. Learn about how the critical tensions embedded in U.S. education policy and practice apply to schools nationally, globally— and where you live.",10856.0,21757.0,4.8,96.0
