name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
20世纪西方音乐 Western Music in the 20th Century,https://www.coursera.org/learn/20cnwm,Arts and Humanities,Music and Art,毕明辉 Bryan Minghui BI,"课程所涉不仅涵盖古典音乐如新古典主义、表现主义、民族主义等流派，也对爵士乐、摇滚乐与流行音乐在20世纪的风格情状投以深切关注；在将包括中国音乐在内的世界各国民族民间音乐纳入20世纪大背景予以研究探索之同时，关于大型综合艺术品例如歌剧、音乐剧、电影音乐的考察与分析，也设为专题，绝无偏废。

课程以20世纪西方音乐为主体内容，在清晰贯穿历史线索和侧重史观发展之同时，尤为强调音乐聆听能力的培养，增进音乐知识的积累，凸显理论与实践相结合的开课理念。什么是音乐、什么是20世纪西方音乐、什么是有效聆听成为全课核心知识支柱，引导学生探查关于20世纪西方音乐的三种聆听模式，以期对关于20世纪西方音乐文化诸多现象形成多视角、多维度、多方法、多接口的认识与理解，从而为学生开拓眼界、触类旁通、多学科交叉、创造力之发展，完美人格之形成，提供实际而扎实的服务。

This course was first offered at Peking University in 2008 as a Public Elective Course, and subsequently as a Course for General Education. It is now being offered globally as one of Peking University’s MOOCs. 

Addressing students' interests in 20th century Western Music Culture and incorporating music theory, the course examines 20th century Western music. By combining theory and practice, the course not only aims to provide a clear view of the historical development of the music, but also emphasizes the training of aural skills and the accumulation of musical knowledge. The course covers not only classical music, such as neo-classical, expressionism, nationalism and other genres, but also explores in depth jazz, rock, and pop music of the 20th century. While studying Chinese music and other forms of national folk music in the 20th century world music context, students will also analyze large and complex works such as opera, musicals, and film music. By enhancing students’ understanding of 20th century Western music (classical music, pop music, folk music, comprehensive art) as a foundation, three core questions will be addressed: what is music, what is the 20th century Western music, and what is effective listening? The course aims to guide students to examine the three listening modes of 20th century Western music with the hope of forming a diverse and multi-faceted, knowledge and understanding of the 20th-century Western music culture phenomena, expanding students’ horizons, enhancing their ability to reason by analogy, and promoting cross-disciplinary, creative development.",4066.0,2484.0,4.4,42.0
"3D, perspective text effect on Photoshop",https://www.coursera.org/learn/3d-perspective-text-effect-on-photoshop,Arts and Humanities,Music and Art,Francois Harik,"By the end of this project, you will be able to create a 3D, perspective text effect using Adobe Photoshop.  
Throughout the project, you will be able to use Adobe Photoshop with its different tools. You will be able to create a 3D and perspective text effect that you will use to create an architecture firm logo along with the landing page of their website. 
You will be exposed to the Vanishing Point Filter as well as the 3D workspace on Photoshop.
This guided project is for intermediate graphic designers and intermediate digital designers who are interested in learning how to create a 3D and perspective text effect in Adobe Photoshop. Using the tools in Adobe Photoshop, an architecture firm logo along with the landing page of their website. By creating this, you will contribute to completing the branding of the architecture firm knowing that a logo is always one of the most important pillars of a successful branding and this project will help you achieve that.

Adobe Photoshop is a software that is extensively used for raster image editing, graphic design and digital art. It makes use of layering to allow for depth and flexibility in the design and editing process, as well as provide powerful tools that, when combined, are capable of just about anything.
It will be, undoubtedly, a great asset throughout your future career as a designer.",,,,
A complexidade sensível: Um paralelo entre videogames e arte,https://www.coursera.org/learn/videogames,Arts and Humanities,Music and Art,"Julia Stateri, Edson do Prado Pfutzenreuter ","Este curso oferece respaldo aos interessados em atuar como desenvolvedores, pesquisadores e docentes na área do jogos, tendo como foco o entendimento destes como partes integrantes da cultura contemporânea e do cenário artístico atual. 

Serão apresentados conceitos fundamentais às discussões dos videogames vistos como expressões culturais e artísticas. Através de videoaulas explanativas, leituras recomendadas, entrevistas com especialistas, exercícios reflexivos e discussões em grupo, serão transmitidos conhecimentos com o intuito de iniciar os interessados no tema ou mesmo enriquecer o repertório daqueles que já atuam na área.

Embora este curso seja fundamentalmente teórico, pretendemos criar uma ponte entre as esferas acadêmica e mercadológica. Para isso, incentivamos a aplicação pragmática através da proposição de uma avaliação por pares. Os alunos serão levados a rascunhar o projeto de um videogame e compartilhá-lo com os colegas, tendo a chance de refletir sobre o feedback recebido.

O objetivo principal deste oferecimento é propiciar embasamento adequado aos estudantes interessados em explorar as relações entre videogames e arte.",8325.0,4295.0,4.7,214.0
A tecnologia da produção musical,https://www.coursera.org/learn/tecnologia-producao-musical,Arts and Humanities,Music and Art,Loudon Stearns,"Aprenda sobre o processo de produção musical (inclusive sobre gravação, edição e mixagem) e conheça as ferramentas disponíveis para criação de música contemporânea no computador.

Devido à recente disponibilidade de softwares e hardwares de alta qualidade e baixo custo, agora as ferramentas de produção musical estão ao alcance de todos. Os álbuns deixaram de ser criados apenas em estúdios, agora também são criados em quartos. À primeira vista, isso é libertador. Qualquer pessoa pode criar um álbum por um custo bem baixo, basta comprar alguns equipamentos e um pacote de software. Mas, se você for mais a fundo, verá que não é tão fácil assim. É preciso conhecimento, dedicação e criatividade para produzir música.
    
Fornecer conhecimento é o propósito deste curso. Não importa o tipo de música que você está produzindo, há um grande conjunto de ferramentas que você precisará usar.  Cada lição deste curso demonstrará um conjunto diferente de ferramentas de produção musical, seguindo vagamente o processo da produção musical de gravar, editar e mixar. 

Vamos começar com algumas noções sobre a natureza do som e como o percebemos. Em seguida, vamos analisar os componentes necessários para gravar áudio em um computador, para que você compreenda os dispositivos pelos quais o som precisa se deslocar em um processo de produção musical. 
    
Depois de gravado, o som precisa ser organizado em uma linha de tempo, um processo conhecido como edição. A edição nos permite dar a impressão de execuções perfeitas e criar muitos dos sons que ouvimos na música contemporânea. A ferramenta de edição contemporânea é a estação de trabalho de áudio digital (DAW, Digital Audio Workstation), um software que armazena e organiza todos os recursos de um projeto musical. Vamos focar as ferramentas de edição que são essenciais na produção de música contemporânea e que são fornecidas por todas as DAWs. 

Após a edição, os sons devem ser combinados ou mixados, por isso vamos analisar a mesa de mixagem, que pode ser um local muito criativo se você souber usá-la. Vamos explorar as funcionalidades básicas das mesas de mixagem em hardware e software, inclusive volume, panning, mudo, solo, barramentos, inserções, envios e submixagens. O processo de mixagem, no entanto, engloba mais ferramentas do que a mesa de mixagem fornece. O som também deve ser processado, ou seja, modificado de modo a fazer com que seu estado gravado se enquadre no contexto da música. Vamos analisar a compressão, a equalização e o retardo, além de examinar os muitos efeitos de áudio que são extensões desses dispositivos e como eles são usados em um contexto musical.
    
No fim das contas, o processo de produção musical depende da sua criatividade. A criatividade é um produto da mente, e ela permanece armazenada ali, sem ser expressada, até que as ferramentas certas são usadas da maneira certa para compartilhá-la com o mundo. Se você tem uma ideia em mente, precisará passar por inúmeras etapas, cada uma com uma ferramenta importante, para chegar ao seu público. Traga a dedicação e criatividade para este curso, que ele fornecerá o conhecimento para fazer acontecer.",3094.0,3382.0,4.9,34.0
ART of the MOOC: Activism and Social Movements,https://www.coursera.org/learn/activism-social-movements,Arts and Humanities,Music and Art,"Nato Thompson, Pedro Lasch","This course is for activists, artists, and thinkers who wish to better understand and participate in social change. We will focus on the prolific and exciting overlap between socially engaged art and cultural practices generated by recent social movements around the world. Rather than assess the political efficacy of activities like mourning, listening, organizing, dancing, or partying, the lectures examine such cultural activities next to, and within, contemporary art practice. 

Included in the course are guest presentations by key artists, activists, and scholars, like: Rebecca Gomperts, Chido Govera, Gulf Labor, Hans Haacke, Sharon Hayes, Jolene Rickard, Gregory Sholette, Joshua Wong, and many more. Designed by artist and Duke professor, Pedro Lasch and co-taught by Creative Time artistic director, Nato Thompson, the course challenges learners to treat the MOOC itself as a social and artistic form. This happens mostly through the practical components, local project productions, global exchanges, and critical feedback.

While no prior art making or activist experience is required, projects also offer challenging options for advanced learners.

For other course offerings or language versions in this series, just search 'ART of the MOOC' inside the Coursera course catalogue.",19274.0,4067.0,4.6,132.0
ART of the MOOC: Activismo y Movimientos Sociales,https://www.coursera.org/learn/activismo-movimientos-sociales,Arts and Humanities,Music and Art,"Nato Thompson, Pedro Lasch","Este curso es para activistas, artistas y pensadores que deseen entender mejor el cambio social y participar en él. El contenido del curso enfoca en la coincidencia prolífica y emocionante entre el arte socialmente comprometido y prácticas culturales generadas por recientes movimientos sociales en todo el mundo. Más que evaluar la eficacia política de actividades como el luto, la escucha, la organización, el baile, o la fiesta, las conferencias examinan tales actividades culturales al lado y dentro de la práctica artística contemporánea. 

El curso incluye presentaciones de importantes artistas, activistas y académicos invitados como: Rebecca Gomperts, Chido GoVera, Gulf Labor, Hans Haacke, Sharon Hayes, Jolene Rickard, Gregory Sholette, Joshua Wong, y muchos más. Diseñado por el artista y profesor de Duke, Pedro Lasch, e impartido con el director artístico de Creative Time, Nato Thompson, este curso invita a todos los que participan en él a tratar el MOOC en sí mismo como una forma social y artística. Esto sucede sobre todo a través de los componentes prácticos, proyectos producidos localmente, intercambios mundiales, y el comentario crítico.

No se requiere experiencia previa con el arte o el activismo, aunque los proyectos también incluyen buenas opciones para alumnos avanzados.

Para otros cursos en esta serie o versiones en otros idiomas , solo busca 'ART of the MOOC' en el catálogo de Coursera",7113.0,3346.0,4.7,21.0
ART of the MOOC: Arte Público y Pedagogía,https://www.coursera.org/learn/arte-publico-pedagogia,Arts and Humanities,Music and Art,"Pedro Lasch, Nato Thompson","Los alumnos de este curso aprenderán a hacer sus propias obras de arte social y público si así lo desean, o podrán simplemente estudiar la teoría e historia reciente del medio. Diseñado por el artista y profesor de Duke, Pedro Lasch, e impartido con el director artístico de Creative Time, Nato Thompson, este curso presenta el arte y la cultura pública en sus formas contemporáneas radicalmente re-inventadas. Las conferencias enlazan acontecimientos claves de las últimas décadas en este campo con temas más amplios como la política espacial, estructuras sociales cotidianas y la educación experimental. 

También se incluyen presentaciones de importantes invitados especiales como: Tania Bruguera, Claire Doherty, Tom Finkelpearl, Hans Haacke, Shannon Jackson, Suzanne Lacy, Rick Lowe, y muchos más. Como implica el título del curso, “Arte del MOOC,” el proyecto invita a la comunidad entera de alumnos y participantes a tratar el MOOC en sí mismo como un medio de arte público. Esto sucede sobre todo a través de los componentes prácticos del curso, proyectos producidos localmente, intercambios globales, y los comentarios críticos.

No se requiere experiencia previa con el arte o el activismo, aunque los proyectos también incluyen buenas opciones para alumnos avanzados.

Para otros cursos en esta serie o versiones en otros idiomas , solo busca 'ART of the MOOC' en el catálogo de Coursera",7365.0,2970.0,4.6,115.0
ART of the MOOC: Public Art and Pedagogy,https://www.coursera.org/learn/public-art-pedagogy,Arts and Humanities,Music and Art,"Pedro Lasch, Nato Thompson","Students of this course may try their hand at their own public art interventions, or simply focus on learning from the theory of public practice and its recent history. Designed by artist and Duke professor, Pedro Lasch, and co-taught by Creative Time artistic director, Nato Thompson, this course presents public culture and art in their radically reinenvented contemporary forms. The lectures link major developments of recent decades to wider topics like spatial politics, everyday social structures, and experimental education. 

Also included are guest presentations from key thinkers and practitioners, like: Tania Bruguera, Claire Doherty, Tom Finkelpearl, Hans Haacke, Shannon Jackson, Suzanne Lacy, Rick Lowe, and many more. As the ‘ART of the MOOC’ title implies, learners and participants are encouraged to treat the MOOC itself as a public art medium. This happens mostly through the course’s practical components, local project productions, global exchanges, and critical feedback.

While no prior art making experience is required, projects also offer challenging options for advanced learners.

For other course offerings or language versions in this series, just search 'ART of the MOOC' in the Coursera catalog.",15567.0,5255.0,4.7,113.0
Accessibility to the Scenic Arts,https://www.coursera.org/learn/accessibility-scenic-arts,Arts and Humanities,Music and Art,"Pilar Orero, Sharon Black, Anna Matamala","Is your show accessible?

When we ask about accessibility to shows, most people think about access for wheel chairs: the sitting arrangements and where their WC is accessible.
When we ask for more details, people usually think about producing a show where persons with disabilities are performing, for example producing a show where there is some dancing with people on wheel chairs.
Accessiblity for us is a comprehensive concept that goes from purchasing a ticket through an accessible website to catching the bus back home after the performance on accessible public transport. Accessible webs, accessible web content, accessible transport, subtitling, audio description... the possiblities are endless.
Why is this course useful? 
To make the venue and the production accessible to all citizens, and specially to persons with disablities. The course will go through the many accessible services you can offer, and how to implement them in your venue or your production. The final aim is to mainstream accessibility so all people have equal access to culture.",2343.0,4637.0,4.7,29.0
Agent-based Generative Art | NetLogo,https://www.coursera.org/learn/agent-based-generative-art,Arts and Humanities,Music and Art,Danilo Oliveira Vaz,"""Generative art refers to any art practice where the artist creates a process, such as a computer program, which is then set into motion with some degree of autonomy contributing to or resulting in a completed work of art."" - Wikipedia

In this guided project you will develop an agent-based computer program capable of generating visual art pieces. By doing so you will be introduced to the basics of ABM and NetLogo. Furthermore, at the end of this journey you will be able to share such pieces with the world.",,,,
