name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
"AI, Empathy & Ethics",https://www.coursera.org/learn/ai-empathy-ethics,Arts and Humanities,Philosophy,Kelvin Lwin,"This nontechnical course provides an overview of artificial intelligence advancements and the ethical challenges we now face as we navigate the development, implementation, and ubiquitous global use of AI.",,4158.0,,
"Alfabetização Midiática, Informacional e Diálogo Intercultural - UNESCO e UNICAMP",https://www.coursera.org/learn/alfabetizacao-midiatica,Arts and Humanities,Philosophy,"Nima Spigolon, Claudia Wanderley","Este curso quer pensar junto com você sobre um fenômeno recente no Brasil, que é a presença de uma grande quantidade de informação via mundo digital. Vamos mostrar diferentes caminhos do que podemos fazer com essa quantidade incrível de midias e como participar da construção de conteúdo digital de maneira sóbria e segura. Além disso, nós fomos buscar conselhos de várias lideranças comunitárias, e você terá acesso a suas percepções e análises nos videos de cada semana do curso. Querer saber o que pensa quem é diferente de nós é sempre um bom início de investigação.

Há uma tradição de pensar a filosofia contemporânea no Brasil como um modo de pensar a nossa realidade. Os filósofos são aqueles que pensam sobre o mundo, sobre o que acontece no mundo, e que nos atualizam com reflexões sobre a nossa vida e as nossas relações",3160.0,3273.0,5.0,49.0
Ancient Philosophy: Aristotle and His Successors,https://www.coursera.org/learn/aristotle,Arts and Humanities,Philosophy,Susan Sauvé Meyer,"What is philosophy?  How does it differ from science, religion, and other modes of human discourse?  This course traces the origins of philosophy in the Western tradition in the thinkers of Ancient Greece.  We begin with the Presocratic natural philosophers who were active in Ionia in the 6th century BCE and are also credited with being the first scientists.  Thales, Anaximander, and Anaximines made bold proposals about the ultimate constituents of reality, while Heraclitus insisted that there is an underlying order to the changing world.  Parmenides of Elea formulated a powerful objection to all these proposals, while later Greek theorists (such as Anaxagoras and the atomist Democritus) attempted to answer that objection.  In fifth-century Athens, Socrates insisted on the importance of the fundamental ethical question—“How shall I live?”—and his pupil, Plato, and Plato’s pupil, Aristotle, developed elaborate philosophical systems to explain the nature of reality, knowledge, and human happiness.  After the death of Aristotle, in the Hellenistic period, Epicureans and Stoics developed and transformed that earlier tradition.  We will study the major doctrines of all these thinkers.  Part I will cover Plato and his predecessors.  Part II will cover Aristotle and his successors.",62742.0,19756.0,4.8,674.0
Ancient Philosophy: Plato & His Predecessors,https://www.coursera.org/learn/plato,Arts and Humanities,Philosophy,Susan Sauvé Meyer,"What is philosophy?  How does it differ from science, religion, and other modes of human discourse?  This course traces the origins of philosophy in the Western tradition in the thinkers of Ancient Greece.  We begin with the Presocratic natural philosophers who were active in Ionia in the 6th century BCE and are also credited with being the first scientists.  Thales, Anaximander, and Anaximines made bold proposals about the ultimate constituents of reality, while Heraclitus insisted that there is an underlying order to the changing world.  Parmenides of Elea formulated a powerful objection to all these proposals, while later Greek theorists (such as Anaxagoras and the atomist Democritus) attempted to answer that objection.  In fifth-century Athens, Socrates insisted on the importance of the fundamental ethical question—“How shall I live?”—and his pupil, Plato, and Plato’s pupil, Aristotle, developed elaborate philosophical systems to explain the nature of reality, knowledge, and human happiness.  After the death of Aristotle, in the Hellenistic period, Epicureans and Stoics developed and transformed that earlier tradition.  We will study the major doctrines of all these thinkers.  Part I will cover Plato and his predecessors.  Part II will cover Aristotle and his successors.",105448.0,41858.0,4.8,1394.0
Christianity & Ecology,https://www.coursera.org/learn/christianity-ecology,Arts and Humanities,Philosophy,"Mary Evelyn Tucker, John Grim","There is a need for broader literacy and deeper knowledge of the world’s religions and their ecological contributions. This course is designed as a gateway to the rich ecological dimensions of the Christian religious tradition. We delve into unique contributions from Catholic, Orthodox, and Protestant Christianity, exploring views on and relationship with the natural world. We additionally highlight the relationship between Christianity and environmental justice, evangelical approaches to “creation care”, and Christian teachings on biodiversity, climate change, and the relationship between human, Earth, and cosmos.

This course is for lifelong learners curious to know more about world religions and ecology, environmental professionals eager to deepen the discourse of environmental protection and conservation, those working with non-profit organizations and NGOs on issues of ecological justice, and religious leaders and laity who wish to know how they can contribute to interreligious dialogue on environmental projects.",,4479.0,,
East Asian Religions & Ecology,https://www.coursera.org/learn/east-asian-religions-ecology,Arts and Humanities,Philosophy,"Mary Evelyn Tucker, John Grim","At first glance the fields of religion and ecology may seem and unlikely pairing, but a deeper consideration reveals the two have a great deal to contribute to one another and are indeed inextricably linked. Religions recognize the unity and interdependence of humans with nature. Ecological sciences affirm this deep interconnection with the natural world. This partnership can inspire work for the wellbeing of the Earth community

There is a need for broader literacy and deeper knowledge of the world’s religions and their ecological contributions. This specialization, ""Religions and Ecology: Restoring the Earth Community"", contributes such a perspective. Each course celebrates the vitality of religiously-informed action for the Earth and recognizes the longstanding contributions of Indigenous peoples in offering visions and practices for ecological flourishing. 

This course is part 4 of 5 of the ""Religions and Ecology: Restoring the Earth Community"" specialization that focuses on the ecological dimensions of religious traditions throughout the world.

The course you are about to begin is designed as a gateway to these aspects of the East Asian religions, philosophies, and practices of Confucianism, Daoism, Buddhism, Shinto, and Shamanism. So much has emerged in the last several decades in this area, as you will see. While we have taught this course at Yale, we have adapted it for learners from a wide range of backgrounds.

This course is for lifelong learners curious to know more about world religions and ecology, environmental professionals eager to deepen the discourse of environmental protection and conservation, those working with non-profit organizations and NGOs on issues of ecological justice, and religion leaders and laity who wish to know how they can contribute to interreligious dialogue on environmental projects.",,4676.0,,
Ecologie Politique: défi de la durabilité pour les démocraties,https://www.coursera.org/learn/ecologie-politique,Arts and Humanities,Philosophy,"Dominique Bourg, Gabriel Salerno","De quoi parle-t-on lorsque l’on parle d’environnement ? Existe-t-il une crise écologique ? L’environnement se résume-t-il à la pollution ? Est-on vraiment fondé à parler de risques environnementaux ? L’environnement a-t-il affaire à la politique et si oui pourquoi ? Pourquoi et à partir de quand a-t-on pu parler d’écologie politique ? Quelles en sont les différentes expressions ? Les démocraties et leurs expressions courantes ne suffisent-elles pas à répondre aux problèmes écologiques ? Et si ce n’est pas le cas, quels sont les apports éventuels et potentiels de l’écologie politique ? Ce cours se propose à répondre à ces questions, l’objectif global étant de comprendre les tenants et aboutissants de l’interface écologie et politique.

Objectifs pédagogiques du cours :

1.	Situer dans l’histoire des idées et de la société ce qu’on entend par écologie politique
2.	Maîtriser le lexique de l’écologie et de l’écologie politique
3.	Analyser le caractère alternatif des courants de l’écologie politique en se situant dans le mouvement des idées et non sur la scène politicienne
4.	Identifier les différents courants et leurs approches
5.	Situer de manière critique les réponses que propose l’écologie politique aux difficultés qu’elle pointe
6.     Expliquer les fondements de la démocratie et les nouveaux enjeux qu’elle traverse",6380.0,2761.0,4.8,189.0
Effective Altruism,https://www.coursera.org/learn/altruism,Arts and Humanities,Philosophy,Peter Singer,"Effective altruism is built on the simple but unsettling idea that living a fully ethical life involves doing the most good one can. In this course you will examine this idea's philosophical underpinnings; meet remarkable people who have restructured their lives in accordance with it; and think about how effective altruism can be put into practice in your own life.

All the features of this course are available for free.  It does not offer a certificate upon completion.",50282.0,9711.0,4.7,596.0
Emotions: a Philosophical Introduction,https://www.coursera.org/learn/emotions,Arts and Humanities,Philosophy,Jordi Vallverdú,"Philosophy is like sex: sure you can get some interesting results, but that's not why we do it. Going one step beyond…why do you FEEL pain or pleasure? Do plants have emotions? How is possible that some people do not understand other’s emotions? Emotions seem to be everywhere, giving meaning to all events of our lives. They are the backbone of social activities as well as they drive the cognitive processes of several living entities. Several animals, including humans, have emotions but…what about machines?...Do machine can have emotions?

This course will help you to understand and to identify most important philosophical ideas and debates about emotions, as well as it will provide you a rich source of data about neurological, psychological or anthropological analysis of emotions. 
In a nutshell: this is a course to feel and think about.",45445.0,14698.0,4.3,444.0
Greek and Roman Mythology,https://www.coursera.org/learn/mythology,Arts and Humanities,Philosophy,Peter Struck,"Myths are traditional stories that have endured over a long time. Some of them have to do with events of great importance, such as the founding of a nation. Others tell the stories of great heroes and heroines and their exploits and courage in the face of adversity. Still others are simple tales about otherwise unremarkable people who get into trouble or do some great deed. What are we to make of all these tales, and why do people seem to like to hear them? This course will focus on the myths of ancient Greece and Rome, as a way of exploring the nature of myth and the function it plays for individuals, societies, and nations. We will also pay some attention to the way the Greeks and Romans themselves understood their own myths. Are myths subtle codes that contain some universal truth? Are they a window on the deep recesses of a particular culture? Are they a set of blinders that all of us wear, though we do not realize it? Or are they just entertaining stories that people like to tell over and over? This course will investigate these questions through a variety of topics, including the creation of the universe, the relationship between gods and mortals, human nature, religion, the family, sex, love, madness, and death.

***********************************************************************************************************
                                                                           
COURSE SCHEDULE
 
• Week 1: Introduction 
Welcome to Greek and Roman Mythology! This first week we’ll introduce the class, paying attention to how the course itself works. We’ll also begin to think about the topic at hand: myth! How can we begin to define ""myth""? How does myth work? What have ancient and modern theorists, philosophers, and other thinkers had to say about myth? This week we’ll also begin our foray into Homer’s world, with an eye to how we can best approach epic poetry.
Readings: No texts this week, but it would be a good idea to get started on next week's reading to get ahead of the game. 
Video Lectures: 1.1-1.7 
Quiz: Complete the quiz by the end of the week.

• Week 2: Becoming a Hero 
In week 2, we begin our intensive study of myth through Homer’s epic poem, the Odyssey. This core text not only gives us an exciting story to appreciate on its own merits but also offers us a kind of laboratory where we can investigate myth using different theoretical approaches. This week we focus on the young Telemachus’ tour as he begins to come of age; we also accompany his father Odysseus as he journeys homeward after the Trojan War. Along the way, we’ll examine questions of heroism, relationships between gods and mortals, family dynamics, and the Homeric values of hospitality and resourcefulness.
Readings: Homer, Odyssey, books 1-8 
Video Lectures: 2.1-2.10 
Quiz: Complete the quiz by the end of the week.
 
• Week 3: Adventures Out and Back 
This week we’ll follow the exciting peregrinations of Odysseus, ""man of twists and turns,"" over sea and land. The hero’s journeys abroad and as he re-enters his homeland are fraught with perils. This portion of the Odyssey features unforgettable monsters and exotic witches; we also follow Odysseus into the Underworld, where he meets shades of comrades and relatives. Here we encounter some of the best-known stories to survive from all of ancient myth.
Readings: Homer, Odyssey, books 9-16 
Video Lectures: 3.1-3.10 
Quiz: Complete the quiz by the end of the week.
 
• Week 4: Identity and Signs 
As he makes his way closer and closer to re-taking his place on Ithaca and with his family, a disguised Odysseus must use all his resources to regain his kingdom. We’ll see many examples of reunion as Odysseus carefully begins to reveal his identity to various members of his household—his servants, his dog, his son, and finally, his wife Penelope—while also scheming against those who have usurped his place.
Readings: Homer, Odyssey, books 17-24 
Video Lectures: 4.1-4.8 
Quiz: Complete the quiz by the end of the week.
 
• Week 5: Gods and Humans 
We will take a close look at the most authoritative story on the origin of the cosmos from Greek antiquity: Hesiod’s Theogony. Hesiod was generally considered the only poet who could rival Homer. The Theogony, or ""birth of the gods,"" tells of an older order of gods, before Zeus, who were driven by powerful passions—and strange appetites! This poem presents the beginning of the world as a time of fierce struggle and violence as the universe begins to take shape, and order, out of chaos.
Readings: Hesiod, Theogony *(the Works and Days is NOT required for the course)* 
Video Lectures: 5.1-5.9 
Quiz: Complete the quiz by the end of the week.
 
• Week 6: Ritual and Religion 
This week’s readings give us a chance to look closely at Greek religion in its various guises. Myth, of course, forms one important aspect of religion, but so does ritual. How ancient myths and rituals interact teaches us a lot about both of these powerful cultural forms. We will read two of the greatest hymns to Olympian deities that tell up-close-and-personal stories about the gods while providing intricate descriptions of the rituals they like us humans to perform.
Readings: Homeric Hymn to Apollo; Homeric Hymn to Demeter (there are two hymns to each that survive, only the LONGER Hymn to Apollo and the LONGER Hymn to Demeter are required for the course) 
Video Lectures: 6.1-6.7
Quiz: Complete the quiz by the end of the week.
 
• Week 7: Justice 
What counts as a just action, and what counts as an unjust one? Who gets to decide? These are trickier questions than some will have us think. This unit looks at one of the most famously thorny issues of justice in all of the ancient world. In Aeschylus’ Oresteia—the only surviving example of tragedy in its original trilogy form—we hear the story of Agamemnon’s return home after the Trojan War. Unlike Odysseus’ eventual joyful reunion with his wife and children, this hero is betrayed by those he considered closest to him. This family's cycle of revenge, of which this story is but one episode, carries questions of justice and competing loyalties well beyond Agamemnon’s immediate family, eventually ending up on the Athenian Acropolis itself.
Readings: Aeschylus, Agamemnon; Aeschylus, Eumenides 
Video Lectures: 7.1-7.10 
Quiz: Complete the quiz by the end of the week.
 
• Week 8: Unstable Selves
This week we encounter two famous tragedies, both set at Thebes, that center on questions of guilt and identity: Sophocles’ Oedipus Rex and Eurpides’ Bacchae. Oedipus is confident that he can escape the unthinkable fate that was foretold by the Delphic oracle; we watch as he eventually realizes the horror of what he has done. With Odysseus, we saw how a great hero can re-build his identity after struggles, while Oedipus shows us how our identities can dissolve before our very eyes. The myth of Oedipus is one of transgressions—intentional and unintentional—and about the limits of human knowledge. In Euripides’ Bacchae, the identity of gods and mortals is under scrutiny. Here, Dionysus, the god of wine and of tragedy, and also madness, appears as a character on stage. Through the dissolution of Pentheus, we see the terrible consequences that can occur when a god’s divinity is not properly acknowledged.
Readings: Sophocles, Oedipus Rex; Euripides, Bacchae 
Video Lectures: 8.1-8.9
Quiz: Complete the quiz by the end of the week.
 
• Week 9: The Roman Hero, Remade 
Moving ahead several centuries, we jump into a different part of the Mediterranean to let the Romans give us their take on myth. Although many poets tried to rewrite Homer for their own times, no one succeeded quite like Vergil. His epic poem, the Aeneid, chronicles a powerful re-building of a culture that both identifies with and defines itself against previously told myths. In contrast to the scarcity of information about Homer, we know a great deal about Vergil’s life and historical context, allowing us insight into myth-making in action.
Readings: Vergil, Aeneid, books 1-5 
Video Lectures: 9.1-9.10 
Quiz: Complete the quiz by the end of the week.
 
• Week 10: Roman Myth and Ovid's Metamorphoses 
Our consideration of Vergil’s tale closes with his trip to the underworld in book 6. Next, we turn to a more playful Roman poet, Ovid, whose genius is apparent in nearly every kind of register. Profound, witty, and satiric all at once, Ovid’s powerful re-tellings of many ancient myths became the versions that are most familiar to us today. Finally, through the lens of the Romans and others who ""remythologize,"" we wrap up the course with a retrospective look at myth.
Readings: Vergil, Aeneid, book 6; Ovid, Metamorphoses, books 3, 12, and 13. 
Video Lectures: 10.1-10.9.
Quiz: Complete the quiz by the end of the week.
 
***********************************************************************************************************
READINGS
There are no required texts for the course, however, Professor Struck will make reference to the following texts in the lecture:
• Greek Tragedies, Volume 1, David Grene and Richmond Lattimore, trans. (Chicago)
• Greek Tragedies, Volume 3, David Grene and Richmond Lattimore , trans. (Chicago)
• Hesiod, Theogony and Works and Days, M. L. West, trans. (Oxford)
• Homeric Hymns, Sarah Ruden, trans. (Hackett)
• Homer, The Odyssey, Robert Fagles, trans. (Penguin) 
• Virgil, The Aeneid, Robert Fitzgerald, trans. (Vintage)
• Ovid, Metamorphoses, David Raeburn, trans. (Penguin)

These translations are a pleasure to work with, whereas many of the translations freely available on the internet are not. If you do not want to purchase them, they should also be available at many libraries. Again, these texts are not required, but they are helpful.",216279.0,96670.0,4.8,2157.0
