name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
20世纪西方音乐 Western Music in the 20th Century,https://www.coursera.org/learn/20cnwm,Arts and Humanities,Music and Art,毕明辉 Bryan Minghui BI,"课程所涉不仅涵盖古典音乐如新古典主义、表现主义、民族主义等流派，也对爵士乐、摇滚乐与流行音乐在20世纪的风格情状投以深切关注；在将包括中国音乐在内的世界各国民族民间音乐纳入20世纪大背景予以研究探索之同时，关于大型综合艺术品例如歌剧、音乐剧、电影音乐的考察与分析，也设为专题，绝无偏废。

课程以20世纪西方音乐为主体内容，在清晰贯穿历史线索和侧重史观发展之同时，尤为强调音乐聆听能力的培养，增进音乐知识的积累，凸显理论与实践相结合的开课理念。什么是音乐、什么是20世纪西方音乐、什么是有效聆听成为全课核心知识支柱，引导学生探查关于20世纪西方音乐的三种聆听模式，以期对关于20世纪西方音乐文化诸多现象形成多视角、多维度、多方法、多接口的认识与理解，从而为学生开拓眼界、触类旁通、多学科交叉、创造力之发展，完美人格之形成，提供实际而扎实的服务。

This course was first offered at Peking University in 2008 as a Public Elective Course, and subsequently as a Course for General Education. It is now being offered globally as one of Peking University’s MOOCs. 

Addressing students' interests in 20th century Western Music Culture and incorporating music theory, the course examines 20th century Western music. By combining theory and practice, the course not only aims to provide a clear view of the historical development of the music, but also emphasizes the training of aural skills and the accumulation of musical knowledge. The course covers not only classical music, such as neo-classical, expressionism, nationalism and other genres, but also explores in depth jazz, rock, and pop music of the 20th century. While studying Chinese music and other forms of national folk music in the 20th century world music context, students will also analyze large and complex works such as opera, musicals, and film music. By enhancing students’ understanding of 20th century Western music (classical music, pop music, folk music, comprehensive art) as a foundation, three core questions will be addressed: what is music, what is the 20th century Western music, and what is effective listening? The course aims to guide students to examine the three listening modes of 20th century Western music with the hope of forming a diverse and multi-faceted, knowledge and understanding of the 20th-century Western music culture phenomena, expanding students’ horizons, enhancing their ability to reason by analogy, and promoting cross-disciplinary, creative development.",4066.0,2484.0,4.4,42.0
"3D, perspective text effect on Photoshop",https://www.coursera.org/learn/3d-perspective-text-effect-on-photoshop,Arts and Humanities,Music and Art,Francois Harik,"By the end of this project, you will be able to create a 3D, perspective text effect using Adobe Photoshop.  
Throughout the project, you will be able to use Adobe Photoshop with its different tools. You will be able to create a 3D and perspective text effect that you will use to create an architecture firm logo along with the landing page of their website. 
You will be exposed to the Vanishing Point Filter as well as the 3D workspace on Photoshop.
This guided project is for intermediate graphic designers and intermediate digital designers who are interested in learning how to create a 3D and perspective text effect in Adobe Photoshop. Using the tools in Adobe Photoshop, an architecture firm logo along with the landing page of their website. By creating this, you will contribute to completing the branding of the architecture firm knowing that a logo is always one of the most important pillars of a successful branding and this project will help you achieve that.

Adobe Photoshop is a software that is extensively used for raster image editing, graphic design and digital art. It makes use of layering to allow for depth and flexibility in the design and editing process, as well as provide powerful tools that, when combined, are capable of just about anything.
It will be, undoubtedly, a great asset throughout your future career as a designer.",,,,
A Brief History of Human Spaceflight,https://www.coursera.org/learn/human-spaceflight,Arts and Humanities,History,Dr. Chuck Layne,"This course provides a view of the history of spaceflight, from early writings telling of human's fascination of space through the early Russian and American space stations. Developed as an interesting and entertaining slice of space history that is accessible to anyone with an interest in human spaceflight",16198.0,4052.0,4.4,406.0
A Journey through Western Christianity: from Persecuted Faith to Global Religion (200 - 1650),https://www.coursera.org/learn/western-christianity-200-1650,Arts and Humanities,History,Bruce Gordon,"This course follows the extraordinary development of Western Christianity from its early persecution under the Roman Empire in the third century to its global expansion with the Jesuits of the early modern world. We explore the dynamic and diverse character of a religion with an enormous cast characters. We will meet men and women who tell stories of faith as well as of violence, suppression, and division. Along the way, we encounter Perpetua and her martyrdom in Carthage; the struggles of Augustine the bishop in North Africa; the zeal of Celtic monks and missionaries; the viciousness of the Crusades; the visions of Brigit of Sweden; and the fracturing of Christianity by Martin Luther’s protest. We hear the voices of great theologians as well as of those branded heretics by the Church, a powerful reminder that the growth of Christianity is a story with many narratives of competing visions of reform and ideals, powerful critiques of corruption and venality, and exclusion of the vanquished.  The troubled history of Christian engagement with Jews and Muslims is found in pogroms and expulsions, but also in the astonishing ways in which the culture of the West was transformed by Jewish and Islamic learning.

We shall explore the stunning beauty of the Book of Kells, exquisitely prepared by monks as the Vikings terrorized the coast of England. We will experience the blue light of the windows of Chartres, and ponder the opening questions of Thomas Aquinas’ great Summa. We will read from the Gutenberg Bible of the fifteenth century, which heralded the revolution brought by the printing press. We will travel from Calvin’s Geneva to Elizabeth’s England to Trent, where a Catholic Council met to inaugurate a modern, missionary Catholic church. We will walk through the great Escorial of Philip II of Spain, hear the poetry of John of the Cross, and follow the Jesuits to Brazil and China.
 
Christianity in the West was forged in the fires of conflict and tumult, and it brought forth both creativity and violence. It echoed with calls for God’s world to be transformed, it inspired the most sublime art and architecture, yet it also revealed the power of the union of cross and sword to destroy. The course is a journey through the formation of the West as one strand of Christianity, as one chapter in a global story. It is a journey that has shaped our world.",33909.0,25899.0,4.8,570.0
A Voice of Their Own. Women's Spirituality in the Middle Ages.,https://www.coursera.org/learn/womens-spirituality,Arts and Humanities,History,"Delfi I. Nieto-Isabel, Blanca Garí, Núria Jornet","Have you ever heard about medieval mysticism or medieval heresies? Have you ever wondered about the particular role women played in medieval spirituality? Do Hildegard of Bingen, Clare of Assisi, Marguerite Porete, the Cathar ladies or Isabel de Villena ring a bell? Have you ever felt like you wanted to know more about them? If your answer to any of these questions was yes, then this MOOC, A voice of their own. Women’s spirituality in the Middle ages is what you were looking for. 

A Voice of their own is much more than a course. It is an invitation to follow the paths traced by the spiritual experiences of medieval women. It is a challenge that, should you let it, will take you to places where you will see and hear things that will astonish you. Here you will find medieval women playing a major role in the spiritual transformations of the Middle Ages, founding monastic movements and orders, writing about their experiences, traveling the roads of Europe to spread their ideas, creating spiritual landscapes, as well as both material an intangible architectures. In this MOOC, these women will speak to you from the past, and you'll see that their voices still hold great validity in the present.",11877.0,8855.0,4.5,90.0
A complexidade sensível: Um paralelo entre videogames e arte,https://www.coursera.org/learn/videogames,Arts and Humanities,Music and Art,"Julia Stateri, Edson do Prado Pfutzenreuter ","Este curso oferece respaldo aos interessados em atuar como desenvolvedores, pesquisadores e docentes na área do jogos, tendo como foco o entendimento destes como partes integrantes da cultura contemporânea e do cenário artístico atual. 

Serão apresentados conceitos fundamentais às discussões dos videogames vistos como expressões culturais e artísticas. Através de videoaulas explanativas, leituras recomendadas, entrevistas com especialistas, exercícios reflexivos e discussões em grupo, serão transmitidos conhecimentos com o intuito de iniciar os interessados no tema ou mesmo enriquecer o repertório daqueles que já atuam na área.

Embora este curso seja fundamentalmente teórico, pretendemos criar uma ponte entre as esferas acadêmica e mercadológica. Para isso, incentivamos a aplicação pragmática através da proposição de uma avaliação por pares. Os alunos serão levados a rascunhar o projeto de um videogame e compartilhá-lo com os colegas, tendo a chance de refletir sobre o feedback recebido.

O objetivo principal deste oferecimento é propiciar embasamento adequado aos estudantes interessados em explorar as relações entre videogames e arte.",8325.0,4295.0,4.7,214.0
A l’avènement du christianisme : l’archéologie des derniers païens,https://www.coursera.org/learn/archeology,Arts and Humanities,History,"Patrizia Birchler Emery, Matteo Campagnolo, Anne-Françoise Jaccottet-Muller , Jean Terrier, Lorenz E. Baumer, André-Louis Rey, Christophe Schmidt","Dans ce MOOC, vous explorerez une vision différenciée du rapport entre païens et chrétiens durant l’Antiquité tardive, basée essentiellement sur les témoignages archéologiques. Nous verrons ensemble que la confrontation et le conflit religieux, souvent évoqués dans les écrits de l’époque notamment par les historiens de l’église, étaient l’exception plutôt que la norme.

Le premier module de ce MOOC vous permettra de définir le cadre et le contexte historique de l’Antiquité tardive. Vous découvrirez dans la suite du cours des thèmes plus spécifiques de cette période fascinante. Iconographie, architecture, sculpture, mosaïque et numismatique seront ainsi illustrés par de nombreux cas d’études et documents visuels. 
Après avoir suivi ce MOOC, vous connaîtrez les textes officiels et les événements importants de l’avènement du christianisme comme religion d’Etat. Vous saurez prendre une distance critique avec des aprioris sur « l’imperméabilité » des sphères païenne et chrétienne. Vous serez enfin à même d’analyser la permanence d’architecture ou de thèmes iconographiques et mythologiques païens dans une société christianisée. 
Différent-es enseignant-es du Département des sciences de l’Antiquité de l’Université de Genève vous accompagneront tout au long de ce MOOC.",,1974.0,4.6,24.0
A tecnologia da produção musical,https://www.coursera.org/learn/tecnologia-producao-musical,Arts and Humanities,Music and Art,Loudon Stearns,"Aprenda sobre o processo de produção musical (inclusive sobre gravação, edição e mixagem) e conheça as ferramentas disponíveis para criação de música contemporânea no computador.

Devido à recente disponibilidade de softwares e hardwares de alta qualidade e baixo custo, agora as ferramentas de produção musical estão ao alcance de todos. Os álbuns deixaram de ser criados apenas em estúdios, agora também são criados em quartos. À primeira vista, isso é libertador. Qualquer pessoa pode criar um álbum por um custo bem baixo, basta comprar alguns equipamentos e um pacote de software. Mas, se você for mais a fundo, verá que não é tão fácil assim. É preciso conhecimento, dedicação e criatividade para produzir música.
    
Fornecer conhecimento é o propósito deste curso. Não importa o tipo de música que você está produzindo, há um grande conjunto de ferramentas que você precisará usar.  Cada lição deste curso demonstrará um conjunto diferente de ferramentas de produção musical, seguindo vagamente o processo da produção musical de gravar, editar e mixar. 

Vamos começar com algumas noções sobre a natureza do som e como o percebemos. Em seguida, vamos analisar os componentes necessários para gravar áudio em um computador, para que você compreenda os dispositivos pelos quais o som precisa se deslocar em um processo de produção musical. 
    
Depois de gravado, o som precisa ser organizado em uma linha de tempo, um processo conhecido como edição. A edição nos permite dar a impressão de execuções perfeitas e criar muitos dos sons que ouvimos na música contemporânea. A ferramenta de edição contemporânea é a estação de trabalho de áudio digital (DAW, Digital Audio Workstation), um software que armazena e organiza todos os recursos de um projeto musical. Vamos focar as ferramentas de edição que são essenciais na produção de música contemporânea e que são fornecidas por todas as DAWs. 

Após a edição, os sons devem ser combinados ou mixados, por isso vamos analisar a mesa de mixagem, que pode ser um local muito criativo se você souber usá-la. Vamos explorar as funcionalidades básicas das mesas de mixagem em hardware e software, inclusive volume, panning, mudo, solo, barramentos, inserções, envios e submixagens. O processo de mixagem, no entanto, engloba mais ferramentas do que a mesa de mixagem fornece. O som também deve ser processado, ou seja, modificado de modo a fazer com que seu estado gravado se enquadre no contexto da música. Vamos analisar a compressão, a equalização e o retardo, além de examinar os muitos efeitos de áudio que são extensões desses dispositivos e como eles são usados em um contexto musical.
    
No fim das contas, o processo de produção musical depende da sua criatividade. A criatividade é um produto da mente, e ela permanece armazenada ali, sem ser expressada, até que as ferramentas certas são usadas da maneira certa para compartilhá-la com o mundo. Se você tem uma ideia em mente, precisará passar por inúmeras etapas, cada uma com uma ferramenta importante, para chegar ao seu público. Traga a dedicação e criatividade para este curso, que ele fornecerá o conhecimento para fazer acontecer.",3094.0,3382.0,4.9,34.0
"AI, Empathy & Ethics",https://www.coursera.org/learn/ai-empathy-ethics,Arts and Humanities,Philosophy,Kelvin Lwin,"This nontechnical course provides an overview of artificial intelligence advancements and the ethical challenges we now face as we navigate the development, implementation, and ubiquitous global use of AI.",,4158.0,,
ART of the MOOC: Activism and Social Movements,https://www.coursera.org/learn/activism-social-movements,Arts and Humanities,Music and Art,"Nato Thompson, Pedro Lasch","This course is for activists, artists, and thinkers who wish to better understand and participate in social change. We will focus on the prolific and exciting overlap between socially engaged art and cultural practices generated by recent social movements around the world. Rather than assess the political efficacy of activities like mourning, listening, organizing, dancing, or partying, the lectures examine such cultural activities next to, and within, contemporary art practice. 

Included in the course are guest presentations by key artists, activists, and scholars, like: Rebecca Gomperts, Chido Govera, Gulf Labor, Hans Haacke, Sharon Hayes, Jolene Rickard, Gregory Sholette, Joshua Wong, and many more. Designed by artist and Duke professor, Pedro Lasch and co-taught by Creative Time artistic director, Nato Thompson, the course challenges learners to treat the MOOC itself as a social and artistic form. This happens mostly through the practical components, local project productions, global exchanges, and critical feedback.

While no prior art making or activist experience is required, projects also offer challenging options for advanced learners.

For other course offerings or language versions in this series, just search 'ART of the MOOC' inside the Coursera course catalogue.",19274.0,4067.0,4.6,132.0
