name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
(Business Writing) الكتابة في مجال الأعمال,https://www.coursera.org/learn/writing-for-business-ar,Business,Business Essentials,Dr. Quentin McAndrew,"لا شك أن إتقان الكتابة من أهم المهارات التي يمكنك تعلمها بُغية تحقيق النجاح في مجال الأعمال. وقد استخدمت أكثر من سبعين شركة وعشرين ألف طالب - من الكتاب المحترفين والموظفين الجدد والمتحدثين باللغة الإنجليزية لغير الناطقين بها وحتى المديرين المتمرسين - الأساليب المستخدمة في الكتابة في مجال الأعمال لتعزيز قدرتهم على التواصل وإطلاق أفكارهم. ستعلمك هذه الدورة التدريبية كيفية تطبيق المبادئ العشرة الأفضل للكتابة الجيدة في مجال الأعمال على عملك وكيفية نشر أدوات بسيطة لتحسين كتابتك بشكل كبير  وكيفية تنفيذ التنظيم والبنية والمراجعة للتواصل بشكل أكثر براعة من أي وقت مضى. وستتمكن من الدرس الأول من تطبيق التعلم الجديد على الفور على عملك وتحسين كتابتك اليوم. أفكارك قوية. تعلم كيفية توصيلها بالوضوح والتأثير الذي تستحقه. ""شكرًا لك على إعطائي المعرفة التي أحتاجها في الحياة، كانت [الكتابة في مجال الأعمال] مفيدة وأضفت الكثير من التغيير وأثرت تأثير ًا كبيرًا في كتابتي"". - رسالة من أحد طلاب دورة الكتابة في مجال الأعمال

تتيح لك المبادئ التي ستتعلمها في هذه الدورة أن تصبح كاتبًا رائعًا في مجال الأعمال. كما أنها توفر الأساس للانتقال إلى التصميم الغرافيكي والعرض التقديمي الناجح، بحيث يمكنك إطلاق العنان لأفضل ما لديك من مهارات مهنية كلما -وكيفما- تعرض أفكارك في مكان العمل.",2896.0,4076.0,4.7,44.0
(Giving Helpful Feedback) إعطاء الملاحظات المفيدة,https://www.coursera.org/learn/feedback-ar,Business,Business Essentials,Tracy Jennings,"الهدف من هذه الدورة التدريبية تعليمك المبادئ البسيطة التي يستخدمها المديرون الخبراء من أجل تحسين أداء الموظفين وتحفيزهم. ولن تضطر إلى تجنب إخبار الموظفين ""الحقيقة"" مرة أخرى بعد الآن، لأن الأساليب السبعة التي سوف نقوم بتعليمك إياها لن تجعل الموظفين خائفين أو يتخذون وضعًا دفاعيًا. كمدير، أو كشخص يرغب في أن يكون مديرًا، سوف تتعلم كذلك على وجه الخصوص ماهية الملاحظات، وكيف يتم تقييم الملاحظات السلبية بشكل أكبر من تلك الإيجابية، وكيف يمكن أن تؤثر الملاحظات الإيجابية بشكل فائق على السلوكيات مثل الإبداع والعمل الجماعي.‏

إن إعطاء الملاحظات مهارة تتطور مع مرور الوقت. إننا نمنحك عملية يمكنك استخدامها لتحسين مهارات الملاحظات لديك وإعطاء تلك الملاحظات بكل ثقة. سوف تجد أن هناك أساس علمي للعديد من المشاهدات والبديهيات حيال تقديم الملاحظات، مثل صعوبة إعطاء الملاحظات بشكل صحيح وكره الناس لإعطاء الملاحظات وغير ذلك الكثير. وسوف يكون من المطمئن أن تعرف كيف تتغلب على تلك الصعوبات. نتمنى أن تستمتع بوقتك وأنت تتطور إلى مدير أفضل!",4983.0,61181.0,4.8,370.0
(Successful Presentation) العرض التقديمي الناجح,https://www.coursera.org/learn/presentation-skills-ar,Business,Business Essentials,Professor William Kuskin,"يمكن لبعض أنواع التواصل إحداث تأثير يُبدع عرضًا تقديميًا مميزًا.  حتى الخطاب القصير يمكنه أن يُحفز الأشخاص لتغيير المعتقدات التي عافى عليها الزمن أو اتخاذ الخطوات اللازمة، ويمكن أن تؤدي طريقة الحديث الإيجابية إلى تحويل شخص عادي إلى قائد.\n\n في هذه الدورة التدريبية، يقدم البروفيسور ويليام كوسكين سلسلة من الفيديوهات والتمارين العملية لكيفية مخاطبة الجمهور وتقديم العروض التقديمية بصورة ناجحة.

تتألف الدورة التدريبية من أربعة موضوعات — التحكم في الخوف، وإبداع صيغة عرض مبتكرة، واستخدام اللغة الجسدية والشفهية، وكيفية توقع سريان الأمور في القاعة — بحيث تصبح قادرًا على اكتشاف قوتك الذاتية باعتبارك متحدثًا يستطيع تقديم عروض تقديمية رائعة. 
لا تعتمد العروض التقديمية الناجحة على الأسنان الناصعة أو الصوت الجهوري أو العدد الكبير من كاتبي النصوص.  ولكن تعتمد بشكل كبير على نفس المهارات اللازمة للكتابة التجارية الناجحة وتصميم الجرافيك ألا وهي: الوضوح وحُسن تصميم العرض والمراجعة المتأنية. ولذلك تستهدف هذه الدورة التدريبية تمكينك من اكتشاف قوتك الداخلية فيما يتعلق بكونك متحدثًا ومن ثَمّ تقديمها للعالم.  وبانتهاء هذه الدورة التدريبية، ومن خلال بعض التمارين، ستتمكن من المشاركة في أى فعالية وإدارة القاعة على النحو الذي تريد.",11527.0,14124.0,4.8,415.0
5 Metodos para Optimizar su Perfil de LinkedIn,https://www.coursera.org/learn/5-metodos-optimizar-perfil-linkedin,Business,Business Essentials,Natali Esteves,"Al completar este proyecto, abras completado y optimizado un perfil de LinkedIn para búsquedas y contenido. Revisará la importancia del método para seleccionar una fotografía de su perfil de LinkedIn. Identificar individuos en las redes de LinkedIn que podrán proveer apoyo con sus testimonios. Al mejorar el perfil de LinkedIn se mejorará la probabilidad de encontrar la carrera profesional ideal.

Nota: Este curso es de mayor utilidad para estudiantes que residen en la región de América del Norte. Actualmente, estamos trabajando para proporcionar la misma experiencia en otras regiones.",,,,
A Business Approach to Sustainable Landscape Restoration,https://www.coursera.org/learn/landscape-restoration-sustainable-development,Business,Business Essentials,"Simon W. Moolenaar, Rob van Tulder, Johann Thorsson, Nicola Favretto, Ólafur Arnalds, Asa L. Aradottir, Steve Kennedy","Integrated landscape management and large-scale landscape restoration should be in every company’s business strategy because in order to reach the Sustainable Development Goal on Land Degradation Neutrality (SDG Number 15.3) scaling up and acceleration of business-driven landscape restoration is urgently needed.

This requires business professionals with a vision, the right knowledge and skills. This MOOC aims to train the next generation of business professionals and developers to acknowledge business’ interdependency with healthy landscapes and understand the value of ecosystem resources.

“Historically, we have found countless ways to justify our continued exploitation of the environment: discovery, tradition, Manifest Destiny, even Chinese hoax. But we’re all out of excuses now. Each passing day swells the data on greenhouse gases and extreme weather, shrinking reservoirs and rising sea levels, and diminishing biodiversity. Our resources are finite, the window for change if not firmly shut, is certainly closing, and all life must adapt or be doomed.”

Téa Obreht, 
The New Yorker, Dec. 19&26, 2016, p. 106.

It is a frightening prospect indeed – that all life on Earth must either adapt or be doomed. This course is about landscape degradation – a global and wicked problem that is contributing to the dooming prospect of depletion of Earth’s finite resources. But this course is also about the solutions to this problem – business driven landscape restoration.
So rather than leaving you powerless with the prospect Obreht puts fowards above, it is our hope that you learn how you can be part of the solution to making sure that Planet Earth still provides a safe and habitable home for future generations. 
We must act big and we must act now.
With this course we want to pass on valuable knowledge and teach you useful skills that you can apply in your professional life that will enable you to tackle the issue of landscape degradation and restoration. 
The issue is urgent, so let’s dive right into it.

This MOOC is developed by the ENABLE partnership, which is co-funded by the ERASMUS+ programme of the European Commission and involves a diverse, international group of organizations including Rotterdam School of Management, Erasmus University, Commonland, United Nations University Land Restoration Training Programme, the Spanish National Research Council and Estoril Global Conferences.",9236.0,12448.0,4.7,67.0
Accounting Analysis I: Measurement and Disclosure of Assets,https://www.coursera.org/learn/asset-measurement-disclosure,Business,Business Essentials,"Gregory L. Davis, CPA, CMA, CFM, CCM, Gerlando Lima","**NOTE: You should complete the Accounting Analysis I: The Role of Accounting as an Information System course or be familiar with the concepts taught there before beginning this course.**

This course is the second course in a five-course Financial Reporting Specialization that covers the collection, processing, and communication of accounting information (via financial reports) about economic entities to interested parties (i.e., managers and external stakeholders such as stockholders and creditors).  To gain the most relevant knowledge from these courses, learners should have taken a basic accounting course prior to this Specialization (which can be done through Coursera courses, such as any accounting course from the Fundamentals of Accounting Specialization: https://www.coursera.org/specializations/accounting-fundamentals). This Specialization focuses on accounting concepts, principles and theory with an emphasis on problems that arise in applying these concepts for external reporting purposes.  Specific emphasis is placed on measurement of assets, liabilities, equities and income, as well as disclosure of additional information that may assist users understand the financial reports.  

In this course, we will begin our review of key asset categories underlying the Balance Sheet concepts that were introduced in the previous course.  We will begin our trek down the Balance Sheet by reviewing cash and receivables, which are normally the two assets listed first. We will continue our trek down the Balance Sheet by looking at inventory and long-Lived Assets, which are normally two of the largest asset values. We will review the measurement and reporting issues involving Inventories and the corresponding cost of goods sold expense in the Income Statement. In the latter half of this course we will conclude our review of key asset categories by looking at both tangible and intangible long-lived assets that are so vital to the production of goods and services. This will entail discussion of both acquisition and disposition of property, plant and equipment as well as cost allocation. Next, we will discuss possible impairment of these assets as well as the proper treatment of expenditures made after acquisition. Lastly, we will review how to identify and account for Investments.

The University of Illinois at Urbana-Champaign, consistently ranked as one of the nation's top three accounting programs, now offers a master’s in accounting at a very affordable tuition rate and is completely online. The iMSA is a full Master of Accountancy program and students graduate with an MS that is highly recognized. Try an open course or two, then apply for admission into the credit-bearing version as you may be eligible to take credit-bearing courses during the application process. If you are missing any prerequisites for the full degree, you can complete Coursera courses to demonstrate readiness and strengthen your application for the iMSA. For more information on this exciting iMSA online program, refer to this link: https://www.coursera.org/degrees/imsa",12362.0,23957.0,4.8,150.0
Accounting Analysis I: The Role of Accounting as an Information System,https://www.coursera.org/learn/accounting-information-system,Business,Business Essentials,"Gregory L. Davis, CPA, CMA, CFM, CCM","This course is the first course in a five-course Financial Reporting Specialization that covers the collection, processing, and communication of accounting information (via financial reports) about economic entities to interested parties (i.e., managers and external stakeholders such as stockholders and creditors).  To gain the most relevant knowledge from these courses, learners should have taken a basic accounting course prior to this Specialization (which can be done through Coursera courses, such as any accounting course from the Fundamentals of Accounting Specialization: https://www.coursera.org/specializations/accounting-fundamentals). This Specialization focuses on accounting concepts, principles and theory with an emphasis on problems that arise in applying these concepts for external reporting purposes.  Specific emphasis is placed on measurement of assets, liabilities, equities and income, as well as disclosure of additional information that may assist users understand the financial reports.  

After a brief introduction to the course, we will spend time understanding the overall financial accounting structure and standards as well as review the fundamental accounting process used to prepare the financial statements, which will establish a framework for the study of the concepts in the remaining courses in the Financial Reporting Specialization. In this course, we will begin our review of key information included in the Balance Sheet and Income Statement and their related financial disclosures. The Statement of Cash Flows will be introduced briefly with more discussion to follow in later courses of the Specialization.  Also, we will provide a cursory review of key concepts involving time value of money as we will finish this course with focus on revenue recognition, including discussion of the new revenue standard.  We will review the general approach for recognizing revenue, special issues affecting revenue recognition including long-term construction contracts. In addition, we will discuss and review common ratios used in profitability analysis. 

The University of Illinois at Urbana-Champaign, consistently ranked as one of the nation's top three accounting programs, now offers a master’s in accounting at a very affordable tuition rate and is completely online. The iMSA is a full Master of Accountancy program and students graduate with an MS that is highly recognized. Try an open course or two, then apply for admission into the credit-bearing version as you may be eligible to take credit-bearing courses during the application process. If you are missing any prerequisites for the full degree, you can complete Coursera courses to demonstrate readiness and strengthen your application for the iMSA. For more information on this exciting iMSA online program, refer to this link: https://www.coursera.org/degrees/imsa",30215.0,51714.0,4.8,585.0
Accounting Analysis II: Accounting for Liabilities and Equity,https://www.coursera.org/learn/accounting-analysis-2-equity,Business,Business Essentials,Adel Ibrahim,"This course is the fourth course in a five-course Financial Reporting Specialization. This course focuses on the recognition, measurement and subsequent accounting for equity, pensions, share-based compensation and cash flows utilizing the FASB Accounting Standards Codification and other resources.",8355.0,12414.0,4.7,84.0
Accounting Analysis II: Measurement and Disclosure of Liabilities,https://www.coursera.org/learn/accounting-analysis-2-liabilities,Business,Business Essentials,Adel Ibrahim,"This course is the third course in the five-course Financial Reporting Specialization. This course begins with a discussion of current liabilities and contingencies and continues with long-term debt and bonds.  The course next explores accounting model for leases, both lessees and lessors, and a discussion on deferred tax assets and liabilities. Participants will learn the latest accounting standards including the new accounting model for leases effective for public companies in 2019 and private companies in 2020.",8797.0,20095.0,4.6,101.0
Accounting for Business Decision Making: Measurement and Operational Decisions,https://www.coursera.org/learn/business-accounting,Business,Business Essentials,"Gary Hecht, Ph.D.","Accounting information is the lifeblood of the organization as it facilitates and influences operational and strategic decisions intended to achieve organizational goals. Organizations benefit from three decision-oriented roles of accounting: measurement, control, and communication. 

This course provides an introduction to accounting’s measurement role inside of an organization and how accountants communicate information that helps managers and employees make operational decisions. In particular, you will learn how cost information is created and organized to help managers and employees conduct profitability analyses, develop and choose products, make pricing decisions, and make common business decisions. 

Upon successful completion of this course, you will be able to:
•	Identify the nature, purpose, and importance of different types of decision-useful accounting information.
•	Create, organize, and communicate cost information to best suit common operational decisions. 
•	Use accounting information to manage products, control costs, and leverage other drivers of operational success.

If you enjoy this business course and are interested in an MBA, consider applying to the iMBA, a flexible, fully-accredited online MBA at an incredibly competitive price offered by the University of Illinois. For more information, please see the Resource page in this course and onlinemba.illinois.edu.",15111.0,11117.0,3.9,156.0
