name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
A Scientific Approach to Innovation Management,https://www.coursera.org/learn/scientific-approach-innovation-management,Business,Business Strategy,"Alfonso Gambardella, Arnaldo Camuffo, Chiara Spina","How can innovators understand if their idea is worth developing and pursuing? In this course, we lay out a systematic process to make strategic decisions about innovative product or services that will help entrepreneurs, managers and innovators to avoid common pitfalls. We teach students to assess the feasibility of an innovative idea through problem-framing techniques and rigorous data analysis labelled ‘a scientific approach’. The course is highly interactive and includes exercises and real-world applications. We will also show the implications of a scientific approach to innovation management through a wide range of examples and case studies.",6668.0,4342.0,4.6,61.0
AI For Everyone,https://www.coursera.org/learn/ai-for-everyone,Business,Business Strategy,Andrew Ng,"AI is not only for engineers. If you want your organization to become better at using AI, this is the course to tell everyone--especially your non-technical colleagues--to take. 

In this course, you will learn:

- The meaning behind common AI terminology, including neural networks, machine learning, deep learning, and data science
- What AI realistically can--and cannot--do
- How to spot opportunities to apply AI to problems in your own organization
- What it feels like to build machine learning and data science projects
- How to work with an AI team and build an AI strategy in your company
- How to navigate ethical and societal discussions surrounding AI

Though this course is largely non-technical, engineers can also take this course to learn the business aspects of AI.",830239.0,860191.0,4.8,37184.0
AI For Everyone （すべての人のためのAIリテラシー講座）,https://www.coursera.org/learn/ai-for-everyone-ja,Business,Business Strategy,"Andrew Ng, Yutaka Matsuo","AIはエンジニアだけのものではなく、今や社会⼈の基本リテラシーと⾔えます。本

コースは、AIの基礎を学びたい⽅、今の組織をAIを使いこなせる組織へと変⾰させ
たい⽅、そんなすべての⽅々に、理系⽂系問わず、肩書きや職種問わず、受講いた
だけるコースです。

本コースでは、次のことを学習していただきます：
- ニューラルネットワーク、機械学習、ディープラーニング、データサイエンス
など、⼀般的なAIに関する専⾨⽤語とその意味
- 実際にAIができること、できないこと
- 組織の課題解決のためにAIを適⽤できる可能性とその⽅法
- 機械学習およびデータサイエンスプロジェクトの進め⽅
- AIエンジニアチームと連携して社内でAI戦略を構築する⽅法
- AIを取り巻く倫理的および社会的議論の概要

本コースはDeepLearning.AIが提供している通常の「AI for Everyone」（オリジナルは英語）に、JDLAが制作し、松尾先生が講師を務める”DXとは何か”、”DXにおけるAIの重要性”、“日本におけるAI活用”を追加 した 特別版 となります。

本コースの修了証を提示すると、JDLAのG検定が30％引きになります。詳細はこちらをご覧ください。
https://www.jdla.org/certificate/general/apply-everyone-discount/",22218.0,35031.0,4.7,207.0
"AI, Business & the Future of Work",https://www.coursera.org/learn/ai-business-future-of-work,Business,Business Strategy,Anamaria Dutceac Segesten,"This course from Lunds university will help you understand and use AI so that you can transform your organisation to be more efficient, more sustainable and thus innovative. 

The lives of people all over the world are increasingly enhanced and shaped by artificial intelligence. To organisations there are tremendous opportunities, but also risks, so where do you start to plan for AI, business and the future of work?

Whether you are in the public or private sector, in a large organisation or a small shop, AI has a growing impact on your business. Most organisations don’t have a strategy in place for how to make AI work for them. 

The teacher, Anamaria Dutceac Segesten, will guide you through the topics with short lectures, interviews and interactive exercises meant to get you thinking about your own context.

12 industry professionals, AI experts and thought leaders from different industries have been interviewed and will complement the short lectures to give you a broad overview of perspectives on the topics. You will meet:

Kerstin Enflo
Professor in Economic History
Lund University

Dr. Irene Ek	
Founder	
Digital Institute

Samuel Engblom
Policy Director
The Swedish Confederation of Professional Employees

Pelle Kimvall
Lead Solution Ideator
AFRY X

Joakim Wernberg	
Research Director, Digitalisation and Tech Policy
Swedish Entrepreneurship Forum

Marcus Henriksson
Empathic Leader of AI & Automation and Digital Business Development	
Empathic

Johan Grundström Eriksson	
Board Advisor, Innovation Management & Corporate Governance	
Founder & Chairman, aiRikr Innovation AB

Jakob Svensson
Professor in Media and Communication Studies
Malmö University

Ulrik Franke
Senior Researcher
RISE Research Institutes of Sweden

Björn Lorentzon
Nordic Growth Lead
Sympa

Anna Felländer
Founder 
AI Sustainability Center

Prof. Fredrik Heintz	
Associate Professor of Computer Science
Linköping University",2978.0,11225.0,4.7,50.0
Abrechnung und Zahlung auf Pinterest,https://www.coursera.org/learn/abrechnung-und-zahlung-auf-pinterest,Business,Business Strategy,Kim Webb,"Am Ende dieses Projektes wirst du alles bezüglich Abrechnung und Zahlung auf Pinterest gelernt haben. Du wirst gelernt haben deine Abrechnungsinformation einzurichten und welche verschiedene Arten von Zahlungsmöglichkeiten Pinterest anbietet. Du wirst ebenfalls gelernt haben wie du einen Zahlungsplan einstellst und benutzt. Obwohl Pinterest dich nicht direkt für Webseitenbesuche bzw. Pinbesuche bezahlt, wirst du einige alternative Möglichkeiten kennenlernen mit Pinterest Geld zu verdienen.",,,,
Accounting for Mergers and Acquisitions: Advanced Topics,https://www.coursera.org/learn/accounting-for-ma-2,Business,Business Strategy,Oktay Urcan,"This course aims at assisting you in interpreting financial accounting information related to advanced issues in inter-corporate investments. The course will cover four main topics over four modules: (i) accounting for spinoffs and equity carveouts, (ii) accounting for leveraged buyouts and recapitalizations, (iii) tax considerations in inter-corporate investments, and (iv) financial statement analysis in the presence of inter-corporate investments. 

The course will be useful for students to understand complex organizational structures through the lens of financial accounting information and will benefit investors, analysts, bankers, consultants, managers, and any deal-makers.",,5500.0,,
Additive Manufacturing,https://www.coursera.org/learn/additive-manufacturing-3d-printing,Business,Business Strategy,M.S. Krishnan,"This course, Additive Manufacturing, is the third course in the Coursera Specialization, Digital Technologies and the Future of Manufacturing.

In this course, learners will be introduced to the concept of Additive Manufacturing, learn how it is applied in manufacturing, and what businesses should consider as they decide to implement this technology. Considerations include the economics of the technology, information technology infrastructure, manufacturing ecosystem partners, the business value of implementing Additive Manufacturing, and what needs to happen across the organization to ensure successful implementation.

Learners will hear from industry experts as they share their perspectives on the opportunities and challenges of implementing Additive Manufacturing, how Additive Manufacturing is being implemented in their companies, and insights on the future of this technology within their industry and across manufacturing.

The content presented in this course draws on a number of real-life interviews and case studies, and was created through a partnership with Siemens.",1904.0,9868.0,4.6,34.0
Advanced Business Strategy,https://www.coursera.org/learn/uva-darden-advanced-business-strategy,Business,Business Strategy,"Michael Lenox, Jared Harris","Advance your strategic analysis skills in this follow-up to Foundations of Business Strategy. In this course, developed at the Darden School of Business at the University of Virginia, you'll learn the tools to analyze strategy across time (competitive dynamics), industries (corporate strategy), geographies (international strategy), and institutions (non-market strategy). Top-ranked faculty will introduce the tools you need to complete a comprehensive evaluation and understand the strategy dynamics of an industry: Competitive Lifecycle, Internationalization and Stakeholder Analyses, and Diversification Matrices.",40682.0,26604.0,4.8,1007.0
Advanced Competitive Strategy,https://www.coursera.org/learn/advanced-competitive-strategy,Business,Business Strategy,Tobias Kretschmer,"Advanced Competitive Strategy will introduce new topics and modules with even more real world examples and opportunities for student interaction than in the previous course Competitive Strategy (https://www.coursera.org/learn/competitivestrategy).

In Advanced Competitive Strategy, we will look at how companies can build up and maintain their customer base by increasing switching costs and facilitating strategic customer lock-ins. We will find out how firms can increase their profits by pursuing suitable price discrimination and product differentiation strategies.
 
We will look at examples of what is acceptable behavior under the premises of EU competition and US antitrust policies and discover exciting ways of how companies can increase their returns by strategically making use of network effects and economies of size. We will further intensify our newly acquired knowledge about network effects and discuss strategies that are explicitly tailored to network markets.
 
We will analyze the workings of mergers and acquisitions and, moreover, support you in considering alternative strategies that can help companies grow organically.",62236.0,8056.0,4.7,845.0
Advanced Programme Planning Phases Framework in ClickUp,https://www.coursera.org/learn/program-advanced-planning,Business,Business Strategy,Jasper Albert,"By the end of this guided project, you will be fluent in creating Programme framework for the Planning Phases for diverse programmes. You will utilise a logical diagramming plan in an agile environment to develop the solution. This will enable you to identify and classify the required process for programmes and the functionality of domains involved in such complex undertaking. Furthermore, it will help develop a structural model for learning about the field of Programme Management.

If you are interested in building up the knowledge leading to this guided project, the following is the link to:
[ Developing Programme Management Blueprint with ClickUp] 

https://www.coursera.org/projects/program-blueprint

This Guided Project is essential for individuals wanting to learn about the field, or looking to transition into working in Programme Management. This guided project is designed to engage and harness your visionary and exploratory abilities. You will use proven models in an agile environment with ClickUp to engage in a hands-on learning experience.",,,5.0,10.0
Agile Project: App Development Acceptance Criteria inClickUp,https://www.coursera.org/learn/app-acceptance-criteria,Business,Business Strategy,Jasper Albert,"By the end of this guided project, you will be fluent in creating acceptance criteria for mobile app features and tasks. You will utilise wireframe porotype segments in an agile project environment based on the customer journey with the products. This will enable you to identify and classify the required test cases for each functionality prior to development. Furthermore, it will help bring consensus between the client, the developing company and the software developers leading to measurable and successful implementation of the app functionality and features 

This is essential for generating positive results for your product development. Furthermore, this guided project is designed to engage and harness your visionary and exploratory abilities. You will use proven models in Agile Project Management with ClickUp to shape the development roadmap of products and services.",,,,
Agile Project: Product Prototype Touchpoint Analysis in Miro,https://www.coursera.org/learn/agile-prototype-analysis-miro,Business,Business Strategy,Jasper Albert,"By the end of this guided project, you will be fluent in creating wireframe porotypes for Agile projects based on previous project phases. This will enable you to map the product features and add value to how the customer/user will experience the product or service. You will learn how to encapsulate the needs and wants of the customer persona in the product.

This is essential for generating positive results for your business venture. Furthermore, this guided project is designed to engage and harness your visionary and exploratory abilities. You will use proven models in Agile Project Management with Miro to shape the development roadmap of products and services. 

We will practice critically how Epics, User Stories, Personas, and Customer journey phases become valuable input for creating functionality for products and services.

Please see the guide for creating a free account with Miro in the Resources section.",4178.0,,4.6,56.0
Agile Projects:  Developing Tasks with Taiga,https://www.coursera.org/learn/developing-agile-tasks-taiga,Business,Business Strategy,Jasper Albert,"By the end of this guided project, you will be fluent in creating tasks for Agile projects based on previous project phases. This will enable you to identify ""How"" the customer/user will experience the product or service. You will learn how to encapsulate value for the customer in these tasks. 

This is essential for generating positive results for your business venture. Furthermore, this guided project is designed to engage and harness your visionary and exploratory abilities. You will use proven models in Agile Project Management with Taiga to shape the development roadmap of products and services. 

We will practice critically defining how user stories become valuable tasks for creating functionality for products and services.",,,4.5,13.0
Agile Projects: Creating User Stories with Value in Taiga,https://www.coursera.org/learn/agile-stories-mapping-taiga,Business,Business Strategy,Jasper Albert,"This guided project was developed to engage and harness your visionary and exploratory abilities. During this course, you will use input from previous phases of project development. Together we will identify, map, and analyse User Stories which are the components that make up the themes of the customer experience with the product and service.

This is an important step for individuals or companies wanting to map value for customer to product features in new products or services; also, for enhancing their existing offerings. By the end of this guided project, you will be fluent in identifying and creating User Stories for agile projects. 

We will discuss directions for the next phase of the project development; furthermore, the learned concepts and tools will help you generate solutions for use as part of your project management solutions and in presentations to various stakeholders.",1971.0,,4.8,14.0
Agile Projects: Develop Product Wireframe Prototypes in Miro,https://www.coursera.org/learn/agile-prototype-miro,Business,Business Strategy,Jasper Albert,"By the end of this guided project, you will be fluent in creating wireframe porotypes for Agile projects based on previous project phases. This will enable you to map the product features and add value to how the customer/user will experience the product or service. You will learn how to encapsulate the needs and wants of the customer persona in the product.

This is essential for generating positive results for your business venture. Furthermore, this guided project is designed to engage and harness your visionary and exploratory abilities. You will use proven models in Agile Project Management with Miro to shape the development roadmap of products and services. 

We will practice critically how Epics, User Stories, Personas, and Customer journey phases become valuable input for creating functionality for products and services.

Please see the guide for creating a free account with Miro in the Resources section.",3070.0,,4.6,12.0
Analyze User Research Data with Microsoft Forms,https://www.coursera.org/learn/analyze-user-research-data-microsoft-forms,Business,Business Strategy,Lindsey Dumser,"Conducting surveys and analyzing user research data can help businesses gain important insights into the experiences of their users, both current and potential. By understanding the user experience before creating new products and services, business leaders can save time and money by creating the best product the first time around.

Learners in this guided project will walk through the steps of creating and analyzing a Microsoft Forms survey and learn the basic methodology of analyzing user research. First, learners will learn how to prepare the objective before creating a survey. Then, learners will be guided step-by-step through each of the Forms question types and when to use each one. Next, learners will discover how to finalize and distribute a survey, and then collect and organize responses. Finally, this project will discuss how to analyze the survey responses and make insightful business decisions.",,,4.7,10.0
Analyzing Digital Transformation Canvas for Competitiveness,https://www.coursera.org/learn/analyzing-digital-transformation-canvas-for-competitiveness,Business,Business Strategy,Omodiaogbe Samuel,"By the end of this guided project, you will be able to use the Digital Transformation (DT) Canvas to position your organization for competitiveness. Digital transformation is the integration of digital technology into business processes to fundamentally change how an organization operate and deliver value to customers. The Digital Transformation Canvas help you think through the implications of digitalization by analyzing the business processes to focus, the technologies to use, as well as the value to create for the business and customers. The canvas is comprised of ten blocks, with each block providing analysis and insights on how to use the model to achieve the strategic goals of transformation.

For us to practically demonstrate how to use the Canvas to conduct analysis and make strategic decisions, we will use a spreadsheet to analyze a Fintech startup company as a case study. Example of the case study would empower you to apply the model to your company or any other company of your choice. The project is for business leaders, strategist, technologist, startup founders, and innovation professionals that want to compete with digitalization. At the end of the project, you will be able to use the canvas to determine your competitiveness in the digital world",,,,
Analyzing Macro-Environmental Factors Using Creately,https://www.coursera.org/learn/marco-environmental-factors-creately,Business,Business Strategy,Jasper Albert,"By the end of this 2 hour-long guided project, you will be fluent in identifying and analyzing business markets and how to discover their attractiveness to new products and services. This project is designed to engage and harness your visionary and exploratory abilities. You will be using proven models in competitive strategy and the program Creately to explore and analyze these models. This is an important step for individuals or companies wanting to explore new markets for products or services. 

We will practice critically examining external factors that could affect the business sector. You will engage in evaluating through examples and hands-on practice examining factors effecting business including Political, Economic, Social, Technological, Legal, and Environmental. You will be ready to take an entrepreneurial idea through a scientific and logical process, helping you validate your ideas for new business or service.",3849.0,,4.6,99.0
Analyzing Market Attractiveness Using Creately,https://www.coursera.org/learn/analyzing-market-attractiveness-creately,Business,Business Strategy,Jasper Albert,"By the end of this 2 hour-long guided project, you will be fluent in identifying and analyzing business markets and how to discover their attractiveness to new products and services. This project is designed to engage and harness your visionary and exploratory abilities. You will be using proven models in competitive strategy and the Creately platform to explore and analyze the factors that contribute to business success. This is an important step for individuals or companies wanting to explore new markets for products or services. 

You will engage in evaluating through examples and hands-on practice examining business immediate forces shaping markets including competitors, suppliers, buyers, threats of new businesses entering the segment, and substitute products. You will be ready to take an entrepreneurial idea through a scientific and logical process, helping you validate your ideas for new business or service. This Course furthers the knowledge and skills acquired during ""Analyzing Macro-Environmental Factors Using Creately"", and is important step in engineering a successful product or service.",5059.0,,4.6,96.0
Analyzing Product Opportunities with Creately,https://www.coursera.org/learn/product-strategy,Business,Business Strategy,Jasper Albert,"By the end of this project, you will be fluent in identifying and analyzing product and market opportunities for new businesses, and in deriving next phase strategies from your analysis. This will enable you to generate positive results for your business venture. This project is designed to engage and harness your visionary and exploratory abilities. You will use proven models in competitive strategy and the Creately platform to explore and analyze these models. This is an important step for individuals or companies wanting to explore new markets for products or services. 

We will practice critically examining markets and products structures that affect the business. You will engage in evaluating, through examples and hands-on practice, making decisions on product orientation for existing markets as well as new markets. Furthermore, you will assess whether to modify or keep the product structure when entering the market. This project furthers the knowledge and skills acquired during ""Analyzing Market Attractiveness Using Creately"", and is important step in engineering a successful product or service.",2697.0,,4.7,34.0
Analyzing the Internal/External Competitive Profile Matrix,https://www.coursera.org/learn/analyzing-the-internalexternal-competitive-profile-matrix,Business,Business Strategy,Omodiaogbe Samuel,"By the end of this guided project, you will be able to use the Internal/External Competitive Profile Matrix to analyze your industry and identify opportunities to create a competitive advantage for your company. The Matrix is a strategic management tool that enables you to benchmark you company in relation to competition and then identify the relative strengths and weaknesses of all the competitors based on external and internal factors. The Internal/External Competitive Profile Matrix was developed to address the limitations on the traditional Competitive Profile Matrix. Weaknesses such as subjective assigning of weight and raking. Therefore, the External/Internal Competitive Profile Matrix allows uniform weight, and force raking to provide a more comprehensive analysis and decision-making.   

To demonstrate the application of the Matrix, we will use a spreadsheet to analyze a division of a Fast-Food company. Example of the case study would empower you to use the model to analyze your company or any other company of your choice. The project is for business leaders who want have a deep insight on their competitive environment and how their company fare relative to competition. Also, for strategist who are interested in helping organization in making informed strategic decisions. At the end of the project, you will be able to use the Matrix to analyze your company, and make informed decisions to create a competitive advantage",,,,
Annual Campaigns: Building a Case for Support,https://www.coursera.org/learn/annual-campaigns,Business,Business Strategy,Michelle Poesy,"In this comprehensive overview of annual giving programs, you’ll gain an introduction to the basic terminology and concepts of annual giving as well as the various solicitation channels and donor types. Learn how to write a direct mail appeal, craft an impactful email appeal, and develop a script for phone solicitation. You’ll learn how to build a leadership annual giving portfolio and maximize the impact of memberships and events in annual campaigns. You’ll complete the course with the knowledge and skills to build and implement a multi-channel solicitation strategy that achieves the goals of an annual campaign.",2960.0,3922.0,4.2,38.0
"Anticipating Your Next Battle, in Business and Beyond",https://www.coursera.org/learn/anticipate,Business,Business Strategy,Jeremy Ghez,"In this MOOC, you will learn how to better anticipate the future, and reinvent yourself and your activity accordingly. 

By the end of the course, you’ll be able to account for the broader context and the possible convergence of long-term trends, and thus be able to develop a long-term, consistent strategy and vision, beyond mere day-to-day tactics. Thanks to this approach and mindset, you will become more agile and more resilient in a highly complex and uncertain landscape.

In this class, you will not only learn the academic and theoretical aspects of strategic foresight, uncertainty and planning. We will also discuss very practical examples, ranging from a discussion on choosing the best outfit for a walk in the countryside to building a vision and strategy for a corporation as a CEO. In practical assessments, you will apply this broad approach to sample examples as well as to your personal and professional challenges.

So if you are an entrepreneur, this course will help you identify the new ideas, the new business model and/or the new products that will help you remain relevant in the future. If you are a manager or an executive, by taking this course, you will be able to test whether your current approach and allocation of resources are appropriate given tomorrow's possible challenges. More generally, all kinds of decision-makers who look to think more strategically about their position and seek to improve it will find this course useful to think about the future constructively.",11314.0,3246.0,4.5,90.0
Análise de Segmentação de Mercado,https://www.coursera.org/learn/analise-de-segmentacao-de-mercado,Business,Business Strategy,Anderson França,"Nossas boas-vindas ao Curso Análise de Segmentação de Mercado.

Neste curso, você aprenderá que as organizações estão adotando tecnologias de Big Data como parte de sua estratégia de negócios e em um mercado orientado a dados, trabalhar com a segmentação de forma eficiente é um grande desafio para a maioria das empresas.

Uma segmentação eficaz consiste em agrupar seu público-alvo conforme a característica de cada indivíduo, reduzindo esforços e direcionando corretamente ao objetivo desejado. 

Durante o curso, serão cobertas as principais segmentações de mercado, como segmentação geográfica, demográfica, psicográfica, comportamental e demais métodos de particionamento, análise exploratória dos grupos e os principais algoritmos utilizados para clusterização baseado em dados.


Ao final deste curso, você será capaz de Utilizar as metodologias de segmentação de mercado e técnicas estatísticas para extrair o máximo de valor de seus dados. Identificar potenciais grupos de clientes ou perfis mais indicados. Entender os conceitos sobre cluster hierárquico e K-Means.

Este curso é composto por quatro módulos, disponibilizados em semanas de aprendizagem. Cada módulo é composto por vídeos, leituras e testes de verificação de aprendizagem. Ao final de cada módulo, temos uma avaliação de verificação dos conhecimentos.

Estamos muito felizes com sua presença neste curso e esperamos que você tire o máximo de proveito dos conceitos aqui apresentados.

Bons estudos!",,,,
Análise de oportunidade de Blockchain,https://www.coursera.org/learn/analise-oportunidade-blockchain,Business,Business Strategy,"Don Tapscott, Alex Tapscott","Neste quarto e último curso da especialização, você sintetizará seu aprendizado em uma entrega do projeto chamada Análise de Oportunidade Blockchain. Os objetivos deste curso são duplos: primeiro, é para você identificar uma necessidade ou problema específico no setor escolhido que pode ser potencialmente resolvido usando a tecnologia blockchain. Segundo, cabe a você investigar possíveis soluções para esse problema, incluindo como essas soluções podem ser executadas. Você alcançará marcos de projeto diferentes a cada semana e será apresentado a várias ferramentas que os empreendedores usam para organizar suas descobertas. Durante todo esse processo, você ouvirá profissionais do mundo real que têm experiência prática no ecossistema blockchain. Além disso, ao participar deste curso, você terá acesso ao nosso Blockchain Case Commons - uma coleção de aplicativos e casos de uso de blockchain em vários setores. Como resultado deste curso, você terá uma Análise de Oportunidade Blockchain consolidada e revisada por pares, que poderá usar para apresentar sua ideia à sua organização ou mesmo a potenciais investidores.",,,,
Applied Analytics and Data for Decision Making,https://www.coursera.org/learn/analytics-data-decisions,Business,Business Strategy,"Akshay Sivadas, Brittany O'Dea","By the end of this course, learners are prepared to identify and test the best solutions for improving performance and integrating concepts from operational excellence methodologies for optimum data-driven decision making. The course begins with a focus on deciphering the root cause of problems through a variety of tools before determining and assessing best-fit solutions. Learners discover how to apply ISO, Lean and Six Sigma in the pursuit of aligning organizational operations data with performance standards. Hospitality, manufacturing and e-commerce case studies help illustrate how to build data literacy while ensuring privacy and data ethics measures are in place. 

Material features online lectures, videos, demos, project work, readings and discussions. This course is ideal for individuals keen on developing a data-driven mindset that derives powerful insights useful for improving a company’s bottom line. It is helpful if learners have some familiarity with reading reports, gathering and using data, and interpreting visualizations. It is the third course in the Data-Driven Decision Making (DDDM) specialization. To learn more about the specialization, check out a video overview at  https://www.youtube.com/watch?v=Oi4mmeSWcVc&list=PLQvThJe-IglyYljMrdqwfsDzk56ncfoLx&index=11.",3532.0,9911.0,4.6,76.0
Applying Data Analytics in Accounting,https://www.coursera.org/learn/applying-data-analytics-accounting,Business,Business Strategy,Jessen Hobson,"This course explores business analytic applications in accounting. First, it presents a survey of technology topics in accounting, including process mining, blockchain and applications in audit, tax, and assurance. Next, the course explores visualization and basic analytics in audit and control testing using R and Alteryx. Next, the course examines the uses of text analysis in accounting and conducts text analysis using R and RStudio. Finally, the course examines robot process automation in general using UiPath and its applications in accounting.",2545.0,10535.0,4.9,16.0
Aprenda cómo buscar trabajo con Indeed,https://www.coursera.org/learn/aprenda-como-buscar-trabajo-indeed,Business,Business Strategy,Gisselle Curnutt,"Al final de este proyecto, podrá buscar el trabajo exacto en el que desea estar, en la ubicación correcta, con el salario que usted desea. También sabrá dónde buscar información salarial precisa, datos de la empresa y cómo encontrar información sobre una certificación. Todo esto lo aprenderemos utilizando el sitio web Indeed, el cual ha sido creado para conseguir estos objetivos y es una herramienta poderosa hoy en día para la búsqueda de trabajo en muchos lugares del mundo.

Nota: Este curso es de mayor utilidad para estudiantes que residen en la región de América del Norte. Actualmente, estamos trabajando para proporcionar la misma experiencia en otras regiones.",,,,
Automate tasks and processes with Jira,https://www.coursera.org/learn/automate-tasks-and-processes-with-jira,Business,Business Strategy,Angelo Paolillo,"In this 2 and a half hours long guided project you will learn the basics of Jira automation. You will create automation rules using triggers, conditions and actions to auto assign tasks, apply sub tasks templates to reflect your business processed into your project management. You will add branches applying conditions based on relationships between issues so to automatically update their status depending on completion of their sub-tasks. Finally you will use smart values to interact with Jira information and optimize communication by sending automatic emails depending on events of your project management.",4420.0,,4.8,37.0
Automating Team Communication with Google Sheets and Apps Script,https://www.coursera.org/learn/automating-team-commmunication-with-google-sheets-and-apps-script,Business,Business Strategy,Angelo Paolillo,"In 2-hours long project-based course, you will learn how to create a project plan on Google Sheets using color coded conditional formatting, set up a dynamic stakeholder communication plan with formulas, automate emails with Google Apps Script, utilize Apps Script third party libraries.


Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",5196.0,,4.5,114.0
Benutze Facebook für Marketing von Kleinunternehmen,https://www.coursera.org/learn/benutze-facebook-marketing-kleinunternehmen,Business,Business Strategy,Julia Arteno,"Nach Beendigung dieses Projekts kannst du Facebook benutzen um dein Kleinunternehmen zu umwerben. Wir werden ein persönliches Profil und eine Unternehmensseite erstellen, wir werden lernen wie du deine Zielgruppe durch das Teilen von Bildern und anderen Informationen proaktiv ansprichst, wie du deine Inhalte planen kannst, wie du Anzeigen veröffentlichst und wie du deinen Fortschritt analysierst.",,,,
