name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
3D Printing Applications,https://www.coursera.org/learn/3d-printing-applications,Business,Entrepreneurship,Vishal Sachdev,"This course will help you understand how 3D printing is being applied across a number of domains, including design, manufacturing, and retailing. It will also demonstrate the special capabilities of 3D printing such as customization, self-assembly, and the ability to print complex objects. In addition to business applications, this course will also examine how individuals, including those in developing countries, are using this technology to create solutions to the problems they face. This course will also provide an overview of design thinking and how you can use this framework to develop ideas that can be turned into objects. Learners who complete this course will obtain a rich understanding of the capabilities of 3D printing and how to think about designing objects for this new technology.",22431.0,16201.0,4.6,636.0
3D Printing Capstone,https://www.coursera.org/learn/3d-printing-capstone,Business,Entrepreneurship,Alex Larson,"The capstone will integrate the learning acquired from the four courses in the 3D Printing Specialization through a hands-on project. This project will enable you to turn an idea into an object using the knowledge and skills acquired through the other courses. Specifically, you will be guided through a step-by-step process in which you imagine, design, make, and share a 3D printed object. Thus, through this capstone, you will be able to put course concepts into action and utilize the skills that you have acquired throughout the Specialization. In addition, you will be able to obtain an actual 3D print of the object you design at a discounted price through our corporate partners, 3D Hubs and Shapeways.

If you enjoy this business course and are interested in an MBA, consider applying to the iMBA, a flexible, fully-accredited online MBA at an incredibly competitive price offered by the University of Illinois. For more information, please see the Resource page in this course and onlinemba.illinois.edu.",3594.0,1878.0,4.3,25.0
3D Printing Hardware,https://www.coursera.org/learn/3d-print-hardware,Business,Entrepreneurship,"Matthew Griffin, Alex Larson","This course will provide an in-depth exploration of desktop 3D printing hardware. It will examine the history of desktop 3D printing and demonstrate how 3D printers are made and how they work. This course will also provide step-by-step instructions for how to use and repair a 3D printer. It will also explore the different types of materials that can be 3D printed and will demonstrate how you can create various objects using these tools and materials. Learners who complete this course will be able to successfully operate, repair, and upgrade a 3D printer. In addition, learners who enroll in the course certificate will be able to purchase a desktop 3D printer at a discounted price (provided by Ultimaker).

If you enjoy this business course and are interested in an MBA, consider applying to the iMBA, a flexible, fully-accredited online MBA at an incredibly competitive price offered by the University of Illinois. For more information, please see the Resource page in this course and onlinemba.illinois.edu.",13036.0,11260.0,4.1,88.0
3D Printing Software,https://www.coursera.org/learn/3d-printing-software,Business,Entrepreneurship,Jeffrey Smith,"This course will demonstrate how to use 3D printing software to create digital designs that can be turned into physical objects. It will also demonstrate how 3D scanners work to turn physical objects into digital designs. This course is hands-on in nature and will provide step-by-step instructions to guide you through two popular 3D modeling programs, Tinkercad and Fusion 360. Learners who complete this course will be able to use 3D software to design a wide variety of objects for both personal and professional use. In addition, learners who enroll in the course certificate will receive extended free access to Fusion 360 (provided by Autodesk).

Please copy/paste the following links to your browser's search bar to view the requirements for each of the following software elements used in this course:

Sketchbook: https://support.sketchbook.com/hc/en-us/articles/209671938-SketchBook-Desktop-System-Requirements

Tinkercad: https://support.tinkercad.com/hc/en-us/articles/205849108-What-are-Tinkercad-s-Browser-and-Platform-requirements-

Autodesk Fusion 360: https://knowledge.autodesk.com/support/fusion-360/troubleshooting/caas/sfdcarticles/sfdcarticles/System-requirements-for-Autodesk-Fusion-360.html

Sketchfab: https://help.sketchfab.com/hc/en-us/articles/203059088-Compatibility

123D Catch: Same as Tinkercad",41029.0,11565.0,4.7,514.0
Action-Driven Business Plan: From the ‘Classroom’ to the World,https://www.coursera.org/learn/startup-entrepreneurship-capstone,Business,Entrepreneurship,Prof. (Emeritus) Shlomo Maital,"""Action-Driven Business Plan: From the ‘Classroom’ to the World"" is a capstone project, that requires you, our learner, to pull together all you will have learned in the three courses that comprise the ""Startup Entrepreneurship"" Specialization. This course is in fact the culmination of the process designed to provide you with the opportunity to demonstrate what you have learned on a real-world project of your choice.

During the following six weeks you will gradually create, improve and refine your business plan, moving from one milestone to another. Each week will begin with a short note from Prof. Maital, explaining what the current phase is about and providing you with points to consider while working on the assignments.  We encourage you to practice what you have learned using the self-assessment practice quizzes and brainstorm with your peers in the weekly forums.

During the first week you will create a non-business plan as an initial step towards creating your business plan. In weeks two, three and five, you will be required to submit three assignments for peer evaluation, which will help you to prepare your final business plan. At the end of the course you will prepare and submit your completed business plan and an effective two-minute video describing your idea. Your business plan will include the following sections:  The Need, the Product, Unique Features, The Market and Future Developments, a Gantt chart and a project budget.",6410.0,2506.0,4.9,322.0
Administración Estratégica y Emprendedora,https://www.coursera.org/learn/administracion-estrategica,Business,Entrepreneurship,"Doug E Thomas, Ph.D.",Este curso utiliza un enfoque basado en la investigación para entender las fuentes de las ventajas competitivas en las compañias y otras organizaciones.,37190.0,5973.0,4.7,1056.0
Analíticas en Redes Sociales,https://www.coursera.org/learn/analticas-en-redes-sociales,Business,Entrepreneurship,Delia Pérez Lozano,"En este último curso de la Especialidad “Analíticas de marketing Digital”, tendrás la oportunidad de adentrarte en el mundo de las diversas redes sociales, conociendo cómo y cuándo es recomendable utilizarlas, aprendiendo a administrar sus indicadores a través de KPIs y dashboards.

Cerraremos el curso con la importancia de hacer Social Listening y el futuro de las redes sociales.

Los principales objetivos que perseguimos en este curso son los siguientes:
1.	Conocer las más importantes plataformas de redes sociales de la actualidad, entendiendo sus targets y principales usos.
2.	Analizar los principales indicadores para cada red social (KPIs) y entender el manejo de sus tableros de control (dashboards).
3.	Establecer la relación entre Social Listening y el desempeño de redes sociales.",,,,
Aumente su productividad y su rendimiento con Canva,https://www.coursera.org/learn/aumente-productividad-rendimiento-canva,Business,Entrepreneurship,Michelle Flores,"Al final de este proyecto, usted creará  imprimibles que le ayudarán a estructurar su día para mejorar y aumentar su productividad. Usted podrá incorporar un esquema de color , imágenes, y otros elementos de diseño estético. Crear imprimibles de alta calidad es ideal tanto para el uso personal, como para ofrecer a sus clientes productos digitales.

En este proyecto usaremos la versión gratis de Canva.

Nota: Este curso es de mayor utilidad para estudiantes que residen en la región de América del Norte. Actualmente, estamos trabajando para proporcionar la misma experiencia en otras regiones.",,,,
BMC and Start-up Funding for Early-Stage Start-ups,https://www.coursera.org/learn/bmc-and-start-up-funding-for-early-stage-start-ups,Business,Entrepreneurship,Abdallah Mohamed,"By the end of this 1-hour 40-minutes project, you will  be able to learn how to create a Business Model Canvas for your start-up idea. Additionally, you will be able to calculate how much money your start-up needs as an investment. Along the way you will learn some basic Google Sheets skills that are needed to help you in your start-up financial analysis.

This guided project is for beginners in the field of entrepreneurship, especially the ones who have not a business academic background . It gives the learner a simple introduction about how to develop their start-up idea using the Business Model Canvas tool. Furthermore, it equips entrepreneurs with basic Google sheets skills, fundamental knowledge about calculating start-up funding needs and the concept of depreciation

Note: This project works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",3106.0,,4.3,35.0
Be entrepreneurial in Cultural Industries in the digital age,https://www.coursera.org/learn/entrepreneurial-culture-digital-age,Business,Entrepreneurship,Florence Botello,"À travers son fil pédagogique riche d’interviews d'experts et de cours d'enseignants, le MOOC Entreprendre dans les industries culturelles à l'ère du numérique proposé par l'École d'affaires publiques de SciencesPo et le Ministère de la Culture, invite à découvrir les clés de l'entrepreunariat culturel à l'aune du monde numérique. Suivre la chaîne de valeur de l’entreprise culturelle conduit à aborder successivement la présentation du secteur des industries culturelles (IC) dans ses grandes lignes, les caractéristiques des publics et les tendances de consommation. La question de la création des contenus sera abordée aussi sous l’angle de ses enjeux économiques et financiers. Toute structuration d'entreprise requiert une organisation propre aux entreprises dites des industries culturelles. Les thèmes de la promotion, la diffusion et la distribution des biens culturels seront également une des clés de voûtes de la vision globale de l'entreprise culturelle dans ce monde numérisé. Ce cours est composé de cours donné par des enseignants et de témoignages d'experts.

LES ENSEIGNANTS et LES PROFESSIONNELS
Emma Archer, Maître de conférences à Sciences Po en Affaires publiques et à la Sorbonne
Karen Autret, Directrice du SPIIL, dialogue avec Amélie de Ronseray
Jean-Christophe Baillie, Fondateur de Novaquark 
Tonjé Bakang, Fondateur d'AFROSTREAM et Part-Time director chez The Family 
Alexander Barclay, Digital policy and innovation pour l’Etat de Genève 
Laurence Barone, Directrice adjointe chez Relais Culture Europe
Valérie-Laure Bénabou, Professeure de droit à l’Université Aix-Marseille 
Lorenzo Benedetti, Fondateur du Studio Bagel
Pierre-Jean Benghozi, Membre du collège de l'ARCEP
Françoise Benhamou, Professeure d’économie Université Paris 13
Frédéric Bereyziat, DGA Unifrance
Laurent Bizot, Fondateur de No Format!
Christian Bombrun, Vice président Marketing, Entertainment and Digital Services chez Orange
Stéphane Bossuet, Directeur de ARTENREEL 
Adeline Braescu-Kerlan, Responsable Incubateur des politiques publiques à Sciences Po
Pascal Brunet, Directeur chez Relais Culture Europe
Dominique Cardon, Medialab, Sciences Po
Marion Carré, Fondatrice de Ask Mona
Vincent Carry, Créateur de Arty Farty 
Camille Caubrière, Co-fondatrice de Guestviews 
Clothilde Chalot, Co-fondatrice de NoMadMusic
Philippe Chantepie, Inspecteur général au ministère de la Culture
Jean-Baptiste Clais, Conservateur au Musée du Louvre, enseignant MI Affaires publiques à Sciences Po , 
Olivier Cohen, Directeur des Editions l'Olivier
Rachel Cordier, Directeur de AGEC-Culture
Nicolas Colin, Directeur The Family 
Coline Debayle, CEO d’ARTIPS 
Romain Delaume, interview écrite pour le Projet d'Artagnans
Anaïs Del Bono, Co-auteure de Le financement participatif culturel 
Lisa Doby, CCI
Alizée Doumerc, Co-fondatrice de Guestviews 
Florent Dumont, Directeur des études et du marketing antenne de FTV
Emmanuel Durand, Maître de conférence à Sciences Po - fondateur du parcours innovation sociale à Scoiencespo 
Louis Fleuret, French Tech 
Pascal Foy, Responsable mission d’entreprises chez Audiens 
Gilles Freissinier, Arte
Isabelle Giordano, Journaliste
David Godevais, Conseiller Culture à la Mairie de Paris 
Emily Gonneau, Fondatrice de Nüagency et Unicum 
Eric Hainaut, Expert comptable chez Com’Com 
Steven Hearn, Président de Scintillo
Xavier Lardoux, Directeur du Centre National du Cinéma 
Luc de Larminat, Directeur d'Opale
Guillaume Leblanc, DG de SNEP
Laurence Le Ny, VP Start up Content chez Orange
Carole Le Rendu, Professeure associée en MRH à Audencia 
Laure Leroy, directrice des Editions Zulma
Nicolas Lesur, Président de Unilend
Jean-Christophe Levassor, Directeur de La Condition Publique 
Sébastien Loubry, Business Development and Communication director du fonds d'investissement Axa Strategic Venture
Thierry Mandon, Directeur général de Rollin Publications
André Manoukian, Fondateur de Muzeek
Guillaume Maréchal, Co-auteur de Le financement participatif culturel 
Marion Mazauric, Fondatrice de la maison d’édition Au diable vauvert 
David Michel, CEO et Founder de Cottonwood et Marathon Media
Pascal Nègre, Fondateur de #NP, Ex-directeur d’Universal
Julien Neuville, Fondateur de Nouvelles Ecoutes
Eric Petrotto, CEO de DOOD et 1DLab
Jacqueline Pacaud, Commission Européenne 
Wladimir Pandolfo, Senior Warner Music et professeur à Sciences Po Paris
Nicolas Parpex, Senior Investment Director à Bpifrance Investissement
Bruno Patino, Directeur éditorial d'ARTE et directeur de l'école de journalisme de Sciences Po
Catherine Peyrot, Responsable de plateforme incubation chez LINCC 
Guillaume Pfister, Directeur Marketing France Deezer
Guillaume Proust, Expert comptable et commissaire aux comptes à la Compagnie Fiduciaire 
Bruno Racine, ex président de la BNF
Amélie de Ronseray, Directrice du développement et des partenariats de Artips
Pauline Rouer, Enseignante à Sciences Po Paris
Alexandre Rovetto, Entrepreneur
Cecilie de Saint Venant, Directrice de la communication, de la marque et du mécénat CHAMBORD
Eric Scherer, Directeur de l'innovation de France Télévisions
Valérie Senghor, ex-directrice du développement et de l'innovation au Centquatre
Christine Sinapi, Directrice académique et du développement pédagogique à Burgundy School of Business
Romain Slitine, Maître de conférence et fondateur du parcours Innovation Sociale à Sciencespo 
Alain Sussfeld, DG de UGC
François Taddei, Directeur du CRI
Julie Zerbib, INPI

PRÉREQUIS
Ce MOOC est un cours qui s’adresse à un public large. Il traite des questions et enjeux liés à l'entrepreneuriat culturel à l'ère du numérique, il ne nécessite aucun prérequis

PLAN DU COURS
Séance 0 - Appréhender les contours des industries culturelles 
Séance 1 - Cerner les grands enjeux économiques des IC et le potentiel entrepreunarial  
Séance 2 - Observer les mutations des consommations culturelles 
Séance 3 - Saisir la reconfiguration des contenus et de la création 
Séance 4 - Penser le modèle de son entreprise 
Séance 5 - Actionner les bons leviers de financements 
Séance 6 - Promouvoir, diffuser, distribuer les biens culturels aux publics  
Séance 7 - De l'entrepreneur au dirigeant d'entreprise : la boîte à outils de l'entrepreneuriat culturel

ÉVALUATION
Un section QCM est proposée en fin de Mooc.

EQUIPE PÉDAGOGIQUE
Emma Archer, Alexander Barclay, Françoise Benhamou, Anaïs Del Bono, Florence Botello,  Adeline Braescu-Kerlan, Guillaume Pfister, Amélie de Ronseray, Thomas Scaramuzza, Charlotte Khouri, Pôle Audiovisuel Sciences Po

CONDITIONS D'UTILISATION
Conditions d’utilisation du contenu du cours
Droits réservés
Licence restrictive : la production relève de la propriété intellectuelle de son auteur et ne peut donc pas être réutilisée.

Conditions d’utilisation des contenus produits par les participants
Droits réservés
Licence restrictive : la production relève de la propriété intellectuelle de son auteur et ne peut donc pas être réutilisée.

PARTENAIRES

Ministère de la Culture | Ecole d'affaires publiques de SciencesPo Paris",3477.0,2943.0,4.1,27.0
