name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
ADP Accountant Connect Certification,https://www.coursera.org/learn/adp-accountant-connect-certification,Business,Finance,Rootworks,"The Accountant Connect Certification Program is designed to provide accounting professionals with the knowledge, skills, and expertise needed to become proficient in the use and application of Accountant Connect. THIS COURSE IS LIMITED TO LEARNERS IN THE UNITED STATES. 

Co-developed with Rootworks – the accounting profession’s premier firm improvement organization – and presented by its founder Darren Root, CPA, Accountant Connect product developer Rhonda Shurter, and experts from Wolters Kluwer – the self-study curriculum provides a thorough review of the key tasks and features of Accountant Connect that can help to modernize your firm’s payroll process, improve efficiency, and strengthen advisory services.

Upon passing ADP's Accountant Connect certification exam, you’ll obtain an official certificate, 3 CPE Credits, as well as a digital badge, to help strengthen your firm’s marketing and showcase your expertise. Add it to your firm’s website and share it on social media with current and prospective clients to further solidify your role as their most trusted advisor.

Important Note: We recommend that you are an active user of Accountant Connect to register for this certification program. If you are a RUN Partner/Wholesaler please access Accountant Connect through the RUN platform. You can otherwise, access the Accountant Connect tool at the following link: https://www.adp.com/logins/adp-accountant-connect.aspx.

Certification Benefits:
Upon successful completion of the program, you’ll unlock many valuable benefits that can help both your firm and your clients, including:
•	Recognition as a Certified Partner in ADP Accountant Connect
•	An expanded skillset to perform advanced tasks using Accountant Connect
•	Help to enhance your firm’s efficiency and earnings potential
•	Expanded career opportunities
•	Earn 3 CPE credits from Wolters Kluwer CPELink while earning your certification
•	Exclusive promotions and discounts made available throughout the year to Certified Partners

Program Content:
This 3-hour and 15-minute course reviews the key tasks and features of Accountant Connect and prepares you for the certification exam. Topics include adding and working with clients, automating reports and tax forms, advising clients with the analysis tools, and leveraging the products and services offered through Accountant Connect, including the Wolters Kluwer’s CCH Resource Library.

Getting Started:
In order to earn your Certified Partner in ADP Accountant Connect certification, at the end of this self-study curriculum here in Coursera, you must:
• Register for the certification exam by clicking the link provided at the end of this course and following the instructions for purchase. The cost of the exam is $295.
• Pass the certification exam.",,4430.0,,
AI Applications in Marketing and Finance,https://www.coursera.org/learn/wharton-ai-applications-marketing-finance,Business,Finance,"Michael R Roberts, Raghu Iyengar, Kartik Hosanagar","In this course, you will learn about AI-powered applications that can enhance the customer journey and extend the customer lifecycle. You will learn how this AI-powered data can enable you to analyze consumer habits and maximize their potential to target your marketing to the right people. You will also learn about fraud, credit risks, and how AI applications can also help you combat the ever-challenging landscape of protecting consumer data. You will also learn methods to utilize supervised and unsupervised machine learning to enhance your fraud detection methods. You will also hear from leading industry experts in the world of data analytics, marketing, and fraud prevention. By the end of this course, you will have a substantial understanding of the role AI and Machine Learning play when it comes to consumer habits, and how we are able to interact and analyze information to increase deep learning potential for your business.",2121.0,7956.0,4.6,52.0
Accounting Analytics,https://www.coursera.org/learn/accounting-analytics,Business,Finance,"Brian J Bushee, Christopher D. Ittner","Accounting Analytics explores how financial statement data and non-financial metrics can be linked to financial performance.  In this course, taught by Wharton’s acclaimed accounting professors, you’ll learn how data is used to assess what drives financial performance and to forecast future financial scenarios. While many accounting and financial organizations deliver data, accounting analytics deploys that data to deliver insight, and this course will explore the many areas in which accounting data provides insight into other business areas including consumer behavior predictions, corporate strategy, risk management, optimization, and more. By the end of this course, you’ll understand how financial data and non-financial data interact to forecast events, optimize operations, and determine strategy. This course has been designed to help you make better business decisions about the emerging roles of accounting analytics, so that you can apply what you’ve learned to make your own business decisions and create strategy using financial data. ",99768.0,30899.0,4.5,2863.0
Accounting for Decision Making,https://www.coursera.org/learn/accounting,Business,Finance,Greg Miller,"Through this course, you will start by addressing the two “big questions” of accounting: “What do I have?” and “How did I do over time?” You will see how the two key financial statements – the balance sheet and the income statement - are designed to answer these questions and then move on to consider how individual transactions aggregate to make up these financial statements. After developing a broad understanding of accounting and financial statements, you will begin to develop a more nuanced understanding of individual components of doing business, such as making a sale or building inventory.  By considering many of the more common actions of a company, you will build your understanding of accounting, and explore these concepts by applying them across various types of transactions. Once you understand these individual concepts better, you will be ready to return to the overall financial statements and use them as informational tools, including building ratios.

You can do this course standalone or to qualify for the residential component of the Finance for Strategic Decision-Making Executive Education program.  For more information, see the FAQ below.",29685.0,24780.0,4.8,400.0
Accounting for Mergers and Acquisitions: Foundations,https://www.coursera.org/learn/accounting-for-ma-1,Business,Finance,Oktay Urcan,"This course aims at assisting you in interpreting financial accounting information related to inter-corporate investments. The course will cover three main topics over four modules: (i) accounting for passive, significant influence, and control type of inter-corporate investments, (ii) special issues and considerations in inter-corporate investments, and (iii) special types of inter-corporate investments. 

The course will be useful for students to understand complex organizational structures through the lens of financial accounting information and will benefit investors, analysts, bankers, consultants, managers, and any deal-makers.",,26251.0,,
Accounting: Principles of Financial Accounting,https://www.coursera.org/learn/financial-accounting,Business,Finance,Marc Badia,"Financial Accounting is often called the language of business; it is the language that managers use to communicate the firm's financial and economic information to external parties such as shareholders and creditors. Nobody working in business can afford financial illiteracy. Whether you run your own business, work as a manager or are just starting your career, you want to understand financial information and be able to interact with accountants, controllers, and financial managers. You want to talk business! 

This course will provide you with the accounting language's essentials. Upon completion, you should be able to read and interpret financial statements for business diagnosis and decision-making. More importantly, you will possess the conceptual base to keep learning more sophisticated accounting and finance on your own. Do not forget that, as with any other language, becoming proficient with accounting requires constant practice.",103524.0,73152.0,4.8,2752.0
Administración financiera y su función en la empresa,https://www.coursera.org/learn/admonfinanciera,Business,Finance,Norman Wolf del Valle,"Las finanzas corporativas son importantes en cualquier organización pues nos dan a conocer las necesidades de inversión y financiamiento de cualquier ente económico. Son indispensables para que el administrador financiero tome decisiones correctas en las áreas de operación, inversión y financiamiento para tal efecto, requiere de una serie de herramientas que le permitan planear, monitorear y controlar  los recursos monetarios de una organización.

A lo largo de este curso el administrador financiero obtendrá herramientas que le permitan analizar los estados financieros básicos, medir el desempeño de una organización, presupuestar los bienes de capital, estructurar el capital y establecer la política de dividendos así como valuar empresas a través de diferentes métodos. 

En todo momento el administrador financiero, ya sea principiante o experto deberá tener en cuenta el dilema que surge de la teoría de la agencia, es por eso que en este curso se presenta la contrapropuesta del también llamado modelo Anglosajón o financiero es decir es decir el modelo Stakeholder o modelo de los interesados. Con esta óptica en mente, el administrador financiero tendrá un punto de vista adicional al tradicional paradigma de maximización de valor de los accionistas.",38652.0,25483.0,4.8,1501.0
Administração Financeira,https://www.coursera.org/learn/administracao-financeira,Business,Finance,Adalto Barbaceia Gonçalves,"Público-Alvo:

O curso de Administração Financeira foi desenvolvido para que você adquira a proficiência básica da linguagem de negócios no que tange às Finanças, e possa iniciar uma transição de carreira, iniciar seu próprio negócio ou mesmo preparar-se para cursos de Pós-Graduação na área de Administração.

Pensamos em um público abrangente, com as seguintes características:
- Tem familiaridade com matemática básica (maioria das operações algébricas)
- Pode ou não ter conceitos básicos de Estatística, embora sejam desejáveis
- Em geral não possui Graduação em Administração, podendo inclusive não ter iniciado um curso superior

Objetivos do Curso:
Ao final do curso você consiguirá interpretar o que ocorre do ponto de vista financeiro de uma organização a partir da análise de seus demonstrativos e indicadores, além de entender o impacto que suas decisões financeiras têm no negócio.

Objetivos de Aprendizagem:
- Descrever, explicar e analisar os principais demonstrativos contábeis (Balanço, DRE e DFC) relacionando-os com as principais transações comerciais de uma empresa 
- Analisar como variações no nível de atividade afetam os custos e resultados de uma empresa
- Calcular o valor do dinheiro no tempo em função de fluxos de caixa, prazos e taxas
- Comparar investimentos (ou financiamentos) a partir do valor presente líquido, taxa interna de retorno e pay back de seus fluxos de caixa

Dedicação e Carga Horária:
O curso é composto por cinco módulos temáticos que totalizam aproximadamente 15h de estudos. Cada módulo tem duração estimada de uma semana.

Assista ao vídeo de divulgação do curso: https://youtu.be/eqt2AO7kcbY",46994.0,43008.0,4.8,751.0
Advanced Concepts in Time Value of Money (TVM),https://www.coursera.org/learn/time-value-of-money-two,Business,Finance,Gautam Kaul,"This course builds upon the fundamental concept of Time Value of Money (TVM) using more advanced applications and questions. You will apply the TVM concept in real-life problems of financial planning and saving for college. You will also learn more about loans and apply TVM concepts to borrowing and lending. You will realize that — while the applications are seemingly more complex, but when seen and broken-up into bite-size components — the framework, principles, and tools remain the same.

After completing this course you will have an understanding of the detailed mechanics and reasoning behind any decision you make that has consequences for the future. The deeper exposure to financial transactions you will be applicable in any/all decisions. The great news is that these concepts and skills will transfer to your professional/business decisions. 

This course is part of the four-course Foundational Finance for Strategic Decision Making Specialization.",1862.0,3916.0,4.7,43.0
Advanced Portfolio Construction and Analysis with Python,https://www.coursera.org/learn/advanced-portfolio-construction-python,Business,Finance,"Lionel Martellini, PhD, Vijay Vaidyanathan, PhD","The practice of investment management has been transformed in recent years by computational methods. Instead of merely explaining the science, we help you build on that foundation in a practical manner, with an emphasis on the hands-on implementation of those ideas in the Python programming language. In this course, we cover the estimation, of risk and return parameters for meaningful portfolio decisions, and also introduce a variety of state-of-the-art portfolio construction techniques that have proven popular in investment management and portfolio construction due to their enhanced robustness.

As we cover the theory and math in lecture videos, we'll also implement the concepts in Python, and you'll be able to code along with us so that you have a deep and practical understanding of how those methods work. By the time you are done, not only will you have a foundational understanding of modern computational methods in investment management, you'll have practical mastery in the implementation of those methods. If you follow along and implement all the lab exercises, you will complete the course with a powerful toolkit that you will be able to use to perform your own analysis and build your own implementations and perhaps even use your newly acquired knowledge to improve on current methods.",17618.0,19334.0,4.8,448.0
Advanced Topics in Derivative Pricing,https://www.coursera.org/learn/financial-engineering-advancedtopics,Business,Finance,"Garud Iyengar, Ali Hirsa, Martin Haugh","This course discusses topics in derivative pricing. The first module is designed to understand the Black-Scholes model and utilize it to derive Greeks, which measures the sensitivity of option value to variables such as underlying asset price, volatility, and time to maturity. Greeks are important in risk management and hedging and often used to measure portfolio value change. Then we will analyze risk management of derivatives portfolios from two perspectives—Greeks approach and scenario analysis. The second module reveals how option’s theoretical price links to real market price—by implied volatility. We will discuss pricing by volatility surface as well as explanations of volatility smile and skew, which are common in real markets. The third module involves topics in credit derivatives and structured products and focuses on Credit Debit Obligation (CDO), which played an important part in the past financial crisis starting from 2007. We will cover CDO’s definition, simple and synthetic versions of CDO, and CDO portfolios. The final module is the application of option pricing methodologies and takes natural gas and electricity related options as an example to introduce valuation methods such as dynamic programming in real options.",3359.0,17341.0,,
Advanced Trading Algorithms,https://www.coursera.org/learn/advanced-trading-algorithms,Business,Finance,Prasanna Tantri,"This course will provide back test results for all the strategies in developed and emerging markets. The learner will also be taught scientific ways of back testing without succumbing to either look ahead (or) survival bias.

You will learn various methods of building a robust back testing system for the strategies discussed in the previous course. You will be taught how to differentiate between mere data mining and results based on solid empirical or theoretical foundation. Next, you will learn the ways and means of back testing the results and subjecting the back test results to stress tests. After which, you will learn the various ways in which transaction costs and other frictions could be incorporated in the back testing algorithm. Finally, you will learn techniques for measuring a strategies' performance and the concept of risk adjusted return. You will use some of the famous measures for risk adjusted returns such as Sharpe ratio, Treynor's Ratio and Jenson's Alpha. You will see how to pick an appropriate benchmark for a proposed fund.",27607.0,7893.0,4.6,502.0
Advanced Understanding of Stocks and Bonds,https://www.coursera.org/learn/bonds-and-stocks-two,Business,Finance,Gautam Kaul,"This final course will cover more advanced aspects of bonds and stocks that will help you  make smart personal decisions and develop a keen understanding of how governments and companies borrow from us. You will better understand stocks and bonds valuation and take a deeper dive using real-world problems. For stocks, you will review what you have already learned and understand valuation. You will learn about growth, different types of growth both bad and good. You will also get an opportunity to apply these concepts in practice assignments. For bonds: you will review what you have already learned. You will learn about different sources of risk in bonds. Lastly you will get an opportunity to apply these concepts in practice assignments. 

After completing this course, you will have a deeper understanding of how bonds and stocks are valued and the risks involved in both. You will be able to apply this knowledge to understand the workings of a company and how it creates value. This will enable you to invest with more confidence and also bring a special and critical lens to a company’s decisions.

 This course is part of the four-course Foundational Finance for Strategic Decision Making Specialization.",2384.0,3303.0,4.8,29.0
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",https://www.coursera.org/learn/advanced-valuation-and-strategy,Business,Finance,"Han Smit, Dyaran Bansraj, Nishad Matawlie, Yashvir Gangaram Panday, Renée Spigt","Hi and welcome to this course! 

Would you like to learn about the latest valuation methods that may help you to make better business decisions? Then 'Advanced Valuation and Strategy – M&A, Private Equity, and Venture Capital' by Erasmus University Rotterdam is the right course for you! This course is helpful for executives that need to value complete strategies and for all students interested in corporate finance and strategy. We present the latest tools and show you how to apply them!

We will revolutionize your way of decision making, by extending static techniques from corporate finance with dynamic methods to quantify strategic thinking. Traditionally, we assess the attractiveness of an investment as a mature business, where future cash flows mainly result from past decisions. But, in an ever-changing world, strategic decisions determine the firm’s long-term success and market value. Yet managers often have to consider these long-term implications using intuition and experience alone, with little guidance from structured, quantitative analysis.

Our treatment goes far beyond the use of standard valuation analysis. We introduce the expanded NPV, which brings together DCF, real options, and game theory. Thinking in terms of options, games, and adaptive strategies may help managers address strategic questions such as: How do you value a leveraged buyout? How can you value a high-tech venture with negative cash flows? When should you invest in new ventures in stages? How can you incorporate rival bidders in the analysis?

The tools we provide can improve your decisions in business and in daily life.

* Who is this class for?
We hope that our course appeals to (graduate) students in finance, economics, and business, as well as to high-ranking professionals and a general audience. This course is particularly interesting for venture capitalists, private equity investors, investment bankers, CEOs, CFOs, and those who aspire these affiliations. We offer this MOOC at 3 levels:

1.Executive Summary: 
This 1-week module provides critical insights into the principles of corporate valuation and strategy. This is accessible for time-constrained executives and the general audience without any prior knowledge.

2. Student Level:
This level involves an understanding of the technical details.  This level requires basic knowledge of concepts in corporate finance, e.g., the time value of money, financial statement analysis, capital structure, and the relation between risk and returns. Learners of this level can skip week 1.

3. Honors Level (honors certificate): 
This level is challenging, engaging, and compelling to an intellectually rigorous student.",100323.0,105636.0,4.6,1083.0
Alternative Approaches to Valuation and Investment,https://www.coursera.org/learn/valuation,Business,Finance,"Paul Kofman, Sean Pinder","In this course, participants will develop an understanding of the intuitive foundations of asset and investment valuation, and how alternative valuation techniques may be used in practice. This is part of a Specialization in corporate finance created in partnership between the University of Melbourne and Bank of New York Mellon (BNY Mellon). 

View the MOOC promotional video here: http://tinyurl.com/h75pzt6",15106.0,5413.0,4.7,285.0
Analyze Apple's Stock and Financials with Bloomberg Terminal,https://www.coursera.org/learn/analyze-apples-stock-and-financials-with-bloomberg-terminal,Business,Finance,"Bekhruzbek Ochilov, ACSI, IGCAP","In this 1-hour long guided tutorial, you will learn how to use Bloomberg to access equities and financials data, analyze and interpret stock and financial data, use Bloomberg DES, GP, ANR, FA, MODL, and EQRV functions.

Note: This tutorial works best for learners who are based in the North America region. We're currently working on providing the same experience in other regions.

This tutorial requires access to Bloomberg Terminal.

This tutorial’s content is not intended to be investment advice and does not constitute an offer to perform any operations in the regulated or unregulated financial market.",,,,
Analyzing Company Performance using Ratios,https://www.coursera.org/learn/analyze-company-performance-ratios,Business,Finance,"Bekhruzbek Ochilov, ACSI, IGCAP","In this 2-hour long project-based course, you will learn how to examine the company’s performance on a yearly basis, as well as against their peers. The learners will be able to analyze the company’s performance in terms of profitability, liquidity, activity, and solvency. The learners then will be able to communicate their findings.

Note: This course works best for learners who are based in the North America region. We're currently working on providing the same experience in other regions.

This course's content is not intended to be investment advice and does not constitute an offer to perform any operations in the regulated or unregulated financial market.",34737.0,,4.2,690.0
Análisis de Negocios con Estados Financieros,https://www.coursera.org/learn/analisis-de-negocios-con-estados-financieros,Business,Finance,"Claudio Tapia, Tomás Reyes","Con el acceso a herramientas digitales cada vez más eficientes, los Estados Financieros son imprescindibles a la hora de tomar decisiones. Este curso, está enfocado a reconocer y comprender la información valiosa que dichos estados financieros nos pueden entregar. De esta forma, saber cómo tomar la mejor decisión que impacte de forma positiva nuestro negocio.

Este curso está dirigido a personas que trabajen en el área de finanzas, gestión o planificación estratégica. Sin embargo, también está dirigido a cualquier empresario, o microempresario, que quiera adquirir más herramientas para la toma de decisiones en su emprendimiento.",,8139.0,4.8,10.0
"Application of AI, InsurTech, and Real Estate Technology",https://www.coursera.org/learn/wharton-ai-application-insurtech-real-estate-technology,Business,Finance,Christopher Geczy,"In this course, you’ll learn about the emerging technologies in Artificial Intelligence and Machine Learning that are utilized in InsurTech and Real Estate Tech. Professor Chris Geczy of the Wharton School has designed this course to help you navigate the complex world of insurance and real estate tech, and understand how FinTech plays a role in the future of the industry. Through study and analysis of Artificial Intelligence and Machine Learning, you’ll learn how InsurTech is redefining the insurance industry. You’ll also explore classifications of insurtech companies and the size of the InsurTech, Real Estate Tech, and AI markets. You will also explore  FinTech specialties with Warren Pennington from Vanguard. By the end of this course, you’ll be able to identify emerging technologies of AI, Machine Learning, and Financial Technologies from a variety of insurance and real estate tech companies and their impact in the future of finance and investments.",13422.0,8246.0,4.6,460.0
Applying Investment Decision Rules for Startups,https://www.coursera.org/learn/capital-budgeting,Business,Finance,Saeyeul Park,"In the previous course, you learned financial statement analysis and how to make estimate of future financial status. In this course, you are going to learn capital budgeting. That is, how to make an investment decision. You would like to select the best project among various projects you can take. Then, you need to know the criteria. In this course, you are going to learn investment decision criteria such as NPV and IRR, which are most popular decision rules. Using financial analysis and discounted cash flow method, you can make pro forma financial statement and estimate project cash flows. Then, you apply investment criteria to determine whether to invest or not. After learning how to apply NPV and IRR method to investment decision, you are going to learn how to evaluate NPV estimate and scenario, what-if analyses and break-even analysis. In addition to NPV and IRR, you are going to learn Payback period method and Profitability method to determine whether to invest or not when there is a political risk or capital rationing.",5546.0,4353.0,4.6,77.0
Banking and Financial Institutions,https://www.coursera.org/learn/banking-and-financial-institutions,Business,Finance,Rustom Manouchehri Irani,"The purpose of this course is to provide you with a basic understanding of the connections between money, the financial system, and the broader macroeconomy. We will examine the economics of modern financial institutions (e.g. banks), including how they are organized, the products and financial services they offer, the risks they take, why and how they are regulated, and how this has changed over time. We will develop a conceptual framework that will allow us to assess how recent financial regulations as well as innovations in finance (e.g., securitization, fintech, cryptocurrencies) may influence the macroeconomic, financial, and business environment.",6893.0,33123.0,4.8,73.0
Basics of Cost Accounting: Product Costing,https://www.coursera.org/learn/basics-of-cost-accounting-product-costing,Business,Finance,"Gunther Friedl, Marcus Witter, Peter Schaefer","The core of the first course is to learn how companies record total costs and calculate unit costs for their individual products or services. For example, how can a car manufacturer figure out the costs of an individual car series? During the first weeks, participants learn what costs are and how to distinguish them from expenses or cash flows. Participants will understand how companies record total costs and distinguish important cost types such as material costs, personnel costs, or depreciation. At the core of their cost-accounting system, companies allocate overhead costs to individual products. We show participants how to allocate the costs incurred to the company's products and introduce them to the most important methods and challenges of product costing.",2806.0,22774.0,4.9,35.0
Basics of Statutory Compliance and Taxation,https://www.coursera.org/learn/statutory-and-taxation,Business,Finance,Tally Education Pvt. Ltd,"This course is for those interested in starting a career in bookkeeping. The course builds on the knowledge and skills covered in the first two courses in this professional certificate to dive deeper into concepts related to taxation. You will apply those concepts in scenarios using the TallyPrime software.The course includes several real-life business scenarios, charts, images, observations, solved illustrations, and practice scenarios on TallyPrime.

By the end of the course, you will be able to:
- Apply the concept of goods and services tax (GST)
- Configure tax deducted as source (TDS)
- Manage business data
- Manage data across companies
 
No prior experience in bookkeeping is required. To be successful in this course, you should have completed the first two courses in this program, Fundamentals of Accounting and Reporting (course 1) and Principles of Accounts Payable and Receivable Management (course 2), or have the equivalent skills and knowledge.",,1845.0,,
Behavioral Finance,https://www.coursera.org/learn/duke-behavioral-finance,Business,Finance,Emma Rasiel,"We make thousands of decisions every day. Do I cross the road now, or wait for the oncoming truck to pass? Should I eat fries or a salad for lunch? How much should I tip the cab driver? We usually make these decisions with almost no thought, using what psychologists call “heuristics” – rules of thumb that enable us to navigate our lives. Without these mental shortcuts, we would be paralyzed by the multitude of daily choices. But in certain circumstances, these shortcuts lead to predictable errors – predictable, that is, if we know what to watch out for. Did you know, for example, that we are naturally biased towards selling investments that are doing well for us, but holding on to those that are doing poorly? Or that we often select sub-optimal insurance payment plans, and routinely purchase insurance that we don’t even need? And why do so many of us fail to enroll in our employer’s corporate retirement plans, even when the employer offers to match our contributions?

Behavioral finance is the study of these and dozens of other financial decision-making errors that can be avoided, if we are familiar with the biases that cause them. In this course, we examine these predictable errors, and discover where we are most susceptible to them. This course is intended to guide participants towards better financial choices. Learn how to improve your spending, saving, and investing decisions for the future.",114215.0,66375.0,4.4,3461.0
Biases and Portfolio Selection,https://www.coursera.org/learn/biases-portfolio-selection,Business,Finance,Arzu Ozoguz,"Investors tend to be their own worst enemies. In this third course, you will learn how to capitalize on understanding behavioral biases and irrational behavior in financial markets. You will start by learning about the various behavioral biases – mistakes that investors make and understand their reasons. You will learn how to recognize your own mistakes as well as others’ and understand how these mistakes can affect investment decisions and financial markets.  You will also explore how different preferences and investment horizons impact the optimal asset allocation choice.

After this course, you will be more effective in overcoming biases to do the wrong things at the wrong times and tailoring an investment strategy that is best suited on your or your client’s profile and investment needs.",15764.0,10969.0,4.6,259.0
