name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
5 Ways to Build a Better LinkedIn Profile,https://www.coursera.org/learn/5-ways-build-better-linkedin-profile,Business,Leadership and Management,Dvija Maurer,"In this 2-hour long project-based course, you will learn how to complete each section of an existing LinkedIn profile, choose, edit, and resize a photograph to meet LInkedIn ideal requirements, and create a testimonial request template to send to LinkedIn contacts. By the end of this project you will have created a LinkedIn profile optimized for searches and content. 

A LinkedIn profile can have significant impact on the shaping and building of your digital professional brand. With so much of our professional lives now virtual, personal branding is of great importance. Each task in this project is designed to enhance your LinkedIn profile and help you become confident in navigating each section of your profile.

Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",7030.0,,4.5,97.0
A prática da gestão de clubes e federações esportivas,https://www.coursera.org/learn/fia-gestao-clubes-federacoes-esportivas,Business,Leadership and Management,Michel Fauze Mattar,"O aluno irá aprender conceitos da gestão de clubes e federações esportivas, conceitos de marketing voltados ao esporte e conceitos de patrocínio esportivo. Iremos abordar a relação das federações esportivas com a imprensa e serão dados conceitos de finanças voltados a instituições esportivas.",3682.0,2535.0,4.8,261.0
AI Fundamentals for Non-Data Scientists,https://www.coursera.org/learn/wharton-ai-fundamentals-non-data-scientists,Business,Leadership and Management,"Kartik Hosanagar, Prasanna Tambe","In this course, you will go in-depth to discover how Machine Learning is used to handle and interpret Big Data. You will get a detailed look at the various ways and methods to create algorithms to incorporate into your business with such tools as Teachable Machine and TensorFlow. You will also learn different ML methods, Deep Learning, as well as the limitations but also how to drive accuracy and use the best training data for your algorithms. You will then explore GANs and VAEs, using your newfound knowledge to engage with AutoML to help you start building algorithms that work to suit your needs. You will also see exclusive interviews with industry leaders, who manage Big Data for companies such as McDonald's and Visa. By the end of this course, you will have learned different ways to code, including how to use no-code tools, understand Deep Learning, how to measure and review errors in your algorithms, and how to use Big Data to not only maintain customer privacy but also how to use this data to develop different strategies that will drive your business.",3653.0,10906.0,4.6,64.0
Abschlussprojekt: Projektmanagement in der realen Welt anwenden,https://www.coursera.org/learn/projektmanagement-in-der-realen-welt-anwenden,Business,Leadership and Management,Google Career Certificates,"In diesem Abschlusskurs des Google Project Management Certificate üben Sie die Anwendung der bisher erlernten Projektmanagementkenntnisse und -fähigkeiten. Wir empfehlen den Lernenden, die Kurse 1 bis 5 vor Beginn des Abschlusskurses abzuschließen, da sie die Grundlage für die Ausführung der Aktivitäten in diesem Kurs bieten. 

Im Verlauf dieses Kurses werden Sie ein Mitglied des Projektmanagements in einem realen Szenario „beobachten“ und Dutzende von praktischen Aktivitäten ausführen. Sie werden:
- Projektdokumente analysieren, um Projektanforderungen zu identifizieren und Stakeholder zu bewerten 
- eine Projektcharta vervollständigen und sie als Tool verwenden, um den Projektumfang und die Ziele mit den Stakeholdern abzustimmen
- Aufgaben und Meilensteine identifizieren und in einem Projektplan dokumentieren und priorisieren
- Qualitätsmanagementstandards definieren und untersuchen, wie qualitative Daten effektiv ausgetauscht werden können
- die Auswirkungen Ihres Projekts durch effektive Berichterstellung demonstrieren 

Am Ende dieses Kurses werden Sie ein Portfolio von Projektmanagement-Artefakten entwickelt haben, die die Fähigkeiten demonstrieren, die Sie während des gesamten Programms gelernt haben, z. B. Ihre Fähigkeit, Stakeholder und Teams zu managen, Pläne zu organisieren und Projektdetails zu kommunizieren. Diese Artefakte können Ihre Eignung unterstreichen, wenn Sie sich auf Stellen in diesem Bereich bewerben. Um sich noch besser auf Vorstellungsgespräche für Stellen im Projektmanagement vorzubereiten, reflektieren Sie über vergangene Projekte, entwickeln eine Kurzpräsentation und spielen häufige Fragen eines Vorstellungsgesprächs durch. Projektmanagende von Google werden Sie weiterhin anleiten und Ihnen die Strategien, Tools und Ressourcen an die Hand geben, mit denen Sie Ihre Ziele erreichen.

Nach Abschluss dieses Programms können Sie sich auf Einstiegspositionen im Projektmanagement bewerben. Sie haben auch die Möglichkeit, ein Abzeichen für die erfolgreiche Teilnahme zu beantragen, das für Arbeitgebende erkennbar sein wird.",,2440.0,,
Account Management & Sales Force Design,https://www.coursera.org/learn/account-management,Business,Leadership and Management,"Michael F. Walsh, Ph.D., Suzanne C. Bal, Emily C. Tanner, Ph.D.","The first course in the Sales Operations/Management Specialization, Account Management & Salesforce Design aims to introduce learners to a variety of sales methods. Students will gain knowledge on steps in strategic planning and sales management, responsibilities of a sales manager, kinds of sales operations, a recap of the personal selling process, and the concept of a buying center.",15797.0,21156.0,4.5,208.0
Accountability and Employee Engagement,https://www.coursera.org/learn/accountability-employee-engagement,Business,Leadership and Management,Kathryn Tobey,"Being a successful leader in complex technical organization requires being ultimately accountable for your team’s performance and meeting commitments to all your stakeholders. This second Leading Technical Organizations course, ""Accountability and Employee Engagement"", explores how organizational leaders use different decision-making processes for different situations and that they are ultimately accountable for all results. You will also learn how a company’s culture affects strategy, risk and meeting stakeholder commitments.

This course can be taken for academic credit as part of CU Boulder’s Master of Engineering in Engineering Management (ME-EM) degree offered on the Coursera platform. The ME-EM is designed to help engineers, scientists, and technical professionals move into leadership and management roles in the engineering and technical sectors. With performance-based admissions and no application process, the ME-EM is ideal for individuals with a broad range of undergraduate education and/or professional experience. Learn more about the ME-EM program at https://www.coursera.org/degrees/me-engineering-management-boulder.",,2940.0,,
Accroître l’engagement de votre profil d’entreprise sur IG,https://www.coursera.org/learn/accroitre-l-engagement-de-votre-profil-d-entreprise-sur-instagram,Business,Leadership and Management,Nour Bayram,"Dans ce projet guidé, vous apprendrez créer un compte professionnel, l'engagement c’est quoi,  pourquoi utiliser Instagram pour vos entreprises, comment augmenter le taux d’engagement et comment mesurer votre taux d’enagement sur instagram.
À la fin de ce projet, vous aurez appris à comment accroître l’engagement de votre profil d’entreprise sur Instagram.",,,,
Adapt your leadership style,https://www.coursera.org/learn/leadership-adapt-your-style,Business,Leadership and Management,Dr Richard Claydon,"Why are organisational misbehaviours such as cynicism, apathy, bullying and disengagement increasingly prevalent in the workplace? This course examines these tensions and how transformational, authentic and inclusive leadership styles offer an alternative to the more autocratic, job-centred and controlling leadership styles of the past. You’ll learn how the digital revolution, along with an increased focus on projects and teamwork, has dramatically altered the perception of leadership in a way that now demands all organisational members take on some form of self-leadership. And you’ll learn how this change is causing tensions between traditional leaders and the contemporary practices vital to maintain agility in today’s ultra-competitive marketplace. This learning will be complemented by structured activities such as video lectures, quizzes, discussion prompts and written assessments.",26335.0,87846.0,4.8,709.0
Administración de Proyectos Project,https://www.coursera.org/learn/administracion-de-proyectos-capstone,Business,Leadership and Management,Dr. Filiberto González Hernández,"En este módulo, se desarrollará el proyecto final, el cual tiene como propósito fundamental el aplicar los conocimientos que has adquirido a través de la especialidad. En primer lugar, se seleccionará un proyecto de alguna situación real de interés o se utilizará un caso propuesto. Para el proyecto seleccionado, se escribirá el acta de constitución del proyecto. Después, se creará la documentación para desarrollar el cronograma, el presupuesto y flujo de efectivo y se finalizará con el plan de riesgos, identificando, cuantificando y estableciendo respuestas a los riesgos más importantes del proyecto.  La intención del proyecto final es aplicar los conocimientos que has aprendido en los cursos anteriores. Los trabajos serán revisados por compañeros de clase. En este módulo, se darán las instrucciones para llevar a cabo las revisiones del trabajo entre pares. Al terminar esto, serás capaz de:

-	Escribir un acta de constitución del proyecto (Charter). 
-	Desarrollar una estructura desglosada del trabajo (EDT o WBS) del proyecto.
-	Desarrollar un cronograma detallado del proyecto.
-	Crear un presupuesto y flujo de efectivo para el proyecto.
-	Crear una matriz de roles y responsabilidades.
-	Desarrollar un plan de comunicaciones.
-	Generar un plan de riesgos del proyecto.",9760.0,4134.0,4.7,297.0
Administración de Recursos Humanos,https://www.coursera.org/learn/administracion-de-recursos-humanos,Business,Leadership and Management,Esteban Maccari,"¿Por qué piensas que la gestión del área de recursos humanos muchas veces no es protagonista de las decisiones estratégicas de tu organización? ¿Por qué si el capital intangible es el diferencial competitivo de las organizaciones, estas no lo trabajan adecuadamente o no obtienen los resultados necesarios? Tanto si eres un profesional de recursos humanos como si no, este curso te permitirá profundizar en los mejores y más modernos conceptos y prácticas que hacen a la gestión del capital humano.

Objetivos del curso:
• Comprender la importancia del desarrollo estratégico en la gestión de capital humano.
• Incorporar los conceptos más actualizados en la gestión de las personas.
• Comprender cómo se agrega valor competitivo a través del desarrollo e implementación de las mejores prácticas de gestión.
• Compartir a través de los foros de debate, las diferentes experiencias internacionales que conforman las prácticas de recursos humanos.",12146.0,65490.0,4.8,644.0
Administración para obtener resultados,https://www.coursera.org/learn/resultados,Business,Leadership and Management,"Patricia Benítez Corona , Miguel Angel Ruíz ","La planeación estratégica es una metodología de gran impacto que ha demostrado su eficacia en las mejores empresas del mundo. En este curso, revisaremos los principios básicos de la estrategia organizacional que permiten definir objetivos y tácticas para delimitar indicadores y líneas de acción que generen y mantengan la calidad y productividad en todas la áreas de una empresa.",12816.0,32979.0,4.9,432.0
Agile Leader Training,https://www.coursera.org/learn/agile-leader-training,Business,Leadership and Management,Oxana Trotsenko,"In this course, you will learn the neuroscience of change, why we are so change-averse, how to train for change resilience, and most importantly, you will begin developing a practice to help you be prepared for changes in personal life and in your career. 

You will learn specific strategies and tools for overcoming fear, anxiety and managing stress related to these changes. By the end of this course, you will know what you need to do to become truly unshakable. You will build a practice for getting stronger emotionally and mentally. 

By understanding neuroscience and building awareness of yourself, you will build a solid foundation for understanding your team and the greater behavior of the business world. 

Remember, these changes won’t happen if you don’t take action. You might be uncomfortable, you might find some of the exercises silly,  you might have doubts, and you might want to quit. Babies don’t quit trying to walk because they fall a lot, and neither should you. The only way to truly change is to practice consistently.",6648.0,30749.0,4.7,230.0
Agile Leadership Capstone,https://www.coursera.org/learn/agile-capstone,Business,Leadership and Management,Oxana Trotsenko,"This capstone project course takes you through a guided journey of putting together a comprehensive agile transformation packet. To create this packet, you will be creatively applying the concepts and tools we have covered in the first four courses of this Specialization.

In the capstone course scenario, you were hired as a Senior Scrum Master at Nike. You will understand what a Fortune 100 company would be looking for in a candidate by analyzing a real Nike job posting. If you aspire to work in a similar role, this exercise should give you an idea of where you stand today and what skills you might want to hone on in the future. 

You then will be completing a probationary assignment as a part of the requirement of this new role. Your plan should help you answer the question of what steps you will take in your first 30 days at Nike to develop yourself, your team, and the enterprise.

The packet you will be developing consists of the following four elements:

Transformation roadmap
One-month-long Sprint Plan for personal development
One-month-long Sprint Plan for developing a brand new Agile team
Change management plan to strengthen Nike’s internal culture, support innovation, and fend off intense competition (alternatively, you may choose to create a plan for the company you are working for)

The capstone project will provide you with a hands-on experience of strategically planning for change and applying Scrum tools. Don’t forget to have fun with it!",2682.0,10486.0,4.9,103.0
Agile Leadership: Introduction to Change,https://www.coursera.org/learn/agile-leadership-introduction-to-change,Business,Leadership and Management,Oxana Trotsenko,"This is a foundational course in the Agile Leadership Specialization. By the end of this course, you will build an understanding of key agile leadership concepts. You will begin building a toolbox that will give you an ability to evaluate and create a baseline for yourself as an agile leader. You will access your team’s readiness for change. You will also analyze to what degree an organization is agile, and evaluate its ability to respond to change triggers.",16591.0,57224.0,4.7,736.0
Agile Organization,https://www.coursera.org/learn/agile-leadership-organization,Business,Leadership and Management,Oxana Trotsenko,"The theory of Agile is simple. However, it takes experience, knowledge, and expertise to scale it successfully. 

In this course, you will focus on leading change at an organizational level and scaling Agile appropriately. 

When studying Agile application success stories and theory, it's easy to think in terms of adopting ""best practices."" However, what's best for one industry, company, and most importantly, culture is not always the best for another. Not every aspect of the business is suitable for the application of Agile. Not every organization will benefit from adopting Agile, and not every leader will facilitate yet another change to success.

In this course, you will be introduced to seven different change management theories and learn how to best use and apply them in practice. You will also learn how to scale Agile in your organization, what to look for when looking for best use cases, and what signs serve as clear indicators that Agile is not an appropriate philosophy to apply.",4274.0,17981.0,4.7,131.0
