name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
A Organização Centrada na Jornada do Cliente,https://www.coursera.org/learn/a-organizacao-centrada-na-jornada-do-cliente,Business,Marketing,Carlos Alves,"Nossas boas-vindas ao Curso A Organização Centrada na Jornada no Cliente.

Neste curso, você aprenderá que objetivos de negócio de uma empresa somente podem ser atingidos se houver co-criação de valor entre seus profissionais e fornecedores. Para tanto, os clientes devem estar no centro de suas definições e atividades. Ao discutir os objetivos em conjunto, é possível entender os desafios, construir soluções efetivas em conjunto e ser mais assertivo no uso de recursos corporativos, que efetivamente entreguem valor.

Ao final deste curso, você será capaz de:

- Identificar e discutir os objetivos de negócio do cliente.
- Desenhar e acompanhar sua jornada e experiência com o provedor de serviço.

Este curso é composto por quatro módulos, disponibilizados em semanas de aprendizagem. Cada módulo é composto por vídeos, leituras e testes de verificação de aprendizagem. Ao final de cada módulo, temos uma avaliação de verificação dos conhecimentos.

Estamos muito felizes com sua presença neste curso e esperamos que você tire o máximo de proveito dos conceitos aqui apresentados.

Bons estudos!",,,,
A Start Guide: Product Marketing Using G Suite,https://www.coursera.org/learn/product-marketing-using-gsuite,Business,Marketing,Radwa Fathi,"In this 1-hour 40-minutes long project-based course, you will be able to identify your product mix, draw your product hierarchy levels as well as analyzing the sales performance of your product item or what we call stock-keeping unit (SKU). You will learn how to build successful product lines by identifying the problems and finding solutions for each product item or the stock-keeping unit ( SKU).

Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",1875.0,,4.6,32.0
Adding Special Effects in Adobe Photoshop,https://www.coursera.org/learn/adding-special-effects-in-adobe-photoshop,Business,Marketing,Daniel Marshall,"Adobe Photoshop can be used to create wondrous works of art. Its tools allow a skilled artist to blend the boundaries of reality and art with the strokes of a brush, or lines of a pencil.  In this lesson, you will learn to augment the use of these basic tools through the implementation of special effects. From drop shadows, to outer glows, a whole universe of artistic variation is about to become unlocked; and it’s waiting just for you.",,,,
Advanced Content and Social Tactics to Optimize SEO,https://www.coursera.org/learn/seo-tactics,Business,Marketing,Eric Enge,"Discover the content marketing and social media ecosystems and how these interconnected channels drive search results to a website. Leverage content marketing and social media as part of your SEO strategy, and how to use influence marketing to establish a website’s authority.",60585.0,32654.0,4.5,1033.0
Advanced Search Engine Optimization Strategies,https://www.coursera.org/learn/seo-strategies,Business,Marketing,Dave Lloyd,"This course focuses on technical, mobile and social strategies for increasing site traffic. Learn how to build SEO for international audiences through content localization, global team alignment and optimizing for local search engines. Discover techniques to optimize mobile-friendly websites, get mobile apps discovered, and leverage social media to drive organic SEO traffic.  You will also learn how to identify key SEO metrics and collect, interpret, validate, and report success to your clients and stakeholders.",46026.0,28800.0,4.5,502.0
Advertise YouTube Videos with Zapier,https://www.coursera.org/learn/advertise-youtube-videos-zapier,Business,Marketing,Carmen Rojas,"Zapier is the industry leader in task automation and gives users the ability to not only organize but to automate social media posting about a new YouTube video upload. 

By the end of this project, you will be able to set up an account with Zapier. You will learn how to connect your YouTube Channel to Zapier and then send out automated social media messages to your owned social media accounts whenever a new video is posted.  This will save you time and allow you to share your video content with your audience immediately - rather than when you remember too! Zapier is the industry leader in task automation and gives users the ability to not only organize but to automate social media posting. 

Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",,,,
Advertise and grow your business on Facebook with Canva,https://www.coursera.org/learn/advertise-grow-business-facebook-canva,Business,Marketing,Michelle Flores,"By the end of this project, you will know how to use Canva to promote and advertise your business on Facebook. You will learn how to create a Facebook Ad, a Facebook Post and a Facebook Cover with the help of Canva. We will use templates, and create designs from scratch.

You will be able to incorporate a color scheme, images, and other design elements. Creating high quality advertisements is the perfect way to proactively engage with your target audience. 

This project will include intermediate to advanced level skills using the free version of Canva.

Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",,,4.9,15.0
Advertise your Fundraiser using Canva,https://www.coursera.org/learn/advertise-fundraiser-canva,Business,Marketing,Michelle Flores,"By the end of this project, you will know how to use Canva to promote and advertise your fundraiser both digitally and locally. You will have learned how to create a Facebook Post, an event poster and a flyer with the help of Canva. We will both use templates, and create designs from scratch. You will be able to incorporate a color scheme, images, and other design elements for aesthetically pleasing. Creating high quality advertisements is the perfect way to proactively engage with your target audience both digitally and in your local community.

This project will include intermediate to advanced level skills using the free version of Canva.

Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",,,4.9,10.0
Advertising with Meta,https://www.coursera.org/learn/advertising-with-facebook,Business,Marketing,Daniel Kob,"This course will establish you as an expert in Meta Ads Manager. Learn how to structure campaigns in Ads Manager by selecting ad objectives, target audience, budget, and placement that fit your unique goals. Learn to create and manage ads across Facebook and Instagram and evaluate and optimize the results of your Ads Manager campaigns.  You will end the course by creating an actual ad campaign in Ads Manager to expand not only your knowledge, but your social media marketing portfolio. 

By the end of this course, you will be able to:
• Structure campaigns in Meta Ads Manager
• Identify the major components and elements of an ad in Meta Ads Manager
• Build an ad that aligns with your marketing objectives and target it to your intended audience
• Set a budget, placement, and schedule for your ads in Meta Ads Manager
• Edit and troubleshoot your ads in Meta Ads Manager
 
This course is intended for people who want to learn how to use Meta Ads Manager to create, manage and optimize campaigns on Facebook and Instagram. Learners don't need marketing experience, but they have basic internet navigation skills and are eager to participate and connect in social media.  

Learners must have a Facebook account and an Instagram account helps. Ideally, learners have already completed the four previous courses in this program.",47422.0,178938.0,4.8,1694.0
Alcanza tu audiencia en Instagram con influenciadores,https://www.coursera.org/learn/alcanza-audiencia-instagram-influenciadores,Business,Marketing,Michelle Flores,"Al final de este proyecto podrás optimizar tu marca o tu negocio en Instagram para alcanzar a tu grupo objetivo. En este proyecto guiado descubrirás el gran potencial que ofrece el marketing de influenciadores en la plataforma Instagram. La colaboración con influenciadores ofrece gran potencial para aumentar el alcance de tu marca en Instagram.

Primero optimizaremos tu cuenta de negocio en Instagram para establecer un perfil atractivo que atraiga tanto a tu grupo objetivo como a influenciadores para cooperaciones potenciales.",,,,
