name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
(Business Writing) الكتابة في مجال الأعمال,https://www.coursera.org/learn/writing-for-business-ar,Business,Business Essentials,Dr. Quentin McAndrew,"لا شك أن إتقان الكتابة من أهم المهارات التي يمكنك تعلمها بُغية تحقيق النجاح في مجال الأعمال. وقد استخدمت أكثر من سبعين شركة وعشرين ألف طالب - من الكتاب المحترفين والموظفين الجدد والمتحدثين باللغة الإنجليزية لغير الناطقين بها وحتى المديرين المتمرسين - الأساليب المستخدمة في الكتابة في مجال الأعمال لتعزيز قدرتهم على التواصل وإطلاق أفكارهم. ستعلمك هذه الدورة التدريبية كيفية تطبيق المبادئ العشرة الأفضل للكتابة الجيدة في مجال الأعمال على عملك وكيفية نشر أدوات بسيطة لتحسين كتابتك بشكل كبير  وكيفية تنفيذ التنظيم والبنية والمراجعة للتواصل بشكل أكثر براعة من أي وقت مضى. وستتمكن من الدرس الأول من تطبيق التعلم الجديد على الفور على عملك وتحسين كتابتك اليوم. أفكارك قوية. تعلم كيفية توصيلها بالوضوح والتأثير الذي تستحقه. ""شكرًا لك على إعطائي المعرفة التي أحتاجها في الحياة، كانت [الكتابة في مجال الأعمال] مفيدة وأضفت الكثير من التغيير وأثرت تأثير ًا كبيرًا في كتابتي"". - رسالة من أحد طلاب دورة الكتابة في مجال الأعمال

تتيح لك المبادئ التي ستتعلمها في هذه الدورة أن تصبح كاتبًا رائعًا في مجال الأعمال. كما أنها توفر الأساس للانتقال إلى التصميم الغرافيكي والعرض التقديمي الناجح، بحيث يمكنك إطلاق العنان لأفضل ما لديك من مهارات مهنية كلما -وكيفما- تعرض أفكارك في مكان العمل.",2896.0,4076.0,4.7,44.0
(Giving Helpful Feedback) إعطاء الملاحظات المفيدة,https://www.coursera.org/learn/feedback-ar,Business,Business Essentials,Tracy Jennings,"الهدف من هذه الدورة التدريبية تعليمك المبادئ البسيطة التي يستخدمها المديرون الخبراء من أجل تحسين أداء الموظفين وتحفيزهم. ولن تضطر إلى تجنب إخبار الموظفين ""الحقيقة"" مرة أخرى بعد الآن، لأن الأساليب السبعة التي سوف نقوم بتعليمك إياها لن تجعل الموظفين خائفين أو يتخذون وضعًا دفاعيًا. كمدير، أو كشخص يرغب في أن يكون مديرًا، سوف تتعلم كذلك على وجه الخصوص ماهية الملاحظات، وكيف يتم تقييم الملاحظات السلبية بشكل أكبر من تلك الإيجابية، وكيف يمكن أن تؤثر الملاحظات الإيجابية بشكل فائق على السلوكيات مثل الإبداع والعمل الجماعي.‏

إن إعطاء الملاحظات مهارة تتطور مع مرور الوقت. إننا نمنحك عملية يمكنك استخدامها لتحسين مهارات الملاحظات لديك وإعطاء تلك الملاحظات بكل ثقة. سوف تجد أن هناك أساس علمي للعديد من المشاهدات والبديهيات حيال تقديم الملاحظات، مثل صعوبة إعطاء الملاحظات بشكل صحيح وكره الناس لإعطاء الملاحظات وغير ذلك الكثير. وسوف يكون من المطمئن أن تعرف كيف تتغلب على تلك الصعوبات. نتمنى أن تستمتع بوقتك وأنت تتطور إلى مدير أفضل!",4983.0,61181.0,4.8,370.0
(Successful Presentation) العرض التقديمي الناجح,https://www.coursera.org/learn/presentation-skills-ar,Business,Business Essentials,Professor William Kuskin,"يمكن لبعض أنواع التواصل إحداث تأثير يُبدع عرضًا تقديميًا مميزًا.  حتى الخطاب القصير يمكنه أن يُحفز الأشخاص لتغيير المعتقدات التي عافى عليها الزمن أو اتخاذ الخطوات اللازمة، ويمكن أن تؤدي طريقة الحديث الإيجابية إلى تحويل شخص عادي إلى قائد.\n\n في هذه الدورة التدريبية، يقدم البروفيسور ويليام كوسكين سلسلة من الفيديوهات والتمارين العملية لكيفية مخاطبة الجمهور وتقديم العروض التقديمية بصورة ناجحة.

تتألف الدورة التدريبية من أربعة موضوعات — التحكم في الخوف، وإبداع صيغة عرض مبتكرة، واستخدام اللغة الجسدية والشفهية، وكيفية توقع سريان الأمور في القاعة — بحيث تصبح قادرًا على اكتشاف قوتك الذاتية باعتبارك متحدثًا يستطيع تقديم عروض تقديمية رائعة. 
لا تعتمد العروض التقديمية الناجحة على الأسنان الناصعة أو الصوت الجهوري أو العدد الكبير من كاتبي النصوص.  ولكن تعتمد بشكل كبير على نفس المهارات اللازمة للكتابة التجارية الناجحة وتصميم الجرافيك ألا وهي: الوضوح وحُسن تصميم العرض والمراجعة المتأنية. ولذلك تستهدف هذه الدورة التدريبية تمكينك من اكتشاف قوتك الداخلية فيما يتعلق بكونك متحدثًا ومن ثَمّ تقديمها للعالم.  وبانتهاء هذه الدورة التدريبية، ومن خلال بعض التمارين، ستتمكن من المشاركة في أى فعالية وإدارة القاعة على النحو الذي تريد.",11527.0,14124.0,4.8,415.0
3D Printing Applications,https://www.coursera.org/learn/3d-printing-applications,Business,Entrepreneurship,Vishal Sachdev,"This course will help you understand how 3D printing is being applied across a number of domains, including design, manufacturing, and retailing. It will also demonstrate the special capabilities of 3D printing such as customization, self-assembly, and the ability to print complex objects. In addition to business applications, this course will also examine how individuals, including those in developing countries, are using this technology to create solutions to the problems they face. This course will also provide an overview of design thinking and how you can use this framework to develop ideas that can be turned into objects. Learners who complete this course will obtain a rich understanding of the capabilities of 3D printing and how to think about designing objects for this new technology.",22431.0,16201.0,4.6,636.0
3D Printing Capstone,https://www.coursera.org/learn/3d-printing-capstone,Business,Entrepreneurship,Alex Larson,"The capstone will integrate the learning acquired from the four courses in the 3D Printing Specialization through a hands-on project. This project will enable you to turn an idea into an object using the knowledge and skills acquired through the other courses. Specifically, you will be guided through a step-by-step process in which you imagine, design, make, and share a 3D printed object. Thus, through this capstone, you will be able to put course concepts into action and utilize the skills that you have acquired throughout the Specialization. In addition, you will be able to obtain an actual 3D print of the object you design at a discounted price through our corporate partners, 3D Hubs and Shapeways.

If you enjoy this business course and are interested in an MBA, consider applying to the iMBA, a flexible, fully-accredited online MBA at an incredibly competitive price offered by the University of Illinois. For more information, please see the Resource page in this course and onlinemba.illinois.edu.",3594.0,1878.0,4.3,25.0
3D Printing Hardware,https://www.coursera.org/learn/3d-print-hardware,Business,Entrepreneurship,"Matthew Griffin, Alex Larson","This course will provide an in-depth exploration of desktop 3D printing hardware. It will examine the history of desktop 3D printing and demonstrate how 3D printers are made and how they work. This course will also provide step-by-step instructions for how to use and repair a 3D printer. It will also explore the different types of materials that can be 3D printed and will demonstrate how you can create various objects using these tools and materials. Learners who complete this course will be able to successfully operate, repair, and upgrade a 3D printer. In addition, learners who enroll in the course certificate will be able to purchase a desktop 3D printer at a discounted price (provided by Ultimaker).

If you enjoy this business course and are interested in an MBA, consider applying to the iMBA, a flexible, fully-accredited online MBA at an incredibly competitive price offered by the University of Illinois. For more information, please see the Resource page in this course and onlinemba.illinois.edu.",13036.0,11260.0,4.1,88.0
3D Printing Software,https://www.coursera.org/learn/3d-printing-software,Business,Entrepreneurship,Jeffrey Smith,"This course will demonstrate how to use 3D printing software to create digital designs that can be turned into physical objects. It will also demonstrate how 3D scanners work to turn physical objects into digital designs. This course is hands-on in nature and will provide step-by-step instructions to guide you through two popular 3D modeling programs, Tinkercad and Fusion 360. Learners who complete this course will be able to use 3D software to design a wide variety of objects for both personal and professional use. In addition, learners who enroll in the course certificate will receive extended free access to Fusion 360 (provided by Autodesk).

Please copy/paste the following links to your browser's search bar to view the requirements for each of the following software elements used in this course:

Sketchbook: https://support.sketchbook.com/hc/en-us/articles/209671938-SketchBook-Desktop-System-Requirements

Tinkercad: https://support.tinkercad.com/hc/en-us/articles/205849108-What-are-Tinkercad-s-Browser-and-Platform-requirements-

Autodesk Fusion 360: https://knowledge.autodesk.com/support/fusion-360/troubleshooting/caas/sfdcarticles/sfdcarticles/System-requirements-for-Autodesk-Fusion-360.html

Sketchfab: https://help.sketchfab.com/hc/en-us/articles/203059088-Compatibility

123D Catch: Same as Tinkercad",41029.0,11565.0,4.7,514.0
5 Metodos para Optimizar su Perfil de LinkedIn,https://www.coursera.org/learn/5-metodos-optimizar-perfil-linkedin,Business,Business Essentials,Natali Esteves,"Al completar este proyecto, abras completado y optimizado un perfil de LinkedIn para búsquedas y contenido. Revisará la importancia del método para seleccionar una fotografía de su perfil de LinkedIn. Identificar individuos en las redes de LinkedIn que podrán proveer apoyo con sus testimonios. Al mejorar el perfil de LinkedIn se mejorará la probabilidad de encontrar la carrera profesional ideal.

Nota: Este curso es de mayor utilidad para estudiantes que residen en la región de América del Norte. Actualmente, estamos trabajando para proporcionar la misma experiencia en otras regiones.",,,,
5 Ways to Build a Better LinkedIn Profile,https://www.coursera.org/learn/5-ways-build-better-linkedin-profile,Business,Leadership and Management,Dvija Maurer,"In this 2-hour long project-based course, you will learn how to complete each section of an existing LinkedIn profile, choose, edit, and resize a photograph to meet LInkedIn ideal requirements, and create a testimonial request template to send to LinkedIn contacts. By the end of this project you will have created a LinkedIn profile optimized for searches and content. 

A LinkedIn profile can have significant impact on the shaping and building of your digital professional brand. With so much of our professional lives now virtual, personal branding is of great importance. Each task in this project is designed to enhance your LinkedIn profile and help you become confident in navigating each section of your profile.

Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",7030.0,,4.5,97.0
A Business Approach to Sustainable Landscape Restoration,https://www.coursera.org/learn/landscape-restoration-sustainable-development,Business,Business Essentials,"Simon W. Moolenaar, Rob van Tulder, Johann Thorsson, Nicola Favretto, Ólafur Arnalds, Asa L. Aradottir, Steve Kennedy","Integrated landscape management and large-scale landscape restoration should be in every company’s business strategy because in order to reach the Sustainable Development Goal on Land Degradation Neutrality (SDG Number 15.3) scaling up and acceleration of business-driven landscape restoration is urgently needed.

This requires business professionals with a vision, the right knowledge and skills. This MOOC aims to train the next generation of business professionals and developers to acknowledge business’ interdependency with healthy landscapes and understand the value of ecosystem resources.

“Historically, we have found countless ways to justify our continued exploitation of the environment: discovery, tradition, Manifest Destiny, even Chinese hoax. But we’re all out of excuses now. Each passing day swells the data on greenhouse gases and extreme weather, shrinking reservoirs and rising sea levels, and diminishing biodiversity. Our resources are finite, the window for change if not firmly shut, is certainly closing, and all life must adapt or be doomed.”

Téa Obreht, 
The New Yorker, Dec. 19&26, 2016, p. 106.

It is a frightening prospect indeed – that all life on Earth must either adapt or be doomed. This course is about landscape degradation – a global and wicked problem that is contributing to the dooming prospect of depletion of Earth’s finite resources. But this course is also about the solutions to this problem – business driven landscape restoration.
So rather than leaving you powerless with the prospect Obreht puts fowards above, it is our hope that you learn how you can be part of the solution to making sure that Planet Earth still provides a safe and habitable home for future generations. 
We must act big and we must act now.
With this course we want to pass on valuable knowledge and teach you useful skills that you can apply in your professional life that will enable you to tackle the issue of landscape degradation and restoration. 
The issue is urgent, so let’s dive right into it.

This MOOC is developed by the ENABLE partnership, which is co-funded by the ERASMUS+ programme of the European Commission and involves a diverse, international group of organizations including Rotterdam School of Management, Erasmus University, Commonland, United Nations University Land Restoration Training Programme, the Spanish National Research Council and Estoril Global Conferences.",9236.0,12448.0,4.7,67.0
