name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
AWS Multi-Tier VPC Architecture,https://www.coursera.org/learn/aws-multi-tier-vpc-architecture,Computer Science,Computer Security and Networks,Ann Kovattil,"By the end of this Project, you will be able to understand how to create a Custom VPC and configure it based on your business needs and the detailed theory behind each tasks you are going to do inside this Project.",,,,
Advanced System Security Topics,https://www.coursera.org/learn/advanced-system-security-topics,Computer Science,Computer Security and Networks,"Edward Chow, Greg Williams","In this MOOC, we learn RBAC and ABAC access control to facilitate the specification and management of  access policies. We learn examples of how RBAC is supported by modern systems such as Docker and AWS IAM. We learn XACML 3.0 and an ABAC implementation for controling secure access to web documents and network resources with attribute certificates, and XACML architecture components.   We show how to exhance the data security with GeoEncryption, Secure Enhanced Geolocking, and R2D2  concepts which deliver data to right places via right path.  We show how Google Map and Web Crytpo 

API can be integrated for encrypted document on web browser without download apps and associate them with geolocking area to restrict unauthorize and improper accesses.",14839.0,3279.0,4.5,80.0
Architecting Smart IoT Devices,https://www.coursera.org/learn/iot-architecture,Computer Science,Computer Security and Networks,"Martin Timmerman, Maarten Weyn","This course will teach you how to develop an embedded systems device. In order to reduce the time to market, many pre-made hardware and software components are available today. You'll discover all the available hardware and software components, such as processor families, operating systems, boards, and networks. You'll also learn how to actually use and integrate these components.

At the end of the course, you will be ready to start architecting and implementing your own embedded device! You'll learn how to debug and finetune your device and how to make it run on a low power supply.",26918.0,100084.0,4.3,240.0
Aruba Network Security Basics for Arabic Speakers,https://www.coursera.org/learn/aruba-network-security-arabic,Computer Science,Computer Security and Networks,"Ahmad Enaya, Aruba Education Services","عنوان الدورة: أساسيات أمن الشبكات في أروبا – E-Learning

وصف الدورة:

كيف يتم تشفير الرسائل؟ ما هي البرمجيات الضارة بالضبط وما تقسيماتها؟ ما هي التقنيات التي يمكننا تطبيقها والتي ستسمح للشبكات بالدفاع عن نفسها؟ تعتمد حياتنا وأعمالنا على وجود وصول آمن وموثوق به إلى شبكاتنا، ولكن ما الذي يتطلبه الأمر لضمان هذا الأمان؟ دورة ""أساسيات أمن الشبكات في أروبا"" هي نقطة انطلاق للأفراد المهتمين بالعمل في مجال أمن الشبكات أو أمن المعلومات ، ولأي شخص يرغب في التعرف على التقنيات الرائدة في أروبا في مجال أمن الشبكات.

لمحة عامة عن الدورة:

في دورة "" أساسيات أمن الشبكات في أروبا""، ستتعرف على التهديدات التي تشكل خطرًا على شبكة الحاسوب وتقنيات الأمان المتاحة لتقوية أجهزتك ضد هذه الهجمات. الهدف هو تقديم مقدمة للمفاهيم العامة لأمن المعلومات أو أمن الشبكات مثل تقييم التهديدات، وبروتوكولات أمن المعلومات، ومصادقة المستخدم، وتشفير البيانات.
تعتمد مقاطع الفيديو على بعضها البعض حيث تجمع بين المحاضرة وعرض توضيحي عملي باستخدام معدات أروبا السلكية واللاسلكية. بعد الانتهاء من هذه الدورة، سيكون لديك معرفة أساسية لتنفيذ إجراءات أمن الشبكات على مختلف أجهزة أروبا السلكية واللاسلكية وأساس عام لمفاهيم أمن الشبكات التي يمكن تطبيقها على الشبكات المختلفة بشكل عام.",,2123.0,,
Aruba SD WAN Basics,https://www.coursera.org/learn/aruba-sd-wan-basics,Computer Science,Computer Security and Networks,Aruba Education Services,"The Wide Area Network (WAN) is the focal point for connecting different sites of an organization in a global environment. In Aruba SD-WAN Basics, you’ll get an introduction to the Wide Area Network (WAN) and how Software Defined-WAN (SD-WAN) addresses today’s IT challenges. We’ll look at how SD-WAN simplifies network operations with automation and provide greater visibility to manage security challenges. Learn the fundamentals of how the Aruba SD-WAN solution works with EdgeConnect SD-WAN Fabric to simplify deployment, operations, and monitoring. 

This introductory webinar is ideal for candidates new to SD-WAN technologies. We recommend a basic understanding of networking concepts, take the free Aruba Networking Basics course for a refresh.",,,,
Asymmetric Cryptography and Key Management,https://www.coursera.org/learn/asymmetric-crypto,Computer Science,Computer Security and Networks,Sang-Yoon Chang,"Welcome to Asymmetric Cryptography and Key Management! 

In asymmetric cryptography or public-key cryptography, the sender and the receiver use a pair of public-private keys, as opposed to the same symmetric key, and therefore their cryptographic operations are asymmetric. This course will first review the principles of asymmetric cryptography and describe how the use of the pair of keys can provide different security properties. Then, we will study the popular asymmetric schemes in the RSA cipher algorithm and the Diffie-Hellman Key Exchange protocol and learn how and why they work to secure communications/access. Lastly, we will discuss the key distribution and management for both symmetric keys and public keys and describe the important concepts in public-key distribution such as public-key authority, digital certificate, and public-key infrastructure. This course also describes some mathematical concepts, e.g., prime factorization and discrete logarithm, which become the bases for the security of asymmetric primitives, and working knowledge of discrete mathematics will be helpful for taking this course; the Symmetric Cryptography course (recommended to be taken before this course) also discusses modulo arithmetic.

This course is cross-listed and is a part of the two specializations, the Applied Cryptography specialization and the Introduction to Applied Cryptography specialization.",9858.0,23479.0,4.7,241.0
Azure Infrastructure Fundamentals,https://www.coursera.org/learn/azure-infrastructure,Computer Science,Computer Security and Networks,Michael Krout,"Microsoft Azure is a service created by Microsoft to provide cloud computing for creating and managing applications and services using a cloud environment. Azure provides software as a service (SaaS), platform as a service (PaaS) and infrastructure as a service (IaaS). The platform supports many programming languages and frameworks and can be used alone or in a multi-vendor cloud environment. 

This course focuses on the Fundamentals of Azure Infrastructure including infrastructure as a service. We’ll begin with understanding the subscription, configuring security and acquiring storage. Then you’ll build virtual machines and VNETS. Azure environments can be highly available and very resilient. Data can be backed up to the cloud for safety. These are the concepts we will discuss in this course.",14619.0,10574.0,3.7,42.0
Basic Cryptography and Programming with Crypto API,https://www.coursera.org/learn/basic-cryptography-and-crypto-api,Computer Science,Computer Security and Networks,Edward Chow,"In this MOOC, we will learn the basic concepts and principles of crytography, apply basic cryptoanalysis to decrypt messages encrypted with mono-alphabetic substitution cipher, and discuss the strongest encryption technique of the one-time-pad and related quantum key distribution systems.  We will also learn the efficient symmetric key cryptography algorithms for encrypting data, discuss the DES and AES standards, study the criteria for selecting AES standard, present the block cipher operating modes and discuss how they can prevent and detect the block swapping attacks,  and examine how to defend against replay attacks. We will learn the Diffie-Hellman Symmetric Key Exchange Protocol to generate a symmetric key for two parties to communicate over insecure channel. We will learn  the modular arithmetic and the Euler Totient Theorem to appreciate the RSA Asymmetric Crypto Algorithm,  and use OpenSSL utility to realize the basic operations of RSA Crypto Algorithm. Armed with these knowledge, we learn how to use PHP  Crypto API to write secure programs for encrypting and decrypting documents  and for signing and verify documents. We then apply these techniques to enhance the registration process of a web site which ensures the account created is actually requested by the owner of the email account.",11760.0,4682.0,4.5,81.0
Bitcoin and Cryptocurrency Technologies,https://www.coursera.org/learn/cryptocurrency,Computer Science,Computer Security and Networks,Arvind Narayanan,"To really understand what is special about Bitcoin, we need to understand how it works at a technical level. We’ll address the important questions about Bitcoin, such as:

How does Bitcoin work? What makes Bitcoin different? How secure are your Bitcoins? How anonymous are Bitcoin users? What determines the price of Bitcoins? Can cryptocurrencies be regulated? What might the future hold?

After this course, you’ll know everything you need to be able to separate fact from fiction when reading claims about Bitcoin and other cryptocurrencies. You’ll have the conceptual foundations you need to engineer secure software that interacts with the Bitcoin network. And you’ll be able to integrate ideas from Bitcoin in your own projects.

Course Lecturers:
Arvind Narayanan, Princeton University


All the features of this course are available for free.  It does not offer a certificate upon completion.",700481.0,155876.0,4.6,2852.0
Block.one: Creating a Multi Node EOSIO Blockchain,https://www.coursera.org/learn/googlecloud-block-one-creating-a-multi-node-eosio-blockchain-ebepp,Computer Science,Computer Security and Networks,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
