name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
3D Interaction Design in Virtual Reality,https://www.coursera.org/learn/3d-interaction-design-virtual-reality,Computer Science,Design and Product, Dr Sylvia Xueni Pan,"This course will teach you about one of the most important aspects of VR, how you interact with a VR world. Virtual Reality is completely different from an on screen app or game. You are completely immersed in a VR world, so it doesn't make sense to interact only through buttons or menus. You will get the most out of VR if you can interact with the world just as you would with the real world: with your natural body movements. You will learn about the basic concepts and technologies of VR Interaction. You will then get hands on, learning about how to move around in VR and how to interact with the objects in your world. The course will finish with some advice from experts on VR interaction design and you will do a project where you will get real experience of developing VR Interaction.",14081.0,14229.0,4.6,123.0
3D Models for Virtual Reality,https://www.coursera.org/learn/3d-models-virtual-reality,Computer Science,Design and Product, Dr Sylvia Xueni Pan,"This course will begin your journey to creating Virtual Reality experiences. A Virtual Reality experience is a new world that you step into and are entirely immersed in. Creating a VR experience means creating that world and all the objects in it. 

In this course you will learn the basics of 3D graphics: how we create objects and how to lay them out to create an environment. You will learn techniques like materials and texturing that make your objects appear realistic. You will also learn about audio techniques to ensure that your experiences sound great as well as looking great. In all of these topics we will pay attention to the particular requirements of Virtual Reality, including pitfalls and performance issues: making sure your environment runs fast enough in VR. 

You will learn all of this using the professional game and VR engine, Unity3D. Unity is one of the most used game engine and is a relatively easy, but fully featured, introduction to 3D development. 

The course will culminate in a project in which you will create your own VR scene. VR development is something you can only learn by doing it yourself, so working on your project will be the best way to learn.",39418.0,22889.0,4.6,366.0
4 In A Row Game Development with Google Cloud + Unity,https://www.coursera.org/learn/googlecloud-4-in-a-row-game-development-with-google-cloud-unity-hfcwa,Computer Science,Design and Product,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
API Design and Fundamentals of Google Cloud's Apigee API Platform,https://www.coursera.org/learn/api-design-apigee-gcp,Computer Science,Design and Product,Google Cloud Training,"In this course, you learn how to design APIs, and how to use OpenAPI specifications to document them. You learn about the API life cycle, and how the Apigee API platform helps you manage all aspects of the life cycle. You learn about how APIs can be designed using API proxies, and how APIs are packaged as API products to be used by app developers.

Through a combination of lectures, hands-on labs, and supplemental materials, you will learn how to design, build, secure, deploy, and manage API solutions using Google Cloud's Apigee API Platform. This is the first course of the Developing APIs with Google Cloud's Apigee API Platform series. After completing this course, enroll in the API Security on Google Cloud's Apigee API Platform course.",34307.0,23226.0,4.7,2282.0
Acing the Product Management Interview,https://www.coursera.org/learn/acing-product-management-interviews,Computer Science,Design and Product,Nancy Wang,"Prepare to impress in your  product management interviews by taking this course. You'll learn tips to showcase your skills and PM knowledge directly from the experts who hire and promote top PMs, and  practice for your interview using real PM interview questions asked by companies including  Meta, Microsoft, Google, and Amazon!

Hear how to impress in the interview process from industry-leading experts including:
* NANCY WANG, General Manager of Data Protection Services, Amazon Web Services; 
* BOB O'BRIEN, Senior Product Manager, Amazon Web Services
* JENNY TAI, Director of Product, Jam City; 
*NANCY GESSLER, Product Management, Learning Products, Amazon Web Services
* TATYANA MAMUT, Chief Product Officer, Nextdoor 
* SANDY CARTER, Vice President for Worldwide Public Sector Programs, Amazon Web Services

Sponsored by AMAZON WEB SERVICES (AWS).

This is the fourth of four courses in the ACE Recommended Real-World Product Management Specialization. When you complete all four courses, you can earn up to 6 college credits.",4536.0,6583.0,4.7,81.0
Add special effects to text with Adobe Photoshop,https://www.coursera.org/learn/add-special-effects-to-text-with-adobe-photoshop,Computer Science,Design and Product,Anna Dunn,"In this project, you will learn how to add special effects to text with Adobe Photoshop. Learning these skills in Photoshop will add different effects to text when designing. You will learn how to add and fill an image in a text. You will learn different special effects that can be added to the text. 

Some of the effects you will do are adding strokes to the text, warping the text, and adding a gradient overlay. These special effects that will be added to the text will give the text an enhanced and different look to the design. 

When designing in Photoshop and working with text, having the skills to add special effects will enhance and benefit the design.",,,,
Agile Analytics,https://www.coursera.org/learn/uva-darden-agile-analytics,Computer Science,Design and Product,Alex Cowan,"Few capabilities focus agile like a strong analytics program. Such a program determines where a team should focus from one agile iteration (sprint) to the next. Successful analytics are rarely hard to understand and are often startling in their clarity. In this course, developed at the Darden School of Business at the University of Virginia, you'll learn how to build a strong analytics infrastructure for your team, integrating it with the core of your drive to value.",22845.0,46710.0,4.7,402.0
Agile Meets Design Thinking,https://www.coursera.org/learn/uva-darden-getting-started-agile,Computer Science,Design and Product,Alex Cowan,"Despite everyone's good intentions, hard work and solid ideas, too many teams end up creating products that no one wants, no one can use, and no one buys. But it doesn't have to be this way. Agile and design thinking offer a different--and effective--approach to product development, one that results in valuable solutions to meaningful problems. In this course, you’ll learn how to determine what's valuable to a user early in the process--to frontload value--by focusing your team on testable narratives about the user and creating a strong shared perspective. 

This course is supported by the Batten Institute at UVA’s Darden School of Business. The Batten Institute’s mission is to improve the world through entrepreneurship and innovation: www.batteninstitute.org.",149683.0,84567.0,4.7,3224.0
Agile и дизайн-мышление,https://www.coursera.org/learn/uva-darden-getting-started-agile-ru,Computer Science,Design and Product,Alex Cowan,"Несмотря на хорошие намерения, упорный труд и основательные идеи, слишком много команд создают продукты, которые никому не нужны, которые нельзя использовать и которые никто не покупает. Но так не должно быть. Agile и дизайн-мышление предлагают иной, эффективный подход к разработке продукции, который приводит к ценным решениям значимых проблем. В этом курсе вы узнаете, как определить, что ценно для пользователя на раннем этапе процесса, сосредоточив усилия команды на тестируемых описаниях пользователя и создании сильной общей точки зрения. 

Этот курс проводится при поддержке Института Баттена в Школе бизнеса Дарден Университета Вирджинии. Миссия Института Баттена заключается в улучшении мира с помощью предпринимательства и инноваций: www.batteninstitute.org.",,2125.0,,
Agiles Arbeiten trifft auf Design Thinking,https://www.coursera.org/learn/uva-darden-getting-started-agile-de,Computer Science,Design and Product,Alex Cowan,"Trotz aller guten Absichten, harter Arbeit und solider Ideen entwickeln zu viele Teams Produkte, die niemand will, die niemand verwenden kann und die niemand kauft. Das muss aber nicht so sein. Eine agile und designorientierte Denkweise bietet einen anderen – und effektiven – Ansatz für die Produktentwicklung, der wertvolle Lösungen für bedeutungsvolle Probleme liefert. In diesem Kurs erfahren Sie, wie Sie in den Anfangsphasen des Prozesses feststellen können, was für einen Nutzer wertvoll ist – um diesen Wert zu steigern –, indem Sie den Fokus Ihres Teams auf prüfbare Geschichten über den Nutzer lenken und eine starke gemeinsame Perspektive schaffen. 

Dieser Kurs wird vom Batten Institute der Darden School of Business der UVA unterstützt. Die Mission des Batten Institute ist es, die Welt durch Unternehmertum und Innovation zu verbessern: www.batteninstitute.org.",,,,
