name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
3D Graphics in Android: Sensors and VR,https://www.coursera.org/learn/3d-graphics-android-sensors-vr,Computer Science,Mobile and Web Development,Benny Lo,"This course is an ideal introduction into creating virtual environments in Android.  This course is unique as it covers a range of tools and techniques to create immersive 3D environments, giving you a rounded skill set in this growing field.  By the end of this course, you will really be able to bring your VR ideas to life!  

The first part of the course covers animation, lighting and reflection.  We then move onto textures and handling multiple 3D objects.  Finally, we'll look at housing all of this within a binocular view to create a VR experience. 

There are practical exercises throughout the course to apply your understanding, and there is a summative project which can form part of your professional portfolio.

This course assumes a knowledge of Android programming and OpenGL. I recommend completing my two Coursera courses on these topics, as these are the perfect primer.",9225.0,1773.0,4.6,10.0
A Simple Picture Storing App with Java and Android Studio,https://www.coursera.org/learn/a-simple-picture-storing-app-with-java-and-android-studio,Computer Science,Mobile and Web Development,Ahmad Varasteh,"By the end of this project, we are going to learn to create a simple picture storing Andriod application using java and Android studio. We are going to learn how to capture pictures in android and how to store them in local storage. We will also learn how to read the image files from the storage. The prerequisite of this course is to be familiar with working with the Android studio environment and have basic knowledge of Android programming in java. this project is for those who are looking for a simple practice to elevate their knowledge of Android programming.",,,,
APIs,https://www.coursera.org/learn/apis,Computer Science,Mobile and Web Development,Taught by Meta Staff,"Delve deeper into the processes and concepts behind APIs and their infrastructure. Explore the key concepts that underpin API development and the principles of representational state transfer architectural style (REST) architecture. Build basic API and REST data backbones for web apps using Django. Discover emerging API technology and practice other ways to build and work with APIs. Finally, you will test, optimize and develop documentation for an API.",3280.0,13171.0,,
Access CSV in an Android Studio Project,https://www.coursera.org/learn/access-csv-android-studio-project,Computer Science,Mobile and Web Development,Ken Cotter,"In this 1-hour long project-based course, you will learn how to create an Asset folder in an Android Studio project / Android app file structure for asset files (eg CSV file), how to access the information in the CSV file from your Android app, and how to display the information from the CSV file in your Android app.

Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.

Projects in Series 1:
1. Build a Simple App in Android Studio with Java
2. Build a Persistent Storage App in Android Studio
3. Build a Linear Layout App in Android Studio
4. Build a Relative Layout App in Android Studio
5. Build a Table Layout App in Android Studio

Projects in Series 2:
1. Build an App in Android Studio using Resources
2. Build an App in Android Studio using Static Files
3. Build an App in Android Studio using Read - Write
4. Build an App in Android Studio using onTouch
5. Build an App in Android Studio using Activities

Projects in Series 3:
1. Access CSV in an Android Studio Project
2. Access SQLite in an Android Studio Project.
3. Access WebView in an Android Studio Project.
4. Access NFC in an Android Studio Project 
5. Access Maps in an Android Studio Project.",,,,
Access Maps in an Android Studio Project,https://www.coursera.org/learn/access-maps-android-studio-project,Computer Science,Mobile and Web Development,Ken Cotter,"In this 1-hour long project-based course, you will learn how to:

•	Create a Google Maps Activity in an Android App using Android Studio
•	Adjust the location accuracy settings of your app, and insert markers in your map
•	Get a Google Maps API Key to use in your app, and adjust the key restrictions

*** You do not need to get a Google Maps API Key to pass the quiz and get the certificate for this project. If you want to get a Google Maps API Key (which is required to make Google Maps function in your app) you will need to set up a free trial google cloud console account as it is through this you would get the key.  You do not have to pay anything to have a trial Google Cloud account or to get and use an API Key the way this project uses it, but when you are setting up a google cloud account they do ask you for credit card details for the account to make sure you are not a bot. You do not have to set up a Google Cloud account or get an API Key if you do not want to.***

Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.


Projects in Series 1:
1. Build a Simple App in Android Studio with Java
2. Build a Persistent Storage App in Android Studio
3. Build a Linear Layout App in Android Studio
4. Build a Relative Layout App in Android Studio
5. Build a Table Layout App in Android Studio

Projects in Series 2:
1. Build an App in Android Studio using Resources
2. Build an App in Android Studio using Static Files
3. Build an App in Android Studio using Read - Write
4. Build an App in Android Studio using onTouch
5. Build an App in Android Studio using Activities

Projects in Series 3:
1. Access CSV in an Android Studio Project
2. Access SQLite in an Android Studio Project.
3. Access WebView in an Android Studio Project.
4. Access NFC in an Android Studio Project 
5. Access Maps in an Android Studio Project.",,,,
Access NFC in an Android Studio Project,https://www.coursera.org/learn/access-nfc-android-studio-project,Computer Science,Mobile and Web Development,Ken Cotter,"In this 1-hour long project-based course, you will learn how to update your Android app code to allow NFC communication to be used, indicate to a device that NFC is a required feature in your app, check that a device has NFC capability, and then use that capability.

Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.

Projects in Series 1:
1. Build a Simple App in Android Studio with Java
2. Build a Persistent Storage App in Android Studio
3. Build a Linear Layout App in Android Studio
4. Build a Relative Layout App in Android Studio
5. Build a Table Layout App in Android Studio

Projects in Series 2:
1. Build an App in Android Studio using Resources
2. Build an App in Android Studio using Static Files
3. Build an App in Android Studio using Read - Write
4. Build an App in Android Studio using onTouch
5. Build an App in Android Studio using Activities

Projects in Series 3:
1. Access CSV in an Android Studio Project
2. Access SQLite in an Android Studio Project.
3. Access WebView in an Android Studio Project.
4. Access NFC in an Android Studio Project 
5. Access Maps in an Android Studio Project.",,,,
Access SQLite in an Android Studio Project,https://www.coursera.org/learn/access-sqlite-android-studio-project,Computer Science,Mobile and Web Development,Ken Cotter,"In this 1-hour long project-based course, you will learn how SQLite databases are used by mobile applications, how to access the information in the SQLite database from your Android app, and how to display the information from the SQLite database in your Android app.

Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.

Projects in Series 1:
1. Build a Simple App in Android Studio with Java
2. Build a Persistent Storage App in Android Studio
3. Build a Linear Layout App in Android Studio
4. Build a Relative Layout App in Android Studio
5. Build a Table Layout App in Android Studio

Projects in Series 2:
1. Build an App in Android Studio using Resources
2. Build an App in Android Studio using Static Files
3. Build an App in Android Studio using Read - Write
4. Build an App in Android Studio using onTouch
5. Build an App in Android Studio using Activities

Projects in Series 3:
1. Access CSV in an Android Studio Project
2. Access SQLite in an Android Studio Project.
3. Access WebView in an Android Studio Project.
4. Access NFC in an Android Studio Project 
5. Access Maps in an Android Studio Project.",,,,
Access WebView in an Android Studio Project,https://www.coursera.org/learn/access-webview-android-studio-project,Computer Science,Mobile and Web Development,Ken Cotter,"In this 1-hour long project-based course, you will learn how to use WebView to access web content within an Android app, how to adjust you android manifest permissions to allow internet access, and how to adjust your app settings to enable/disable safe browsing and JavaScript, and you will display web content inside your app.

Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.

Projects in Series 1:
1. Build a Simple App in Android Studio with Java
2. Build a Persistent Storage App in Android Studio
3. Build a Linear Layout App in Android Studio
4. Build a Relative Layout App in Android Studio
5. Build a Table Layout App in Android Studio

Projects in Series 2:
1. Build an App in Android Studio using Resources
2. Build an App in Android Studio using Static Files
3. Build an App in Android Studio using Read - Write
4. Build an App in Android Studio using onTouch
5. Build an App in Android Studio using Activities

Projects in Series 3:
1. Access CSV in an Android Studio Project
2. Access SQLite in an Android Studio Project.
3. Access WebView in an Android Studio Project.
4. Access NFC in an Android Studio Project 
5. Access Maps in an Android Studio Project.",,,,
Advanced Android Development,https://www.coursera.org/learn/advanced-android-development,Computer Science,Mobile and Web Development,Taught by Meta Staff,"Learn how to manage the lifecycle and data collections of mobile applications. Compare different methodologies for organizing and architecting Android applications and the implications on code quality and team velocity. You will follow the lifecycle activities of fragments from the source of generation and learn how to respond. You will do this by reviewing the Android lifecycle. 

You’ll review and apply different types of Kotlin user interface (UI) interactivity from user input handling to gestures. You’ll get to practice different aspects of working with data in an Android application and you’ll build out a lifecycle and data.",,3366.0,,
Advanced Django: Advanced Django Rest Framework,https://www.coursera.org/learn/codio-advanced-django-advanced-drf,Computer Science,Mobile and Web Development,"Patrick Ester, Ben Shaw","Code and run Django websites without installing anything!

This course is designed for learners who are familiar with Python and basic Django skills (similar to those covered in the Django for Everybody specialization). The modules in this course cover testing, performance considerations such as caching and throttling, use of 3rd party libraries, and integrating frontends within the context of the Django REST framework.

To allow for a truly hands-on, self-paced learning experience, this course is video-free. Assignments contain short explanations with images and runnable code examples with suggested edits to explore code examples further, building a deeper understanding by doing. You’ll benefit from instant feedback from a variety of assessment items along the way, gently progressing from quick understanding checks (multiple choice, fill in the blank, and un-scrambling code blocks) to slowly building features, resulting in large coding projects at the end of the course.

Course Learning Objectives: 
Write and run tests on Django applications
Optimize code performance using caching, throttling, and filtering
Use a 3rd Party library
Integrate with common Frontends",,4674.0,4.9,10.0
