name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
(c++)  تعلم أساسيات لغة سي بلس بلس من خلال التطبيق العملي,https://www.coursera.org/learn/taealam-asasiaat-lughat-c-plus-plus,Computer Science,Software Development,Amani Abbas,"في هذه الدورة التدريبية القائمة على المشروع والتي تستغرق ساعة واحدة، ستتعلم أساسيات لغة سي بلس بلس وفي نهاية المشروع ستقوم بإنشاء تطبيق صراف آلي باستخدام المعلومات والمهارات التي ستتعلمها خلال المشروع.

ستتعلم جميع أساسيات لغة سي بلس بلس بما في ذلك كيفية الحصول على مخرجات من البرنامج ومدخلات من المستخدم،  كيفية كتابة الجمل الشرطية والجمل الشرطية المتداخلة والحلقات بأنواعها، كما ستتعلم أنواع البيانات في ++C وكيفية القيام بالعمليات الحسابية البسيطة، كما سنتطريق لبعض المهارات المتقدمة ككيفية إنشاء دوال جديدة.

لتتمكن في النهاية بإنشاء تطبيق صراف آلي ATM Application يُمكِّن المستخدم من القيام بعدة مهام; كتفقد الرصيد الحالي، والقيام بعمليات السحب والإيداع.",,,,
.Net平台下的软件开发技术毕业项目,https://www.coursera.org/learn/net-ruanjian-kaifa-biye,Computer Science,Software Development,"吴 宁, 谢涛","毕业设计项目将综合5门课程所学知识，设计完成一个基于.Net平台的小型软件项目，以验证你是否具备了.Net应用程序开发的基本能力。

项目具体要求如下：
1. 该系统应该包括客户端和管理端；
2. 客户端包括以下功能：
①用户登录；
②用户注册；
③菜品订购；
④购物车功能；
⑤订单增、删、改、查功能；
3. 管理端包括以下功能：
①用户管理；
②订单管理（增、删、改、查）；
③菜品管理（增、删、改、查）；
④统计管理（日销量、月销量、用户订餐细节）。

如果你能够在.Net环境下利用C#语言独立完成毕设项目，说明你已经达到面向.Net框架的初级程序员水平。",,,,
A Practical Introduction to Test-Driven Development,https://www.coursera.org/learn/a-practical-introduction-to-test-driven-development,Computer Science,Software Development,Doug Purcell,"To be a proficient developer you need to have a solid grasp of test writing before putting code into production. In this course, we will take a hands-on look at Test-Driven Development by writing and implementing tests as soon as week one. TDD starts with good unit tests, so we will start there. Topics will also cover translating user specs into unit tests, applying the Red-Green-Refactor mantra, and applying mocks in python with the unittest.mock module. Once finished, you will have covered all the steps of TDD before development",,6576.0,3.6,21.0
A simple course rater with JavaFX choice box and text area,https://www.coursera.org/learn/a-simple-course-rater-with-javafx-choicebox-and-textarea,Computer Science,Software Development,Dr. Chao Mbogho,"In this project, you will create a simple GUI application in jGrasp using the JavaFX framework. The components of the interface will be arranged in a Grid Pane container. A template program for rating a course is provided to which you will create and add a choice box with ratings such as excellent, good, and poor, a text area to type in comments, and a date picker.  When you click on a button the program will display the selected date picked, selected choice box, and typed comments.",,,,
AI and the Illusion of Intelligence,https://www.coursera.org/learn/ai-and-the-illusion-of-intelligence,Computer Science,Software Development,Daniel Hardt,"Will AI soon be surpassing humans? This is rapidly becoming one of the central questions of our time -- but it is the wrong question. In this course, we will provide a non-technical look at where AI has come from, and where it is going. We will see that there is no reason to expect that AI will be surpassing humans. Instead, what we are learning to create with AI is the illusion of intelligence.",,,,
AI、機械学習、ディープラーニングのための TensorFlow 入門,https://www.coursera.org/learn/introduction-tensorflow-ja,Computer Science,Software Development,Laurence Moroney,"ソフトウェア開発者であれば、拡張性のあるAI搭載アルゴリズムを構築したい場合、構築ツールの使い方を理解する必要があります。この講座は今後学んでいく「TensorFlow in Practice 専門講座」の一部であり、機械学習用の人気のオープンソースフレームワークであるTensorFlowのベストプラクティスを学習します。

アンドリュー・エンの「 The Machine Learning（機械学習）」と「Deep Learning Specialization（ディープラーニング専門講座）」では、機械学習とディープラーニングの最も重要かつ基本的な原理を学習します。deeplearning.aiが提供する新しい「TensorFlow in Practice 専門講座」では、TensorFlowを使用してそれらの原理を実装し、拡張性のあるモデルを構築して現実世界の問題に適用する方法を学びます。ニューラルネットワークの仕組みについての理解を深めるには、「ディープラーニング専門講座」を受講することをお勧めします。",,1825.0,,
ANGULAR تأسيس موقع لسيرتي الذاتية ب,https://www.coursera.org/learn/mahfazat-alzaawi,Computer Science,Software Development,Abdelrahman Tarek Hafez,"فى نهاية هذا المشروع ، ستقوم بإنشاء موقع Web من صفحة واحدة لسيرة الذاتية باستخدام HTML و CSS و ANGULAR. هما الأساس لبناء أي موقع Web أو تطبيق Web وهما معرفة لا غنى عنها لأي مطور Web . يتيح HTML إنشاء تخطيطات صفحات الWeb  وهياكلها بينما تعمل CSS على إثراء صفحات HTML عن طريق إضافة النمط والشعور إليها. أما ANGULAR   فيتيح لك عمل موقع صفحة واحدة.  في النهاية ، ستتمكن من استخدام المعرفة المكتسبة في مشاريع معقدة للغاية تستخدم هذه التقنيات بطريقة أو بأخرى.
هذا المشروع للمبتدئين في مجال البرمجة وتطوير الWeb . يوفر لك الخطوات الأولى لتكون مطورًا أول Web . علاوة على ذلك ، يزودك بالأدوات اللازمة لفهم مفاهيم تصميم الـ Web  بشكل عام. إنه بمثابة نقطة انطلاق للعديد من المسارات الوظيفية مثل مصمم الـ Web .",,,,
API Development on Google Cloud's Apigee API Platform,https://www.coursera.org/learn/api-development-apigee-gcp,Computer Science,Software Development,Google Cloud Training,"""In this course, you learn how to create APIs that utilize multiple services and how you can use custom code on Apigee. You will also learn about fault handling, and how to share logic between proxies. You learn about traffic management and caching. You also create a developer portal, and publish your API to the portal. You learn about logging and analytics, as well as CI/CD and the different deployment models supported by Apigee.

Through a combination of lectures, hands-on labs, and supplemental materials, you will learn how to design, build, secure, deploy, and manage API solutions using Google Cloud's Apigee API Platform. This is the third and final course of the Developing APIs with Google Cloud's Apigee API Platform course series.""",13422.0,8844.0,4.6,1015.0
API Security on Google Cloud's Apigee API Platform,https://www.coursera.org/learn/api-security-apigee-gcp,Computer Science,Software Development,Google Cloud Training,"In this course, you learn how to secure your APIs. You explore the security concerns you will encounter for your APIs. You learn about OAuth, the primary authorization method for REST APIs. You will learn about JSON Web Tokens (JWTs) and federated security. You also learn about securing against malicious requests, safely sending requests across a public network, and how to secure your data for users of Apigee.

Through a combination of lectures, hands-on labs, and supplemental materials, you will learn how to design, build, secure, deploy, and manage API solutions using Google Cloud's Apigee API Platform.

This is the second course of the Developing APIs with Google Cloud's Apigee API Platform series. After completing this course, enroll in the API Development on Google Cloud's Apigee API Platform course.",11994.0,7585.0,4.6,801.0
API Testing Using Rest Assured Test Automation Tool,https://www.coursera.org/learn/api-testing-using-rest-assured-test-automation-tool,Computer Science,Software Development,Saurabh Dhingra,"RestAssured is one of the best test automation tools to test APIs with Java programming language. 

It's an open-source tool and is very easy to code using Rest Assured. 

It also integrates easily with Test Automation tool like TestNG

This project will provide you step by step instructions to write scripts to automate API testing using Rest Assured,  how to automate and test CRUD (Create, Read, Update and Delete) operations with HTTP methods like GET, POST, PUT and DELETE, understanding JSON request and response, adding assertions to the API response.",4684.0,,4.6,144.0
