name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
(c++)  تعلم أساسيات لغة سي بلس بلس من خلال التطبيق العملي,https://www.coursera.org/learn/taealam-asasiaat-lughat-c-plus-plus,Computer Science,Software Development,Amani Abbas,"في هذه الدورة التدريبية القائمة على المشروع والتي تستغرق ساعة واحدة، ستتعلم أساسيات لغة سي بلس بلس وفي نهاية المشروع ستقوم بإنشاء تطبيق صراف آلي باستخدام المعلومات والمهارات التي ستتعلمها خلال المشروع.

ستتعلم جميع أساسيات لغة سي بلس بلس بما في ذلك كيفية الحصول على مخرجات من البرنامج ومدخلات من المستخدم،  كيفية كتابة الجمل الشرطية والجمل الشرطية المتداخلة والحلقات بأنواعها، كما ستتعلم أنواع البيانات في ++C وكيفية القيام بالعمليات الحسابية البسيطة، كما سنتطريق لبعض المهارات المتقدمة ككيفية إنشاء دوال جديدة.

لتتمكن في النهاية بإنشاء تطبيق صراف آلي ATM Application يُمكِّن المستخدم من القيام بعدة مهام; كتفقد الرصيد الحالي، والقيام بعمليات السحب والإيداع.",,,,
.Net平台下的软件开发技术毕业项目,https://www.coursera.org/learn/net-ruanjian-kaifa-biye,Computer Science,Software Development,"吴 宁, 谢涛","毕业设计项目将综合5门课程所学知识，设计完成一个基于.Net平台的小型软件项目，以验证你是否具备了.Net应用程序开发的基本能力。

项目具体要求如下：
1. 该系统应该包括客户端和管理端；
2. 客户端包括以下功能：
①用户登录；
②用户注册；
③菜品订购；
④购物车功能；
⑤订单增、删、改、查功能；
3. 管理端包括以下功能：
①用户管理；
②订单管理（增、删、改、查）；
③菜品管理（增、删、改、查）；
④统计管理（日销量、月销量、用户订餐细节）。

如果你能够在.Net环境下利用C#语言独立完成毕设项目，说明你已经达到面向.Net框架的初级程序员水平。",,,,
3D Graphics in Android: Sensors and VR,https://www.coursera.org/learn/3d-graphics-android-sensors-vr,Computer Science,Mobile and Web Development,Benny Lo,"This course is an ideal introduction into creating virtual environments in Android.  This course is unique as it covers a range of tools and techniques to create immersive 3D environments, giving you a rounded skill set in this growing field.  By the end of this course, you will really be able to bring your VR ideas to life!  

The first part of the course covers animation, lighting and reflection.  We then move onto textures and handling multiple 3D objects.  Finally, we'll look at housing all of this within a binocular view to create a VR experience. 

There are practical exercises throughout the course to apply your understanding, and there is a summative project which can form part of your professional portfolio.

This course assumes a knowledge of Android programming and OpenGL. I recommend completing my two Coursera courses on these topics, as these are the perfect primer.",9225.0,1773.0,4.6,10.0
3D Interaction Design in Virtual Reality,https://www.coursera.org/learn/3d-interaction-design-virtual-reality,Computer Science,Design and Product, Dr Sylvia Xueni Pan,"This course will teach you about one of the most important aspects of VR, how you interact with a VR world. Virtual Reality is completely different from an on screen app or game. You are completely immersed in a VR world, so it doesn't make sense to interact only through buttons or menus. You will get the most out of VR if you can interact with the world just as you would with the real world: with your natural body movements. You will learn about the basic concepts and technologies of VR Interaction. You will then get hands on, learning about how to move around in VR and how to interact with the objects in your world. The course will finish with some advice from experts on VR interaction design and you will do a project where you will get real experience of developing VR Interaction.",14081.0,14229.0,4.6,123.0
3D Models for Virtual Reality,https://www.coursera.org/learn/3d-models-virtual-reality,Computer Science,Design and Product, Dr Sylvia Xueni Pan,"This course will begin your journey to creating Virtual Reality experiences. A Virtual Reality experience is a new world that you step into and are entirely immersed in. Creating a VR experience means creating that world and all the objects in it. 

In this course you will learn the basics of 3D graphics: how we create objects and how to lay them out to create an environment. You will learn techniques like materials and texturing that make your objects appear realistic. You will also learn about audio techniques to ensure that your experiences sound great as well as looking great. In all of these topics we will pay attention to the particular requirements of Virtual Reality, including pitfalls and performance issues: making sure your environment runs fast enough in VR. 

You will learn all of this using the professional game and VR engine, Unity3D. Unity is one of the most used game engine and is a relatively easy, but fully featured, introduction to 3D development. 

The course will culminate in a project in which you will create your own VR scene. VR development is something you can only learn by doing it yourself, so working on your project will be the best way to learn.",39418.0,22889.0,4.6,366.0
3D Reconstruction - Multiple Viewpoints,https://www.coursera.org/learn/3d-reconstruction-multiple-viewpoints,Computer Science,Algorithms,Shree Nayar,"This course focuses on the recovery of the 3D structure of a scene from images taken from different viewpoints. We start by first building a comprehensive geometric model of a camera and then develop a method for finding (calibrating) the internal and external parameters of the camera model. Then, we show how two such calibrated cameras, whose relative positions and orientations are known, can be used to recover the 3D structure of the scene. This is what we refer to as simple binocular stereo. Next, we tackle the problem of uncalibrated stereo where the relative positions and orientations of the two cameras are unknown. Interestingly, just from the two images taken by the cameras, we can both determine the relative positions and orientations of the cameras and then use this information to estimate the 3D structure of the scene. 

Next, we focus on the problem of dynamic scenes. Given two images of a scene that includes moving objects, we show how the motion of each point in the image can be computed. This apparent motion of points in the image is called optical flow. Optical flow estimation allows us to track scene points over a video sequence. Next, we consider the video of a scene shot using a moving camera, where the motion of the camera is unknown. We present structure from motion that takes as input tracked features in such a video and determines not only the 3D structure of the scene but also how the camera moves with respect to the scene. The methods we develop in the course are widely used in object modeling, 3D site modeling, robotics, autonomous navigation, virtual reality and augmented reality.",,7022.0,4.7,12.0
3D Reconstruction - Single Viewpoint,https://www.coursera.org/learn/3d-reconstruction---single-viewpoint,Computer Science,Algorithms,Shree Nayar,"This course focuses on the recovery of the 3D structure of a scene from its 2D images. In particular, we are interested in the 3D reconstruction of a rigid scene from images taken by a stationary camera (same viewpoint). This problem is interesting as we want the multiple images of the scene to capture complementary information despite the fact that the scene is rigid and the camera is fixed. To this end, we explore several ways of capturing images where each image provides additional information about the scene.

In order to estimate scene properties (depth, surface orientation, material properties, etc.) we first define several important radiometric concepts, such as, light source intensity, surface illumination, surface brightness, image brightness and surface reflectance. Then, we tackle the challenging problem of shape from shading - recovering the shape of a surface from its shading in a single image. Next, we show that if multiple images of a scene of known reflectance are taken while changing the illumination direction, the surface normal at each scene point can be computed. This method, called photometric stereo, provides a dense surface normal map that can be integrated to obtain surface shape. 

Next, we discuss depth from defocus, which uses the limited depth of field of the camera to estimate scene structure. From a small number of images taken by changing the focus setting of the lens, a dense depth of the scene is recovered. Finally, we present a suite of techniques that use active illumination (the projection of light patterns onto the scene) to get precise 3D reconstructions of the scene. These active illumination methods are the workhorse of factory automation. They are used on manufacturing lines to assemble products and inspect their visual quality. They are also extensively used in other domains such as driverless cars, robotics, surveillance, medical imaging and special effects in movies.",1582.0,7928.0,4.9,10.0
4 In A Row Game Development with Google Cloud + Unity,https://www.coursera.org/learn/googlecloud-4-in-a-row-game-development-with-google-cloud-unity-hfcwa,Computer Science,Design and Product,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
A Practical Introduction to Test-Driven Development,https://www.coursera.org/learn/a-practical-introduction-to-test-driven-development,Computer Science,Software Development,Doug Purcell,"To be a proficient developer you need to have a solid grasp of test writing before putting code into production. In this course, we will take a hands-on look at Test-Driven Development by writing and implementing tests as soon as week one. TDD starts with good unit tests, so we will start there. Topics will also cover translating user specs into unit tests, applying the Red-Green-Refactor mantra, and applying mocks in python with the unittest.mock module. Once finished, you will have covered all the steps of TDD before development",,6576.0,3.6,21.0
A Simple Picture Storing App with Java and Android Studio,https://www.coursera.org/learn/a-simple-picture-storing-app-with-java-and-android-studio,Computer Science,Mobile and Web Development,Ahmad Varasteh,"By the end of this project, we are going to learn to create a simple picture storing Andriod application using java and Android studio. We are going to learn how to capture pictures in android and how to store them in local storage. We will also learn how to read the image files from the storage. The prerequisite of this course is to be familiar with working with the Android studio environment and have basic knowledge of Android programming in java. this project is for those who are looking for a simple practice to elevate their knowledge of Android programming.",,,,
