name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
1. 基礎知識：データはあらゆるところにある,https://www.coursera.org/learn/foundations-data-japanese,Data Science,Data Analysis,Google Career Certificates,"Google データアナリティクス プロフェッショナル認定プログラムの最初のコースです。各コースでは、初歩的なデータ アナリスト業務に必要なスキルを習得します。あらゆる組織で、プロセスの改善、商機とトレンドの見極め、新製品のリリース、慎重な意思決定などに、データ アナリストが必要とされています。このコースでは、Google が開発した実践的なカリキュラムを通じてデータ アナリティクスの世界を紹介します。教材では、データ アナリティクスに関する多数の主要トピックに触れながら、Google データアナリティクス プロフェッショナル認定プログラムの概要がわかるよう工夫されています。現職の Google データ アナリストが、最適なツールやリソースを使って、一般的なアナリスト業務を遂行する実践的な方法を指導します。

この認定プログラムを修了すると、エントリーレベルのデータ アナリスト職に応募できるようになります。過去の業務経験は不要です。

このコース修了後の目標は以下の通りです。
- ジュニア データ アナリストやアソシエート データ アナリストが日常的に関わる業務やプロセスを理解できるようになる。
- 専門的なツールボックスに追加できる、主要な分析スキル（データ クリーニング、データ分析、データの可視化）とツール（スプレッドシート、SQL、R プログラミング、Tableau）を習得する。
- データのライフサイクルやデータ分析プロセスなど、ジュニア データ アナリストの業務に関わる数多くの用語や概念を理解できるようになる。
- データ エコシステムにおけるアナリティクスの役割を評価できるようになる。
- 分析的思考について自己診断ができるようになる。
- コース修了後、求人情報を検索でき、求職活動のベストプラクティスを知る。",5406.0,119027.0,4.7,80.0
2. データに基づいた意思決定を行うための問いかけ,https://www.coursera.org/learn/ask-questions-make-decisions-japanese,Data Science,Data Analysis,Google Career Certificates,"Google データアナリティクス プロフェッショナル認定プログラムの 2 つめのコースです。各コースでは、初歩的なデータ アナリスト業務に必要なスキルを習得します。

このコースでは、1 つめのコースで紹介されたトピックの理解をさらに深めながら、データ主導の意思決定を行うための効果的な問いかけの方法を学び、ステークホルダーのニーズと結びつけられるようになることを目指します。また、現職の Google データ アナリストが、最適なツールやリソースを使って、一般的なアナリスト業務を遂行する実践的な方法を指導します。

この認定プログラムを修了すると、エントリーレベルのデータ アナリスト職に応募できるようになります。過去の業務経験は不要です。

このコース修了後の目標は以下の通りです。
- 分析を行う際の、効果的な問いかけのテクニックを学ぶ。
- データ主導の意思決定とデータアナリストのプレゼンテーション方法について理解する。
- 問いかけと意思決定の理解を深めるために、ビジネスのさまざまなシナリオを検証する。
- データアナリストにとって、表計算ソフトが重要なツールであることを理解する。
- 構造化思考に関連するアイデアについて検証する。また、それらがデータアナリストが課題を理解し、ソリューションを生み出すためにどう役立つかを学ぶ。
- ビジネスにおける目標を達成するために、データアナリティクスチームと明確なコミュニケーションを取りながら、ステークホルダーの期待値を管理するための戦略について学ぶ。",1535.0,109144.0,4.6,20.0
3. 探索用データを準備する,https://www.coursera.org/learn/data-preparation-japanese,Data Science,Data Analysis,Google Career Certificates,"Google データアナリティクス プロフェッショナル認定プログラムの 3 つめのコースです。このコースでは、1～2 つめのコースで学んだトピックの理解を深めながら、表計算ソフトや SQL などのツールを使って目的に合ったデータを抽出し活用する方法、データの整理と保護の方法など、より実践的なデータアナリティクススキルを身につけるための新しいトピックについても学びます。

また、現職の Google データ アナリストが、最適なツールやリソースを使って、一般的なアナリスト業務を遂行する実践的な方法を指導します。

この認定プログラムを修了すると、エントリーレベルのデータ アナリスト職に応募できるようになります。過去の業務経験は不要です。

このコース修了後の目標は以下の通りです。
- データアナリストが、分析のために収集するデータをどのように決定するかを知る。
 - 構造化データや非構造化データ、データ型、データ形式について学ぶ。
- データの信頼性を確保するために、データの中にあるさまざまな種類のバイアスを識別する方法を知る。
- データベースやデータセットに対して、データアナリストがどのように表計算ソフトや SQL を使用するかを学ぶ。
 - オープンデータや、データ倫理とデータプライバシーの関連性および重要性を理解する。
 - データベースにアクセスし、データを抽出、フィルタリング、並べ替えする方法について理解する。
 - データを整理し、安全に管理するためのベストプラクティスを学ぶ。",,74173.0,,
3D Data Visualization for Science Communication,https://www.coursera.org/learn/data-visualization-science-communication,Data Science,Data Analysis,"Kalina Borkiewicz, AJ Christensen","This course is an introduction to 3D scientific data visualization, with an emphasis on science communication and cinematic design for appealing to broad audiences. You will develop visualization literacy, through being able to interpret/analyze (read) visualizations and create (write) your own visualizations.

By the end of this course, you will:
-Develop visualization literacy.
-Learn the practicality of working with spatial data.
-Understand what makes a scientific visualization meaningful.
-Learn how to create educational visualizations that maintain scientific accuracy.
-Understand what makes a scientific visualization cinematic.
-Learn how to create visualizations that appeal to broad audiences.
-Learn how to work with image-making software. (for those completing the Honors track)",3471.0,4115.0,,
3D SARS-CoV-19 Protein Visualization With Biopython,https://www.coursera.org/learn/3d-sars-cov-19-protein-visualization-with-biopython,Data Science,Data Analysis,Bhagesh Hunakunti,"In this project you will create an interactive three-dimensional (3D) representation of SARS-CoV-19 (Coronavirus) protein structures & publication-quality pictures of the same, understand properties of SARS-CoV-19 genome, handle biological sequence data stored in FASTA & PDB (Protein Data Bank) and XML format, and get insights from this data using Biopython. This hands-on project will also give you a glimpse of tasks a Bioinformatician performs on a daily basis, along with the up-to-date concepts and database use cases in the field of Medical Research and Human genetics. 

In this project, we will also cover basics about important databases used by biologists and biotechnologists, along with the type of sequence data we can access and visualize from these databases using Biopython & Jupyter notebook.",,,4.5,70.0
4.「ダーティー」なデータを「クリーン」にする,https://www.coursera.org/learn/process-data-japanese,Data Science,Data Analysis,Google Career Certificates,"Google データアナリティクス プロフェッショナル認定プログラムの 4 つめのコースです。このコースでは、1～3 つめのコースで学んだトピックの理解を深めながら、表計算ソフトや SQL を使ったデータのチェックやクリーニングの方法、またデータクリーニング結果の検証やレポートの作成方法についても学びます。また、現職の Google データ アナリストが、最適なツールやリソースを使って、一般的なアナリスト業務を遂行する実践的な方法を指導します。

この認定プログラムを修了すると、エントリーレベルのデータ アナリスト職に応募できるようになります。過去の業務経験は不要です。

このコース修了後の目標は以下の通りです。
 - データ完全性を確認する方法を学ぶ。
 - 表計算ソフトを使ったデータクリーニングの方法を学ぶ。
 - データベースで使用する、基本的な SQL クエリを作成できる。
 - データクリーニングと変換に基本的な SQL 関数を当てはめることができる。
 - データクリーニングの結果を検証する方法を理解する。
 - データクリーニングのレポートの要素と重要性を理解する。",,41569.0,,
5 .データを分析し、答えを導き出す,https://www.coursera.org/learn/analyze-data-japanese,Data Science,Data Analysis,Google Career Certificates,"Google データアナリティクス プロフェッショナル認定の 5 つめのコースです。このプログラムでは、エントリーレベルのデータアナリストの仕事に就くために必要なスキルを身につけることができます。このコースでは、データ分析プロセスの「分析」フェーズを探求します。ここまでに学んだことを分析に応用し、収集したデータの意味を理解していきます。表計算ソフトや SQL を使ってデータを整理し、フォーマットする方法を学び、データをさまざまな方法で見たり考えたりできるようにします。また、ビジネス上の目標を達成するために、データを使って複雑な計算を行う方法や、数式、関数、SQL クエリの使い方を学びながら、分析を進めていきます。現職の Google データ アナリストが、最適なツールやリソースを使って、一般的なアナリスト業務を遂行する実践的な方法を指導します。

この認定プログラムを修了すると、エントリーレベルのデータ アナリスト職に応募できるようになります。過去の業務経験は不要です。

このコース修了後の目標は以下の通りです。
 - 分析のためにデータを整理する方法を学ぶ。
 - データをフォーマットし、調整するためのプロセスを理解する。
 - 表計算ソフトや SQL を使ったデータの集計方法を理解する。
 - 表計算ソフトの数式や関数を使用してデータを計算する。
 - SQL クエリを使用して計算する。",,34573.0,,
6. データ可視化（ビジュアライゼーション）による、データの共有,https://www.coursera.org/learn/visualize-data-japanese,Data Science,Data Analysis,Google Career Certificates,"Google データアナリティクスプロフェッショナル認定プログラムの 6 つめのコースです。このプログラムでは、エントリーレベルのデータアナリストの仕事に就くために必要なスキルを身につけることができます。このコースでは、データ分析プロセスを完了し、データから発見したことを視覚化、プレゼンテーションする方法を学びます。ビジュアル ダッシュボードなどのデータビジュアライゼーションの手法を活用して、データに命を吹き込んでいきます。また、プレゼンテーションに効果的なビジュアライゼーションを作成できるプラットフォーム Tableau についても学びます。現職の Google データ アナリストが、最適なツールやリソースを使って、一般的なアナリスト業務を遂行する実践的な方法を指導します。

この認定プログラムを修了すると、エントリーレベルのデータ アナリスト職に応募できるようになります。過去の業務経験は不要です。

このコース修了後の目標は以下の通りです。
 - データ ビジュアライゼーションの重要性を理解する。
 - データのストーリーを通して説得力のあるナラティブを組み立てる方法を学ぶ。
 - Tableau を使用してダッシュボードとダッシュボード フィルタを作成する方法を理解する。
 - Tableau を使用して効果的なビジュアライゼーションを作成する方法を理解する。
 - 効果的なプレゼンテーションの原則と実践方法を学ぶ。
 - プレゼンテーション時に検討すべき考えうるデータの制限事項を学ぶ。
 - 聞き手との Q&A に関するベストプラクティスを理解する。",,26674.0,,
7. データ分析とR 言語（日本語版近日公開予定）,https://www.coursera.org/learn/data-analysis-r-japanese,Data Science,Data Analysis,Google Career Certificates,"Google データアナリティクスプロフェッショナル認定プログラムの 7 つめのコースです。このプログラムでは、エントリーレベルのデータアナリストの仕事に就くために必要なスキルを身につけることができます。このコースでは、R というプログラミング言語と、R で作業する環境としての RStudio の使い方を学びます。また、R パッケージなど、R 特有のソフトウェア アプリケーションやツールについても学びます。R を使ってより優れた新しい手法でデータのクリーニング、整理、分析、可視化、レポート作成が可能になることを体感していただきます。 現職の Google データ アナリストが、最適なツールやリソースを使って、一般的なアナリスト業務を遂行する実践的な方法を指導します。

この認定プログラムを修了すると、エントリーレベルのデータ アナリスト職に応募できるようになります。過去の業務経験は不要です。

このコース修了後の目標は以下の通りです。
 - R プログラミング言語を使用することのメリットを理解する。
 - RStudio を使用して、R を分析に適用する方法を理解する。
 - R でのプログラミングに関連する基本的な概念を理解する。
 - Tidyverse パッケージを含む R パッケージの内容およびコンポーネントを探求する。
 - データフレームとその R での使用について理解する。
 - R でビジュアライゼーションを作成するためのオプションについて学ぶ。
 - R プログラミングを文書化するための R Markdown について学ぶ。",,2025.0,,
8. 学びの総仕上げとしての最終課題：ケーススタディ（日本語版近日公開予定）,https://www.coursera.org/learn/google-data-analytics-capstone-japanese,Data Science,Data Analysis,Google Career Certificates,"Google データアナリティクスプロフェッショナル認定プログラムの 8 つめのコースです。オプションでケーススタディを行い、データ分析に関連する職に就くための就職活動に備えます。ケーススタディは、候補者の分析能力を評価するために雇用主がよく活用するものです。ケーススタディでは、分析に基づくシナリオを選択します。そして、シナリオから得たデータをもとに、問いかけ、準備、処理、分析、共有、行動をしていただきます。その他にも、面接でよく聞かれる質問や回答、オンラインでポートフォリオを作成する際に役立つ資料などを動画で紹介し、就職活動で役立つスキルを身につけます。現職の Google データ アナリストが、最適なツールやリソースを使って、一般的なアナリスト業務を遂行する実践的な方法を指導します。

この認定プログラムを修了すると、エントリーレベルのデータ アナリスト職に応募できるようになります。過去の業務経験は不要です。

このコース修了後の目標は以下の通りです。
 - 就職活動におけるケーススタディとポートフォリオのメリットと活用方法を学ぶ。
 - 実際の面接のシナリオと一般的な面接での質問について学ぶ。
 - ケーススタディがどう面接プロセスの一部となり得るかを知る。
 - 様々なケーススタディのシナリオを検討し、考察する。
 - 自分のポートフォリオ用にケーススタディを完成させる。",,,,
