name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
A Crash Course in Causality:  Inferring Causal Effects from Observational Data,https://www.coursera.org/learn/crash-course-in-causality,Data Science,Probability and Statistics,"Jason A. Roy, Ph.D. ","We have all heard the phrase “correlation does not equal causation.”  What, then, does equal causation?  This course aims to answer that question and more!  

Over a period of 5 weeks, you will learn how causal effects are defined, what assumptions about your data and models are necessary, and how to implement and interpret some popular statistical methods.  Learners will have the opportunity to apply these methods to example data in R (free statistical software environment).

At the end of the course, learners should be able to:
1.  Define causal effects using potential outcomes
2.  Describe the difference between association and causation
3.  Express assumptions with causal graphs
4.  Implement several types of causal inference methods (e.g. matching, instrumental variables, inverse probability of treatment weighting)
5.  Identify which causal assumptions are necessary for each type of statistical method

So join us.... and discover for yourself why modern statistical methods for estimating causal effects are indispensable in so many fields of study!",34265.0,45342.0,4.7,474.0
ANOVA and Experimental Design,https://www.coursera.org/learn/anova-and-experimental-design,Data Science,Probability and Statistics,Brian Zaharatos,"This second course in statistical modeling will introduce students to the study of the analysis of variance (ANOVA), analysis of covariance (ANCOVA), and experimental design. ANOVA and ANCOVA, presented as a type of linear regression model, will provide the mathematical basis for designing experiments for data science applications. Emphasis will be placed on important design-related concepts, such as randomization, blocking, factorial design, and causality. Some attention will also be given to ethical issues raised in experimentation.

This course can be taken for academic credit as part of CU Boulder’s Master of Science in Data Science (MS-DS) degree offered on the Coursera platform. The MS-DS is an interdisciplinary degree that brings together faculty from CU Boulder’s departments of Applied Mathematics, Computer Science, Information Science, and others. With performance-based admissions and no application process, the MS-DS is ideal for individuals with a broad range of undergraduate education and/or professional experience in computer science, information science, mathematics, and statistics. Learn more about the MS-DS program at https://www.coursera.org/degrees/master-of-science-data-science-boulder.

Logo adapted from photo by Vincent Ledvina on Unsplash",1880.0,17421.0,,
Advanced Linear Models for Data Science 1: Least Squares,https://www.coursera.org/learn/linear-models,Data Science,Probability and Statistics,"Brian Caffo, PhD","Welcome to the Advanced Linear Models for Data Science Class 1: Least Squares. This class is an introduction to least squares from a linear algebraic and mathematical perspective. Before beginning the class make sure that you have the following:

- A basic understanding of linear algebra and multivariate calculus.
- A basic understanding of statistics and regression models.
- At least a little familiarity with proof based mathematics.
- Basic knowledge of the R programming language.

After taking this course, students will have a firm foundation in a linear algebraic treatment of regression modeling. This will greatly augment applied data scientists' general understanding of regression models.",26587.0,5454.0,4.4,171.0
Advanced Linear Models for Data Science 2: Statistical Linear Models,https://www.coursera.org/learn/linear-models-2,Data Science,Probability and Statistics,"Brian Caffo, PhD","Welcome to the Advanced Linear Models for Data Science Class 2: Statistical Linear Models. This class is an introduction to least squares from a linear algebraic and mathematical perspective. Before beginning the class make sure that you have the following:

- A basic understanding of linear algebra and multivariate calculus.
- A basic understanding of statistics and regression models.
- At least a little familiarity with proof based mathematics.
- Basic knowledge of the R programming language.

After taking this course, students will have a firm foundation in a linear algebraic treatment of regression modeling. This will greatly augment applied data scientists' general understanding of regression models.",21165.0,3567.0,4.5,83.0
An Intuitive Introduction to Probability,https://www.coursera.org/learn/introductiontoprobability,Data Science,Probability and Statistics,Karl Schmedders,"This course will provide you with a basic, intuitive and practical introduction into Probability Theory. You will be able to learn how to apply Probability Theory in different scenarios and you will earn a ""toolbox"" of methods to deal with uncertainty in your daily life. 

The course is split in 5 modules. In each module you will first have an easy introduction into the topic, which will serve as a basis to further develop your knowledge about the topic and acquire the ""tools"" to deal with uncertainty. Additionally, you will have the opportunity to complete 5 exercise sessions to reflect about the content learned in each module and start applying your earned knowledge right away. 

The topics covered are: ""Probability"", ""Conditional Probability"", ""Applications"", ""Random Variables"", and ""Normal Distribution"".

You will see how the modules are taught in a lively way, focusing on having an entertaining and useful learning experience! We are looking forward to see you online!",57237.0,56936.0,4.8,1439.0
Basic Statistics,https://www.coursera.org/learn/basic-statistics,Data Science,Probability and Statistics,"Matthijs Rooduijn, Emiel van Loon","Understanding statistics is essential to understand research in the social and behavioral sciences. In this course you will learn the basics of statistics; not just how to calculate them, but also how to evaluate them. This course will also prepare you for the next course in the specialization - the course Inferential Statistics. 

In the first part of the course we will discuss methods of descriptive statistics. You will learn what cases and variables are and how you can compute measures of central tendency (mean, median and mode) and dispersion (standard deviation and variance). Next, we discuss how to assess relationships between variables, and we introduce the concepts correlation and regression. 

The second part of the course is concerned with the basics of probability: calculating probabilities, probability distributions and sampling distributions. You need to know about these things in order to understand how inferential statistics work. 

The third part of the course consists of an introduction to methods of inferential statistics - methods that help us decide whether the patterns we see in our data are strong enough to draw conclusions about the underlying population we are interested in. We will discuss confidence intervals and significance tests.

You will not only learn about all these statistical concepts, you will also be trained to calculate and generate these statistics yourself using freely available statistical software.",258298.0,165068.0,4.6,4240.0
Basic Statistics in Python (Correlations and T-tests),https://www.coursera.org/learn/basic-statistics-python-ttest-corr,Data Science,Probability and Statistics,Laura Gemmell,"By the end of this project, you will learn how to use Python for basic statistics (including t-tests and correlations). We will learn all the important steps of analysis, including loading, sorting and cleaning data. In this course, we will use exploratory data analysis to understand our data and plot boxplots to visualize the data. Boxplots also allow us to investigate any outliers in our datasets. We will then learn how to examine relationships between the different data using correlations and scatter plots. Finally, we will compare data using t-tests. Throughout this course we will analyse a dataset on Science and Technology from World Bank. The measures in this dataset are numeric, therefore you will learn how to handle and compare numeric data. 

This guided project is for anyone with an interest in performing statistical analysis using Python. This could be someone from a social science background with statistics knowledge who wants to advance their analysis, or anyone interested in analysing data.",,,4.4,24.0
Bayesian Statistics: From Concept to Data Analysis,https://www.coursera.org/learn/bayesian-statistics,Data Science,Probability and Statistics,Herbert Lee,"This course introduces the Bayesian approach to statistics, starting with the concept of probability and moving to the analysis of data. We will learn about the philosophy of the Bayesian approach as well as how to implement it for common types of data. We will compare the Bayesian approach to the more commonly-taught Frequentist approach, and see some of the benefits of the Bayesian approach. In particular, the Bayesian approach allows for better accounting of uncertainty, results that have more intuitive and interpretable meaning, and more explicit statements of assumptions. This course combines lecture videos, computer demonstrations, readings, exercises, and discussion boards to create an active learning experience. For computing, you have the choice of using Microsoft Excel or the open-source, freely available statistical package R, with equivalent content for both options. The lectures provide some of the basic mathematical development as well as explanations of philosophy and interpretation. Completion of this course will give you an understanding of the concepts of the Bayesian approach, understanding the key differences between Bayesian and Frequentist approaches, and the ability to do basic data analyses.",135290.0,63080.0,4.6,3009.0
Bayesian Statistics: Techniques and Models,https://www.coursera.org/learn/mcmc-bayesian-statistics,Data Science,Probability and Statistics,Matthew Heiner,"This is the second of a two-course sequence introducing the fundamentals of Bayesian statistics. It builds on the course Bayesian Statistics: From Concept to Data Analysis, which introduces Bayesian methods through use of simple conjugate models. Real-world data often require more sophisticated models to reach realistic conclusions. This course aims to expand our “Bayesian toolbox” with more general models, and computational techniques to fit them. In particular, we will introduce Markov chain Monte Carlo (MCMC) methods, which allow sampling from posterior distributions that have no analytical solution. We will use the open-source, freely available software R (some experience is assumed, e.g., completing the previous course in R) and JAGS (no experience required). We will learn how to construct, fit, assess, and compare Bayesian statistical models to answer scientific questions involving continuous, binary, and count data. This course combines lecture videos, computer demonstrations, readings, exercises, and discussion boards to create an active learning experience. The lectures provide some of the basic mathematical development, explanations of the statistical modeling process, and a few basic modeling techniques commonly used by statisticians. Computer demonstrations provide concrete, practical walkthroughs. Completion of this course will give you access to a wide range of Bayesian analytical tools, customizable to your data.",50194.0,30314.0,4.8,449.0
Bayesian Statistics: Time Series Analysis,https://www.coursera.org/learn/bayesian-statistics-time-series-analysis,Data Science,Probability and Statistics,Raquel Prado,"This course for practicing and aspiring data scientists and statisticians. It is the fourth of a four-course sequence introducing the fundamentals of Bayesian statistics. It builds on the course Bayesian Statistics: From Concept to Data Analysis, Techniques and Models, and Mixture models. 

Time series analysis is concerned with modeling the dependency among elements of a sequence of temporally related variables. To succeed in this course, you should be familiar with calculus-based probability, the principles of maximum likelihood estimation, and Bayesian inference. You will learn how to build models that can describe temporal dependencies and how to perform Bayesian inference and forecasting for the models. You will apply what you've learned with the open-source, freely available software R with sample databases. Your instructor Raquel Prado will take you from basic concepts for modeling temporally dependent data to implementation of specific classes of models",1716.0,11257.0,,
Building Similarity Based Recommendation System,https://www.coursera.org/learn/building-similarity-based-recommendation-system,Data Science,Probability and Statistics,Bhaskarjit Sarmah,"Welcome to this 1-hour project-based course on Building Similarity Based Recommendation System. In this project, you will learn how similarity based collaborative filtering recommendation systems work, how you can collect data for building such systems. You will learn what are some different ways you to compute similarity between users and recommend items based on products interacted by other similar users. You will learn to create user item interactions matrix from the original dataset and also how to recommend items to a new user who does not have any historical interactions with the items.


Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",1548.0,,4.3,30.0
Causal Inference,https://www.coursera.org/learn/causal-inference,Data Science,Probability and Statistics,Michael E. Sobel,"This course offers a rigorous mathematical survey of causal inference at the Master’s level.

Inferences about causation are of great importance in science, medicine, policy, and business.  This course provides an introduction to the statistical literature on causal inference that has emerged in the last 35-40 years and that has revolutionized the way in which statisticians and applied researchers in many disciplines use data to make inferences about causal relationships.  

We will study methods for collecting data to estimate causal relationships. Students will learn how to distinguish between relationships that are causal and non-causal; this is not always obvious. We shall then study and evaluate the various methods students can use — such as matching, sub-classification on the propensity score, inverse probability of treatment weighting, and machine learning — to estimate a variety of effects — such as the average treatment effect and the effect of treatment on the treated. At the end, we discuss methods for evaluating some of the assumptions we have made, and we offer a look forward to the extensions we take up in the sequel to this course.",14535.0,6451.0,3.3,68.0
Causal Inference  2,https://www.coursera.org/learn/causal-inference-2,Data Science,Probability and Statistics,Michael E. Sobel,"This course offers a rigorous mathematical survey of advanced topics in causal inference at the Master’s level.

Inferences about causation are of great importance in science, medicine, policy, and business.  This course provides an introduction to the statistical literature on causal inference that has emerged in the last 35-40 years and that has revolutionized the way in which statisticians and applied researchers in many disciplines use data to make inferences about causal relationships.  

We will study advanced topics in causal inference, including mediation, principal stratification, longitudinal causal inference, regression discontinuity, interference, and fixed effects models.",4788.0,2561.0,3.4,14.0
Data Science Fundamentals for Data Analysts,https://www.coursera.org/learn/data-science-fundamentals-for-data-analysts,Data Science,Probability and Statistics,"Emma Freeman, Mark Roepke","In this course we're going to guide you through the fundamental building blocks of data science, one of the fastest-growing fields in the world! 

With the help of our industry-leading data scientists, we’ve designed this course to build ready-to-apply data science skills in just 15 hours of learning. First, we’ll give you a quick introduction to data science - what it is and how it is used to solve real-world problems. For the rest of the course, we'll teach you the skills you need to apply foundational data science concepts and techniques to solve these real-world problems. 

By the end of this course, you'll be able to leverage your existing data analysis skills to design, execute, assess, and communicate the results of your very own data science projects.",5071.0,15050.0,4.1,35.0
Data and Statistics Foundation for Investment Professionals,https://www.coursera.org/learn/data-statistics-foundation-investment,Data Science,Probability and Statistics,"Neil Govier, CFA","Aimed at investment professionals or those with investment industry knowledge, this course offers an introduction to the basic data and statistical techniques that underpin data analysis and lays an essential foundation in the techniques that are used in big data and machine learning. It introduces the topics and gives practical examples of how they are used by investment professionals, including the importance of presenting the “data story"" by using appropriate visualizations and report writing. 

In this course you will learn how to: 
- Explain basic statistical measures and their application to real-life data sets 
- Calculate and interpret measures of dispersion and explain deviations from a normal distribution 
- Understand the use and appropriateness of different distributions 
- Compare and contrast ways of visualizing data and create them using Python (no prior knowledge of Python necessary)
- Explain sampling theory and draw inferences about population parameters from sample statistics 
- Formulate hypotheses on investment problems

This course is part of the Data Science for Investment Professionals Specialization offered by CFA Institute.",4494.0,41523.0,4.5,31.0
"Data – What It Is, What We Can Do With It",https://www.coursera.org/learn/data-what-it-is-what-can-we-do-with-it,Data Science,Probability and Statistics,"Jennifer Bachner, PhD","This course introduces students to data and statistics.  By the end of the course, students should be able to interpret descriptive statistics, causal analyses and visualizations to draw meaningful insights.  

The course first introduces a framework for thinking about the various purposes of statistical analysis.  We’ll talk about how analysts use data for descriptive, causal and predictive inference.  We’ll then cover how to develop a research study for causal analysis, compute and interpret descriptive statistics and design effective visualizations.  The course will help you to become a thoughtful and critical consumer of analytics. 

If you are in a field that increasingly relies on data-driven decision making, but you feel unequipped to interpret and evaluate data, this course will help you develop these fundamental tools of data literacy.",4302.0,6401.0,4.6,105.0
Datenanalyse mit deskriptiver Statistik in R,https://www.coursera.org/learn/datenanalyse-mit-deskriptiver-statistik-in-r,Data Science,Probability and Statistics,Sandro Raabe,"In diesem Projekt wirst du lernen, wie du aus beliebigen Datensätzen deskriptive Statistiken berechnest. Deskriptive Statistiken sind Kennzahlen, die du explizit aus dem Datensatz berechnen kannst (im Gegensatz zu induktiver Statistik, bei der du den vollen Datensatz nicht kennst und deshalb Hypothesentests ausführst, um Kennzahlen zu schätzen).

Im Anschluss wirst du lernen, wie du automatisiert einen statistischen Report für beliebige Datensätze erstellst, der dir tabellarisch berichtet, wie viele Werte fehlen, wo die Mittelwerte liegen, und so weiter. Dieser Report ist meistens der erste Schritt, einen Datensatz zu verstehen und deine nächsten Datenanalyse-Schritte zu planen.

Am Ende dieses Projekts wirst du in der Lage sein, jeden dir unbekannten Datensatz mit deskriptiver Statistik zu analysieren und einen Datenreport automatisiert zu erstellen.",,,,
Econometrics: Methods and Applications,https://www.coursera.org/learn/erasmus-econometrics,Data Science,Probability and Statistics,"Francine Gresnigt, Dennis Fok, Michel van der Wel, Erik Kole, Christiaan Heij, Wendun Wang, Richard Paap, Dick van Dijk , Philip Hans Franses, Myrthe van Dieijen","Welcome!

Do you wish to know how to analyze and solve business and economic questions with data analysis tools? Then Econometrics by Erasmus University Rotterdam is the right course for you, as you learn how to translate data into models to make forecasts and to support decision making.

* What do I learn?
When you know econometrics, you are able to translate data into models to make forecasts and to support decision making in a wide variety of fields, ranging from macroeconomics to finance and marketing. Our course starts with introductory lectures on simple and multiple regression, followed by topics of special interest to deal with model specification, endogenous variables, binary choice data, and time series data.  You learn these key topics in econometrics by watching the videos with in-video quizzes and by making post-video training exercises. 

* Do I need prior knowledge?
The course is suitable for (advanced undergraduate) students in economics, finance, business, engineering, and data analysis, as well as for those who work in these fields. The course requires some basics of matrices, probability, and statistics, which are reviewed in the Building Blocks module. If you are searching for a MOOC on econometrics of a more introductory nature that needs less background in mathematics, you may be interested in the Coursera course “Enjoyable Econometrics” that is also from Erasmus University Rotterdam.

* What literature can I consult to support my studies?
You can follow the MOOC without studying additional sources. Further reading of the discussed topics (including the Building Blocks) is provided in the textbook that we wrote and on which the MOOC is based: Econometric Methods with Applications in Business and Economics, Oxford University Press. The connection between the MOOC modules and the book chapters is shown in the Course Guide – Further Information – How can I continue my studies.

* Will there be teaching assistants active to guide me through the course?
Staff and PhD students of our Econometric Institute will provide guidance in January and February of each year. In other periods, we provide only elementary guidance. We always advise you to connect with fellow learners of this course to discuss topics and exercises.

* How will I get a certificate?
To gain the certificate of this course, you are asked to make six Test Exercises (one per module) and a Case Project. Further, you perform peer-reviewing activities of the work of three of your fellow learners of this MOOC. You gain the certificate if you pass all seven assignments.

Have a nice journey into the world of Econometrics!
The Econometrics team",161374.0,65748.0,4.6,1123.0
Enjoyable Econometrics,https://www.coursera.org/learn/enjoyable-econometrics,Data Science,Probability and Statistics,Philip Hans Franses,"The goal of this MOOC is to show that econometric methods are often needed to answer questions. A question comes first, then data are to be collected, and then finally the model or method comes in. Depending on the data, however, it can happen that methods need to be adapted. For example, where we first look at two variables, later we may need to look at three or more. Or, when data are missing, what then do we do? And, if the data are counts, like the number of newspaper articles citing someone, then matters may change too. But these modifications always come last, and are considered only when relevant. 

An important motivation for me to make this MOOC is to emphasize that econometric models and methods can also be applied to more unconventional settings, which are typically settings where the practitioner has to collect his or her own data first. Such collection can be done by carefully combining existing databases, but also by holding surveys or running experiments. A byproduct of having to collect your own data is that this helps to choose amongst the potential methods and techniques that are around.

If you are searching for a MOOC on econometrics that treats (mathematical and statistical) methods of econometrics and their applications, you may be interested in the Coursera course “Econometrics: Methods and Applications” that is also from Erasmus University Rotterdam.",17744.0,10418.0,4.1,80.0
Estadística aplicada a los negocios,https://www.coursera.org/learn/estadistica-aplicada-negocios,Data Science,Probability and Statistics,Magdalena Cornejo,"La toma de decisiones está en la esencia de los negocios. Gerenciar es tomar decisiones, muchas veces bajo presión, con información desordenada y en un contexto de incertidumbre. Un aspecto básico es entender y analizar la información, organizar los datos de forma de facilitar su posterior uso y la toma de decisiones. Si bien hay muchas otras dimensiones que entran en juego, el primer paso es formular bien el problema, estructurarlo y procesar la información. En este sentido, el principal objetivo de este curso es ayudarlo a ser un mejor tomador de decisiones a través de herramientas técnicas.

A lo largo de este curso el alumno desarrollará habilidades cuantitativas para la toma de decisiones, a través del aprendizaje de métodos estadísticos con aplicaciones a los negocios en Excel. El foco está en la comprensión y en el uso de herramientas básicas de análisis e inferencia estadística tratando de que el alumno sea un usuario de estos métodos, comprenda en qué consisten, cuál es la intuición, su uso y aplicaciones.",50183.0,42127.0,4.6,681.0
Estadística y probabilidad,https://www.coursera.org/learn/estadistica-probabilidad,Data Science,Probability and Statistics,Hugo Mael Hernández Trevethan,"En este curso podrás apoyar tu formación en temas de estadística y probabilidad

Más allá de que encuentres aquí un apoyo para lograr una calificación, el curso busca ayudarte a que adquieras los aprendizajes que comprenden temas de estadística descriptiva, datos bivariados y probabilidad, los cuales te serán de utilidad en tu paso por la licenciatura y en tu vida profesional.",77096.0,159692.0,4.6,1296.0
Estadística y probabilidad: principios de Inferencia,https://www.coursera.org/learn/inferencia-estadistica,Data Science,Probability and Statistics,Hugo Mael Hernández Trevethan,"En este curso aprenderás los conceptos y aplicaciones propias de las distribuciones de probabilidad, distribuciones muestrales, estimación por intervalos y pruebas de hipótesis. 

Si ya estás familiarizado con los fundamentos de la estadística descriptiva, los datos bivariados y principios básicos de probabilidad, este curso viene a complementar perfectamente esos saberes. Si te estás adentrando por primera vez en el universo de la estadística y la probabilidad, te recomendamos ampliamente que realices el curso ""estadística y probabilidad"", disponible en esta misma plataforma https://www.coursera.org/learn/estadistica-probabilidad/",,5922.0,,
