name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
Advanced Neurobiology I,https://www.coursera.org/learn/advanced-neurobiology1,Health,Basic Science,"Yan Zhang, Yulong Li","Hello everyone! Welcome to advanced neurobiology!

Neuroscience is a wonderful branch of science on how our brain perceives the external world, how our brain thinks, how our brain responds to the outside of the world, and how during disease or aging the neuronal connections deteriorate. We’re trying to understand the molecular, cellular nature and the circuitry arrangement of how nervous system works.

Through this course, you'll have a comprehensive understanding of basic neuroanatomy, electral signal transduction, movement and several diseases in the nervous system. 

This advanced neurobiology course is composed of 2 parts (Advanced neurobiology I and Advanced neurobiology II, and the latter will be online later). They are related to each other on the content but separate on scoring and certification, so you can choose either or both. It’s recommended that you take them sequentially and it’s great if you’ve already acquired a basic understanding of biology.

Thank you for joining us!",54058.0,31727.0,4.1,522.0
Advanced Neurobiology II,https://www.coursera.org/learn/advancedneurobiologyii,Health,Basic Science,"Chenjian Li, Donggen Luo, Yan Zhang","Hello everyone! Welcome to advanced neurobiology!

Neuroscience is a wonderful branch of science on how our brain perceives the external world, how our brain thinks, how our brain responds to the outside of the world, and how during disease or aging the neuronal connections deteriorate. We’re trying to understand the molecular, cellular nature and the circuitry arrangement of how nervous system works.

Through this course, you'll have a comprehensive understanding of basic neuroanatomy, electral signal transduction, movement and several diseases in the nervous system.

This advanced neurobiology course is composed of 2 parts (Advanced neurobiology I and Advanced neurobiology Il). They are related to each other on the content but not on scoring or certification, so you can choose either or both. It’s recommended that you take them sequentially and it’s great if you’ve already acquired a basic understanding of biology.

Thank you for joining us!",15626.0,14350.0,4.4,127.0
Anatomy of the Abdomen and Pelvis; a journey from basis to clinic.,https://www.coursera.org/learn/abdomen-anatomy,Health,Basic Science,"Marco De Ruiter, PhD, Paul Gobée, MD, Beerend P. Hierck, PHD., Daniël Jansma, MSc, Bas Boekestijn, MD, Friso Jansen","In this anatomy course you will explore the organs involved in our food digestion and discover the common causes of abdominal and pelvic pain. The latest graphics and animations will help you to find new insights and understanding of this part of the body, that has been the focus of anatomical research for centuries and presently arouses renewed scientific interest.

You will explore the 3D anatomy of the organs from a basic level, providing thorough anatomical understanding, to its advanced application in surgical procedures. This course will challenge you to discover and help you to understand the anatomy of the abdomen and pelvis in all its aspects, ranging from its embryological underpinnings, via digital microscopy to gross topography and its clinical applications.

The course is unique in that it continuously connects basic anatomical knowledge from the lab with its medical applications and current diagnostic techniques. You’ll get the chance to discuss anatomical and clinical problems with peers and experts in forum discussions and you will receive guidance in exploring the wealth of anatomical information that has been gathered over the centuries. Follow us on an exciting journey through the abdomen and pelvis where you digest your food but also where new life starts!",58899.0,15123.0,4.8,411.0
"Anatomy of the Chest, Neck, Abdomen, and Pelvis",https://www.coursera.org/learn/trunk-anatomy,Health,Basic Science,"Charles Duncan, William B. Stewart , Shanta Kapadia","WARNING: THESE VIDEOS CONTAIN IMAGES OF HUMAN DISSECTION. MAY BE DISTURBING TO SOME.

Human structure is important to all of us as it has been for millennia.  Artists, teachers, health care providers, scientists and most children try to understand the human form from stick figure drawings to electron microscopy. Learning the form of people is of great interest to us – physicians, nurses, physician assistants, emergency medical services personnel and many, many others.

Learning anatomy classically involved dissection of the deceased whether directly in the laboratory or from texts, drawings, photographs or videos.  There are many wonderful resources for the study of anatomy.  Developing an understanding of the human form requires significant work and a wide range of resources.

In this course, we have attempted to present succinct videos of human anatomy.  Some will find these images to be disturbing and these images carry a need to respect the individual who decided to donate their remains to benefit our teaching and learning.

All of the dissections depicted in the following videos are from individuals who gave their remains to be used in the advancement of medical education and research after death to the Yale School of Medicine.

The sequence of videos is divided into classic anatomic sections.  Each video has a set of learning objectives and a brief quiz at the end.  Following each section there is another quiz covering the entire section in order for you to test your knowledge.  

We hope these videos will help you better understand the human form, make time that you may have in the laboratory more worthwhile if you have that opportunity and help you develop an appreciation of the wonderful intricacies of people.

ANATOMY OF THE CHEST, NECK, ABDOMEN, AND PELVIS WAS PRODUCED IN PART DUE TO THE GENEROUS FUNDING OF THE DAVID F. SWENSEN FUND FOR INNOVATION IN TEACHING.

This work was supported in part by the Kaplow Family Fund, Yale School of Medicine.
COURSE CURRICULUM:  ANATOMY OF THE THORAX, HEART, ABDOMEN AND PELVIS

RECOMMENDED TEXT	
GRAY’S ANATOMY FOR STUDENTS, RICHARD L DRAKE, ELSEVIER.  ONLINE AND PRINT EDITIONS

ADDITIONAL RESOURCE
ATLAS OF HUMAN ANATOMY, FRANK H NETTER, ELSEVIER.  ONLINE AND PRINT EDITIONS.

We would like to thank all of those who have contributed to the creation of this course:
Charles C Duncan, MD, Producer & Director, Professor of Neurosurgery, Pediatrics and Surgery (Anatomy), Yale School of Medicine

William B Stewart, PhD, Associate Producer, Narration, Anatomist, Chief Section of Human Anatomy, Department of Surgery, Yale School of Medicine

Shanta E Kapadia, MBBS, Anatomist, Lecturer in Anatomy, Section of Human Anatomy, Department of Surgery, Yale School of Medicine

Linda Honan, PhD, Professor, Yale School of Nursing

Harry R Aslanian, MD, Associate Professor, Department of Medicine (Gastroenterology) Yale School of Medicine 

Jonathan Puchalski, MD, Associate Professor of Internal Medicine (Pulmonary), Yale School of Medicine

Michael K. O’Brien, MD, PhD, Assistant Clinical Professor of Surgery, Yale School of Medicine

Mahan Mathur, MD, Assistant Professor of Radiology and Bio-Medical Imaging, Yale School of Medicine

Lei Wang, MLS & Kelly Perry, Technical, Yale Medical Library

Anna Nasonova, Artist, Yale School of Architecture

Rachel Hill, Artist and Technical, Yale College

Philip Lapre, Technical, Section of Anatomy, Department of Surgery, Yale School of Medicine",76427.0,47984.0,4.8,1501.0
"Anatomy: Cardiovascular, Respiratory and Urinary Systems",https://www.coursera.org/learn/anatomy403-2x,Health,Basic Science,Glenn M. Fox,"In this anatomy course, part of the Anatomy Specialization, you will explore the interactive relationships of the cardiovascular, respiratory and urinary systems, and the roles they play in your body.

This course is a primer for the cardiovascular, respiratory, and urinary systems in which students learn the pertinent details of the structures and functions through a combination of lectures, videos, labeling activities and quizzes.",31384.0,35794.0,4.8,888.0
"Anatomy: Gastrointestinal, Reproductive and Endocrine Systems",https://www.coursera.org/learn/anatomy403-4x,Health,Basic Science,"Glenn M. Fox, Kathleen Alsup, Kelli Sullivan","In this anatomy course, part of the Anatomy Specialization, you’ll learn about the various digestive, endocrine, and reproductive organs, their functions, and pathways of nerves and blood vessels serving these organs. Clinical correlations and vignettes will be used to highlight the importance of these anatomical structures and their relationships. Images and videos from cadaveric and artistic materials will be used to illustrate these concepts.",24073.0,23381.0,4.8,520.0
Anatomy: Human Neuroanatomy,https://www.coursera.org/learn/anatomy403-3x,Health,Basic Science,Kelli Sullivan,"In this anatomy course, part of the Anatomy Specialization, you will be introduced to the central and peripheral nervous systems. You will learn about basic neuroanatomy, sensory pathways, motor pathways and the autonomic nervous system.

The course includes illustrated lecture videos and quizzes to help you expand and test your knowledge of the nervous system.

By the end of this course, you will have a better understanding of how the entire body influences, and is influenced, by the nervous system.",36355.0,65389.0,4.9,789.0
Anatomy: Musculoskeletal and Integumentary Systems,https://www.coursera.org/learn/anatomy403-1x,Health,Basic Science,Kathleen Alsup,"In this anatomy course, part of the Anatomy Specialization, you will learn how the components of the integumentary system help protect our body (epidermis, dermis, hair, nails, and glands), and how the musculoskeletal system (bones, joints, and skeletal muscles) protects and allows the body to move.

You will engage with fascinating videos, lectures, and anatomical visual materials (illustrations and cadaveric images) to learn about these properties and functions.",86857.0,100415.0,4.8,2020.0
Anticoagulación,https://www.coursera.org/learn/anticoagulacion,Health,Basic Science,Ana Cristina Montenegro Arenas,"El adecuado manejo de los fármacos anticoagulantes en distintos escenarios clínicos  es esencial.  Esto  evita eventos mortales por tromboembolia y morbilidad por sangrado, el cual podemos valorar y mitigar.

En este curso queremos brindarles herramientas para que, desde el ámbito clínico, puedan entender y logren usar de la forma apropiada todos los anticoagulantes que tenemos actualmente disponibles. Brindando a los pacientes el manejo óptimo de su anticoagulación, se generan los mejores desenlaces posibles en cada uno de los escenarios. Así mismo, adoptar un pensamiento crítico en el abordaje clínico de las patologías y su seguimiento a largo plazo, minimiza los riesgos y optimiza los resultados.",,5016.0,,
Antimicrobial resistance - theory and methods,https://www.coursera.org/learn/antimicrobial-resistance,Health,Basic Science,"Lina Cavaco, Pimlapas Leekitcharoenphon, Rene S. Hendriksen","The course will cover the topics related to antimicrobial resistance with basic definitions and overview on antimicrobials their use and the emergence and spread of resistance. The course will guide you through the concepts and the importance  of resistance spread and dissemination and how that happens. It will show you how bacteria become resistant and which mechanisms they might use for this. And as part of the course you will also receive some training in methods for antimicrobial susceptibility testing (AST) and detection of specific resistance in the microbiological laboratories with the basic methods available and with focus on the obtention of good quality results which can be interpreted and used for different purposes.

Additionally, it will show you how to use genomic analysis tools to analyze whole genome sequencing data to detect resistance genes (and or other genes of interest) in a simple and easy way using online tools freely available. 
In the new new version an additional module including detection of specific resistance mechanisms was added.

After this course you should be able to:

1.	Describe the most important families of antimicrobials and mode of action
2.	Understand the basic concepts of antimicrobial resistance from several perspectives (clinical, research and microbiological)
3.	Enumerate and describe how bacteria can become resistant and the mechanisms that may be involved in that process
4.	Describe how antimicrobial resistance emerges and spreads around the world including concepts of antimicrobial resistance transfer, selection and dissemination
5.	Enumerate the methods used for antimicrobial susceptibility testing (AST) 
6.	Compare dilution and diffusion methods and know the basic techniques of agar disk diffusion, broth dilution and agar dilution methods 
7.	Have detailed theoretical knowledge on how to perform the main methods in a laboratory
8.	Know the basic concepts about analysis and interpretation of results of AST, including different breakpoints, cut-off setting and their applications.
9.	Understand the importance and related concepts related to quality management and quality assurance method standardization, applied to AST 
10.	Relate the information obtained in this course with real cases of resistant bacteria spreading in patients, the community, animals or the environment
11.	Relate the phenotypical results with results from genotyping using molecular techniques for detection of resistance mechanisms
12.	Understand the concept and be able to apply genomic analysis tools used to detect resistance genes and other relevant genes from Whole Genome Sequencing (WGS) data (with demonstration of selected online tools)

Disclaimer: Please note that the guidelines and methods referred or links included in these materials are updated when the videos lectures are produced and before the course is released, however these might become outdated with time.",54790.0,27829.0,4.7,2099.0
