name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
AI in Healthcare Capstone,https://www.coursera.org/learn/ai-in-healthcare-capstone,Health,Health Informatics,"Matthew Lungren, Nigam Shah, Serena Yeung, Tina Hernandez-Boussard, Laurence Baker","This capstone project takes you on a guided tour exploring all the concepts we have covered in the different classes up till now. We have organized this experience around the journey of a patient who develops some respiratory symptoms and given the concerns around COVID19 seeks care with a primary care provider. We will follow the patient's journey from the lens of the data that are created at each encounter, which will bring us to a unique de-identified dataset created specially for this specialization. The data set spans EHR as well as image data and using this dataset, we will build models that enable risk-stratification decisions for our patient. We will review how the different choices you make -- such as those around feature construction, the data types to use, how the model evaluation is set up and how you handle the patient timeline -- affect the care that would be recommended by the model. During this exploration, we will also discuss the regulatory as well as ethical issues that come up as we attempt to use AI to help us make better care decisions for our patient. This course will be a hands-on experience in the day of a medical data miner.

The Stanford University School of Medicine is accredited by the Accreditation Council for Continuing Medical Education (ACCME) to provide continuing medical education for physicians.  Visit the FAQs below for important information regarding 1) Date of original release and Termination or expiration date; 2) Accreditation and Credit Designation statements; 3) Disclosure of financial relationships for every person in control of activity content.",4653.0,10174.0,4.7,108.0
Analytical Solutions to Common Healthcare Problems,https://www.coursera.org/learn/analytical-solutions-common-healthcare-problems,Health,Health Informatics,Brian Paciotti,"In this course, we’re going to go over analytical solutions to common healthcare problems. I will review these business problems and you’ll build out various data structures to organize your data. We’ll then explore ways to group data and categorize medical codes into analytical categories. You will then be able to extract, transform, and load data into data structures required for solving medical problems and be able to also harmonize data from multiple sources. Finally, you will create a data dictionary to communicate the source and value of data. Creating these artifacts of data processes is a key skill when working with healthcare data.",4633.0,3278.0,4.5,22.0
Bacterial Bioinformatics,https://www.coursera.org/learn/informatics,Health,Health Informatics,Rebecca Wattam,"This course provides demonstrations and exercises for performing common genomics-based analysis tasks of bacterial sequence data.  It uses PATRIC, the PathoSystems Resource Integration Center, as the platform for analysis. PATRIC is the NIH/NIAID-funded bacterial Bioinformatics Resource Center, providing comprehensive bacterial genomic data with integrated analysis tools and visualizations. PATRIC also provides a private workspace where users can upload and analyze their own data. 

Course participants will gain skills needed to do comparative analysis of bacterial genomes, starting with raw sequence data.The lessons in the first module cover genome assembly, annotation, phylogenetic tree construction, and protein family / proteome comparisons. Each lesson builds on the previous, creating a complete baseline analysis workflow.",8441.0,13994.0,4.7,92.0
"Big Data, Genes, and Medicine",https://www.coursera.org/learn/data-genes-medicine,Health,Health Informatics,Isabelle Bichindaritz,"This course distills for you expert knowledge and skills mastered by professionals in Health Big Data Science and Bioinformatics. You will learn exciting facts about the human body biology and chemistry, genetics, and medicine that will be intertwined with the science of Big Data and skills to harness the avalanche of data openly available at your fingertips and which we are just starting to make sense of. We’ll investigate the different steps required to master Big Data analytics on real datasets, including Next Generation Sequencing data, in a healthcare and biological context, from preparing data for analysis to completing the analysis, interpreting the results, visualizing them, and sharing the results.

Needless to say, when you master these high-demand skills, you will be well positioned to apply for or move to positions in biomedical data analytics and bioinformatics. No matter what your skill levels are in biomedical or technical areas, you will gain highly valuable new or sharpened skills that will make you stand-out as a professional and want to dive even deeper in biomedical Big Data. It is my hope that this course will spark your interest in the vast possibilities offered by publicly available Big Data to better understand, prevent, and treat diseases.",30351.0,17574.0,4.2,253.0
Bioinformatic Methods I,https://www.coursera.org/learn/bioinformatics-methods-1,Health,Health Informatics,Nicholas James Provart,"Large-scale biology projects such as the sequencing of the human genome and gene expression surveys using RNA-seq, microarrays and other technologies have created a wealth of data for biologists. However, the challenge facing scientists is analyzing and even accessing these data to extract useful information pertaining to the system being studied. This course focuses on employing existing bioinformatic resources – mainly web-based programs and databases – to access the wealth of data to answer questions relevant to the average biologist, and is highly hands-on. 

Topics covered include multiple sequence alignments, phylogenetics, gene expression data analysis, and protein interaction networks, in two separate parts. 

The first part, Bioinformatic Methods I (this one), deals with databases, Blast, multiple sequence alignments, phylogenetics, selection analysis and metagenomics. 

The second part, Bioinformatic Methods II, covers motif searching, protein-protein interactions, structural bioinformatics, gene expression data analysis, and cis-element predictions. 

This pair of courses is useful to any student considering graduate school in the biological sciences, as well as students considering molecular medicine. Both provide an overview of the many different bioinformatic tools that are out there. 

These courses are based on one taught at the University of Toronto to upper-level undergraduates who have some understanding of basic molecular biology. If you're not familiar with this, something like https://learn.saylor.org/course/bio101 might be helpful. No programming is required for this course. 

Bioinformatic Methods I is regularly updated, and was completely updated for January 2022.",99102.0,36800.0,4.7,1593.0
Bioinformatic Methods II,https://www.coursera.org/learn/bioinformatics-methods-2,Health,Health Informatics,Nicholas James Provart,"Large-scale biology projects such as the sequencing of the human genome and gene expression surveys using RNA-seq, microarrays and other technologies have created a wealth of data for biologists. However, the challenge facing scientists is analyzing and even accessing these data to extract useful information pertaining to the system being studied. This course focuses on employing existing bioinformatic resources – mainly web-based programs and databases – to access the wealth of data to answer questions relevant to the average biologist, and is highly hands-on. 

Topics covered include multiple sequence alignments, phylogenetics, gene expression data analysis, and protein interaction networks, in two separate parts. 

The first part, Bioinformatic Methods I, dealt with databases, Blast, multiple sequence alignments, phylogenetics, selection analysis and metagenomics. 

This, the second part, Bioinformatic Methods II, will cover motif searching, protein-protein interactions, structural bioinformatics, gene expression data analysis, and cis-element predictions. 

This pair of courses is useful to any student considering graduate school in the biological sciences, as well as students considering molecular medicine.

These courses are based on one taught at the University of Toronto to upper-level undergraduates who have some understanding of basic molecular biology. If you're not familiar with this, something like https://learn.saylor.org/course/bio101 might be helpful. No programming is required for this course although some command line work (though within a web browser) occurs in the 5th module.

Bioinformatic Methods II is regularly updated, and was last updated for February 2022.",32071.0,10617.0,4.7,456.0
Bioinformatics Capstone: Big Data in Biology,https://www.coursera.org/learn/bioinformatics-project,Health,Health Informatics,"Phillip Compeau, Pavel  Pevzner","In this course, you will learn how to use the BaseSpace cloud platform developed by Illumina (our industry partner) to apply several standard bioinformatics software approaches to real biological data.

In particular, in a series of Application Challenges will see how genome assembly can be used to track the source of a food poisoning outbreak, how RNA-Sequencing can help us analyze gene expression data on the tissue level, and compare the pros and cons of whole genome vs. whole exome sequencing for finding potentially harmful mutations in a human sample.

Plus, hacker track students will have the option to build their own genome assembler and apply it to real data!",4211.0,4015.0,3.9,23.0
Bioinformatics: Introduction and Methods 生物信息学: 导论与方法,https://www.coursera.org/learn/bioinformatics-pku,Health,Health Informatics,"Ge Gao 高歌, Ph.D., Liping Wei 魏丽萍, Ph.D.","A big welcome to “Bioinformatics: Introduction and Methods” from Peking University! In this MOOC you will become familiar with the concepts and computational methods in the exciting interdisciplinary field of bioinformatics and their applications in biology, the knowledge and skills in bioinformatics you acquired will help you in your future study and research.

Course materials are available under the CC BY-NC-SA License.",31896.0,38766.0,4.4,216.0
Biology Meets Programming: Bioinformatics for Beginners,https://www.coursera.org/learn/bioinformatics,Health,Health Informatics,"Pavel  Pevzner, Phillip Compeau","Are you interested in learning how to program (in Python) within a scientific setting?

This course will cover algorithms for solving various biological problems along with a handful of programming challenges helping you implement these algorithms in Python.  It offers a gently-paced introduction to our Bioinformatics Specialization (https://www.coursera.org/specializations/bioinformatics), preparing learners to take the first course in the Specialization, ""Finding Hidden Messages in DNA"" (https://www.coursera.org/learn/dna-analysis).

Each of the four weeks in the course will consist of two required components.  First, an interactive textbook provides Python programming challenges that arise from real biological problems.  If you haven't programmed in Python before, not to worry! We provide ""Just-in-Time"" exercises from the Codecademy Python track (https://www.codecademy.com/learn/python). And each page in our interactive textbook has its own discussion forum, where you can interact with other learners. Second, each week will culminate in a summary quiz.

Lecture videos are also provided that accompany the material, but these videos are optional.",146424.0,58118.0,4.2,1393.0
Biomedical Visualisation,https://www.coursera.org/learn/biomedvis,Health,Health Informatics,"Paul Rea, Amy Webster","Visualisation is a rapidly progressive specialty in academia, research and industry, and becoming the future of science. With the advancement of digital technologies and their applications, biomedical visualisation is an evolving and popular field. With new techniques and technologies to image, process and analyse data related to the human body, and its biological processes, it is at the forefront of the digital revolution. Why not view our course trailer video. Copy and paste this link into your browser https://youtu.be/vB_QcIVSiTs

By the end of this course, you will be able to:
Define and describe anatomical terminology related to the human body.
Describe the various body systems, what comprises them, and how they relate to function.
Create your own 3D modelling and animations using industry standard, open-source software (Blender).
Analyse various visualisation techniques and methods, and be able to apply them to areas of biomedical science.

This course is the first of its kind on Coursera. It explores the structure and function of the human body including terminology used. It showcases visualisation techniques available using technology to image and display data related to the body and biological processes.. It also provides training in the creation of animations, and examines the applicability of different types of reality. 

You will learn from experts in these fields and with the knowledge you will gain from this course, be able to evaluate and apply how best to use visualisation in your own discipline.

No prior experience is necessary but should be able to learn at an intermediate level.",18033.0,28247.0,4.6,309.0
