name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
Advanced Practice Provider/Physician Assistant: Opioid Use Disorder Medication Assisted Treatment Waiver Training (24hr),https://www.coursera.org/learn/opioid-mgmt,Health,Healthcare Management,"Jann T. Balmer, Nassima Ait-Daoud Tiouririne","This online course opportunity is made possible through a joint partnership with University of Virginia School of Medicine (UVASOM) and Nursing (SON) and the American Academy of Addiction Psychiatry (AAAP), Data 2000 sponsor for this MAT waiver training. This content was created by the AAAP and has been used with permission. This course is designed to highlight important issues affecting prescribing clinicians regarding the new requirements and guidelines in opioid prescribing and management for acute and chronic pain management. This course is divided into two parts; part 1 consists of 8 individual sessions of the required 24 hours of content; part 2 consists of the remaining 16 hours of content for advanced practice providers and physician assistants who wish to apply for a waiver to prescribe buprenorphine for the treatment of opioid use disorders. There are 3 case modules in part 1. Both part 1 & 2 contain graded post-module questions, the total of which must be completed with 80% accuracy. A certification of completion will be issued for successful completion of the entire training. Successful completion of both parts 1 and part 2 will satisfy the 24 hour requirement for MAT waiver training for advanced practice providers and physician assistants to prescribe buprenorphine for the treatment of opioid use disorders.

Estimated time to complete this activity: 9.5 hours
Release date: March 1, 2020
UVA Grant Dates: 09/30/2019 – 09/29/2022

Funding for this initiative was made possible by a grant from SAMHSA. The views expressed in written conference materials or publications and by speakers and moderators do not necessarily reflect the official policies of the Department of Health and Human Services; nor does mention of trade names, commercial practices, or organizations imply endorsement by the U.S. Government.",1578.0,1808.0,,
Business Process Management in Healthcare Organizations,https://www.coursera.org/learn/business-process-management-in-healthcare-organizations,Health,Healthcare Management,"Margaret Kilduff, Ph.D.","Have you ever needed to resolve a billing or other issue with a healthcare organization and thought that there must be a better, more efficient, and more customer-friendly way to operate such a business process?  For example, have you thought that there should be an easier way to read your bill or pay your bill? Or do you work in a healthcare organization and find yourself thinking that there must be better ways for the business processes to function?  If you have, this course is for you. 

Course content includes an overview of healthcare organization business processes including business process management approaches as well as a discussion of healthcare organization entrepreneurship as a business process. The course provides links to external sites to connect you to the larger ""real world"" of healthcare organization business processes, business process management, and entrepreneurship. The links also serve as resources you can take with you after you complete the course experience. And because everyone loves a road trip/field trip, there are also ""virtual field trips"" to the often hidden places of interest on the web. 

The course format is readings, videos, quizzes, and a project.  The project requires you to synthesize course material to design patient-centered business processes for a healthcare organization the way you would have things run in the best of all worlds. The design (submitted as an electronic word processing document in memo format) is an artifact of the course which you can circulate to colleagues or use as the basis for a talk or presentation event.",7867.0,10774.0,4.6,135.0
Drug Commercialization,https://www.coursera.org/learn/drug-commercialization,Health,Healthcare Management,"Williams S. Ettouati, Pharm.D., Joseph D. Ma","The University of California San Diego, Skaggs School of Pharmacy and Pharmaceutical Sciences Drug Commercialization course brings you lectures from both faculty and industry experts.   With this course, recorded on campus at UCSD, we seek to share our access to top people in the field who bring an unprecedented range of expertise on drug commercialization.

This course will cover pharmacoeconomic, marketing strategy, intellectual property strategy, portfolio management, managed markets and strategic alliances. It will also have a lecture case study from startup to success.

In addition, the course will discuss post-marketing clinical trials or Phase 4 trials. These are conducted after a new drug has been approved by the regulatory agencies and launched. In these studies, the new drug is prescribed in an everyday healthcare environ­ment using a much larger group  of patients.  This enables new treat­ment uses for the new drug to be developed, comparisons with other treatments for the same indication to be made, and determination  of the clinical  effectiveness of the new drug in  a wider variety of  patient types, and  more rare side effects, if any, may be detected .

Pre-marketing strategy should be instigated as early as Phase 1 clinical trials to ensure that the market's needs are incorporated into the new drug's overall develop­ment. Later phases when clinical results are presented at international medical conferences the marketing strategy is then refined in  order to develop an awareness amongst the medical community who will be prescribing the new drug. In addition to the marketing strategy, pricing strategy and a tactical plan will be developed. Promotional material, and the sales force will be trained so that when the product is approved they can promote the drug to physician, pharmacist and nurses.  

This course is intended as part 3 of a series: Drug Discovery (https://www.coursera.org/learn/drug-discovery), Drug Development (https://www.coursera.org/learn/drug-development) and Drug Commercialization.  We would highly recommend that you take the courses in order since it will give you a better understanding on how a drug is discovered in the lab before being tested in clinical trials and then launched in the market place.",40288.0,36347.0,4.7,1125.0
Drug Discovery,https://www.coursera.org/learn/drug-discovery,Health,Healthcare Management,"Williams S. Ettouati, Pharm.D., Joseph D. Ma","The University of California San Diego, Skaggs School of Pharmacy and Pharmaceutical Sciences Drug Discovery course brings you lectures from both faculty and industry experts.   With this course, recorded on campus at UCSD, we seek to share our access to top people in the field who bring an unprecedented range of expertise on drug discovery.  

In this course you will learn the drug discovery process up to the filing of an Initial New Drug Application or IND. Each week you will learn the steps that a pharmaceutical or biotech company goes through to discover a new therapeutic drug. In this course you will be able to:

  *   Understand the pharmaceutical and biotechnology market a changing landscape
  *   Learn the major aspects of the drug discovery process, starting with target selection, to compound screening to designing lead candidates.
  *   Recognize current modern drug discovery based on the lock-and-key theory, which attempts to use one single compound to hit one target to combat the related disease.
  *   Increase understanding of the various drug discovery tools and methods that are used for finding, identifying and designing a new drug.
  *   Define and understand the regulatory responsibilities for drug discovery to file an Investigational New Drug Application (IND).

This course is intended as part 1 of a series: Drug Discovery, Drug Development (https://www.coursera.org/learn/drug-development) and Drug Commercialization (https://www.coursera.org/learn/drug-commercialization).  We would highly recommend that you take the courses in order since it will give you a better understanding on how a drug is discovered in the lab before being tested in clinical trials and then launched in the market place.",100417.0,77116.0,4.6,3229.0
Essentials in Clinical Simulations Across the Health Professions,https://www.coursera.org/learn/clinicalsimulations,Health,Healthcare Management,"Pamela R. Jeffries, Sabrina Beroz, Pamela Slaven-Lee, Crystel Farina, Karen Lewis, Kristina Thomas Dreifuerst, Suzan Kardong-Edgren","This 7-week course provides you with key strategies to help understand the foundation of Clinical Simulations.  During each module, you will learn about 7 key components of Clinical Simulation Across the Health Professions and its' impact in your current position as a healthcare professional.  Please utilize all of the Resources provided by each of the modules to support and enhance your understanding of each concept.  You will learn about the following topics in this course:

Module 1:  Getting Started in Clinical Simulation-the Fundamentals
Module 2:  INACSL Standards of Best Practice:  Simulation
Module 3:  Implementing Simulation in the Curriculum
Module 4:  Developing a Simulation Center
Module 5:  Basics of Debriefing in Simulation
Module 6:  Evaluation Methods in Simulation
Module 7:  SPs in Simulation

About The George Washington University School of Nursing

Ranked among the top nursing schools by U.S. News & World Report, the George Washington University School of Nursing educates and inspires nurses to provide high-quality, compassionate person-centered health care. The school develops leaders actively engaged in health promotion, patient advocacy and healthcare innovation, and prepares exceptional nurse educators who pursue quality and advance the profession. The School of Nursing is committed to improving the health and wellbeing of people and communities locally, nationally and globally. The school values lifelong learning and its students advance nursing practice, leadership and education as they make a difference in the world.

For more in-depth simulation education, please see the GW Nursing Simulation Initiatives.
https://nursing.gwu.edu/gw-nursing-simulation-initiatives",14628.0,26975.0,4.8,867.0
Evaluating the Quality of Healthcare Delivery,https://www.coursera.org/learn/quality-of-healthcare,Health,Healthcare Management,Gary Young,"In this course, you will have the opportunity to learn about the great progress that has been made in measuring and evaluating quality of care.  We will discuss key concepts and methods.  You will also learn about how to use websites for comparing the quality of healthcare providers.  The course content is intended for a wide range of participants – for example, people who have a general interest in quality of care, consumers seeking information about how to choose a provider for themselves or family members, or leaders of business organizations who are responsible for employee health insurance benefits and network of providers.

By the end of this course, the learner should be able to: 

1. Explain key developments regarding how quality of care is measured and evaluated in the US.
2. Articulate basic framework for evaluating quality of outcomes of care including types of and criteria for selecting quality measures for evaluating and comparing providers. 
3. Discuss scientific issues and challenges for evaluating quality of care and methods for addressing these challenges.   
4. Identify and apply resources and tools for comparing the quality of care of providers.",2379.0,,4.4,16.0
Fixing Healthcare Delivery,https://www.coursera.org/learn/fixing-healthcare,Health,Healthcare Management,"Frederick S. Southwick, MD","Isn’t it time to end the loss of life from preventable medical errors?

Each year 100,000 patients die from preventable errors in the U.S.  How can you help to change this intractable problem? Knowledge is power, and this course will provide you with a deep understanding of the problems and the solutions. You can become part of the solution.",13569.0,2646.0,4.7,132.0
Fixing Healthcare Delivery 2.0: Advanced Lean,https://www.coursera.org/learn/fixing-healthcare-delivery-advanced-lean,Health,Healthcare Management,"Frederick S. Southwick, MD","Lean or Toyota Production System (TPS) is responsible for revolutionizing the auto industry by creating highly reliable and safe cars and trucks. In this course healthcare providers, administrators, engineers, and healthcare professional students will be taught how to apply the principles and tools of Lean to health care. They will learn how to identify and remove of waste, design standardized work, apply 5S, map Value streams, create process maps, conduct rapid improvement events (RIEs), level workflow, use A3 forms and Paredo charts, apply error proofing, and create effective visual controls. The instructional videos minimize Lean technical language, and include patient cases to make the lessons more appealing to students in healthcare. Acknowledging that patients are very different from cars we have carefully adapted Lean to health care and call our system: Patient-centered Healthcare Delivery System (PHDS). The name and abbreviation emphasize two key principles taught in our course: 1. Just like PhDs the scientific method must be continually applied when creating plans to improve our systems of care. 2. All improvements must be made looking through the eyes of patients. Armed with this new knowledge students will be able to design and implement sustainable healthcare delivery system improvements.",4593.0,2946.0,4.7,39.0
Foundations of Healthcare Systems Engineering,https://www.coursera.org/learn/foundations-of-healthcare-systems-engineering,Health,Healthcare Management,Dr. Matthew (Matt) Montoya,"Through dynamic video lectures and practical application questions, you will learn about the Foundations of Healthcare Systems Engineering.  In this course you will learn about the current lack of synchronized, efficient, and integrated healthcare systems, which are some of the drivers for improvements to healthcare delivery.  Also in this course, you will learn about the different types of systems and how they are translated to the healthcare field for appropriate systems engineering process applications, with exemplars.  Upon system type articulation and mapping, the systems engineering approach will be introduced to help begin the process of: 1) investigating healthcare challenges, needs, and requirements development; 2) developing system concepts, that are derived from requirements, and then realized in physical and process form; and finally, 3) the establishment of means to verify, validate, and deploy healthcare systems that address the need and meet requirements. Applications and exemplars will be provided.",7156.0,8381.0,4.6,197.0
Future Healthcare Payment Models,https://www.coursera.org/learn/healthcare-payment-models,Health,Healthcare Management,Rina Vertes,"This course will review the drivers of healthcare cost and solutions that have been proposed to address cost, quality and value of health care. Many point blame for high costs on payment models that pay healthcare providers for every service they provide to patients, essentially paying more for volume and service intensity. This is called a Fee for Service (FFS) payment model. Some solutions, arguably the more sustainable solutions, are the combined strategies of new payment models, care management, insurance plan designs, consumer engagement tools, and technology. 

Using that information we will explore various situations, showcasing coordinated care and payment strategies that can be implemented to improve patient health and the cost of delivery of healthcare services.

By the end of this course, the learner should be able to: 

1. Identify the drivers and trends of healthcare spending from the perspective of various stakeholders, including medical providers, insurers, government and private purchasers and payments
2. Critically assess the impact of strategic and financial approaches that have been put in place by the ACA and the various modifications. 
3. Evaluate how healthcare payment models currently work and the new direction that value-based payment is taking.
4.Identify how financial and non-financial metrics can be appropriately combined to improve a healthcare stakeholders’ value proposition.",3674.0,3720.0,4.5,33.0
