name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
Actualización en el manejo del paciente con diabetes mellitus tipo 2,https://www.coursera.org/learn/actualizacion-manejo-diabetes-tipo-2,Health,Nutrition,José Antonio Márquez López,"Este curso está diseñado para ofrecer información actualizada sobre el manejo del paciente con diabetes mellitus tipo 2, con la finalidad de mejorar su atención médica. El curso está dirigido a médicos y profesionales sanitarios que tienen contacto con pacientes diabéticos; con ello, se busca disminuir la morbimortalidad de esta enfermedad y mejorar la calidad de vida de quienes la padecen. Este curso incluye temas relacionados con el manejo nutricional y la actividad física, así como estrategias de manejo farmacológico según el contexto clínico del paciente, a partir de sus comorbilidades y preferencias.",47079.0,20601.0,4.8,1207.0
Agricultura urbana y periurbana,https://www.coursera.org/learn/agricultura-urbana,Health,Nutrition,Beverly Hernández Castro,"Este curso explica un conjunto de conceptos y herramientas básicas y necesarias para la producción de alimentos agrícolas y pecuarios en pequeños espacios haciendo énfasis en la sustentabilidad de los mismos. Revisando temas como plagas y enfermedades, promueve el rescate de conocimientos tradicionales que, con bajo costo, permiten grandes beneficios encaminados a la seguridad alimentaria y crecimiento de huertas familiares. 

La Agricultura Urbana y periurbana no es resultado de una moda sino de una posible solución a los problemas de inseguridad alimentaria que muchos países enfrentan, por lo que hay conceptos, teorías y metodologías que explican su existencia y orientan su práctica. Apropiarse de dichas nociones aunado a una implementación adecuada permite obtener los resultados esperados que impacten la seguridad alimentaria, la salud, el trabajo y los ingresos económicos de las familias que decidan efectuarla.

Este curso fue desarrollado por la Universidad Nacional Autónoma de México en colaboración con  el Instituto Interamericano de Cooperación para la Agricultura",50639.0,7450.0,4.7,965.0
Alimentación y dietética para una vuelta al mundo a vela,https://www.coursera.org/learn/alimentacion-vuelta-al-mundo,Health,Nutrition,"Pere Castells, Victòria Pons","Comer bien en una vuelta al mundo no es tarea fácil . Aprenda cómo equilibrar alta nutrición con practicidad mientras navega alrededor del mundo.

Este curso pretende introducirte en el mundo de la preparación de los deportistas que participan en regatas de navegación transoceánica, como la Barcelona World Race.

Ver que los proyectos son a largo plazo, que existe un periodo importante que dedican a su preparación física, la cual esta supervisada por una serie de pruebas en las que se va confirmando los logros en su rendimiento físico. Y luego también, como planifican su dieta.

En este curso aprenderás cuáles son los alimentos que se embarcan en la Barcelona World Race, cómo se diseñan los menús incorporando en ellos alimentos liofilizados que contribuyen a mantener las características organolépticas, a pesar de haber sido manipulados para conseguir un menor peso y mayor duración y estabilidad.

En el curso también se plantea el método de cálculo de las necesidades nutricionales y cómo se planifica una dieta para rendir al máximo en los periodos de preparación y de navegación en la vuelta al mundo.",18799.0,5208.0,4.7,177.0
Child Nutrition and Cooking,https://www.coursera.org/learn/childnutrition,Health,Nutrition,"Maya Adam, MD","Eating patterns that begin in childhood affect health and well-being across the lifespan. The culture of eating has changed significantly in recent decades, especially in parts of the world where processed foods dominate our dietary intake. This course examines contemporary child nutrition and the impact of the individual decisions made by each family. The health risks associated with obesity in childhood are also discussed. Participants will learn what constitutes a healthy diet for children and adults and how to prepare simple, delicious foods aimed at inspiring a lifelong celebration of easy home-cooked meals. This course will help prepare participants to be the leading health providers, teachers and parents of the present and future.The text and other material in this course may include the opinion of the specific instructor and are not statements of advice, endorsement, opinion, or information of Stanford University.",463543.0,97853.0,4.8,9401.0
Cooking for Busy Healthy People,https://www.coursera.org/learn/cooking-healthy-food,Health,Nutrition,"Maya Adam, MD","Cooking is one of the most powerful ways in which we can optimize our enjoyment of great quality food while protecting our health. Even on a tight budget, cooking can be a cost-effective, joyful and rewarding way to love the food that will love us back for a lifetime. In this course, you’ll learn some basic recipes from a home cook and two professional chefs who prioritize healthful eating. You’ll also learn some of the fundamentals of principle-based cooking that can help you break free from the chains of having to follow recipes exactly. Better health and creative expression lie in the ability to improvise in the kitchen, using whatever is available to make tasty, simple meals. We can’t wait to welcome you into our kitchens in this mouth-watering course! Here’s to your health and the home cooking that can support it!

Special thanks to course contributors: Israel Garcia, Jacopo Beni, Jesper Baanghaell, Sejal Parekh, William Bottini, Perry Pickert and Friday Films",9249.0,20348.0,4.5,63.0
Diabetes – the Essential Facts,https://www.coursera.org/learn/diabetes-essential-facts,Health,Nutrition,"Nicolai Jacob Wewer Albrechtsen, Signe Sørensen Torekov, Jens Juul Holst","Across the world more than 420 million people are living with diabetes. Two thirds of these have not yet been diagnosed. When discovered late or managed incorrectly, diabetes can damage your heart, blood vessels, eyes, kidneys, and nerves, leading to disability and premature death. In fact, more people are dying of diabetes related diseases than of diseases as HIV/AIDS, malaria and tuberculosis combined.

This course will provide you with an introduction to the most recent research in the field of prevention and treatment of diabetes as well as a broader understanding of the situation in different communities, rich and poor, across the world, where diabetes threatens public health.
 
What kind of disease is diabetes, who has it, and who is at risk of getting it? And what are the roles of medicine, exercise and nutrition when trying to prevent, delay or treat diabetes? 

During the course you will meet researchers and experts from Imperial College London, Emory University in Atlanta, Steno Diabetes Center in Copenhagen as well as the School of Global Health and the Center for Basic Metabolic Research at the University of Copenhagen.

They work with very different aspects of diabetes, from microbiology to global public health, but what ties them together is the belief that it is a global responsibility to combat diabetes, and this fight can only be won through new knowledge and global collaboration. 

We hope you will join us in the course and equip yourself to take part in the ongoing discussions of this truly global and individual health challenge.

This course is also part of the EIT Health programme.",66993.0,46281.0,4.7,1889.0
"Healthy Practices: Nutrition, Physical Activity, and Community and Family Participation",https://www.coursera.org/learn/healthy-practices-nutrition-physical-activity-community-family-participation,Health,Nutrition,"Daniel Nicklas, Eve Kutchman, Lauren Welch, Karen Hecker","In this course you will find a comprehensive overlook of healthy practices in public schools in the USA, including: physical activity and nutrition in the school setting. We will review the basics of some of the regulatory programs found in the United States that support healthy students through nutrition education and nutrition programs. You will be able to explain some of the nutritional components such as, alternatives to the use of Sugar-Sweetened Beverages. Many of these principles can be applied to students in schools throughout the globe.

You will understand how the schools can support physical activity throughout the day and how they can effectively offer physical education. Learners will be able to explain MVPA, or moderate to vigorous physical activity. They will identify this as the newest method for measuring and evaluating what counts as physical activity in terms of METs. Participants in the course will be able to explain the science behind the recommended ""60 minutes of Physical Activity""  and what counts toward MVPA both during and outside of the school day.

Learners will be able to evaluate and explain how what students eat and how they exercise impacts student success. We will provide you with information to help you to promote the teamwork that it takes to implement successful nutritional and physical activity programs. Our discussion will include where to find and how to develop community support and encourage family participation. 

Later in the course you will understand how attendance impacts student success. Together we will look at real-life examples of programs in a school setting and this will help you to recognize what impact you can have on improving the health and success of students in your own community.",20089.0,9573.0,4.7,726.0
Introduction to Food and Our Environment,https://www.coursera.org/learn/food-sustainability-environment-planet-health,Health,Nutrition,"Maya Adam, MD","This course is designed to help learners around the world become more sustainable eaters. Course videos can be watched in any order. Feel free to explore special areas of interest by skipping ahead and coming back to less familiar topics at a later stage. Together, we’ll explore key topics, like how food production impacts the environment and why meat production and protein consumption are often at the center of the debate around sustainability. We’ll introduce the pros and cons of different kinds of agriculture, fishing and food packaging, with a focus on how we can make more environmentally friendly decisions on a daily basis. We’ll also look ahead and explore some of the technology innovations that could become increasingly important as we look at the future of food for a growing global population. If this is the first course you’ve ever taken on food and sustainable eating, you’ll come away with concrete tips for how you can make food choices that will protect the world we hand over to the next generation. Our planet needs many people making small changes in the right direction and we’re here to help with that. If you’re an expert in food sustainability, we hope to offer you some tools that could help you to communicate key messages to others in simple, digestible ways. Whatever your level, we hope you’ll join this discussion as we explore, together, the ways in which we can all become more sustainable eaters.

The beautiful story animations were scripted by Lucas Oliver Oswald and animated by Janine Van Schoor.

Special thanks to: Lucas Oliver Oswald, William Bottini, Desiree Labeaud, Christopher Gardner, Sejal Parekh, Arielle Wenokur, Janine Van Schoor, Ann Doerr, Perry Pickert and the fantastic team at Friday Films.",4366.0,8505.0,4.7,84.0
National Academy of Sports Medicine Nutrition Essentials,https://www.coursera.org/learn/nasm-nutrition-essentials,Health,Nutrition,"Ian Montel, MS","NASM's Nutrition Coaching Essentials enables you to provide evidence-based guidance to those seeking to improve body composition, athletic performance, and health. By successfully completing this program, you will have the knowledge and abilities to leverage nutrition education to increase your client's success, reduce turnover, and maximize adherence. Held to the highest standard of research-based theory and practice, the Nutrition Essentials program teaches you how to provide nutritional direction to a variety of clients with differing goals. Your knowledge and skill base will be updated to remain current and focused on delivering the gold standard of client care in the nonclinical sphere.

This course is intended for those who are interested in learning about or teaching others how to apply nutrition priniciples for improved health and wellness.",4773.0,11454.0,4.3,16.0
Nutrición y obesidad: control de sobrepeso,https://www.coursera.org/learn/nutricion-obesidad-sobrepeso,Health,Nutrition,Juan Luis Carrillo Toscano,"En este curso, ofrecido por la UNAM, reconocerás una herramienta para evitar, manejar y controlar el sobrepeso y la obesidad, al destacar la importancia del autocuidado y el apoyo familiar en el manejo de este padecimiento. Te mostrará el verdadero valor de los alimentos como compañeros de tu vida, te alejará de los kilos de más y te forjará hábitos saludables que marcarán una senda de salud perdurable.",216738.0,80441.0,4.8,5097.0
