name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
AIDS: Fear and Hope,https://www.coursera.org/learn/aids-fear-hope,Health,Patient Care,"Richard Meisler, Ph.D.","The basic biology of the virus, HIV, and the disease it causes, AIDS.  The economic, social and political factors that determine who gets sick and who remains healthy, who lives and who dies.  The progress of scientific research and medical treatments.  The reasons for hope; the reasons for fear.  (To get a glimpse of some of the materials that students have been posting on the course forums, go to @AIDSFAH or #AIDSFAH.)",13265.0,5239.0,4.8,398.0
Actúa ante el dolor crónico,https://www.coursera.org/learn/actua-dolor-cronico,Health,Patient Care,"Laura Fernández, Enric Pineda","El dolor, especialmente el dolor crónico, es un problema de salud que afecta a la calidad de vida de quien lo sufre. El dolor crónico afecta a más de 6 millones de personas adultas en España y representa el principal impacto negativo en salud, independientemente de la edad y el sexo, y en su entorno familiar. 

Precisamente, con el objetivo de dar respuesta a las necesidades derivadas de convivir con él, en el marco del ""Aula Fundación Grunenthal de Dolor"" (http://www.universidadpacientes.org/dolor/) de la ""Fundació Salut i Envelliment UAB"" (http://salut-envelliment.uab.cat/), ponemos en marcha este curso MOOC en español.
Esta formación propone que nos aproximemos al dolor crónico (independientemente del tipo que sea) de manera general, para  contribuir a mejorar nuestro manejo del mismo. Además el curso pone en valor nuestra propia experiencia, pero también muestra estrategias adicionales para mejorar el autocuidado de la salud, basadas en la evidencia científica.",17114.0,12337.0,4.6,248.0
Acupressure,https://www.coursera.org/learn/acupressure,Health,Patient Care,"Megan Voss, Kim Christensen","This course provides an overview of the basic principles and applications of acupressure for patient symptom management and self-care. 

By the end of the course, you will be able to: a) explain basic concepts of East Asian Medicine (EAM); b) describe clinical indications for acupressure and the evidence base for its use in symptom management; c) identify various methods of administering acupressure, and clinical contraindications/precautions associated with each; d) demonstrate acupoint protocols for the management of pain, gastrointestinal disturbances, and wellbeing; e) demonstrate an acupressure treatment session; including assessment, administration of acupoint therapy, and evaluation of treatment effect; and f) determine a plan of action for incorporating acupressure into your professional practice and self-care routines. 

Continuing Education Credits
This course has been designed to meet Minnesota Board of Nursing continuing education requirements for 15 contact hours and may be eligible for CE credit from other professional boards that allow self-documenting of continuing education activities. It is your responsibility to check with your regulatory board to confirm this course meets your local requirements and, if necessary, to provide them with the certificate of completion you get if you pay for and fulfill all the requirements of this course.",,7529.0,,
Acute and Chronic Rhinosinusitis: A Comprehensive Review,https://www.coursera.org/learn/icahn-school-of-medicine-at-mount-sinai-acute-and-chronic-rhinosinusitis,Health,Patient Care,"Satish Govindaraj, MD","Welcome to Acute and Chronic Rhinosinusitis: A Comprehensive Review

This course, offered by the Department of Otolaryngology – Head and Neck Surgery at the Icahn School of Medicine at Mount Sinai, is designed to inform primary care physicians and general otolaryngologists, as well as nurses, physician assistants and medical assistants, about the differences between acute and chronic rhinosinusitis and how to distinguish and treat them. It is also applicable to individuals who wish to broaden their knowledge and vernacular about this disease process, especially those who may suffer from this condition. The course has been divided into four modules, each of which is followed by multiple choice questions to help attendees further understand this condition: 

Week 1 - CME Information, Accreditation and Introduction
Week 2 - Module 1: Normal Sinus Anatomy and Function (15 min. + quiz)
Week 3 - Module 2: Acute Rhinosinusitis: Diagnosis and Treatment (17 min. + quiz)
Week 4 - Module 3: Chronic Rhinoinusitis: Diagnosis and Treatment (18 min. + quiz)
Week 5 - Module 4: The Role of Surgery for Sinusitis and Activity Evaluation (36 min. + 2 quizzes)

The primary objective of this course is to provide physicians with a thorough understanding of how to better diagnose and treat patients who suffer from acute and chronic rhinosinusitis.

Note: This course is no longer available for CME Credit.

Please review the CME Information and Accreditation prior to proceeding with the course modules.

Release Date: January 16, 2018
Expiration Date: January 16, 2020
Estimated Time to Complete: One Hour and Forty Five Minutes
CME Fee: $30.00
CME Credits Offered: 1.75

CME Reviewer: Marita S. Teng, MD

How to Receive CME Credit:
For physicians who are interested in earning CME credits and other allied health professions who wish to receive a Verification of Attendance certificate, you must:

a. Complete Signature Track (details to follow after enrolling in this course)

b. Complete registration process through the Icahn School of Medicine at Mount Sinai, CME Office using the following link: 

http://bit.ly/Acute_Chronic (WARNING: This course is no longer available for CME Credit.)

(You will be required to pay an additional non-refundable fee of $30.00 in addition to the $49.00 fee for signature track.)

c. Email an attached copy of your Verified Certificate from Coursera to the CME office at the Icahn School of Medicine at cme@mssm.edu and request your CME certificate.

d. You will be provided with the instructions for downloading your CME/CE certificate.

Technical Design and Development
Lynette Bobbitt
Lisa Chase
Jill Gregory
Paul Lawrence
Charles Psarreas
Rory Sacks",19133.0,3050.0,4.8,650.0
Addiction Treatment: Clinical Skills for Healthcare Providers,https://www.coursera.org/learn/addiction-treatment,Health,Patient Care,"Jeanette M. Tetrault, Robert Krause, Elizabeth Roessler, Robert Heimer, Mary Lindsay Powell, Shannon Drew, Ellen Edens","This course is designed with a singular goal: to improve the care you provide to your patients with substance use disorders. By delving into a model case performed by actors, seven Yale instructors from various fields provide techniques to screen your patients for substance use disorder risk, diagnose patients to gauge the severity of their use, directly manage treatment plans, refer out to treatment services, and navigate the various conditions that may limit your patient’s access to treatment. You will ultimately be prepared to provide compassionate and evidence-based care to a large population of patients living with addiction— a chronic, often relapsing-remitting disease, but a treatable one.

This course is supported in part by SAMHSA of the U.S. Department of Health and Human Services (HHS) as part of financial assistance awards from grant #1H79FG000023 totaling $249,900 and grant #3H79TI081968-02S1 from SAMHSA totaling $1,354,651 with 100 percent funded by SAMHSA/HHS. The contents are those of the author(s) and do not necessarily represent the official views of, nor an endorsement, by SAMHSA/HHS, or the U.S. Government.

Note: The content in this course is intended solely to inform and educate medical professionals. This site shall not be used for medical advice and is not a substitute for the advice or treatment of a qualified medical professional.",44387.0,50235.0,4.8,1491.0
Anatomy of the Upper and Lower Extremities,https://www.coursera.org/learn/anatomy-extremeties,Health,Patient Care,"Shanta Kapadia, William B. Stewart , Charles Duncan","This course has two main parts, one for the lower extremity and the other for the upper extremity.  We will show how the various systems that supply and organize the limb control its function. There are a set of introductory lectures which will allow more experienced students to refresh their knowledge of the limbs and a guide to those with less experience. These lectures will be followed by detailed dissections of the extremities emphasizing locomotion for the lower extremities and hand positioning and function for the upper extremities.

This course is part 2/4 in  the Yale Human Anatomy Specialization.",14699.0,24361.0,4.9,37.0
Anticoncepción hormonal al alcance de todos,https://www.coursera.org/learn/anticonconcepcion-hormonal,Health,Patient Care,"Félix Lugo, Montserrat Manubens, Lola Ojeda, Rosa Porqueras, Santiago Dexeus","¿Alguna ves te has preguntado si las pastillas anticonceptivas engordan, producen cancer o infertilidad, por cuanto tiempo se pueden tomar y como actúan? o eres de las personas que quiere saber si existen otros métodos anticonceptivos hormonales que se adapten a ti, o si tu eres una buena candidata para usar el DIU hormonal. 

Este curso da respuesta a muchas  preguntas, dudas e inquietudes frecuentes  y está dirigido a cualquier persona interesado por los métodos anticonceptivos  hormonales, los cuales sin duda alguna han evolucionado para bien durante las últimas décadas consiguiendo métodos anticonceptivos  de muy bajas dosis, altamente efectivos con muchos beneficios adicionales entre ellos la prevención de cáncer de Ovario y de endometrio, y por si fuera poco con muy pocas contraindicaciones, pudiendo ser  usados por la gran mayoría de mujeres.
Este curso está pensado para poder ser completado por cualquier persona sin importar su conocimiento sobre el tema, puesto que las presentaciones son amenas, en un lenguaje muy didáctico y sencillo adaptado al público en general, sin perder el rigor académico de los profesores doctores que lo imparten.",5421.0,2105.0,4.7,204.0
Aspectos conceptuales y operativos de la Telesalud,https://www.coursera.org/learn/asp-conceptuales-operativos-telesalud,Health,Patient Care,"Belinda del C Carrión Chavarría, Mildred López, Nancy de los Ángeles Segura Azuara, Jesús Javier Rodríguez Fernández","En este curso se busca brindar las herramientas básicas para cualquier profesional de salud que desee ofrecer atención virtual por cualquier plataforma que le permita una videollamada. Cómo todo principiante esto representa un desafío al incorporar nuevas herramientas en la atención clínica del paciente. Pero lo más importante es dar el primer paso y descubrir las nuevas posibilidades que las tecnologías en comunicación pueden ofrecer. 

Estar detrás de un monitor puede en un primer instante considerarse una barrera para acercarnos al paciente angustiado y para esto se han planteado una serie de recomendaciones para conducir entrevistas empáticas en entornos virtuales. A su vez también debemos reconocer que posiblemente la telemedicina irá incorporándose como una modalidad estándar de cuidado a los pacientes por lo que es necesario integrarlo a nuestra práctica de forma paulatina y con guía de expertos en el tema. 

En este curso también se revisará que Asociaciones Médicas e Instituciones Educativas han girado su mirada a la necesidad de solventar las limitantes de la lejanía geográfica de poblaciones que se encuentran en localidades distantes para impulsar la equidad en atención a salud y puedan tener un acceso oportuno a los servicios de salud de alta calidad.",,,,
Atención Primaria en Salud: El desafío de las Enfermedades no Transmisibles,https://www.coursera.org/learn/enfermedades-no-transmisibles,Health,Patient Care,"Claudia Bustamante Troncoso, Claudia Alcayaga Rojas","Este MOOC permite a los participantes adquirir competencias para reconocer los elementos de un modelo de atención a personas con ENT, basándose en un marco conceptual y en estrategias aplicadas desde la atención primaria en salud, y desde el trabajo con las familias de personas que padecen este tipo de enfermedades.

MOOC creado por la Escuela de Enfermería de la Pontificia Universidad Católica de Chile",51837.0,8143.0,4.8,1100.0
Atención centrada en el paciente,https://www.coursera.org/learn/atencion-paciente,Health,Patient Care,"Manuel Pérez Jiménez, Dixia Patricia Ramírez Vega, Fresia Paloma Hernández Moreno, Daniel Bernal Serrano, Antonio Dávila Rivas, Mary Ana Cordero Diaz, Pilar González Amarante, Silvia Lizett Olivares Olivares","La atención centrada en el paciente está orientada al involucramiento de cada uno de los miembros del equipo de salud en la búsqueda de alternativas para identificar, conocer, colaborar y construir las mejores opciones para el cuidado de la salud del paciente en congruencia con su individualidad, estructura de significados y contexto. 

Se busca escuchar y apreciar las voces de cada uno de los participantes para encontrar el mejor proceso de prevención, diagnóstico, tratamiento y seguimiento. La perspectiva humana, biomédica, de gestión y emprendimiento en su conjunto son miradas que permiten balance que va más allá de un motivo de consulta, porque privilegia la visión integral hacia el paciente, en equipos interprofesionales y hacia una toma de decisiones consensuada.

Los objetivos del curso son los siguientes:
•	Sensibilizar sobre la diferencia entre el enfoque hacia la enfermedad y la salud centrada en el paciente en entornos educativos y de atención. 
•	Reconocer en el paciente a la persona, con sus sentimientos y contexto, en procesos de atención donde se asegura el profesionalismo, la identidad y seguridad de todos.
•	Impulsar estilos de vida saludables en múltiples ámbitos e integrarlos en el proceso de atención centrado en el paciente.",,1742.0,,
