name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
#talkmentalillness,https://www.coursera.org/learn/talkmentalillness,Health,Psychology,June Gruber,"I am a professor and mental health researcher and educator, and I’ve been working in the field for over 15 years. Like so many of my colleagues, however, I was unprepared for the wave of mental health challenges that would face our society in 2020. From COVID-19 and the devastating economic impacts of the pandemic to racial justice protests, widespread natural disasters, our current cultural moment presents unprecedented mental health concerns, and particularly for marginalized communities. For this reason, I led a field-wide call to action for mental health research and treatment that resulted in this #TalkMentalIllness course. I had the opportunity to speak to over 30 experts from different domains in psychology research, practice, and popular public figures and to discuss the causes and cutting-edge treatments for many serious disorders, the stigma surrounding mental illness in our culture, systemic inequality in mental health treatment, and the mental health challenges of today.

#talkmentalillness curates the interviews from the Mental Health Experts series into an accessible learning experience that will help you have conversations about mental health. Talking about mental illness is both the content and desired outcome of this course, as you will use what you learn from my interviews with mental health experts to guide your own discussions about mental health challenges and treatments with family members, friends, colleagues, and other people in your life. The course will begin by presenting a core set of definitions for mental illness and analyzing the stigma associated with it. We will then apply these topics to specific psychological disorders, including anxiety and mood disorders, eating disorders, suicide, substance use, and psychosis. We will then consider how these issues disproportionately impact marginalized groups and communities of color. The course will conclude by considering innovative approaches to psychological treatments and how the pursuit and science of happiness inform mental health and wellness.
 
This course is part of a broader educational mission to share the science of mental illness with both students and the public, both locally and globally. I have designed and created it in collaboration with the Office for Academic Innovation and Libraries’ Media Services Team at the University of Colorado Boulder.

- June Gruber",4200.0,9567.0,4.4,27.0
A Life of Happiness and Fulfillment,https://www.coursera.org/learn/happiness,Health,Psychology,Dr. Rajagopal Raghunathan,"What are the determinants of a happy and fulfilling life?

This is surely one of life’s biggest questions, and a question that has interested many of our ancestors. Buddha famously gave up his kingdom in search of happiness. Several Greek philosophers (from Aristotle to Epicurus and Plato to Socrates) had their own views on what it takes to be happy. And of course, we all have our own theories about happiness too.

How valid are our theories?

Until recently, if you wished for an answer to this question, you would've been forced to base it on discussions with spiritual leaders. Or, if you were lucky, you could've based it on late-night (and perhaps intoxicant-fueled) conversations with friends and family. Happily, all that has changed now. Over the past decade-and-a-half, scientists have gotten into the act big time. We now have a pretty good idea of what it takes to lead a happy and fulfilling life.

This course, based on the award-winning class offered both at the Indian School of Business and at the McCombs School of Business at The University of Texas at Austin, developed by Prof. Raj Raghunathan (aka ""Dr. Happy-smarts"") draws content from a variety of fields, including psychology, neuroscience, and behavioral decision theory to offer a tested and practical recipe for leading a life of happiness and fulfillment. 

Although not mandatory, reading Prof. Raj's forthcoming book, titled If you're so smart, why aren't you happy? can help you review and assimilate the material covered in this book at your leisure. 

For Coursera learners alone, the hardcover version of the book is available for a deep discount of 50%, plus shipping and handling. You can order the hardcover for 50% off by writing to Aaron at: Aaron@800ceoread.com. Please mention that you are a student of the ""coursera happiness course"" in your email. 

The course will feature guest appearances by several well-known thought leaders, including:
      - Dan Ariely (author of Predictably Irrational and, soon to be released, Irrationally Yours),
      - Ed Diener (“Dr. Happiness”),
      - Mihaly Csikszentmihalyi (author of Flow),

By taking this course, you will discover the answers to questions such as:
      - Why aren’t the smart-and-the-successful as happy as they could—or should—be
      - What are the “7 Deadly Happiness Sins” that even the smart and the successful commit?, and
      - What are the “7 Habits of the Highly Happy” and how can you implement them in your life?

By the end of the course, I expect students who have been diligent with the lectures and exercises to not just gain a deeper understanding of the science of happiness, but to also be significantly happier.",452333.0,122540.0,4.8,5688.0
"Bienestar, equidad y derechos humanos",https://www.coursera.org/learn/bienestar-equidad-derechos-humanos,Health,Psychology,"Elvia Vargas Trujillo - Departamento de Psicología, Marta Carolina Ibarra A. - Facultad de Educación, Ángela María Rojas Martínez - Departamento de Psicología, Diego Iván Lucumí Cuesta","En la actualidad es muy frecuente  escuchar debates en torno a los derechos humanos, la equidad y el bienestar de la población.  Muchas personas incluyen estos conceptos en sus conversaciones cotidianas y también son parte de la mayoría de documentos de política pública, programas de gobierno y proyectos de diversas organizaciones. Sin embargo, nuestra experiencia en docencia, investigación, intervención y evaluación nos ha permitido establecer que pocas veces lo que se plantea acerca de estos temas se materializa en acciones concretas que cambien tanto la manera como las personas se relacionan entre sí como la valoración que hacen de la vida que tienen. 

Con base en esta experiencia, este curso ha sido diseñado para ayudar a que todas las personas que lo tomen, sin distinción de ninguna índole,  se reconozcan como agentes sociales capaces de analizar críticamente las condiciones en las cuales viven e identificar las oportunidades que pueden generar para transformarlas en caso de que constituyan un obstáculo para su bienestar y el de quienes viven a su alrededor.

Para lograr este propósito, de una manera sencilla y práctica, las personas que tomen este curso podrán aclarar conceptos relacionados con el enfoque de derechos humanos, la equidad y el bienestar. Además les facilitamos oportunidades para que exploren sus actitudes con respecto a estos temas y frente al marco de referencia que proponemos para el análisis de las situaciones. También les apoyamos en el desarrollo de  habilidades para usar ese marco de referencia en la vida cotidiana. 

Si te animas a tomar este curso, te aseguramos que al final vas a contar con una gran variedad de herramientas que puedes usar en el medio en el que vives, estudias o trabajas ¡te esperamos!",49442.0,33609.0,4.8,2897.0
Children Acquiring Literacy Naturally,https://www.coursera.org/learn/children-literacy,Health,Psychology,Dr. Dominic William Massaro,"In this short course you will explore the possibility that children might acquire written language in a way that is similar to how they acquire spoken language—without instruction. You will encounter various aspects of behavioral science and technology that are relevant to this proposition. You will have the opportunity to learn the the perceptual, cognitive, and neurological capacities of children during their first years of life. You will advance your understanding of children and how they learn language. You will also be more attuned to current advances in the technology of human machine interactions, and what these phenomena imply for learning to read at an early age.",20772.0,8990.0,4.4,142.0
Creating Behavioral Change,https://www.coursera.org/learn/behavioral-change,Health,Psychology,Alexis May,"In this course you will learn about understanding and changing mental and physical health behavior. We will examine both the historical context and the current science. Major topics will include fundamental behavioral principles and basic elements of empirically supported individual treatments (e.g., motivational interviewing, cognitive behavioral therapies). Lectures and examples will illustrate both the theory and the practice of evidence-based approaches to behavior change. You will engage in a course-long behavior change experiment as well as brief quizzes. Please note: this course is designed to introduce you to a range of contemporary approaches to behavioral treatments; however, it will not provide the skills needed to implement psychological interventions with others (this requires years of graduate training) nor is it designed to address or resolve your own psychological problems.

For each module, students will complete 1 assignment related to their personal behavior change project and 1 quiz on the week’s material.",4471.0,13081.0,4.8,45.0
"Data Collection: Online, Telephone and Face-to-face",https://www.coursera.org/learn/data-collection-methods,Health,Psychology,"Frederick Conrad, Ph.D.","This course presents research conducted to increase our understanding of how data collection decisions affect survey errors. This is not a “how–to-do-it” course on data collection, but instead reviews the literature on survey design decisions and data quality in order to sensitize learners to how alternative survey designs might impact the data obtained from those surveys.

The course reviews a range of survey data collection methods that are both interview-based (face-to-face and telephone) and self-administered (paper questionnaires that are mailed and those that are implemented online, i.e. as web surveys). Mixed mode designs are also covered as well as several hybrid modes for collecting sensitive information e.g., self-administering the sensitive questions in what is otherwise a face-to-face interview. The course also covers newer methods such as mobile web and SMS (text message) interviews, and examines alternative data sources such as social media. It concentrates on the impact these techniques have on the quality of survey data, including error from measurement, nonresponse, and coverage, and assesses the tradeoffs between these error sources when researchers choose a mode or survey design.",12063.0,7112.0,4.6,311.0
Diseño de cuestionarios para encuestas sociales,https://www.coursera.org/learn/questionnaire-design-es,Health,Psychology,"Frederick Conrad, Ph.D., Frauke Kreuter, Ph.D.","Este curso cubrirá los elementos básicos del diseño y la evaluación de cuestionarios. Revisaremos el proceso de respuesta a preguntas, desafíos y opciones para hacer preguntas sobre frecuencias de conducta, técnicas prácticas para evaluar preguntas, características específicas del cuestionario y métodos de revisión de entrevistas estandarizadas y conversacionales.",,1711.0,,
Diseño de proyectos para promover el bienestar,https://www.coursera.org/learn/diseno-proyectos-promocion-bienestar,Health,Psychology,"Elvia Vargas Trujillo - Departamento de Psicología, Ángela María Rojas Martínez - Departamento de Psicología, Marta Carolina Ibarra A. - Facultad de Educación","Tú y yo, al igual que la mayoría de personas, con las acciones que realizamos tenemos el propósito de mejorar las circunstancias en las que viven las personas. Pero ¿Cómo llevamos a cabo esa tarea? ¿Qué tan claro tenemos qué es lo que queremos hacer,  para qué lo queremos hacer y cómo lo vamos a hacer?  ¿Qué tanto anticipamos los posibles resultados de lo que proponemos y los factores del contexto que pueden facilitarlos u obstaculizarlos para aprovecharlos o contrarrestarlos? ¿Cómo sustentamos que con lo que hacemos efectivamente podemos contribuir al bienestar de las personas? Nuestra experiencia nos muestra que muchas iniciativas para promover el bienestar se realizan sin que previamente se adelante un proceso riguroso de planificación.  Este curso es para las personas que viven y trabajan en diferentes ámbitos, a quienes les aportamos herramientas teóricas y metodológicas útiles para enfrentar los desafíos que implica el proceso de diseño de proyectos. Al terminar contarás con una propuesta  para promover el bienestar diseñada con una metodología de planificación  muy útil: la metodología de la teoría del cambio.",38876.0,38055.0,4.7,362.0
"Dopage : Sports, Organisations et Sciences",https://www.coursera.org/learn/dopage,Health,Psychology,Fabien Ohl,"L'objectif du cours est de permettre une compréhension distanciée du dopage. C’est pour atteindre cet objectif que le cours s’appuie sur une approche pluridisciplinaire qui constitue une opportunité d'observer comment diverses disciplines abordent un même objet, selon différents angles et de manière complémentaire. Il s'agit également de donner des repères permettant d'appréhender le dopage dans sa complexité.

Le dopage dans le sport est une pratique complexe dont la définition et l'identification renvoient à la construction sociale et historique de normes. 

Le cours propose une clarification des processus qui ont conduit à l'usage et la prohibition des produits dopants. L'amélioration des performances ou les transformations des apparences sont deux aspects du dopage qui dérangent alors que pourtant les sociétés vantent les mérites de ""l'amélioration"" du corps et que les marchés du ""human enhancement"" prospèrent. Ces apparentes contradictions seront analysées en montrant que, au-delà des questions sanitaires, le dopage est au croisement de multiples enjeux sociaux, scientifiques ou encore juridiques.

Pour y faire face, les autorités sportives et étatiques ont contribué à la mise en place d’institutions en charge de l'identification du dopage, de politiques de prévention, de répression et de recherche. Les dispositifs biologiques de contrôle comme le passeport biologique, les dimensions juridiques qui fondent la lutte contre le dopage, les organisations de production de la performance, comme les dimensions sociologiques du dopage seront abordés par ce cours.

Outre les enseignants de l’Université de Lausanne, les meilleurs spécialistes du dopage, d’un laboratoire antidopage (LAD), du TAS (Tribunal Arbitral du Sport), de l’UEFA (football) et de l’AMA (Agence Mondiale Antidopage) interviennent dans ce cours. 

Teaser: https://www.youtube.com/watch?v=70ZQVQsWAdo 

Objectifs pédagogiques principaux :

A la fin de ce cours les participants seront capables de:

1.	Identifier la dimension « culturelle » du dopage, c’est-à-dire comme pratique qui a une histoire en lien avec la transformation de normes sociales

2.	Passer d’un mode de raisonnement binaire sur le dopage, pour ou contre, à la compréhension de la complexité d’un phénomène à la fois biologique, psychologique et sociologique

3.	Reconnaître les institutions, les acteurs et les pratiques de lutte contre le dopage

4.	Expliquer comment le contexte social et organisationnel pèse sur les décisions des individus et comment il peut être réduit par des mesures de prévention. 

5.	Identifier comment fonctionne la lutte contre le dopage et les procédures de contrôle",4839.0,2826.0,4.7,146.0
Développement psychologique de l'enfant,https://www.coursera.org/learn/enfant-developpement,Health,Psychology,Edouard Gentaz,"Comment se développent les enfants?  

Quelles sont leurs compétences perceptives, affectives et sociales ? 
Quels sont leurs besoins ? 

Telles sont les questions auxquelles répond ce MOOC. Nous vous apporterons des informations claires, validées scientifiquement et accessibles, que vous soyez parents, grands-parents, étudiants, professionnels de la petite enfance ou tout simplement désireux de mieux comprendre le développement des enfants. 
	
Vous allez découvrir que l’enfant, dès sa naissance, est déjà une personne avec de nombreuses capacités et connaissances,  générales ou spécifiques, qui apprend d’une manière constante, rapide et efficace. 

Nous explorerons ensemble les compétences précoces des enfants étudiées en psychologie. Nous parcourrons notamment le développement de la sécurité affective, du contrôle de soi, des émotions, du jeu et de la créativité. Nous aborderons également la conscience de soi des jeunes enfants, ainsi que le développement de l’empathie, du sens moral et de l’équité. Pour finir, nous nous pencherons sur la question de la parentalité, car comme le disait Winnicott ""un enfant seul ça n'existe pas"". 

N'attendez plus, rejoignez ce MOOC pour partir à la découverte du monde incroyable du développement psychologique du jeune enfant.",27704.0,63933.0,4.9,560.0
