name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
2021 Cancer Prevention Web-Based Activity (CE eligible),https://www.coursera.org/learn/2021-prevent-cancer,Health,Public Health,"Andrea Zimmerman, Jann T. Balmer","This web-based video course focuses on the importance of prevention and risk reduction in decreasing cancer occurrences. All learners will need to watch the video modules, read associated articles, and achieve a passing score of 80% on quizzes in order to complete the course. After completing the course, learners will receive a link to claim continuing medical and nursing education credit. 

DESCRIPTION
Next Generation Choices Foundation (NGCF or Less Cancer), lesscancer.org, in conjunction with the University of Virginia and American University, promotes a prevention paradigm for addressing the alarming trend of increasing cancer incidences and raises awareness of cancer prevention to make risk reduction and prevention a vital part of the cancer paradigm for all people. This is a departure from previous treatment-focused approaches that talked about beating, conquering, or curing cancer. Many cancers are preventable by reducing risk factors, such as PFAS and lead corrosion in water supply and infrastructure, use of tobacco products, ultraviolet light exposure, asbestos exposure, specific contaminants and pollution sources, disparities and inequities, and promoting healthy lifestyle choices, such as diet, exercise, and nutrition.

Visit the FAQs below for important information regarding 1) Activity faculty and their credentials; 2) Accreditation and Credit Designation statements; 3) Commercial support disclosure statement; 4) Disclosure of financial relationships for every person in control of activity content and their role in the activity; 5) Date of original release and Termination or expiration date.",,,,
2022 Cancer Prevention Web-Based Activity (CE eligible),https://www.coursera.org/learn/2022-prevent-cancer,Health,Public Health,Jann T. Balmer,"This web-based video course focuses on the importance of prevention and risk reduction in decreasing cancer occurrences. All learners will need to watch the video modules, read associated articles, and achieve a passing score of 80% on quizzes in order to complete the course. After completing the course, learners will receive a link to claim continuing medical and nursing education credit. 

DESCRIPTION
Next Generation Choices Foundation (NGCF or Less Cancer), lesscancer.org, in conjunction with the University of Virginia and American University, promotes a prevention paradigm for addressing the alarming trend of increasing cancer incidences and raises awareness of cancer prevention to make risk reduction and prevention a vital part of the cancer paradigm for all people. This is a departure from previous treatment-focused approaches that talked about beating, conquering, or curing cancer. Many cancers are preventable by reducing risk factors, such as PFAS and lead corrosion in water supply and infrastructure, use of tobacco products, ultraviolet light exposure, asbestos exposure, specific contaminants and pollution sources, disparities and inequities, and promoting healthy lifestyle choices, such as diet, exercise, and nutrition.

Visit the FAQs below for important information regarding 1) Activity faculty and their credentials; 2) Accreditation and Credit Designation statements; 3) Commercial support disclosure statement; 4) Disclosure of financial relationships for every person in control of activity content and their role in the activity; 5) Date of original release and Termination or expiration date.",,2189.0,,
A Guide to Healthcare Innovation: Principles and Practice,https://www.coursera.org/learn/guide-to-healthcare-innovation-principles-and-practice,Health,Public Health,Dr Matthew Harris,"This course reflects on global health challenges and the role of innovative solutions in addressing them. By engaging in this course, you will be able to describe the principles and key types of innovation in order to characterise the fundamental features of new models of care and technologies. 

This course will review the basic features and principles of healthcare innovation. You'll be examining innovations developed to address global health challenges, ranging from simple low-cost technologies readily deployed in resource constrained settings to more complex combinations of organizational, business model and technology innovations. Throughout this course, you'll also consider how adoption and diffusion is influenced by social, economic and political factors and explore what is required to get an innovation in to practice, effectively, at scale.",6086.0,6904.0,4.7,157.0
A Public Health Approach to Hearing Loss and Aging,https://www.coursera.org/learn/a-public-health-approach-to-hearing-loss-and-aging,Health,Public Health,"Jennifer A. Deal, PhD, Nicholas S. Reed, AuD, Frank R. Lin, MD, PhD","At the Johns Hopkins Cochlear Center for Hearing and Public Health, we are dedicated to training up the next generation of clinicians and researchers to study the impact that hearing loss in older adults has on public health and to develop and implement public health strategies and solutions for hearing loss.  The Center is proud to present this course which introduces a public health approach to aging and hearing population-based research, reviews the state of public health policy and ongoing interventions, and discusses the current epidemiologic research linking hearing loss to cognitive and healthcare outcomes in older adults, including dementia.  Learners will be hearing from Johns Hopkins faculty and researchers who will speak on their expertise in areas of otolaryngology, audiology, epidemiology, gerontology, and public health policy/economics.",,1972.0,,
Achieving Health Equity in Healthcare,https://www.coursera.org/learn/achieving-health-equity-in-healthcare,Health,Public Health,Minal R. Patel,"The third and the last course of the Addressing Racial Health Inequity in Healthcare specialization will go through various approaches that are used to addressing racial inequity in healthcare., and the strengths and challenges of those approaches. You will explore legal, policy, and regulatory approaches to interventions such as Title IX in the United States. You will explore what is being done to intervene on providers to reduce differential care. You will unpack quality improvement and multiple approaches to leveraging healthcare systems and community partnerships to address access to care. You will also come to understand the history and role of community health centers in being critical infrastructure in addressing the health needs of diverse populations. Finally, you will be introduced to the workforce initiatives and the reparations that aim to close the racial and ethnic healthcare disparities gaps.",,1744.0,,
Air Pollution – a Global Threat to our Health,https://www.coursera.org/learn/air-pollution-health-threat,Health,Public Health,"Steffen Loft, Peter Møller, Zorana Jovanovic Andersen","We all have to breathe to live. But the air we breathe is polluted both outdoors and indoors. Each year, this pollution costs 7 million lives across the globe – and a lot of suffering. 1 in 8 deaths is due to air pollution. This course will provide you with an introduction to the most recent research in the field of health effects of air pollution as well as a broader understanding of sources and spread of air pollution and what we should do about it.

What is air pollution? What are the sources? How and where are we exposed outdoors and indoors? What happens in the body? Which diseases are the result? Who are the most vulnerable? How can we assess the effects of air pollution? And what should we do to reach the Sustainable Development Goal to “substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution”? These are some of the important questions we will address in the course.

During the course you will meet researchers and experts from the University of Copenhagen and the Technical University of Denmark. They work with different aspects of air pollution and health: toxicology, exposure assessment, epidemiology, engineering and health impact assessment. It is a global responsibility to combat the health impacts of air pollution, and this fight can only be won through new knowledge and global collaboration. 

We hope you will join us in the course and equip yourself to take part in this global and individual health challenge.",20191.0,7251.0,4.8,1370.0
An Introduction to Global Health,https://www.coursera.org/learn/global-health-introduction,Health,Public Health,Flemming Konradsen,"This course will provide you with an overview of the most important health challenges facing the world today. You will gain insight into how challenges have changed over time, we will discuss the likely determinants of such changes and examine future projections. Successful international strategies and programs promoting human health will be highlighted and global health governance structures will be mapped and the role of the key actors explored.",27595.0,13554.0,4.8,783.0
An Introduction to the U.S. Food System: Perspectives from Public Health,https://www.coursera.org/learn/food-system,Health,Public Health,"Keeve Nachman, PhD, MHS, Robert S. Lawrence, MD, Pamela Rhubart Berg","A food system encompasses the activities, people and resources involved in getting food from field to plate. Along the way, it intersects with aspects of public health, equity and the environment. In this course, we will provide a brief introduction to the U.S. food system and how food production practices and what we choose to eat impacts the world in which we live. We will discuss some key historical and political factors that have helped shape the current food system and consider alternative approaches from farm to fork. The course will be led by a team of faculty and staff from the Johns Hopkins Center for a Livable Future. Guest lecturers will include experts from a variety of disciplines, including public health, policy and agriculture.",12935.0,4570.0,4.7,152.0
Antibiotic Stewardship,https://www.coursera.org/learn/antibiotic-stewardship,Health,Public Health,"Stan Deresinski, MD, Elizabeth Robilotti, Marisa Holubar, Lina Meng, PharmD, BCPS, BCCCP, Emily Mui","Antimicrobial Stewardship: Improving Clinical Outcomes by Optimization of Antibiotic Practices

Internet Enduring Material Sponsored by: Stanford University School of Medicine

Presented by: The Division of Infectious Diseases and Geographic Medicine at Stanford University School of Medicine

NOTE: These videos were produced as part of a free online course offered by the Stanford Center for Continuing Medical Education (SCCME).  If you wish to receive credit for your participation in the course, you will need to complete the full course on the SCCME website at: http://cme.stanford.edu/online. The course version on Coursera does not offer CME credit.

Course Description
Antibiotics are among the most frequently prescribed classes of drugs and it is estimated that approximately 50% of antibiotic use, in both the outpatient and inpatient settings, is inappropriate. At the same time, in contrast to any other class of drugs, every antibiotic use has a potential public health consequence – inappropriate use may not harm only the individual patient, but contributes to societal harm by exerting an unnecessary selective pressure that may lead to antibiotic resistance among bacteria. This video based course will introduce learners to the basic principles of appropriate antibiotic use, demonstrate how to apply these principles to the management of common infections, and outline how to develop and maintain an antimicrobial stewardship program. We will offer a number of illustrative cases, recognizable to the practicing physician in his or her practice to engage learners in the thought processes that lead to optimal decision making, improved outcomes of individual patients, and harm reduction vis-a-vis the bacterial ecology. The course will also explore strategies to implement principles of antimicrobial stewardship both in your practice and also at a program level.",36486.0,28896.0,4.4,280.0
"Antibióticos ¿cuándo, cómo y para qué?",https://www.coursera.org/learn/antibioticos,Health,Public Health,"Patricia Aguilera Jiménez, María Yazmín Hernández Arellano, Anahí Cristina Dreser Mansilla, María Guadalupe Miranda Novales, Samuel Ponce de León R.","¿Qué es lo primero que haces cuando te sientes enfermo? ¿Vas a la farmacia y le pides al boticario que te brinde un antibiótico que te “cure” rápidamente? ¿Tus familiares, amigos, conocidos, lo hacen? En este curso, aprenderás las razones por las cuales el uso inadecuado de antibióticos es perjudicial para tu salud y por qué este comportamiento ha dado lugar al fenómeno de salud pública denominado “resistencia bacteriana”.

De la mano de expertos en el área de la salud y con la más actualizada evidencia científica, comprenderás cómo funcionan los antibióticos, por qué es necesario que un profesional de la salud prescriba su uso y cómo prevenir enfermedades que requerirían el uso de antibióticos.",1742.0,5381.0,4.2,10.0
