name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
#talkmentalillness,https://www.coursera.org/learn/talkmentalillness,Health,Psychology,June Gruber,"I am a professor and mental health researcher and educator, and I’ve been working in the field for over 15 years. Like so many of my colleagues, however, I was unprepared for the wave of mental health challenges that would face our society in 2020. From COVID-19 and the devastating economic impacts of the pandemic to racial justice protests, widespread natural disasters, our current cultural moment presents unprecedented mental health concerns, and particularly for marginalized communities. For this reason, I led a field-wide call to action for mental health research and treatment that resulted in this #TalkMentalIllness course. I had the opportunity to speak to over 30 experts from different domains in psychology research, practice, and popular public figures and to discuss the causes and cutting-edge treatments for many serious disorders, the stigma surrounding mental illness in our culture, systemic inequality in mental health treatment, and the mental health challenges of today.

#talkmentalillness curates the interviews from the Mental Health Experts series into an accessible learning experience that will help you have conversations about mental health. Talking about mental illness is both the content and desired outcome of this course, as you will use what you learn from my interviews with mental health experts to guide your own discussions about mental health challenges and treatments with family members, friends, colleagues, and other people in your life. The course will begin by presenting a core set of definitions for mental illness and analyzing the stigma associated with it. We will then apply these topics to specific psychological disorders, including anxiety and mood disorders, eating disorders, suicide, substance use, and psychosis. We will then consider how these issues disproportionately impact marginalized groups and communities of color. The course will conclude by considering innovative approaches to psychological treatments and how the pursuit and science of happiness inform mental health and wellness.
 
This course is part of a broader educational mission to share the science of mental illness with both students and the public, both locally and globally. I have designed and created it in collaboration with the Office for Academic Innovation and Libraries’ Media Services Team at the University of Colorado Boulder.

- June Gruber",4200.0,9567.0,4.4,27.0
2021 Cancer Prevention Web-Based Activity (CE eligible),https://www.coursera.org/learn/2021-prevent-cancer,Health,Public Health,"Andrea Zimmerman, Jann T. Balmer","This web-based video course focuses on the importance of prevention and risk reduction in decreasing cancer occurrences. All learners will need to watch the video modules, read associated articles, and achieve a passing score of 80% on quizzes in order to complete the course. After completing the course, learners will receive a link to claim continuing medical and nursing education credit. 

DESCRIPTION
Next Generation Choices Foundation (NGCF or Less Cancer), lesscancer.org, in conjunction with the University of Virginia and American University, promotes a prevention paradigm for addressing the alarming trend of increasing cancer incidences and raises awareness of cancer prevention to make risk reduction and prevention a vital part of the cancer paradigm for all people. This is a departure from previous treatment-focused approaches that talked about beating, conquering, or curing cancer. Many cancers are preventable by reducing risk factors, such as PFAS and lead corrosion in water supply and infrastructure, use of tobacco products, ultraviolet light exposure, asbestos exposure, specific contaminants and pollution sources, disparities and inequities, and promoting healthy lifestyle choices, such as diet, exercise, and nutrition.

Visit the FAQs below for important information regarding 1) Activity faculty and their credentials; 2) Accreditation and Credit Designation statements; 3) Commercial support disclosure statement; 4) Disclosure of financial relationships for every person in control of activity content and their role in the activity; 5) Date of original release and Termination or expiration date.",,,,
2022 Cancer Prevention Web-Based Activity (CE eligible),https://www.coursera.org/learn/2022-prevent-cancer,Health,Public Health,Jann T. Balmer,"This web-based video course focuses on the importance of prevention and risk reduction in decreasing cancer occurrences. All learners will need to watch the video modules, read associated articles, and achieve a passing score of 80% on quizzes in order to complete the course. After completing the course, learners will receive a link to claim continuing medical and nursing education credit. 

DESCRIPTION
Next Generation Choices Foundation (NGCF or Less Cancer), lesscancer.org, in conjunction with the University of Virginia and American University, promotes a prevention paradigm for addressing the alarming trend of increasing cancer incidences and raises awareness of cancer prevention to make risk reduction and prevention a vital part of the cancer paradigm for all people. This is a departure from previous treatment-focused approaches that talked about beating, conquering, or curing cancer. Many cancers are preventable by reducing risk factors, such as PFAS and lead corrosion in water supply and infrastructure, use of tobacco products, ultraviolet light exposure, asbestos exposure, specific contaminants and pollution sources, disparities and inequities, and promoting healthy lifestyle choices, such as diet, exercise, and nutrition.

Visit the FAQs below for important information regarding 1) Activity faculty and their credentials; 2) Accreditation and Credit Designation statements; 3) Commercial support disclosure statement; 4) Disclosure of financial relationships for every person in control of activity content and their role in the activity; 5) Date of original release and Termination or expiration date.",,2189.0,,
A Guide to Healthcare Innovation: Principles and Practice,https://www.coursera.org/learn/guide-to-healthcare-innovation-principles-and-practice,Health,Public Health,Dr Matthew Harris,"This course reflects on global health challenges and the role of innovative solutions in addressing them. By engaging in this course, you will be able to describe the principles and key types of innovation in order to characterise the fundamental features of new models of care and technologies. 

This course will review the basic features and principles of healthcare innovation. You'll be examining innovations developed to address global health challenges, ranging from simple low-cost technologies readily deployed in resource constrained settings to more complex combinations of organizational, business model and technology innovations. Throughout this course, you'll also consider how adoption and diffusion is influenced by social, economic and political factors and explore what is required to get an innovation in to practice, effectively, at scale.",6086.0,6904.0,4.7,157.0
A Life of Happiness and Fulfillment,https://www.coursera.org/learn/happiness,Health,Psychology,Dr. Rajagopal Raghunathan,"What are the determinants of a happy and fulfilling life?

This is surely one of life’s biggest questions, and a question that has interested many of our ancestors. Buddha famously gave up his kingdom in search of happiness. Several Greek philosophers (from Aristotle to Epicurus and Plato to Socrates) had their own views on what it takes to be happy. And of course, we all have our own theories about happiness too.

How valid are our theories?

Until recently, if you wished for an answer to this question, you would've been forced to base it on discussions with spiritual leaders. Or, if you were lucky, you could've based it on late-night (and perhaps intoxicant-fueled) conversations with friends and family. Happily, all that has changed now. Over the past decade-and-a-half, scientists have gotten into the act big time. We now have a pretty good idea of what it takes to lead a happy and fulfilling life.

This course, based on the award-winning class offered both at the Indian School of Business and at the McCombs School of Business at The University of Texas at Austin, developed by Prof. Raj Raghunathan (aka ""Dr. Happy-smarts"") draws content from a variety of fields, including psychology, neuroscience, and behavioral decision theory to offer a tested and practical recipe for leading a life of happiness and fulfillment. 

Although not mandatory, reading Prof. Raj's forthcoming book, titled If you're so smart, why aren't you happy? can help you review and assimilate the material covered in this book at your leisure. 

For Coursera learners alone, the hardcover version of the book is available for a deep discount of 50%, plus shipping and handling. You can order the hardcover for 50% off by writing to Aaron at: Aaron@800ceoread.com. Please mention that you are a student of the ""coursera happiness course"" in your email. 

The course will feature guest appearances by several well-known thought leaders, including:
      - Dan Ariely (author of Predictably Irrational and, soon to be released, Irrationally Yours),
      - Ed Diener (“Dr. Happiness”),
      - Mihaly Csikszentmihalyi (author of Flow),

By taking this course, you will discover the answers to questions such as:
      - Why aren’t the smart-and-the-successful as happy as they could—or should—be
      - What are the “7 Deadly Happiness Sins” that even the smart and the successful commit?, and
      - What are the “7 Habits of the Highly Happy” and how can you implement them in your life?

By the end of the course, I expect students who have been diligent with the lectures and exercises to not just gain a deeper understanding of the science of happiness, but to also be significantly happier.",452333.0,122540.0,4.8,5688.0
A Public Health Approach to Hearing Loss and Aging,https://www.coursera.org/learn/a-public-health-approach-to-hearing-loss-and-aging,Health,Public Health,"Jennifer A. Deal, PhD, Nicholas S. Reed, AuD, Frank R. Lin, MD, PhD","At the Johns Hopkins Cochlear Center for Hearing and Public Health, we are dedicated to training up the next generation of clinicians and researchers to study the impact that hearing loss in older adults has on public health and to develop and implement public health strategies and solutions for hearing loss.  The Center is proud to present this course which introduces a public health approach to aging and hearing population-based research, reviews the state of public health policy and ongoing interventions, and discusses the current epidemiologic research linking hearing loss to cognitive and healthcare outcomes in older adults, including dementia.  Learners will be hearing from Johns Hopkins faculty and researchers who will speak on their expertise in areas of otolaryngology, audiology, epidemiology, gerontology, and public health policy/economics.",,1972.0,,
AI in Healthcare Capstone,https://www.coursera.org/learn/ai-in-healthcare-capstone,Health,Health Informatics,"Matthew Lungren, Nigam Shah, Serena Yeung, Tina Hernandez-Boussard, Laurence Baker","This capstone project takes you on a guided tour exploring all the concepts we have covered in the different classes up till now. We have organized this experience around the journey of a patient who develops some respiratory symptoms and given the concerns around COVID19 seeks care with a primary care provider. We will follow the patient's journey from the lens of the data that are created at each encounter, which will bring us to a unique de-identified dataset created specially for this specialization. The data set spans EHR as well as image data and using this dataset, we will build models that enable risk-stratification decisions for our patient. We will review how the different choices you make -- such as those around feature construction, the data types to use, how the model evaluation is set up and how you handle the patient timeline -- affect the care that would be recommended by the model. During this exploration, we will also discuss the regulatory as well as ethical issues that come up as we attempt to use AI to help us make better care decisions for our patient. This course will be a hands-on experience in the day of a medical data miner.

The Stanford University School of Medicine is accredited by the Accreditation Council for Continuing Medical Education (ACCME) to provide continuing medical education for physicians.  Visit the FAQs below for important information regarding 1) Date of original release and Termination or expiration date; 2) Accreditation and Credit Designation statements; 3) Disclosure of financial relationships for every person in control of activity content.",4653.0,10174.0,4.7,108.0
AIDS: Fear and Hope,https://www.coursera.org/learn/aids-fear-hope,Health,Patient Care,"Richard Meisler, Ph.D.","The basic biology of the virus, HIV, and the disease it causes, AIDS.  The economic, social and political factors that determine who gets sick and who remains healthy, who lives and who dies.  The progress of scientific research and medical treatments.  The reasons for hope; the reasons for fear.  (To get a glimpse of some of the materials that students have been posting on the course forums, go to @AIDSFAH or #AIDSFAH.)",13265.0,5239.0,4.8,398.0
Achieving Health Equity in Healthcare,https://www.coursera.org/learn/achieving-health-equity-in-healthcare,Health,Public Health,Minal R. Patel,"The third and the last course of the Addressing Racial Health Inequity in Healthcare specialization will go through various approaches that are used to addressing racial inequity in healthcare., and the strengths and challenges of those approaches. You will explore legal, policy, and regulatory approaches to interventions such as Title IX in the United States. You will explore what is being done to intervene on providers to reduce differential care. You will unpack quality improvement and multiple approaches to leveraging healthcare systems and community partnerships to address access to care. You will also come to understand the history and role of community health centers in being critical infrastructure in addressing the health needs of diverse populations. Finally, you will be introduced to the workforce initiatives and the reparations that aim to close the racial and ethnic healthcare disparities gaps.",,1744.0,,
Actualización en el manejo del paciente con diabetes mellitus tipo 2,https://www.coursera.org/learn/actualizacion-manejo-diabetes-tipo-2,Health,Nutrition,José Antonio Márquez López,"Este curso está diseñado para ofrecer información actualizada sobre el manejo del paciente con diabetes mellitus tipo 2, con la finalidad de mejorar su atención médica. El curso está dirigido a médicos y profesionales sanitarios que tienen contacto con pacientes diabéticos; con ello, se busca disminuir la morbimortalidad de esta enfermedad y mejorar la calidad de vida de quienes la padecen. Este curso incluye temas relacionados con el manejo nutricional y la actividad física, así como estrategias de manejo farmacológico según el contexto clínico del paciente, a partir de sus comorbilidades y preferencias.",47079.0,20601.0,4.8,1207.0
