name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
Achieving Advanced Insights with BigQuery,https://www.coursera.org/learn/gcp-advanced-insights-bigquery,Information Technology,Data Management,Google Cloud Training,"The third course in this course series is Achieving Advanced Insights with BigQuery. Here we will build on your growing knowledge of SQL as we dive into advanced functions and how to break apart a complex query into manageable steps. 

We will cover the internal architecture of BigQuery (column-based sharded storage) and advanced SQL topics like nested and repeated fields through the use of Arrays and Structs. Lastly we will dive into optimizing your queries for performance and how you can secure your data through authorized views.

After completing this course, enroll in the Applying Machine Learning to your Data with Google Cloud course.

>>> By enrolling in this specialization you agree to the Qwiklabs Terms of Service as set out in the FAQ and located at: https://qwiklabs.com/terms_of_service <<<",18607.0,34739.0,4.7,1283.0
Achieving Advanced Insights with BigQuery 日本語版,https://www.coursera.org/learn/gcp-advanced-insights-bigquery-jp,Information Technology,Data Management,Google Cloud Training,"この専門講座の 3 番目のコースは、「Achieving Advanced Insights with BigQuery」です。ここでは、高度なファンクションと、複雑なクエリを管理可能なステップに分割する方法を学びながら、SQL に関する知識を深めます。

BigQuery の内部アーキテクチャ（列ベースのシャーディング ストレージ）についてや、ARRAY と STRUCT を使用した、ネストされたフィールドと繰り返しフィールドなどの高度な SQL トピックについて説明します。最後に、クエリのパフォーマンスを最適化する方法と、承認済みビューを使用してデータを保護する方法について説明します。
 
 >>> この専門講座に登録すると、よくある質問に記載されているとおり Qwiklabs の利用規約に同意したことになります。詳細については、https://qwiklabs.com/terms_of_service をご覧ください。<<<",,,,
Advanced Data Modeling,https://www.coursera.org/learn/advanced-data-modeling,Information Technology,Data Management,Taught by Meta Staff,"Develop a working knowledge and familiarity with advanced database concepts such as usage, modeling, automation, storage, optimization and administration. 

By the end of this course, you’ll be able to:  
 
- Deploy basic data modeling skills and navigate modern storage options for a data warehouse 
- Apply planning and execution of ETL style database engineering by building upon existing MySQL skills 
- Develop a working knowledge of the different aspects of managing a database including administration of database operations and concerns, alongside processes and solutions for monitoring, reporting and debugging  
- Demonstrate data modeling skills within a real-world project environment 
 
You’ll gain experience with the following tools and software: 
 
- Workbench data modeling software 
- Syntaxes used to interact with a data warehouse 
- Extract, transform and loading (ETL) techniques and methods 
- MySQL data warehouse administration 
- Data warehouse monitoring and reporting tools 
- Database debugging and testing tools 
- Data modeling tools",,4742.0,,
Advanced Features with Relational Database Tables Using SQLiteStudio,https://www.coursera.org/learn/advanced-features-relational-database-table-sqlitestudio,Information Technology,Data Management,Judy Richardson,"In this course, you’ll increase your knowledge of and experience with relational tables as you explore alternative ways of getting data into tables. You’ll also look at some of the advanced features that can give relational tables super powers.  As you learn about the new features, you’ll use SQLiteStudio to apply them to your tables. Those features will enable your tables to more efficiently manage data—while keeping your data safe and accurate.  

Tables are great for data storage. The concept of organizing data in rows and columns is familiar to most people. Accountants use spreadsheets to organize financial data, making it easier to budget and track expenses. Parents use lists with columns to track their family’s schedules so that everyone gets to participate in outside activities. Even the Internal Revenue Service gets in the game by using tax tables to provide tax amounts for a variety of incomes. Even a simple grocery list is tabular in nature. Each row is an item, with one column having the item's name/description, and a second column noting the quantity needed. It’s no surprise that database designers like to use tables in a relational database to organize and store data. In the Design and Create a Relational Database Table Using SQLiteStudio course you learned about tables. You created and populated a relational table using the SQLiteStudio database management system. That was a great beginning.  Now it's time for the next step!",3143.0,,4.7,104.0
Advanced MySQL Topics,https://www.coursera.org/learn/advanced-mysql-topics,Information Technology,Data Management,Taught by Meta Staff,"In this course, you'll begin to push beyond simple SQL statements in MySQL to an advanced level in database engineering.

By the end of this course, you'll be able to:

- Use control statements and variables in different contexts in MySQL
- Develop user defined functions and procedures
- Optimize MySQL database queries
- Demonstrate a working knowledge of common table expressions and the JSON data type
- Understand how and when to use triggers and events
- Utilize subqueries, JOINS, views and transactions to perform data analysis
- and use database optimization techniques such as MySQL transactions

You'll gain experience with the following advanced MySQL database skills:

- MySQL user defined functions
- Advanced MySQL stored procedures
- MySQL optimization techniques including Indexes, Transactions, CTE and JSON
- MySQL triggers and events
- Database analytics in MySQL
- Advanced SQL queries for data analysis with JOINS, views and subqueries

Through this course you'll develop new skills, improve your productivity, learn to act effectively with data and boost your career prospects.

To be successful in this course, you should have already completed the previous course, “Database Structures and Management with MySQL,” or have prior experience with the skills taught in that course.",1573.0,32210.0,,
Advanced SQL Retrieval Queries in SQLiteStudio,https://www.coursera.org/learn/advanced-sql-retrieval-queries-in-sqlitestudio,Information Technology,Data Management,Judy Richardson,"In this course you will learn to write advanced SQL (Structured Query Language) retrieval queries using SQLiteStudio. Retrieving data from a relational database is one of the primary methods used by application and web developers to display data and populate web pages. Since a database can be made up of a complex combination of relational tables, retrieving that data can be challenging. You can meet those challenges by gaining experience with some of the more advanced SQL coding techniques. Through hands-on practice you will write SQL code to use functions and grouping, sub queries, calculated fields, and conditional expressions. In addition, you will experiment with alternative methods of joining tables for data retrieval.

Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",3776.0,,4.5,93.0
Advanced Topics and Future Trends in Database Technologies,https://www.coursera.org/learn/advanced-topics-future-trends-database-technologies,Information Technology,Data Management,"Di Wu, Alan Paradise","This course consists of four modules covering some of the more in-depth and advanced areas of database technologies, followed by a look at the future of database software and where the industry is heading.",,14077.0,,
Aggregate Data in SQL using MySQL Workbench,https://www.coursera.org/learn/aggregate-data-sql-mysql-workbench,Information Technology,Data Management,Judy Richardson,"In this project you will use MySQL Workbench to write SQL queries that aggregate (group) data. Incorporating aggregate functions like COUNT, SUM, and AVG, your SQL queries will group and summarize data. Data that is aggregated and presented in a logical format makes it a more valuable decision-making tool for users. 

Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",,,,
Aggregate Data with LibreOffice Base Queries,https://www.coursera.org/learn/aggregate-data-libreoffice-base-queries,Information Technology,Data Management,Judy Richardson,"By the end of this project, you will have written LibreOffice Base queries to retrieve and aggregate data from a Sales database. Using both the Query Design tool and the SQL View you will group and summarize data using functions such as: Sum, Average, Count, Min and Max. Aggregating (grouping and summarizing) data can significantly increase its value when provided to users for use in analysis.  

Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",,,,
Analysis for Business Systems,https://www.coursera.org/learn/analysis-for-business-systems,Information Technology,Data Management,Ken Reily,"Most often, organizations acquire information systems as part of a larger focus on process improvement and efficiency. These organizations need to invest in the right system to meet their needs: right functionality, right size, and for the right price. The business systems analyst role in most organizations is responsible for translating the organization’s needs into requirements, which are then used to select or build the right system for the organization.

During the Analysis for Business Systems course, you’ll learn about the standard model for systems development: the systems development lifecycle, or SDLC. You will learn how to read and even create the specific deliverables that business systems analysts prepare during the SDLC.  These documents provide guidance to the organization as they determine whether to build or buy and configure a system that meets the organization’s needs.",22964.0,55385.0,4.8,466.0
Analyze Sales Data with LibreOffice Base Queries,https://www.coursera.org/learn/analyze-sales-data-libreoffice-base-queries,Information Technology,Data Management,Judy Richardson,"By the end of this project, you will have developed LibreOffice Base queries that provide data for use in sales analysis. An organization that sells products or services finds it useful to know which products are selling, whether they are priced appropriately, and which customers are purchasing them. Providing that kind of data gives the organization better targets for fine tuning its product mix and customer base.

Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",,,,
Análisis serverless de data en Amazon S3 usando Athena,https://www.coursera.org/learn/amazon-athena,Information Technology,Data Management,Anita Quevedo Solidoro,"Al final de este proyecto, tú entenderás y aplicarás el servicio de Amazon Athena para poder analizar tus propia data y generar insigths de la misma.",,,,
App Dev: Storing Image and Video Files in Cloud Storage - Python,https://www.coursera.org/learn/googlecloud-app-dev-storing-image-and-video-files-in-cloud-storage-python-x6sk3,Information Technology,Data Management,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
Applying Machine Learning to your Data with GCP 日本語版,https://www.coursera.org/learn/data-insights-gcp-apply-ml-jp,Information Technology,Data Management,Google Cloud Training,"ペタバイト規模のデータに対して数秒でクエリを実行して処理する方法や、データの増大に合わせて自動的にスケーリングされるデータ分析に関心がある場合は、ぜひ Data Insights コースを受講してください。

この 1 週間のオンライン速習コースに参加すると、Google Cloud Platform を使用したデータ分析と可視化によって分析情報を得る方法を学習できます。本コースにはインタラクティブなシナリオとハンズオンラボが用意されており、参加者は Google BigQuery のさまざまなデータセットを使用して、分析情報の探索、マイニング、読み込み、可視化、抽出を行うことができます。本コースでは、データの読み込み、クエリの実行、スキーマのモデル化、パフォーマンスの最適化、クエリの料金、データの可視化を扱います。

 前提条件

 本コースを最大限に活用するには、この専門講座で以下のコースを事前に完了する必要があります。

• Exploring and Preparing your Data
• Storing and Visualizing your Data
• Architecture and Performance

 >>> この専門講座に登録すると、よくある質問に記載されているとおり Qwiklabs の利用規約に同意したことになります。詳しくは、https://qwiklabs.com/terms_of_service をご覧ください。 <<<",,3122.0,,
Applying Machine Learning to your Data with Google Cloud,https://www.coursera.org/learn/data-insights-gcp-apply-ml,Information Technology,Data Management,Google Cloud Training,"In this course, we define what machine learning is and how it can benefit your business. You'll see a few demos of ML in action and learn key ML terms like instances, features, and labels. In the interactive labs, you will practice invoking the pretrained ML APIs available as well as build your own Machine Learning models using just SQL with BigQuery ML.",18022.0,27450.0,4.7,1107.0
Armando un catálogo de datos con Azure Purview,https://www.coursera.org/learn/azure-purview,Information Technology,Data Management,Nestor Nicolas Campos Rojas,"En este proyecto de 1 hora, aprenderás a crear un catálogo de datos y explorar y organizar las fuentes y activos de datos para que la organización tenga una sola fuente oficial para buscar y analizar todos los datos.",,,,
Arquitecturas de Big Data,https://www.coursera.org/learn/arquitecturas-de-big-data,Information Technology,Data Management,"Claudia Lucía Jiménez-Guarín , Christian Fernando Ariza Porras, Harold Enrique Castro Barrera","El curso de Arquitecturas de Big Data busca que identifiques las características de una solución de Big Data, los datos asociados a estas soluciones, la infraestructura requerida, y las técnicas de procesamiento escalable. Desarrollaremos ejemplos usando infraestructuras basadas en Hadoop y en Spark, teniendo presente la pertinencia de las plataformas basadas en nube pública para soportar la escalabilidad de estas soluciones. 

El curso está dirigido a personas con conocimientos básicos en manejo de herramientas computacionales y programación en al menos uno de estos lenguajes (Python, Java). 

Dado que en este curso se hará uso de un programa descargable, aseguraté de tener un computador con la siguiente configuración mínima:

Mínimo 8 GB de memoria RAM. 
Mínimo 200 GB de espacio libre en disco. 
Alguno de los siguientes sistemas operativos: Windows, Linux, Macintosh, o Solaris.",,1849.0,,
