name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
4G : Principes des réseaux mobiles,https://www.coursera.org/learn/4g-principes-des-reseaux-mobiles,Information Technology,Networking,Xavier Lagrange,"Ce MOOC vous expliquera les principes qui ont présidé à la définition de l’architecture des réseaux 4G et les protocoles entre les différents éléments du réseau.

Il comprend 6 séquences de cours réparties sur 6 semaines que l'apprenant peut suivre à son propre rythme. Pour toute question, il peut solliciter l'assistant pédagogique.

Une attestation de suivi avec succès est attribuée par Coursera aux apprenants réussissant à obtenir une note supérieure à 50 %.

Ce MOOC a reçu le soutien financier de la Fondation Patrick & Lina Drahi.",,7630.0,,
4G Network Fundamentals,https://www.coursera.org/learn/4g-network-fundamentals,Information Technology,Networking,Xavier Lagrange,"4G is the cutting-edge network technology that links millions of smartphones to the internet. But how does it actually work?

Ideal for network engineers, sales engineers, application developers, and many other telecoms pros, this course will help you to understand the technology behind the apps and devices we use every day.

You’ll get a solid overview of LTE/EPC (Long Term Evolution / Evolved Packet Core) 4G networks, how they work, how the network architecture is designed, and which protocols are used.

First, you’ll gain exposure to the global architecture of the network, how the radio interface works, and how security is guaranteed. Then you’ll dive into the operational side. What is a bearer? How is it quickly configured and released? How does 4G handle millions of terminals that are on the move all the time?

A certificate of completion is awarded by Coursera to learners who achieve a grade above 50%.

This course has received financial support from the Patrick & Lina Drahi Foundation.",,17999.0,4.6,13.0
5G : Principes de fonctionnement,https://www.coursera.org/learn/5g-principes-de-fonctionnement,Information Technology,Networking,Xavier Lagrange,"Ce MOOC présente les services et l’architecture des réseaux 5G, les évolutions de l’interface radio et de la gestion des flux de données.

Depuis quelques années, les opérateurs déploient la technologie 5G sur les réseaux commerciaux mobiles. Cette dernière est annoncée comme une rupture technologique majeure avec des débits au delà du Gbit/s, de très faibles latences et surtout une diffusion dans de nombreux secteurs d'activités (industrie, transports, médecine, etc.).

Au delà des effets d'annonce, cette technologie s'appuie fortement sur la 4G. La forme d'onde pour la transmission radio est identique, la gestion des flux de données est similaire. La 5G étend cependant notablement les options possibles tant dans les choix d'architectures que dans les configurations d'interface radio ainsi que dans les mécanismes de sécurité.

Une attestation de suivi avec succès est attribuée par Coursera aux apprenants réussissant à obtenir une note supérieure à 50 %.

Ce MOOC a reçu le soutien financier de la Fondation Patrick & Lina Drahi.",,9035.0,,
APIs Explorer: Qwik Start,https://www.coursera.org/learn/googlecloud-apis-explorer-qwik-start-3gtd4,Information Technology,Networking,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
"Advanced Junos Concepts (Firewall Filters, IPv6, CoS)",https://www.coursera.org/learn/junos-concepts,Information Technology,Networking,Gordon ,"This course will describe some advanced Junos OS concepts such as firewall filters and their use as a means of protecting a device from excessive traffic. An overview of the benefits and purpose of class of service (CoS) will be provided along with the implementation of traffic classification, queuing, and scheduling. Recommended Juniper Networks Technical Assistance Center (JTAC) procedures will be described along with the Juniper tools available online to help manage and support Juniper products. The course will be rounded out with a discussion of Juniper security concepts and components.",,5204.0,,
Analyze Network Traffic with TCPDump,https://www.coursera.org/learn/analyze-network-traffic-with-tcpdump,Information Technology,Networking,Harrison Kong,"In this 1 hour guided project, you will learn how to use one of the most versatile Linux networking utilities tcpdump to capture and analyze TCP traffic. Popular among all ranks of networking professionals, tcpdump will definitely empower you in daily networking operations. Basic network experience and shell script basics are highly recommended as prerequisites.",,,,
Aruba CX Switching for Cisco Professionals,https://www.coursera.org/learn/aruba-cx-switching-for-cisco-professionals,Information Technology,Networking,Aruba Education Services,"The Aruba CX Switching for Cisco Professionals course bridges the gap between Aruba and Cisco switching

technologies by teaching the necessary skills for a Cisco Certified Routing and Switching
Professional to use the Aruba AOS-CX technology. This course consists of approximately
40% lecture and 60% hands-on lab exercises to help you learn how to implement and validate
AOS-CX solutions. Self-directed Labs can be purchased separately on HPE Press. This course prepares already certified Cisco professionals for the Aruba Certified Switching Associate (ACSA) exam.",,2685.0,4.5,11.0
Aruba Mobility Basics,https://www.coursera.org/learn/aruba-mobility-basics,Information Technology,Networking,Aruba Education Services,"In Aruba Mobility Basics, you will learn how Radio Frequency (RF) works! You will compare the differences between a wired and a wireless network, identify WLAN organizations that set Wi-Fi standards and the basics of radio communication. This course introduces you to what goes into setting up a wireless network and how wireless functions at a basic level without requiring any technical experience. Typical candidates for this course are individuals who are new to networking and want to learn the basics of wireless networking.",1581.0,2850.0,4.9,19.0
Aruba Mobility Basics for Portuguese Speakers,https://www.coursera.org/learn/aruba-mobility-basics-portuguese,Information Technology,Networking,"Ricardo Cobos, Aruba Education Services","Em Aruba Mobility Essentials, você aprenderá as diferenças entre uma rede com e sem fio, identificará as organizações WLAN que estabelecem padrões Wi-Fi e as bases da comunicação por rádio. O objetivo deste curso é apresentar a você o que vai na criação de uma rede sem fio e como a rede sem fio funciona em um nível básico, sem exigir qualquer experiência técnica. O curso é dividido em duas partes: 

- A Parte 1 introduz tecnologias sem fio, padrões e conceitos de planejamento. 

- A Parte 2 explica as arquiteturas de redes sem fio, passado, presente e futuro. 

Os candidatos típicos para este curso são indivíduos que são novatos em redes e querem aprender o básico de redes sem fio.",,,,
Aruba Mobility Basics for Spanish Speakers,https://www.coursera.org/learn/aruba-mobility-basics-spanish,Information Technology,Networking,"Aruba Education Services, Ricardo Cobos","En Aruba Mobility Basics, aprenderá las diferencias entre una red cableada y una inalámbrica, identificará las organizaciones WLAN que establecen los estándares Wi-Fi y los fundamentos de la comunicación por radio. El objetivo de este curso es presentarle lo que implica la configuración de una red inalámbrica y cómo funciona la tecnología inalámbrica a un nivel básico sin que sea necesario tener experiencia técnica. El curso se divide en dos partes: 

- La parte 1 presenta las tecnologías inalámbricas, los estándares y los conceptos de planificación. 

- La parte 2 explica las arquitecturas de las redes inalámbricas, el pasado, el presente y el futuro. 

Los candidatos típicos para este curso son las personas que son nuevas en el mundo de las redes y quieren aprender los fundamentos de las redes inalámbricas.",,,,
Aruba Network Automation Basics,https://www.coursera.org/learn/aruba-network-automation-basics,Information Technology,Networking,"Aruba Education Services, Tyler McMinn","Aruba networking technologies are purpose-built with automation in mind to meet the increasing demands on IT’s ability to achieve business outcomes more efficiently. In Aruba Network Automation Basics you'll get an introduction to network automation concepts, key automation tools including Python

and Ansible, and how to apply network automation in practice with Aruba products. This course is great for the networking professionals who want an introduction to the world of coding, scripting, and automation.",,1566.0,,
Aruba Network Security Basics,https://www.coursera.org/learn/aruba-network-security-basics,Information Technology,Networking,Aruba Education Services,"In Aruba Network Security Basics, you will explore what threats pose a risk to a basic computer network and what security technologies are available to harden your devices against these attacks. How do messages get encrypted? What exactly is Malware? What technologies can we deploy that will allow networks to defend themselves? Our lives and business rely on having trusted secure access to our networks, but what does it take to ensure that security? The Aruba Network Security Basics course is a starting point for individuals interested in a career as a security professional, and for anyone to who wants to get familiar with Aruba’s security technologies. To get deeper technical knowledge with Aruba network security, see the Aruba Certified Network Security Associate (ACNSA) here: www.arubanetworks.com/support-services/training-services/certified-network-security-associate/",,3571.0,,
Aruba Networking Basics,https://www.coursera.org/learn/aruba-networking-basics,Information Technology,Networking,"Aruba Education Services, Tyler McMinn","In Aruba Networking Basics, you will learn what a basic computer network is, compare local and wide area networks, use cases, and implementation types. Communication over these networks relies on protocols. Once you learn about those, you will be well on your way to understanding network communications and well prepared to learn VLANs and how to configure an Aruba OS Switch! This course includes a free Hands-On Lab to help you comprehend the concepts. 

Typical candidates for this course are individuals who are new to networking and want to learn the basics of wired networking.",15067.0,8033.0,4.7,241.0
Aruba Networking Basics - Arabic  أساسيات شبكات أروبا,https://www.coursera.org/learn/networking-basics-arabic,Information Technology,Networking,"Ahmad Enaya, Aruba Education Services",في هذه الدورة ستتعلم تعريف شبكات الحاسوب وستستطيع المقارنة بين الشبكات المحلية وشبكات المنطقة الواسعة، وستعرف حالات الاستخدام وأنواع التنفيذ لكل منها. يعتمد الاتصال عبر شبكات الحاسوب على البروتوكولات، بمجرد التعرف على هذه البروتوكولات بشكل جيد ستكون في طريقك لفهم طرق الاتصال في شبكات الحاسوب وستكون مستعدًا بشكل جيد لتعلم الشبكات الافتراضية VLANs وكيفية برمجه و تهيئة محولات الشبكة من نوع Aruba OS-CX Switches. تتضمن هذه الدورة الكثير من التمارين العملية لمساعدتك على فهم المبادئ الأساسية للشبكات.,,2109.0,,
Aruba Networking Basics for Portuguese Speakers,https://www.coursera.org/learn/aruba-networking-basics-portuguese,Information Technology,Networking,"Aruba Education Services, Ricardo Cobos","No Aruba Networking Essentials, você aprenderá o que é uma rede básica de computadores, comparará redes locais e de longa distância, casos de uso e tipos de implementação. A comunicação por meio dessas redes depende de protocolos. Depois de aprender sobre eles, você estará no caminho certo para entender as comunicações de rede e bem preparado para aprender VLANs e como configurar um Switch Aruba OS-CX! Este curso inclui um Laboratório Prático gratuito para ajudá-lo a compreender os conceitos. 

Os candidatos típicos para este curso são indivíduos que são novos em redes e que desejam aprender o básico sobre redes com fio.",,,,
Aruba Networking Basics for Spanish Speakers,https://www.coursera.org/learn/aruba-networking-basics-spanish,Information Technology,Networking,"Aruba Education Services, Ricardo Cobos","En el curso Aruba Networking Basics aprenderá los conceptos de red básica de computadoras, comparará las redes de área local y amplia, examinará casos de uso y tipos de implementación. Las comunicaciones en estas redes dependen de protocolos. ¡Ya que aprenda sobre ellos estará iniciando el camino de entender las comunicaciones de red y estará preparado para aprender sobre VLANs y como configurar un switch Aruba OS-CX! Este curso incluye un laboratorio práctico como auxiliar en la compresión de los conceptos.",,2369.0,,
Automating the Deployment of Networks with Terraform,https://www.coursera.org/learn/googlecloud-automating-the-deployment-of-networks-with-terraform-ukngs,Information Technology,Networking,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
