name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
A General Approach to Risk Management,https://www.coursera.org/learn/a-general-approach-to-risk-management,Information Technology,Security,"Michael Whitman, Ph.D., CISM, CISSP, Herbert J. Mattord, Ph.D., CISM, CISSP, CDP","Every organization uses its information to support its business operations. When there are threats in the internal and external environments, they create the risk of information loss or damage.  This course examines the design and construction of a risk management program, including policies and plans, to support the identification and treatment of risk to the organization’s information assets.",,2626.0,,
Access Control Concepts,https://www.coursera.org/learn/access-control-concepts,Information Technology,Security,(ISC)² Education & Training,"Welcome to course 3 of 5 of this Specialization, Access Control Concepts.

In Course 1, we introduced access control concepts. Now, we will take a more detailed look at the types of access control that every information security professional should be familiar with. We will discuss both physical and logical controls and how they are combined to strengthen the overall security of an organization. This is where we describe who gets access to what, why access is necessary, and how that access is managed.

After completing this course, the participant will be able to: 

Select access controls that are appropriate in a given scenario.

- Relate access control concepts and processes to given scenarios.
- Compare various physical access controls.
- Describe logical access controls.
- Practice the terminology of access controls and review concepts of access controls.

Agenda

Course Introduction
Module 1: Key Concepts 
Module 2: Administrative Controls
Module 3: Physical Controls
Module 4:Logical Controls
Module 5: Controls Review

This training is for IT professionals, career changers, college students, recent college graduates, advanced high school students and recent high school graduates looking to start their path toward cybersecurity leadership by taking the Certified in Cybersecurity entry-level exam.

There are no prerequisites to take the training or the exam. It is recommended that candidates have basic Information Technology (IT) knowledge. No work experience in cybersecurity or formal education diploma/degree is required.",,4563.0,,
Access Controls,https://www.coursera.org/learn/access-control-sscp,Information Technology,Security,(ISC)² Education & Training,"Welcome to Access Controls!

The Access Controls Course provides information pertaining to specify what users are permitted to do, the resources they are allowed to access, and what operations they are able to perform on a system. Access Controls help managers limit and monitor systems use at a user level or group membership. You will understand the different access control systems and how they should be implemented to protect the system and data using the different levels of confidentiality, integrity, and availability.

The Access Controls course provides information pertaining to specifying what users are permitted to do, the resources they are allowed to access, and what operations they are able to perform on a system. Access Controls help managers limit and monitor systems use at a user level, and is usually predefined based on authority level or group membership. You will understand the different access control systems and how they should be implemented to protect the system and data using the different levels of confidentiality, integrity, and availability.

  Objectives
1. Describe how to implement Authentication mechanisms
2. Identify and operate internetwork trust architectures
3. Describe the process of administering identity management life cycle
4. Implement the different types of access controls (Subject/Object based)",7441.0,7847.0,4.7,306.0
Advanced Python - Reconnaissance,https://www.coursera.org/learn/python-in-recon,Information Technology,Security,Howard Poston,Welcome to advanced Python for Cybersecurity. The Reconnaissance course demonstrates the use of Python to automate the process of performing reconnaissance on target environments. We will also demonstrate how Python can be used to automate a password guessing attach to gain initial access to a target environment.,1744.0,6466.0,4.4,17.0
Aplicando seguridad en apps con Azure,https://www.coursera.org/learn/seguridad-azure,Information Technology,Security,Nestor Nicolas Campos Rojas,"En este proyecto de 1 hora, conocerás los principales servicios asociados a la seguridad en las aplicaciones de Microsoft Azure y lo fundamental de utilizarlas para dar confianza a tus usuarios, todo mediante ejercicios simples y prácticos.",,,,
Aruba Network Security Basics for Spanish Speakers,https://www.coursera.org/learn/aruba-network-security-basics-spanish,Information Technology,Security,"Ricardo Cobos, Aruba Education Services","En Aruba Network Security Basics, usted explorará qué amenazas suponen un riesgo para una red informática básica y qué tecnologías de seguridad están disponibles para reforzar sus dispositivos contra estos ataques. ¿Cómo se encriptan los mensajes? ¿Qué es exactamente el malware? ¿Qué tecnologías podemos desplegar para que las redes se defiendan por sí mismas? Nuestras vidas y negocios dependen de tener un acceso seguro y confiable a nuestras redes, pero ¿qué se necesita para garantizar esa seguridad? El curso Aruba Network Security Basics es un punto de partida para las personas interesadas en una carrera como profesional de la seguridad, y para cualquiera que quiera familiarizarse con las tecnologías de seguridad de Aruba.",,,,
Automating Response to Phishing with Cortex XSOAR,https://www.coursera.org/learn/googlecloud-automating-response-to-phishing-with-cortex-xsoar-bzial,Information Technology,Security,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
Blockchain Evolution and Technology Concepts,https://www.coursera.org/learn/blockchain-evolution-and-technology-concepts,Information Technology,Security,AICPA ,This specialization offers the latest developments in blockchain technology through a highly engaging learning experience with animated video components and intuitive course flow to maximize your knowledge retention.,3340.0,3329.0,4.7,102.0
Blockchain Opportunities Beyond Crypto Assets,https://www.coursera.org/learn/blockchain-opportunities-beyond-crypto-assets,Information Technology,Security,AICPA ,This specialization offers the latest developments in blockchain technology through a highly engaging learning experience with animated video components and intuitive course flow to maximize your knowledge retention.,1849.0,2184.0,4.5,59.0
C++ Interacting with the World and Error Handling,https://www.coursera.org/learn/c-interacting-with-the-world-and-error-handling,Information Technology,Security,Martin Dubois,"Explore the C and C++ languages. Look at the specificity of the C/C++ languages and how this impacts security, ways C/C++ can interact with the external world, error handling, the execution environment and much more.",,,,
C++ Superpowers and More,https://www.coursera.org/learn/c-superpowers-and-more,Information Technology,Security,Martin Dubois,"Explore the C and C++ languages. Look at the specificity of the C/C++ languages and how this impacts security, ways C/C++ can interact with the external world, error handling, the execution environment and much more.",,,,
Check Point Jump Start: Maestro Hyperscale Network Security,https://www.coursera.org/learn/check-point-jump-start-maestro,Information Technology,Security,"Check Point Software Technologies, Ltd., Daniel Niazov","In this course brought to you by industry leader Check Point, they will cover the Maestro Orchestrator initial installation, creation and configuration of security group via the web user interface and SmartConsole features. This course provides a demonstration of the Maestro product. Course will prepare you for their exam, #156-412, at PearsonVUE.",1751.0,,,
Check Point Jump Start: Network Security,https://www.coursera.org/learn/check-point-jump-start-network-security,Information Technology,Security,"Check Point Software Technologies, Ltd., Daniel Niazov","In this course brought to you by industry leader Check Point, they will cover cybersecurity threats and elements of Check Point's Security Management architecture. This course will prepare you for the exam, #156-412, at PearsonVUE.(https://home.pearsonvue.com/checkpoint)",7713.0,3840.0,4.5,31.0
Check Point Jump Start: Product Deployment,https://www.coursera.org/learn/check-point-jump-start-product-deployment,Information Technology,Security,"Daniel Niazov, Check Point Software Technologies, Ltd.","In this course, you will learn the concept of software deployment and the methods and tools used for deployment of Check Point products. And, we will drill down into each deployment tool, providing an overview of how to use it given a common use case.

Lesson 1 – Introduction
Lesson 2 – Deployment 101
     In this lesson we will briefly discuss what deployment is, the types and methods of deploying Check Point 
     software, and we’ll go over a high level overview of the Check Point deployment tools.
Lesson 3 – CPUSE
     In this lesson you will learn about when and how you should use CPUSE in a relevant deployment, and you’ll 
     learn some basic troubleshooting during the deployment process.
Lesson 4 – CDT
     In this lesson you will learn about when and how you should use CDT in a relevant deployment, 
     troubleshooting in the deployment process, and using CDT’s RMA mode.
Lesson 5 – Central Deployment in SmartConsole
     In this lesson you will learn about when and how you should use Central Deployment in SmartConsole in a 
     relevant deployment.
Lesson 6 – Zero Touch
     In this lesson you will learn about when and how you should use Zero Touch in a relevant deployment.
Lesson 7 – Course summary",,,,
Check Point Jump Start: Quantum Management,https://www.coursera.org/learn/check-point-jump-start-quantum-management,Information Technology,Security,"Check Point Software Technologies, Ltd.","""Check Point's Quantum is the best Threat Prevention solution on the Market! It offers uncompromising Security, consistently preventing both known and unknown Zero-day attacks.  Check Point Quantum Network Security provides ultra-scalable protection against Gen V cyber attacks on your network, cloud, data center, IoT, and remote users.

This course includes these modules:
1.	Intro
2.	Installing Gaia
3.	Running the First Time Wizard.
4.	Installing SmartConsole
5.	Establish SIC
6.	Create & installing Policy
7.	Enable application control blade
8.	Enable IDA blade
9.	Enable HTTPS Inspection
10.	Enable Autonomous Threat Prevention
11.	Adding License
12.	CPUSE SmartConsole
13.	Gathering cpinfo

This course is suitable for new Check Point customers with no prior experience configuring or administrating Check Point Network Security products.""


To learn more about Check Point Training, see: 
https://www.checkpoint.com/mind/
https://training-certifications.checkpoint.com/#/",,,,
Cloud and Wireless Security,https://www.coursera.org/learn/sscp-4th-ed-course-6,Information Technology,Security,(ISC)² Education & Training,"Course 6: Cloud and Wireless Security

Welcome to course six. This course applies to security concepts, ideas, and considerations to two major changes that we have experienced in recent years. It's regarding the way we use the data. First, we use our data on the go. In other words, data services are provided to our mobile phones, Wi-Fi, and other devices. Second, many enhanced functions are implemented through services hosted in the cloud platform, where our data is stored or processed. Both transformations are complex topics. However, as a security practitioner, we can narrow these two topics by applying the security fundamentals to secure the data. This boils down to the three basics of protecting data at rest, in motion, and in use. The data is either on the endpoint devices, servers, or other endpoints, making these services a reality. 

Course 6 Learning Objectives

After completing this course, the participant will be able to: 

L6.1 - Recall cloud security concepts and configurations.
L6.2 - Recognize types of virtualization and cloud security considerations.
L6.3 - Summarize the types of telecommunications and network access controls.

Course Agenda

Module 1: Operate and Configure Cloud Security (Domain 7 - Systems and Application Security)
Module 2: Cloud Security Considerations (Domain 6 - Network and Communications Security)
Module 3: Secure Wireless Configurations (Domain 6 - Network and Communications Security)

Who Should Take This Course: Beginners

Experience Required: No prior experience required",,9423.0,,
Configure and Manage Azure Key Vault,https://www.coursera.org/learn/configure-and-manage-azure-key-vault,Information Technology,Security,Priya Jha,"In this 1 hour long project-based course, you will learn to configure and manage Azure Key Vault along with the sensitive data stored inside. First, we will learn to create an Azure Key Vault within the Azure portal. Then we will learn to create keys, secrets, and certificates on the Azure Key Vault using PowerShell and the Azure portal. We will also assign a Key Vault contributor role to an existing user. You will also discover how to configure access policies in order to grant permissions to the Key Vault objects and store the connection strings of the storage account and Azure SQL database to secrets in Azure Key Vault. Finally, we’ll explore how to use  Azure Key Vault in the Azure data factory.

You must have an active Azure account.
Basic knowledge of working with Azure is recommended.",,,,
"Credential Access, discovery, lateral movement & collection",https://www.coursera.org/learn/credential-access-discovery-lateral-movement--collection,Information Technology,Security,Howard Poston,"This course covers credential Access, discovery, lateral movement & collection.",1666.0,4305.0,4.7,22.0
Cryptography,https://www.coursera.org/learn/cryptography-sscp,Information Technology,Security,(ISC)² Education & Training,"Welcome to Cryptography!

Cryptography is the practice and study of techniques for securing communications in the presence of third parties. You will learn how to protect information in order to ensure its integrity, confidentiality, authenticity, and non-repudiation.
You will come out with a basic understanding of cryptographic concepts and how to apply them, implement secure protocols, key management concepts, key administration and validation, and Public Key Infrastructure.

Course Objectives
1. Apply the fundamental concepts of cryptography
2. Describe the difference between symmetric and asymmetric cryptography
3. Define the basic requirements for cryptography
4. Identify processes to support secure protocols
5. Describe the process for implementing cryptographic systems
6. Define key management concepts
7. Define Public Key Infrastructure
8. Identify processes for key administration and validation
9. Describe the implementation of secure protocols",4541.0,30604.0,4.7,190.0
Créer des connexions sécurisées avec Tor pour l'anonymat,https://www.coursera.org/learn/creer-connexion-securisee-tor-anonymat-vie-privee-internet,Information Technology,Security,Viranson HOUNNOUVI,"Ce projet guidé “Créer des connexions sécurisées avec Tor pour l'anonymat sur internet” est destiné à toute personne souhaitant apprendre à naviguer anonymement sur internet ou soucieux de la protection de sa vie privée sur internet. Dans ce projet guidé d'une heure, vous apprendrez à installer le navigateur Tor, à le configurer pour une navigation sécurisée, à accéder au deep web et à éviter les mauvaises pratiques dans l’utilisation de Tor pour la protection de la vie privée. Pour parvenir à la réalisation de ce projet guidé, nous avancerons pas à pas sur un ensemble de 7 tâches avec deux exercices pratiques d'auto-évaluation. Ce projet guidé, totalement présenté en Français, est spécialement conçu avec des explications approfondies sur les différents éléments qui y sont abordés. Pour profiter au maximum de ce projet guidé qui se déroulera dans un environnement Linux, Il vous serait utile mais non indispensable, d’avoir les bases sur les commandes Linux, notamment la création et la gestion des répertoires et fichiers puis l’installation de paquets.",,,,
Créer une connexion sécurisée avec Tor,https://www.coursera.org/learn/creer-une-connexion-securisee-avec-tor,Information Technology,Security,Ali Rahme,"Dans ce projet guidé d'une heure, vous apprendrez au navigateur Tor qui est utilisé pour naviguer anonymement sur Internet, en utilisant la technique de routage d'oignon.
À la fin de ce projet, vous allez être capable à utilisez ce navigateur en toute sécurité.",,,,
