name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
Administración de las Tecnologías de la Información,https://www.coursera.org/learn/administracion-tecnologias-informacion,Information Technology,Support and Operations,Roberto de Gori,"Este curso presenta una introducción a las operaciones de una empresa y sus procesos de negocio, así como a los sistemas de información que deben soportarlos, con el objeto de materializar y potenciar la estrategia de negocio.

Los objetivos son:
• Comprender el rol de operaciones e IT dentro de una organización.
• Conocer y aplicar los distintos aspectos del management de procesos  y sistemas de información de una empresa.
• Reconocer los principales beneficios, costos y riesgos relacionados con la información y los procesos de negocio.
• Comprender las capacidades, el rol y responsabilidades del CEO en la empresa en su relación con la tecnología y las operaciones.
• Reconocer la integración de la tecnología con el negocio de la empresa.
• Adquirir pericia para liderar proyectos de implementación de tecnología y proyectos de mejora de procesos de negocio.",2170.0,7906.0,4.5,35.0
Administración de sistemas y servicios de infraestructura de TI,https://www.coursera.org/learn/administracion-de-sistema-y-servicios-de-infraestructura,Information Technology,Support and Operations,Google Career Certificates,"Este curso te hará pasar de trabajar en una sola computadora a una flota completa. La administración de sistemas es el campo de TI que es responsable de mantener sistemas informáticos confiables en un entorno multiusuario. En este curso, aprenderás sobre los servicios de infraestructura que mantienen en funcionamiento a todas las organizaciones, grandes y pequeñas. Nos sumergiremos en la nube para que puedas comprender todo, desde las configuraciones típicas de infraestructura de la nube hasta cómo administrar los recursos en ella. También aprenderás cómo administrar y configurar servidores, y cómo usar herramientas de la industria para administrar computadoras, información de usuarios y productividad de usuarios. Finalmente, aprenderás cómo recuperar la infraestructura de TI de tu organización en caso de un desastre.

Al final de este curso, podrás:
● utilizar las mejores prácticas para elegir hardware, proveedores y servicios para tu organización.
● comprender cómo los servicios de infraestructura más comunes mantienen una organización, el trabajo en ejecución y cómo administrar los servidores de infraestructura. 
● comprender cómo aprovechar al máximo la nube para tu organización.
● administrar las computadoras y los usuarios de una organización utilizando los servicios de directorio, Active Directory y OpenLDAP.
● elegir y administrar las herramientas que usará tu organización.
● hacer una copia de seguridad de los datos de tu organización y saber cómo recuperar su infraestructura de TI en el caso de un desastre.
● utilizar el conocimiento de administración de sistemas para planificar y mejorar los procesos para entornos de TI.",24606.0,138361.0,4.9,1767.0
Administrasi Sistem dan Layanan Infrastruktur TI,https://www.coursera.org/learn/administrasi-sistem-dan-layanan-infrastruktur-ti,Information Technology,Support and Operations,Google Career Certificates,"Materi ini akan membantu Anda beralih dari hanya mengerjakan satu komputer menjadi menangani seluruh armada komputer. Administrasi sistem adalah bidang TI yang bertanggung jawab atas pemeliharaan sistem komputer yang andal di lingkungan multi-pengguna. Pada materi ini, Anda akan belajar tentang layanan infrastruktur yang membuat semua organisasi, baik besar maupun kecil, tetap aktif dan berjalan. Kita akan membahas lebih jauh mengenai cloud sehingga Anda akan memahami semuanya, mulai dari penyiapan infrastruktur cloud hingga cara mengelola sumber daya cloud. Anda juga akan mempelajari cara mengelola dan mengonfigurasi server serta cara menggunakan perangkat TI untuk mengelola komputer, informasi pengguna, dan produktivitas pengguna. Terakhir, Anda akan mempelajari cara memulihkan infrastruktur organisasi TI Anda jika terjadi bencana.

Pada akhir materi ini, Anda akan mampu :
● memanfaatkan praktik terbaik dalam memilih perangkat keras, vendor, dan layanan untuk organisasi Anda
● memahami cara kerja layanan infrastruktur yang paling umum dalam menjaga organisasi tetap
aktif dan berjalan, serta cara mengelola server infrastruktur
● memahami cara memaksimalkan cloud untuk organisasi Anda
● mengelola komputer dan pengguna organisasi menggunakan layanan direktori,
Active Directory dan OpenLDAP
● memilih dan mengelola alat yang akan digunakan organisasi Anda
● membuat cadangan data organisasi Anda dan tahu cara memulihkan infrastruktur TI Anda jika
terjadi bencana
● memanfaatkan pengetahuan administrasi sistem untuk merencanakan dan menyempurnakan proses di lingkungan TI",6595.0,253356.0,4.9,464.0
Administration système et services d’infrastructure informatique,https://www.coursera.org/learn/administration-systeme-et-services-infrastructure-informatique,Information Technology,Support and Operations,Google Career Certificates,"Ce cours vous permettra de passer du travail sur un seul ordinateur à un parc entier. L'administration des systèmes est le domaine informatique responsable du maintien de systèmes informatiques fiables dans un environnement multi-utilisateurs. Dans ce cours, vous découvrirez les services d'infrastructure qui permettent à toutes les organisations, grandes et petites, de fonctionner. Nous plongerons dans le cloud afin que vous compreniez tout, des configurations typiques de l'infrastructure cloud à la gestion des ressources cloud. Vous apprendrez également à gérer et à configurer les serveurs et à utiliser les outils du secteur pour gérer les ordinateurs, les informations des utilisateurs et leur productivité. Enfin, vous apprendrez comment récupérer l'infrastructure informatique de votre organisation en cas de sinistre.

À la fin de ce cours, vous serez capables de :
● utiliser les meilleures pratiques pour choisir le matériel, les fournisseurs et les services pour votre organisation
● comprendre les services d'infrastructure les plus courants qui assurent le bon fonctionnement d'une organisation
et la façon de gérer les serveurs d'infrastructure
● comprendre comment tirer le meilleur parti du cloud pour votre organisation
● gérer les ordinateurs et les utilisateurs d'une organisation à l'aide des services de répertoire, Active
Directory et OpenLDAP
● choisir et gérer les outils que votre organisation utilisera
● sauvegarder les données de votre organisation et savoir comment récupérer votre infrastructure informatique en cas de
sinistre
● utiliser vos connaissances en administration des systèmes pour planifier et améliorer les processus pour les environnements informatiques",,3148.0,,
Administration système et services d’infrastructure informatique,https://www.coursera.org/learn/administration-systeme-et-services-infrastructure-informatique-google,Information Technology,Support and Operations,Google Career Certificates,"Ce cours vous permettra de passer du travail sur un seul ordinateur à un parc entier. L'administration des systèmes est le domaine informatique responsable du maintien de systèmes informatiques fiables dans un environnement multi-utilisateurs. Dans ce cours, vous découvrirez les services d'infrastructure qui permettent à toutes les organisations, grandes et petites, de fonctionner. Nous plongerons dans le nuage afin que vous compreniez tout, des configurations typiques de l'infrastructure infonuagique à la gestion des ressources infonuagiques. Vous apprendrez également à gérer et à configurer les serveurs et à utiliser les outils du secteur pour gérer les ordinateurs, les renseignements des utilisateurs et leur productivité. Enfin, vous apprendrez comment récupérer l'infrastructure informatique de votre organisation en cas de sinistre.

À la fin de ce cours, vous serez en mesure de :
● utiliser les meilleures pratiques pour choisir le matériel, les fournisseurs et les services pour votre organisation
● comprendre les services d'infrastructure les plus courants qui assurent le bon fonctionnement d'une organisation
et la façon de gérer les serveurs d'infrastructure
● comprendre comment tirer le meilleur parti du nuage pour votre organisation
● gérer les ordinateurs et les utilisateurs d'une organisation à l'aide des services de répertoire, Active
Directory et OpenLDAP
● choisir et gérer les outils que votre organisation utilisera
● sauvegarder les données de votre organisation et savoir comment récupérer votre infrastructure informatique en cas de
sinistre
● utiliser vos connaissances en administration des systèmes pour planifier et améliorer les processus pour les environnements informatiques",,,,
Administração de Sistemas e Serviços de Infraestrutura de TI,https://www.coursera.org/learn/administracao-de-sistemas-servicos-infraestrutura-ti,Information Technology,Support and Operations,Google,"Este curso guiará você do manuseio de um único computador para uma frota inteira. A administração de sistemas é a área da TI responsável pela manutenção de sistemas de computador confiáveis em um ambiente multiusuário. Neste curso, você verá os serviços de infraestrutura que mantém todas as organizações, grandes e pequenas, funcionando. Vamos nos aprofundar na nuvem para entender tudo, desde as configurações de infraestrutura em nuvem mais comuns até o gerenciamento de recursos em nuvem. Você também aprenderá a gerenciar e configurar servidores e usar ferramentas específicas do mercado para gerenciar computadores e informações e a produtividade dos usuários. Por fim, você aprenderá a recuperar a infraestrutura de TI da sua organização no caso de um desastre.

Até o fim deste curso, você conseguirá:
● utilizar as práticas recomendadas para escolher hardware, fornecedores e serviços para sua organização;
● entender como os serviços de infraestrutura mais comuns que mantêm a organização
funcionando e como gerenciar os servidores de infraestrutura;
● entender como aproveitar a nuvem ao máximo na sua organização;
● gerenciar os computadores e usuários de uma organização usando os serviços de diretório, o Active
Directory e o OpenLDAP;
● escolher e gerenciar as ferramentas que sua organização usará;
● fazer backup dos dados da sua organização e aprender a recuperar sua infraestrutura de TI no caso de
um desastre;
● utilizar o conhecimento em administração de sistemas para planejar e melhorar processos de ambientes de TI.",4850.0,72539.0,4.9,445.0
Advanced Commands in Linux,https://www.coursera.org/learn/advanced-commands-linux,Information Technology,Support and Operations,Edward Falzon ,"In this one-hour, project-based course, you'll learn advanced commands for the Linux command-line. You'll learn how to grab files, even Web-site, from the internet and download it, how to copy files from drives to drives locally and remotely and how to display, terminate, and troubleshoot programs and processes manually.

This guided project will introduce you to the following commands:
-wget -- Download anything from the Internet or other remote computers;
-rsync -- Synchronise files and directories locally or with a remote machine;
-ps, pstree, top, htop -- Monitor applications and processed running on a PC;
-kill, killall -- force the closing of troublesome applications and processes.",,,,
An Introduction to Accessibility and Inclusive Design,https://www.coursera.org/learn/accessibility,Information Technology,Support and Operations,"Marc Thompson, Lori Lane, Tania Heap","This course introduces some of the fundamental principles of accessibility and prepares learners for further study in accessibility and inclusive design. Learners will have an opportunity to explore the major types of disabilities and related assistive technology and adaptive strategies, the most salient contours of the legal landscape, and the major principles that guide universal design and accessible content creation. Spotlight guest videos will highlight firsthand perspectives on disability, as well as topics like disability etiquette, universal design and universal design for learning, accommodation in higher education, campus accessibility policy, and accessibility in a corporate setting.",11987.0,28359.0,4.7,162.0
Aspectos básicos de la asistencia técnica,https://www.coursera.org/learn/asistencia-tecnica,Information Technology,Support and Operations,Google Career Certificates,"Este curso es el primero de una serie que tiene como objetivo prepararte para un rol como especialista de soporte de TI de nivel inicial. En este curso, serás introducido en el mundo de la tecnología de la información, o TI. Aprenderás sobre las diferentes facetas de la tecnología de la información como hardware y software informático, Internet, solución de problemas y servicio al cliente. Revisaremos el aspecto de una entrevista técnica y brindaremos consejos sobre cómo prepararse mejor para una entrevista. Este curso abarca una amplia variedad de temas en TI que están diseñados para brindarte una visión general de lo que vendrá en este programa de certificado.

Al final de este curso, podrás:
● entender cómo funciona el sistema binario;
● ensamblar una computadora desde cero;
● elegir e instalar un sistema operativo en una computadora;
● comprender qué es Internet, cómo funciona y el impacto que tiene en el mundo moderno;
● aprender cómo se crean las aplicaciones y cómo funcionan en una computadora;
● utilizar metodologías comunes de resolución de problemas y habilidades básicas en un entorno de tecnología de la información.",79011.0,688636.0,4.9,8202.0
Bash Scripting and System Configuration,https://www.coursera.org/learn/codio-bash-scripting-and-system-configuration,Information Technology,Support and Operations,Chalece DeLaCoudray,"Code and run your first Bash script in minutes without installing anything!

This course is designed for learners with no scripting experience. Learners will gain hands-on practice on an Ubuntu system that can be easily transferred to other Unix-based operating systems. The modules in this course cover scripting basics (e.g. control structures), advanced scripting (e.g. regular expressions), git version control, and system configuration (e.g. installing and updating).

To allow for a truly hands-on, self-paced learning experience, this course is video-free. Assignments contain short explanations with images and runnable script examples with suggested edits to explore script examples further, building a deeper understanding by doing. You'll benefit from instant feedback from a variety of assessment items along the way, gently progressing from quick understanding checks (multiple choice, fill in the blank, and un-scrambling code blocks) to small, approachable exercises that take minutes instead of hours.",,4328.0,,
