name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
4G : Principes des réseaux mobiles,https://www.coursera.org/learn/4g-principes-des-reseaux-mobiles,Information Technology,Networking,Xavier Lagrange,"Ce MOOC vous expliquera les principes qui ont présidé à la définition de l’architecture des réseaux 4G et les protocoles entre les différents éléments du réseau.

Il comprend 6 séquences de cours réparties sur 6 semaines que l'apprenant peut suivre à son propre rythme. Pour toute question, il peut solliciter l'assistant pédagogique.

Une attestation de suivi avec succès est attribuée par Coursera aux apprenants réussissant à obtenir une note supérieure à 50 %.

Ce MOOC a reçu le soutien financier de la Fondation Patrick & Lina Drahi.",,7630.0,,
4G Network Fundamentals,https://www.coursera.org/learn/4g-network-fundamentals,Information Technology,Networking,Xavier Lagrange,"4G is the cutting-edge network technology that links millions of smartphones to the internet. But how does it actually work?

Ideal for network engineers, sales engineers, application developers, and many other telecoms pros, this course will help you to understand the technology behind the apps and devices we use every day.

You’ll get a solid overview of LTE/EPC (Long Term Evolution / Evolved Packet Core) 4G networks, how they work, how the network architecture is designed, and which protocols are used.

First, you’ll gain exposure to the global architecture of the network, how the radio interface works, and how security is guaranteed. Then you’ll dive into the operational side. What is a bearer? How is it quickly configured and released? How does 4G handle millions of terminals that are on the move all the time?

A certificate of completion is awarded by Coursera to learners who achieve a grade above 50%.

This course has received financial support from the Patrick & Lina Drahi Foundation.",,17999.0,4.6,13.0
5G : Principes de fonctionnement,https://www.coursera.org/learn/5g-principes-de-fonctionnement,Information Technology,Networking,Xavier Lagrange,"Ce MOOC présente les services et l’architecture des réseaux 5G, les évolutions de l’interface radio et de la gestion des flux de données.

Depuis quelques années, les opérateurs déploient la technologie 5G sur les réseaux commerciaux mobiles. Cette dernière est annoncée comme une rupture technologique majeure avec des débits au delà du Gbit/s, de très faibles latences et surtout une diffusion dans de nombreux secteurs d'activités (industrie, transports, médecine, etc.).

Au delà des effets d'annonce, cette technologie s'appuie fortement sur la 4G. La forme d'onde pour la transmission radio est identique, la gestion des flux de données est similaire. La 5G étend cependant notablement les options possibles tant dans les choix d'architectures que dans les configurations d'interface radio ainsi que dans les mécanismes de sécurité.

Une attestation de suivi avec succès est attribuée par Coursera aux apprenants réussissant à obtenir une note supérieure à 50 %.

Ce MOOC a reçu le soutien financier de la Fondation Patrick & Lina Drahi.",,9035.0,,
A General Approach to Risk Management,https://www.coursera.org/learn/a-general-approach-to-risk-management,Information Technology,Security,"Michael Whitman, Ph.D., CISM, CISSP, Herbert J. Mattord, Ph.D., CISM, CISSP, CDP","Every organization uses its information to support its business operations. When there are threats in the internal and external environments, they create the risk of information loss or damage.  This course examines the design and construction of a risk management program, including policies and plans, to support the identification and treatment of risk to the organization’s information assets.",,2626.0,,
A Tour of Google Cloud Hands-on Labs,https://www.coursera.org/learn/googlecloud-a-tour-of-google-cloud-hands-on-labs-5s3nf,Information Technology,Cloud Computing,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",3418.0,,4.7,93.0
A Tour of Google Cloud Sustainability,https://www.coursera.org/learn/googlecloud-a-tour-of-google-cloud-sustainability-lbg3j,Information Technology,Cloud Computing,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
AI Platform: Qwik Start,https://www.coursera.org/learn/googlecloud-ai-platform-qwik-start-8jbdr,Information Technology,Cloud Computing,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,4.4,10.0
API Gateway: Qwik Start,https://www.coursera.org/learn/googlecloud-api-gateway-qwik-start-cvmbi,Information Technology,Cloud Computing,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
APIs Explorer: Cloud SQL,https://www.coursera.org/learn/googlecloud-apis-explorer-cloud-sql-pv6ts,Information Technology,Cloud Computing,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
APIs Explorer: Cloud Storage,https://www.coursera.org/learn/googlecloud-apis-explorer-cloud-storage-vyl1r,Information Technology,Cloud Computing,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
APIs Explorer: Create and Update a Cluster,https://www.coursera.org/learn/googlecloud-apis-explorer-create-and-update-a-cluster-vwbz8,Information Technology,Cloud Computing,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
APIs Explorer: Qwik Start,https://www.coursera.org/learn/googlecloud-apis-explorer-qwik-start-3gtd4,Information Technology,Networking,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
AR (Augmented Reality) & Video Streaming Services Emerging Technologies,https://www.coursera.org/learn/ar-technologies-video-streaming,Information Technology,Cloud Computing,Jong-Moon Chung,"Welcome to the course “Augmented Reality & Video Service Emerging Technologies.” The level of AR (Augmented Reality) and advanced video & multimedia technology included in a product is what determines the level of value and luxury. The objective of this course is to teach all important technologies that are used in state-of-the-art AR, Skype, and YouTube video and multimedia products and services. This includes the advanced video and real-time multimedia delivery mechanisms based on H.264/MPEG-4 AVC, MPEG-DASH, CDN, and mobile CDN. If you have knowledge of these core technologies, you can understand the operations that are used in every advanced video and multimedia system in the World. As the future World of business and products are driven to be more and more video and multimedia oriented, having knowledge of these core technologies will enable you to lead your company to become the true World leader in AR and video multimedia technology products, services, and business. Thus, I cordially welcome you into the beautiful and powerful World of advanced AR and video multimedia!",10283.0,9630.0,4.6,109.0
AWS Cloud Practitioner Essentials,https://www.coursera.org/learn/aws-cloud-practitioner-essentials,Information Technology,Cloud Computing,"Rudy Chetty, Morgan Willis, Blaine Sundrud","Welcome to AWS Cloud Practitioner Essentials. If you’re new to the cloud, whether you’re in a technical or non-technical role such as finance, legal, sales, marketing, this course will provide you with an understanding of fundamental AWS Cloud concepts to help you gain confidence to contribute to your organization’s cloud initiatives. This course is also the starting point to prepare for your AWS Certified Cloud Practitioner certification whenever it’s convenient for you.

After you complete the course, you’ll understand the benefits of the AWS Cloud and the basics of its global infrastructure. You’ll be able to describe and provide an example of the core AWS services, including compute, network, databases, and storage. For the finance-minded, you’ll be able to articulate the financial benefits of the AWS Cloud, define core billing and pricing models, and learn how to use pricing tools to make cost-effective choices for AWS services.",68619.0,377956.0,4.8,1034.0
AWS Cloud Technical Essentials,https://www.coursera.org/learn/aws-cloud-technical-essentials,Information Technology,Cloud Computing,"Morgan Willis, Alana Layton","Are you in a technical role and want to learn the fundamentals of AWS? Do you aspire to have a job or career as a cloud developer, architect, or in an operations role? If so, AWS Cloud Technical Essentials is an ideal way to start. This course was designed for those at the beginning of their cloud-learning journey - no prior knowledge of cloud computing or AWS products and services required!

Throughout the course, students will build highly available, scalable, and cost effective application step-by-step. Upon course completion, you will be able to make an informed decision about when and how to apply core AWS services for compute, storage, and database to different use cases. You’ll also learn about cloud security with a review of AWS' shared responsibility model and an introduction to AWS Identity and Access Management (IAM). And, you’ll know how AWS services can be used to monitor and optimize infrastructure in the cloud.

AWS Cloud Technical Essentials is a fundamental-level course and will build your competence, confidence, and credibility with practical cloud skills that help you innovate and advance your professional future. Enroll in AWS Cloud Technical Essentials and start learning the technical fundamentals of AWS today!

Note: This course was designed for learners with a technical background. If you are new to the cloud or come from a business background, we recommend completing AWS Cloud Practitioner Essentials (https://www.coursera.org/learn/aws-cloud-practitioner-essentials) before enrolling in this course.",118793.0,503727.0,4.8,2987.0
AWS Cloudfront: Serve content from multiple S3 buckets,https://www.coursera.org/learn/aws-cloudfront-s3,Information Technology,Cloud Computing,Sandesh Belthangady,"In this 2-hour long project-based course, you will learn how to serve content from multiple S3 buckets using AWS CloudFront from the AWS console

Amazon CloudFront is a fast content delivery network (CDN) service that securely delivers data, videos, applications, and APIs to customers globally with low latency, high transfer speeds, all within a developer-friendly environment. Whereas Amazon Simple Storage Service (Amazon S3) is an object storage service that offers industry-leading scalability, data availability, security, and performance. By completing the steps in this guided project, you will successfully create multiple AWS S3 buckets & serve or distribute its content using AWS Cloudfront via AWS management console within the AWS Free Tier. You will also get hands-on setting up error pages, global distribution restrictions, etc.",4085.0,,4.7,60.0
