name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
Academic Discussions in English,https://www.coursera.org/learn/academic-discussion-english,Language Learning,Learning English,"Tamy Chapman, Meg Parker, Helen Nam, Brad Gilpin","This is the third course in the Learn English: Advanced Speaking and Listening specialization. In this class you will learn about different types of conversations you will have in academic settings. You will also learn some strategies for helping you understand other people's meaning and for helping you express yourself effectively. Learners will record several videos of themselves participating in assigned group discussions with their own friends and upload the videos for peer feedback. While this might seem intimidating, it will be a great opportunity for you to practice and improve your discussion skills.

Please note that the free version of this class gives you access to all of the instructional videos and handouts. The peer feedback and quizzes are only available in the paid version.",28096.0,9689.0,4.5,104.0
Academic Listening and Note-Taking,https://www.coursera.org/learn/note-taking,Language Learning,Learning English,"Tamy Chapman, Dana Saito-Stehberger, Brad Gilpin","This course will help non-native English speakers improve their listening and note-taking skills for the purpose of listening to academic lectures. You will learn techniques for improving your understanding and skills for taking more effective notes, and you will get lots of practice in using these. If you're planning to attend college classes in English, then this class is for you.

Upon completing this course, you will be able to:
1.       Understand and follow a lecture
2.       Take better lecture notes
3.       Discuss courses with classmates and professors
4.       Give an effective academic presentation

Please note that the free version of this class gives you access to all of the instructional videos and handouts. The peer feedback and quizzes are only available in the paid version.",111181.0,210811.0,4.5,863.0
Adjectives and Adjective Clauses,https://www.coursera.org/learn/adjective-clauses,Language Learning,Learning English,"Tamy Chapman, Judy Hu, Brad Gilpin","Being able to adeptly use adjective clauses in speaking and writing is useful for upper level English learners. Adjectives and adjective clauses are very common in English, so students need to be able to understand them when they see them or hear them. Students often struggle to bring complexity to their speaking and writing and adjective clauses can be a great way to do this.

Please note that all of the lectures and practice activities are available for free, but taking the quizzes and getting feedback on assignments are only available in the paid version",52504.0,40489.0,4.8,1147.0
Advanced Grammar & Punctuation Project,https://www.coursera.org/learn/advanced-grammar-project,Language Learning,Learning English,"Tamy Chapman, Brad Gilpin","If you have taken the three courses in this specialization, you have learned a lot of grammar in the past few months. This will be a big help to your studies or your career. This project will help you process what you've learned and help you remember it forever. In this course, you will create a grammar portfolio of the difficult or interesting English grammatical structures that you studied in the previous courses. Your portfolio will include several items that you create, such as two scripts that you will write, in which you showcase proper use of grammar points you've learned. You will then record a video performing each script and using the grammar. You can record these two videos alone or with friends. You can be creative and make funny skits like your teachers did in all of the fun videos you watched in this specialization or use your own creative style. The items you create for your portfolio will help you review the material you've learned and will be a memorable project that you can keep with you long after this course ends.

You must be able to create and share videos in order to complete this course.",10188.0,27657.0,4.8,92.0
Advanced Interviewing Techniques,https://www.coursera.org/learn/interview-techniques,Language Learning,Learning English,"Charles Duquette, Daniela C. Wagner-Loera","People interviewing for jobs today often fail because they are using yesterday's strategies. Recruiting technology has become more sophisticated, and the best employers are constantly changing the way interviews are done. This course gives you detailed strategies for handling tough competency-based, or behavioral,  interviews so that you can communicate the knowledge, skills, and abilities that you have and that employers demand.

You will be able to:

1.  Identify what the hiring organization is looking for in using behavioral interviewing techniques.

2.  List the steps in the S.T.A.R. response strategy and apply the steps, using reasonably correct language, to respond to  behavioral interview questions.

3.  Use your responses to behavioral and competency-based questions to communicate your personal values.

4.  Identify what the hiring organization is looking for in asking situational and wild-card interview questions.

5.  List the steps in the P.R.E.P. and 5 W's response strategies and apply the steps, using reasonably correct language, to answer at least one wild-card and two situational interview questions.

6.  Develop an optimal strategy for responding to the weaknesses question, based on recognizing why a hiring organization asks these questions.

7.  Demonstrate your personal strengths and maturity through your responses to the weaknesses question.

8.  Correctly apply hedging language to soften a negative and boosting language to emphasize a positive aspect of your professional and/or academic background.

9.  Ask questions to determine how well an organization fits with your personality, career goals and salary objectives.

10. Ask questions that communicate your competencies and strengths.

11.  Negotiate the best job offer and compensation package for yourself.

12.  Perform successfully on telephone interviews.",37380.0,17408.0,4.7,137.0
Advanced Speaking and Listening Project,https://www.coursera.org/learn/speaking-listening-capstone,Language Learning,Learning English,"Tamy Chapman, Brad Gilpin","Learners will present a well-organized academic speech on a topic in an academic field of the learner's choice. The learner will need to recall all of the skills learned in the previous three courses and complete several steps to complete the project. The learner will choose an academic topic and will then need to do some research, interview a couple of experts in the field, create visual elements, and record a video of the presentation. The presenter will use techniques for preparing and practicing a presentation and demonstrate effective verbal and non-verbal skills. Doing this will help prepare you for presentations in school or work.",6210.0,32418.0,4.9,31.0
Advanced Writing,https://www.coursera.org/learn/advanced-writing,Language Learning,Learning English,"Tamy Chapman, Helen Nam, Brad Gilpin","Course 3: Advanced Writing

This is the third course in the Academic English: Writing specialization.  By raising your level of academic writing, this course helps prepare you for college-level work.

After completing this course, you will be able to: 
 - plan and write a more sophisticated argument essay
 - identify plagiarism and explain how to prevent it
 - read and analyze several articles to form your own opinion on a topic
 - make connections between several articles
 - form thesis statements from your readings
 - use sources effectively when writing an essay

Please note that the free version of this class gives you access to all of the instructional videos and handouts. The peer feedback and quizzes are only available in the paid version.",196154.0,176313.0,4.7,1786.0
American Deaf Culture,https://www.coursera.org/learn/deaf-culture,Language Learning,Learning English,Terrell Brittain,This is a six-week course providing a historical overview of the American Deaf community and its evolving culture.  Theoretical frameworks from sociology are explored.  Deafness as a culture and not a disability is explained as participants are guided into the world of Deaf culture.,11027.0,11449.0,4.5,317.0
Better Business Writing in English,https://www.coursera.org/learn/business-writing-english,Language Learning,Learning English,Amalia B. Stephens,"Do you need to write more easily and effectively in English? This course will provide the tools to help you do just that. You will develop your personal voice in your writing. You will develop strategies to plan and produce clear, understandable text. You will learn and practice specific writing skills to use in different types of business communications including cover letters, mission and vision statements, proposals , instructions and reports. You will organize, design and write clear text for Power Point Productions. Writing skills include how to choose correct noun and noun modifiers; how to choose correct verb forms and tenses; how to write a variety of clauses and sentences.

As you work through the course, you will complete self- and peer-evaluations. Many of the peer assignments will have 2 or more options so that you can choose the best path depending on your current situation. Through a combination of lectures, quizzes, supplementary resources, practice and performance, you’ll gain the skills and confidence to write well in English for your business and professional purposes.",79256.0,26695.0,4.7,479.0
Big data and Language 1,https://www.coursera.org/learn/big-data-language-1,Language Learning,Learning English,Seonmin Park,"In this course, students will understand characteristics of language through big data. Students will learn how to collect and analyze big data, and find linguistic features from the data. A number of approaches to the linguistic analysis of written and spoken texts will be discussed.

The class will consist of lecture videos which are approximately 1 hour and a quiz for each week. There will be a final project which requires students to conduct research on text data and language.",6315.0,4352.0,4.5,111.0
