name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
A Bridge to the World: Korean Language for Advanced Ⅰ,https://www.coursera.org/learn/korean-advanced1,Language Learning,Other Languages,"Kyong Hwon Kim, Eun Sil Hong","Through this course, you can understand Korean more deeply and get advanced Korean language skills. This course is for advanced Korean learners who are interested in Korean language and culture. The course consists of 5 lessons, each lesson has the main topic of language, job, science, pop culture, and international issues. You can listen to and understand news and dialogues, and learn the expressions used in them in each lesson. Also, on the last day of each week, you can share your opinions with other learners through discussion activities. Take your Korean up a notch with this course!",9365.0,8382.0,4.9,97.0
A Bridge to the World: Korean Language for Beginners Ⅰ,https://www.coursera.org/learn/korean-beginners,Language Learning,Other Languages,"Kyong Hwon Kim, Won-Sook Hyun","This course is an introductory course to Korean language that aims to cultivate basic communication skill for those that are interested in learning Korean language.

The course is composed of essential expressions that are often used in everyday life, and designed to teach grammars using basic dialogues which reflect colloquial characteristics of Korean language so by end of this course, a student will be able to express him/herself on ordinary topics.
Also, the course provides dialogues used in both formal and informal situations to help students to express in Korean language appropriately in particular situations, and provides various material to help students to understand unique culture of Korean language.

Chief Contents Developer: Won-Sook Hyun
Contents Developers: Eun-Sil Hong, Ha-ra Yu
Production Assistant: Sa-ra Yoo
Part of this course was developed with K-MOOC(Korean MOOC) funds.",43952.0,61418.0,4.9,338.0
A Bridge to the World: Korean Language for Intermediate1,https://www.coursera.org/learn/korean-language-intermediate,Language Learning,Other Languages,"Kyong Hwon Kim, Su Mi Lee","This course is designed for anyone who wants to learn Korean. This course is useful for learners who want to improve their communication skills on personal topics frequently encountered in their daily life after learning basic Korean. Through this class, you can use expressions such as introducing, talking about experiences, and comforting, and you will be able to increase your understanding of basic Korean culture. This course is organized in the order of core expression, conversation, grammar, and self-assessment. The entire course is six weeks long, and consists of two sub-themes within one major topic, so there are a total of 12 lessons. Improve your Korean language skills with this course!

Chief Contents Developer: Su Mi Lee
Contents Developers: Pil Yeo Shin, Hye Kyung Park 
Production Assistant: Mi Seon Lee
Part of this course was developed with K-MOOC(Korean MOOC) funds.",29311.0,39250.0,4.9,258.0
Akademiskt skrivande,https://www.coursera.org/learn/akademiskt-skrivande,Language Learning,Other Languages,"Susanne Pelger, Sara Santesson","Hur lär jag mig skriva fungerande texter? Det är en fråga som många studenter söker svar på. I denna kurs tar vi upp vad som är viktigt i det akademiska skrivandet. Du får konkreta tips på vad du kan tänka på för att utveckla både dina texter och ditt skrivande. Du får också träning genom olika övningar och kortare skrivuppgifter.

Målet med kursen är att du ska kunna skriva akademiska texter i ditt ämne och också förstå hur du kan utvecklas som skribent.

Det här är de mer specifika målen för varje kursmodul.

Efter modul ett ska du  steg för steg kunna planera ditt skrivande och kunna använda respons som ett medel för att göra texterna bättre och utvecklas som skribent.

Efter modul två ska du kunna anpassa en akademisk text till genre och ämnessammanhang samt utifrån genre och ämnessammanhang kunna välja innehåll, struktur och språkstil i din text.

Efter modul tre ska du kunna framställa dig själv som skribent och dina argument på ett trovärdigt sätt samt kunna skriva en text med flyt och korrekt språk.

Efter modul fyra ska du kunna referera och citera litteratur på ett akademiskt hederligt och korrekt sätt.

I den femte modulen, som mer specifikt riktar sig till lärare, får du tips om hur du kan integrera och formulera mål för skrivande i din egen ämnesundervisning, hur du kan motivera studenter samt hur du kan effektivisera skrivträning och textrespons.

Observera att alla uppgifter på den här kursen är frivilliga och du får inget intyg för att du har gjort dem. Men vi tror att de kommer att hjälpa dig att bli en bättre skribent så vi rekommenderar starkt att du gör så många uppgifter som möjligt. I så kallade “assignments” får du tillfälle att skriva en egen text utifrån instruktioner och kan därefter få den granskad av en annan kursdeltagare och du får också öva på att själv ge respons. Detta är nyttiga erfarenheter som kommer att hjälpa dig i ditt skrivande.",6433.0,4569.0,4.6,14.0
Business Chinese 1 中级汉语 （上）,https://www.coursera.org/learn/intermediate-business-chinese-1,Language Learning,Other Languages,Gu Ying,"《中级汉语(商务篇)》慕课是为汉语水平达到HSK三级的外国留学生制作的汉语学习慕课。它以汉语语言知识和交际技能为主要教学内容，培养留学生在一般工作情景和真实商务情境中运用汉语进行交际的能力，将生活汉语与商务汉语有机融合，情境设计贴近飞速发展的科技和商务生活，能同时满足留学生日常生活、学习和工作的需求。语法内容涵盖了HSK 三、四、五级考纲中的所有语法重点及要点；语料新鲜而实用，以HSK三、四、五级词汇为主。学习结束后汉语能达到HSK四、五级的水平，并兼具生活和基本商务交际语言技能。

The MOOC of Intermediate Business Chinese is designed for the Chinese language learners who have reached HSK level 3. The MOOC presents lively, authentic, and up-to-date dialogues for daily conversations and business communications. The contents integrate trendy technologies with real-life situations that can be applied to everyday lives, language classrooms, and working places.  The course also covers all the key grammar points and patterns in HSK level 3-5. Students are expected to reach HSK level 4-5 when they complete the course and be able to effectively communicate in daily lives and professional settings from intermediate-mid to advanced-low levels.",9174.0,7285.0,,
Chinese Characters for beginner (2)    汉字(2),https://www.coursera.org/learn/hanzi-2,Language Learning,Other Languages,Shi Zhengyu,"Welcome to ""Chinese Characters for beginner （2）""!

This is an elementary course on learning Chinese characters. Together, we will continue to learn another 240 Chinese characters in this course. And we will learn about another 1,200 basic Chinese words composed of 240 commonly used Chinese characters, which begin with  “耳”(ear), including pronunciation, shape and meaning, so that to improve the learning effect. 

①  Each Chinese character is with pinyin;

②  Each Chinese character is shown in the form of animation in the process of writing, namely strokes;

③  English translation is used on the Chinese character can be a word itself. Other Chinese characters can not be independent of words are the characters of. The English translation of this kind of characters is marked in parentheses;

④  Each Chinese word is accompanied by Pinyin, English translation and picture, which is easy to understand;

⑤  There are proper exercises at the end of each lesson.

Good luck !",11772.0,8589.0,4.7,152.0
Chinese Characters for beginner 汉字,https://www.coursera.org/learn/hanzi,Language Learning,Other Languages,Shi Zhengyu,"Welcome to ""Chinese Characters for beginner""!

This is an elementary course on learning Chinese characters. Together, we will start from the basic element of Chinese characters-- Strokes. Then we will learn 1,200 basic Chinese words composed of 240 commonly used Chinese characters, which begin with  “一”(one), including pronunciation, shape and meaning, so that to improve the learning effect. 

①  Each Chinese character is with pinyin;

②  Each Chinese character is shown in the form of animation in the process of writing, namely strokes;

③  English translation is used on the Chinese character can be a word itself. Other Chinese characters can not be independent of words are the characters of. The English translation of this kind of characters is marked in parentheses;

④  Each Chinese word is accompanied by Pinyin, English translation and picture, which is easy to understand;

⑤  There are proper exercises at the end of each lesson.

Good luck !",75605.0,44817.0,4.7,849.0
Chinese for Beginners,https://www.coursera.org/learn/learn-chinese,Language Learning,Other Languages,Xiaoyu Liu,"Nowadays, there is an increasing number of people who are interested in Chinese culture and language. And it is useful to know about the language when coming to China for travel or business. This is an ABC Chinese course for beginners, including introduction of phonetics and daily expressions. After taking this class, learners can have a basic understanding of Chinese Mandarin and make basic conversations of daily living such as exchanging personal information, talking about daily arrangements and food, asking about price, introducing the city and the weather, telling your hobbies etc. Selected topics and situations come from real life scenarios and can be used for everyday communications. In addition to the dialogues, the selection of reading materials and practice activities will make the content as rich and varied as possible, in order to stimulate the learners’ interests. This is an elementary course on Chinese speaking. The learners don’t need to study Chinese characters, so it is easier to follow and complete this course.",1138703.0,371880.0,4.8,17931.0
Chinese for HSK 1,https://www.coursera.org/learn/hsk-1,Language Learning,Other Languages,YU Bin,"Nǐ hǎo! 你好！Welcome to Chinese for HSK Level 1 - a Chinese course for beginners. My name is YU Bin. I am very happy to meet you here!  

HSK stands for Hànyǔ (Chinese) Shuǐpíng (level) Kǎoshì (test), which is the most important Chinese proficiency test in use today. It assesses non-native Chinese speakers’ abilities in using Chinese in their daily, academic and professional lives. 

Chinese for HSK Level 1 is the first part of the 6 levels and assesses test takers’ abilities in the application of everyday Chinese. It is the counterpart of Level 1 of the Chinese Language Proficiency Scales for Speakers of Other Languages and the A1 Level of the Common European Framework of Reference for Languages. You will learn:

	30 video lectures with dialogue role plays by PKU students; 
	More than 150 commonly used words; 
	Around 50 key grammar points;
	New words and texts via audio; 
	Quizzes for each lesson and HSK test papers;
	Videos for 70 basic Chinese characters (optional);
	Supplementary materials about China (optional).
  
In short, the course covers the four skills although only listening and reading are tested in HSK. At the end of the course, you will be able to understand and use simple Chinese phrases, meet basic needs for communication and possess the ability to further your Chinese language studies. 

Have a fantastic journey of Chinese learning.                                                  

For more information about HSK please visit: http://english.hanban.org/node_7581.htm.",79616.0,99538.0,4.9,2192.0
Chinese for HSK 2,https://www.coursera.org/learn/hsk-2,Language Learning,Other Languages,LIU Lixin,"Welcome to  HSK level 2 course!  

This course is called “Chinese for HSK Level 2”, which is also the second step towards HSK Level 6. At the end of the 6 weeks, you will be able to express your views towards some simple and common daily life topics.

In this course, we have
	24 lecture videos and in class exercises
	44 short videos in complement to the context of learning material
	Over 150 new vocabularies, 62 new grammar points as well as relevant pictures and examples
	Downloadable practice charts for over 100 basic Chinese Characters
	Weekly online quiz and final simulation exam questions

This course covers the entire content that stated in the HSK Level Two Outline. It does not matter if you complete HSK Level 1 or not, as long as you have obtained basic Chinese language competency, I would like to welcome you to join the journey of learning Chinese with us. I believe you will continue enjoying the happiness that Chinese brings to you.",25144.0,23822.0,4.6,784.0
