name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
A Bridge to the World: Korean Language for Advanced Ⅰ,https://www.coursera.org/learn/korean-advanced1,Language Learning,Other Languages,"Kyong Hwon Kim, Eun Sil Hong","Through this course, you can understand Korean more deeply and get advanced Korean language skills. This course is for advanced Korean learners who are interested in Korean language and culture. The course consists of 5 lessons, each lesson has the main topic of language, job, science, pop culture, and international issues. You can listen to and understand news and dialogues, and learn the expressions used in them in each lesson. Also, on the last day of each week, you can share your opinions with other learners through discussion activities. Take your Korean up a notch with this course!",9365.0,8382.0,4.9,97.0
A Bridge to the World: Korean Language for Beginners Ⅰ,https://www.coursera.org/learn/korean-beginners,Language Learning,Other Languages,"Kyong Hwon Kim, Won-Sook Hyun","This course is an introductory course to Korean language that aims to cultivate basic communication skill for those that are interested in learning Korean language.

The course is composed of essential expressions that are often used in everyday life, and designed to teach grammars using basic dialogues which reflect colloquial characteristics of Korean language so by end of this course, a student will be able to express him/herself on ordinary topics.
Also, the course provides dialogues used in both formal and informal situations to help students to express in Korean language appropriately in particular situations, and provides various material to help students to understand unique culture of Korean language.

Chief Contents Developer: Won-Sook Hyun
Contents Developers: Eun-Sil Hong, Ha-ra Yu
Production Assistant: Sa-ra Yoo
Part of this course was developed with K-MOOC(Korean MOOC) funds.",43952.0,61418.0,4.9,338.0
A Bridge to the World: Korean Language for Intermediate1,https://www.coursera.org/learn/korean-language-intermediate,Language Learning,Other Languages,"Kyong Hwon Kim, Su Mi Lee","This course is designed for anyone who wants to learn Korean. This course is useful for learners who want to improve their communication skills on personal topics frequently encountered in their daily life after learning basic Korean. Through this class, you can use expressions such as introducing, talking about experiences, and comforting, and you will be able to increase your understanding of basic Korean culture. This course is organized in the order of core expression, conversation, grammar, and self-assessment. The entire course is six weeks long, and consists of two sub-themes within one major topic, so there are a total of 12 lessons. Improve your Korean language skills with this course!

Chief Contents Developer: Su Mi Lee
Contents Developers: Pil Yeo Shin, Hye Kyung Park 
Production Assistant: Mi Seon Lee
Part of this course was developed with K-MOOC(Korean MOOC) funds.",29311.0,39250.0,4.9,258.0
Academic Discussions in English,https://www.coursera.org/learn/academic-discussion-english,Language Learning,Learning English,"Tamy Chapman, Meg Parker, Helen Nam, Brad Gilpin","This is the third course in the Learn English: Advanced Speaking and Listening specialization. In this class you will learn about different types of conversations you will have in academic settings. You will also learn some strategies for helping you understand other people's meaning and for helping you express yourself effectively. Learners will record several videos of themselves participating in assigned group discussions with their own friends and upload the videos for peer feedback. While this might seem intimidating, it will be a great opportunity for you to practice and improve your discussion skills.

Please note that the free version of this class gives you access to all of the instructional videos and handouts. The peer feedback and quizzes are only available in the paid version.",28096.0,9689.0,4.5,104.0
Academic Listening and Note-Taking,https://www.coursera.org/learn/note-taking,Language Learning,Learning English,"Tamy Chapman, Dana Saito-Stehberger, Brad Gilpin","This course will help non-native English speakers improve their listening and note-taking skills for the purpose of listening to academic lectures. You will learn techniques for improving your understanding and skills for taking more effective notes, and you will get lots of practice in using these. If you're planning to attend college classes in English, then this class is for you.

Upon completing this course, you will be able to:
1.       Understand and follow a lecture
2.       Take better lecture notes
3.       Discuss courses with classmates and professors
4.       Give an effective academic presentation

Please note that the free version of this class gives you access to all of the instructional videos and handouts. The peer feedback and quizzes are only available in the paid version.",111181.0,210811.0,4.5,863.0
Adjectives and Adjective Clauses,https://www.coursera.org/learn/adjective-clauses,Language Learning,Learning English,"Tamy Chapman, Judy Hu, Brad Gilpin","Being able to adeptly use adjective clauses in speaking and writing is useful for upper level English learners. Adjectives and adjective clauses are very common in English, so students need to be able to understand them when they see them or hear them. Students often struggle to bring complexity to their speaking and writing and adjective clauses can be a great way to do this.

Please note that all of the lectures and practice activities are available for free, but taking the quizzes and getting feedback on assignments are only available in the paid version",52504.0,40489.0,4.8,1147.0
Advanced Grammar & Punctuation Project,https://www.coursera.org/learn/advanced-grammar-project,Language Learning,Learning English,"Tamy Chapman, Brad Gilpin","If you have taken the three courses in this specialization, you have learned a lot of grammar in the past few months. This will be a big help to your studies or your career. This project will help you process what you've learned and help you remember it forever. In this course, you will create a grammar portfolio of the difficult or interesting English grammatical structures that you studied in the previous courses. Your portfolio will include several items that you create, such as two scripts that you will write, in which you showcase proper use of grammar points you've learned. You will then record a video performing each script and using the grammar. You can record these two videos alone or with friends. You can be creative and make funny skits like your teachers did in all of the fun videos you watched in this specialization or use your own creative style. The items you create for your portfolio will help you review the material you've learned and will be a memorable project that you can keep with you long after this course ends.

You must be able to create and share videos in order to complete this course.",10188.0,27657.0,4.8,92.0
Advanced Interviewing Techniques,https://www.coursera.org/learn/interview-techniques,Language Learning,Learning English,"Charles Duquette, Daniela C. Wagner-Loera","People interviewing for jobs today often fail because they are using yesterday's strategies. Recruiting technology has become more sophisticated, and the best employers are constantly changing the way interviews are done. This course gives you detailed strategies for handling tough competency-based, or behavioral,  interviews so that you can communicate the knowledge, skills, and abilities that you have and that employers demand.

You will be able to:

1.  Identify what the hiring organization is looking for in using behavioral interviewing techniques.

2.  List the steps in the S.T.A.R. response strategy and apply the steps, using reasonably correct language, to respond to  behavioral interview questions.

3.  Use your responses to behavioral and competency-based questions to communicate your personal values.

4.  Identify what the hiring organization is looking for in asking situational and wild-card interview questions.

5.  List the steps in the P.R.E.P. and 5 W's response strategies and apply the steps, using reasonably correct language, to answer at least one wild-card and two situational interview questions.

6.  Develop an optimal strategy for responding to the weaknesses question, based on recognizing why a hiring organization asks these questions.

7.  Demonstrate your personal strengths and maturity through your responses to the weaknesses question.

8.  Correctly apply hedging language to soften a negative and boosting language to emphasize a positive aspect of your professional and/or academic background.

9.  Ask questions to determine how well an organization fits with your personality, career goals and salary objectives.

10. Ask questions that communicate your competencies and strengths.

11.  Negotiate the best job offer and compensation package for yourself.

12.  Perform successfully on telephone interviews.",37380.0,17408.0,4.7,137.0
Advanced Speaking and Listening Project,https://www.coursera.org/learn/speaking-listening-capstone,Language Learning,Learning English,"Tamy Chapman, Brad Gilpin","Learners will present a well-organized academic speech on a topic in an academic field of the learner's choice. The learner will need to recall all of the skills learned in the previous three courses and complete several steps to complete the project. The learner will choose an academic topic and will then need to do some research, interview a couple of experts in the field, create visual elements, and record a video of the presentation. The presenter will use techniques for preparing and practicing a presentation and demonstrate effective verbal and non-verbal skills. Doing this will help prepare you for presentations in school or work.",6210.0,32418.0,4.9,31.0
Advanced Writing,https://www.coursera.org/learn/advanced-writing,Language Learning,Learning English,"Tamy Chapman, Helen Nam, Brad Gilpin","Course 3: Advanced Writing

This is the third course in the Academic English: Writing specialization.  By raising your level of academic writing, this course helps prepare you for college-level work.

After completing this course, you will be able to: 
 - plan and write a more sophisticated argument essay
 - identify plagiarism and explain how to prevent it
 - read and analyze several articles to form your own opinion on a topic
 - make connections between several articles
 - form thesis statements from your readings
 - use sources effectively when writing an essay

Please note that the free version of this class gives you access to all of the instructional videos and handouts. The peer feedback and quizzes are only available in the paid version.",196154.0,176313.0,4.7,1786.0
