name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
1.- El Cálculo - Modelo Lineal,https://www.coursera.org/learn/calculo-1,Math and Logic,Math and Logic,Dra. Patricia Salinas Martínez,"Este curso forma parte de una secuencia con la que se propone un acercamiento a la Matemática Preuniversitaria que prepara para la Matemática Universitaria.

En él se asocia un significado real con el contenido matemático que se aprende y se integran tecnologías digitales en el proceso de aprendizaje.
El contexto real del movimiento en línea recta será el marco con el cual asociamos un primer significado y recapitulamos contenidos preuniversitarios relacionados con el Modelo Lineal.

Curso con crédito académico para alumnos admitidos y aspirantes a ingresar a su primer semestre de un programa de profesional en el Tecnológico de Monterrey. Si estás inscrito en este MOOC con el fin de obtener el crédito académico para el curso de Introducción a las matemáticas (Matemáticas Remedial), confirma tu interés en la acreditación a la cuenta: mooc@servicios.itesm.mx . Consulta las preguntas frecuentes para conocer el proceso de acreditación.",43161.0,9272.0,4.8,997.0
2.- El Cálculo - Modelo Cuadrático,https://www.coursera.org/learn/calculo-2,Math and Logic,Math and Logic,Dra. Patricia Salinas Martínez,"Este curso forma parte de una secuencia con la que se propone un acercamiento a la Matemática Preuniversitaria que prepara para la Matemática Universitaria.

En él se asocia un significado real con el contenido matemático que se aprende y se integran tecnologías digitales en el proceso de aprendizaje. 
El contexto real de llenado de tanques permitirá hacer una primera transferencia de significado y recapitularemos contenidos preuniversitarios relacionados con el Modelo Cuadrático. El período de acreditación para la materia Introducción a las Matemáticas ha concluido. La última fecha para recibir certificados de Coursera es 24 de julio 2017. Informaremos oportunamente cuando la opción de acreditación esté disponible de nuevo. 

Curso con crédito académico para alumnos admitidos y aspirantes a ingresar a su primer semestre de un programa de profesional en el Tecnológico de Monterrey. Si estás inscrito en este MOOC con el fin de obtener el crédito académico para el curso de Introducción a las matemáticas (Matemáticas Remedial), confirma tu interés en la acreditación a la cuenta: mooc@servicios.itesm.mx. Consulta las preguntas frecuentes para conocer el proceso de acreditación.",16413.0,3186.0,4.8,328.0
3.- El Cálculo - Modelo Cúbico,https://www.coursera.org/learn/calculo-3,Math and Logic,Math and Logic,Dra. Patricia Salinas Martínez,"Este curso forma parte de una secuencia con la que se propone un acercamiento a la Matemática Preuniversitaria que prepara para la Matemática Universitaria.

En él se asocia un significado real con el contenido matemático que se aprende y se integran tecnologías digitales en el proceso de aprendizaje.
La transferencia a varios contextos reales permitirá fortalecer un aprendizaje con significado e integrar tecnologías digitales especializadas. El objetivo es desarrollar un pensamiento matemático en el aprendizaje de contenidos relacionados con el Modelo Cúbico.El período de acreditación para la materia Introducción a las Matemáticas ha concluido. La última fecha para recibir certificados de Coursera es 24 de julio 2017. Informaremos oportunamente cuando la opción de acreditación esté disponible de nuevo. 

Curso con crédito académico para alumnos admitidos y aspirantes a ingresar a su primer semestre de un programa de profesional en el Tecnológico de Monterrey. Si estás inscrito en este MOOC con el fin de obtener el crédito académico para el curso de Introducción a las matemáticas (Matemáticas Remedial), confirma tu interés en la acreditación a la cuenta: mooc@servicios.itesm.mx. Consulta las preguntas frecuentes para conocer el proceso de acreditación.",13898.0,2283.0,4.8,218.0
4.- El Cálculo - Otros Modelos,https://www.coursera.org/learn/calculo-4,Math and Logic,Math and Logic,Dra. Patricia Salinas Martínez,"Este curso forma parte de una secuencia con la que se propone un acercamiento a la Matemática Preuniversitaria que prepara para la Matemática Universitaria.

En él se asocia un significado real con el contenido matemático que se aprende y se integran tecnologías digitales en el proceso de aprendizaje. 
Se propone la reinterpretación de los contenidos matemáticos relativos a Modelos con Radicales y Exponentes en términos de nociones y procesos del Cálculo Diferencial. Esto servirá como puente para el desarrollo de un pensamiento matemático avanzado con el que se trabajará en la Matemática Universitaria. El período de acreditación para la materia Introducción a las Matemáticas ha concluido. La última fecha para recibir certificados de Coursera es 24 de julio 2017. Informaremos oportunamente cuando la opción de acreditación esté disponible de nuevo. 

Curso con crédito académico para alumnos admitidos y aspirantes a ingresar a su primer semestre de un programa de profesional en el Tecnológico de Monterrey. Si estás inscrito en este MOOC con el fin de obtener el crédito académico para el curso de Introducción a las matemáticas (Matemáticas Remedial), confirma tu interés en la acreditación a la cuenta: mooc@servicios.itesm.mx. Consulta las preguntas frecuentes para conocer el proceso de acreditación.",12094.0,2105.0,4.7,196.0
Algebra and Differential Calculus for Data Science,https://www.coursera.org/learn/algebra-and-differential-calculus-for-data-science,Math and Logic,Math and Logic,Jane Wall,"Are you interested in Data Science but lack the math background for it? Has math always been a tough subject that you tend to avoid? This course will teach you the most fundamental Calculus concepts that you will need for a career in Data Science without a ton of unnecessary proofs and techniques that you may never use. Consider this an expressway to Data Science with approachable methods and friendly concepts that will guide you to truly understanding the most important ideas in Differential Calculus.  We will review some algebra basics, talk about what a derivative is, compute some simple derivatives and apply the basics of derivatives to graphing and maximizing functions.

This course is designed to prepare learners to successfully complete Statistical Modeling for Data Science Application, which is part of CU Boulder's Master of Science in Data Science (MS-DS) program. 

Logo courtesy of  ThisisEngineering RAEng on Unsplash.com",2945.0,42049.0,4.3,63.0
Algebra: Elementary to Advanced - Equations & Inequalities,https://www.coursera.org/learn/algebra-i,Math and Logic,Math and Logic,"Joseph W. Cutrone, PhD","This course is intended for students looking to create a solid algebraic foundation of fundamental mathematical concepts from which to take more advanced courses that use concepts from precalculus, calculus, probability, and statistics. This course will help solidify your computational methods, review algebraic formulas and properties, and apply these concepts model real world situations. This course is for any student who will use algebraic skills in future mathematics courses. Topics include: the real numbers, equalities, inequalities, polynomials, rational expressions and equations, graphs, relations and functions, radicals and exponents, and quadratic equations.",17038.0,44288.0,4.8,276.0
Algebra: Elementary to Advanced - Functions & Applications,https://www.coursera.org/learn/algebra-ii,Math and Logic,Math and Logic,"Joseph W. Cutrone, PhD","After completing this course, students will learn how to successfully apply functions to model different data and real world occurrences. This course reviews the concept of a function and then provide multiple examples of common and uncommon types of functions used in a variety of disciplines.  Formulas, domains, ranges, graphs, intercepts, and fundamental behavior are all analyzed using both algebraic and analytic techniques. From this core set of functions, new functions are created by arithmetic operations and function composition. These functions are then applied to solve real world problems. The ability to picture many different types of functions will help students learn how and when to apply these functions, as well as give students the geometric intuition to understand the algebraic techniques.  The skills and objectives from this course improve problem solving abilities.",3812.0,10882.0,4.7,77.0
Algebra: Elementary to Advanced - Polynomials and Roots,https://www.coursera.org/learn/polynomials-roots,Math and Logic,Math and Logic,"Joseph W. Cutrone, PhD","This course is the final course in a three part algebra sequence, In this course, students extend their knowledge of more advanced functions, and apply and model them using both algebraic and geometric techniques.  This course enables students to make logical deductions and arrive at reasonable conclusions.  Such skills are crucial in today's world.  Knowing how to analyze quantitative information for the purpose of making decisions, judgments, and predictions is essential for understanding many important social and political issues. Quantitative Skills and Reasoning provides students the skills needed for evaluating such quantitatively-based arguments.

This class is important as the mathematical ideas it treats and the mathematical language and symbolic manipulation it uses to express those ideas are essential for students who will progress to calculus, statistics, or data science.",2791.0,9548.0,4.8,57.0
Aléatoire : une introduction aux probabilités - Partie 1,https://www.coursera.org/learn/probabilites-1,Math and Logic,Math and Logic,"Sylvie Méléard, Jean-René Chazottes, Carl Graham","Ce cours d'introduction aux probabilités a la même contenu que le cours de tronc commun de première année de l'École polytechnique donné par Sylvie Méléard.

Le cours introduit graduellement la notion de variable aléatoire et culmine avec la loi des grands nombres et le théorème de la limite centrale. 

Les notions mathématiques nécessaires sont introduites au fil du cours et de nombreux exercices corrigés sont proposés.

Ce cours propose aussi une introduction aux méthodes de simulations des variables aléatoires comme la méthode de Monte Carlo. Des expériences numériques interactives sont également mises à votre disposition pour vous permettre de visualiser diverses notions.",15698.0,9915.0,4.5,93.0
Aléatoire : une introduction aux probabilités - Partie 2,https://www.coursera.org/learn/probabilites-2,Math and Logic,Math and Logic,"Sylvie Méléard, Jean-René Chazottes, Carl Graham","Ce cours d'introduction aux probabilités a la même contenu que le cours de tronc commun de première année de l'École polytechnique donné par Sylvie Méléard.

Le cours introduit graduellement la notion de variable aléatoire et culmine avec la loi des grands nombres et le théorème de la limite centrale. 

Les notions mathématiques nécessaires sont introduites au fil du cours et de nombreux exercices corrigés sont proposés.

Ce cours propose aussi une introduction aux méthodes de simulations des variables aléatoires comme la méthode de Monte Carlo. Des expériences numériques interactives sont également mises à votre disposition pour vous permettre de visualiser diverses notions.",5503.0,5084.0,4.5,34.0
