name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
A Second Brain with Obsidian,https://www.coursera.org/learn/obsidian,Personal Development,Personal Development,Danilo Oliveira Vaz,"In this hands-on guided project you will learn how to use the knowledge base app Obsidian. With its powerful interface, Obsidian makes it easy for anyone to structure note taking dynamics suitable for a variety of purposes: from personal journaling, to study or work notes. On top of that, one can establish links across notes and quite literally build a digital brain based on all of these connections, powered by Obsidian's Graph View.",,,,
"A tanulás tanulása: Hatékony mentális eszközök, melyek segítenek megbirkózni a nehéz tantárgyakkal (Learning How to Learn)",https://www.coursera.org/learn/a-tanulas-tanulasa,Personal Development,Personal Development,"Dr. Terrence Sejnowski, Kocsis Lilla, Szakál Péter, Barbara Oakley","A kurzus olyan, rendkívül hasznos tanulási módszereket mutat be, amelyeket a művészetek, a zene, az irodalom, a matematika, a természettudományok, a sport és más szakterületek művelői használnak. A kurzus során bemutatjuk, hogyan használ az agy a tanuláshoz két nagyon különböző állapotot, és hogyan tudja tömbösíteni az információt. Szó lesz továbbá kompetencia-illúziókról, memóriatechnikákról, a halogatás kezeléséről, és a legjobb gyakorlatokról, amelyek kutatások alapján a leghatékonyabb segítséget nyújtják nehéz tárgyak tanulásában. 

Ezek a módszerek a tanulandó területen való jártasságtól függetlenül képesek megváltoztatni a gondolkodásunkat, ezen keresztül pedig az életünket is. Ha valaki máris szakértő, az agy rejtelmeibe való betekintés akkor is hasznos lesz a következőkben: új lendületet kaphat a tanulásban elért sikereihez, olyan vizsgatippeket ismerhet meg, amelyekre nem is gondolt volna, és olyan meglátásokra tehet szert, amelyek segítenek optimalizálni a házi feladattal és a feladatmegoldással töltött időt. Ha valakinek nehezére esik a tanulás, itt a praktikák olyan áttekinthető tárházára bukkan, amelynek segítségével fel tudja venni a fonalat. Ha valaha is arra vágytunk, hogy valamiben fejlődni tudjunk, akkor ez a kurzus szolgálhat számunkra útmutatóként. 

A tanulás tanulása: Hatékony mentális eszközök, amelyek segítenek megbirkózni a nehéz tantárgyakkal című Coursera kurzus Barbara Oakley és Terrence Sejnowsky Learning How to Learn (LHTL) kurzusának magyar változata, mely a Szegedi Tudományegyetem munkatársai közreműködésével valósult meg.

A kurzus felvehető az angol nyelvű Mindshift („Szemléletváltás”) elnevezésű, kapcsolódó kurzustól függetlenül, azzal párhuzamosan, vagy akár előtte. (A tanulás tanulása fókuszában inkább a tanulás áll, a Mindshift fókuszában pedig inkább a karrierépítés.)

A kurzus teljes, portugál nyelvű verziója az alábbi linken érhető el: https://www.coursera.org/learn/aprender
A kurzus teljes, spanyol nyelvű verziója az alábbi linken érhető el: https://www.coursera.org/learn/aprendiendo-a-aprender
A kurzus teljes, kínai nyelvű verziója az alábbi linken érhető el: https://www.coursera.org/learn/ruhe-xuexi",8464.0,16476.0,4.9,236.0
Academic Information Seeking,https://www.coursera.org/learn/academicinfoseek,Personal Development,Personal Development,"Birgitte Munk, Thomas Skov Jensen ","This course will introduce you to the basic elements of academic information seeking - we will explore the search process from defining a strategy to evaluating and documenting your search results. 

Attending the course will make you a proficient information seeker. You will learn how to carry out comprehensive literature searches based on your own research assignment. You will be guided through the various information seeking steps from selecting relevant search strategies and techniques to evaluating your search results, documenting your search process and citing your sources. 

Attending the course will enable you to:
•	Identify your information need
•	Evaluate databases and other information resources
•	Set up search strategies and use various search techniques
•	Formulate search strings based on your own research assignment 
•	Identify relevant material types
•	Undertake critical evaluation of your sources
•	Search more efficiently on the internet
•	Avoid plagiarism
•	Cite correctly
•	Work with reference management
•	Document your search process

The course is intended for undergraduate students but the lessons will be useful to anyone who is interested in becoming better at finding scientific information. There are no formal requirements for the course.

The series consists of 21 lectures that are organized into three modules. The lectures include small assignments and quizzes (to check comprehension).
The lectures will each touch upon a topic that is essential to the information seeking process. To get the most out of the lecture series, we recommend that you access the lectures while you are working on an academic paper. We also recommend that you watch the lectures in the order in which we have structured them.
We recommend that you create and fill out a log book while attending the lectures. We have created a log book template that you can use during the course. 

The lecture series has been developed in collaboration between information specialists at University of Copenhagen and Technical University of Denmark",24346.0,17067.0,4.7,572.0
Accomplishment STAR Techniques for Job Interviews,https://www.coursera.org/learn/accomplishment-star-techniques-for-job-interviews,Personal Development,Personal Development,Dianna Eckford,"You will create a compelling Accomplishment STAR Technique for Job Interviews. The STAR Technique will help you stand out greatly from the competition. 

A compelling Accomplishment STAR Technique will play a significant role to help you tell stories of how YOU solve problems; showcase your team building or leadership skills, as well as help the hiring manager see that you can do the job the company is advertising for.",5891.0,,4.5,72.0
Accountability y gestión del desempeño,https://www.coursera.org/learn/accountability,Personal Development,Personal Development,"Pablo Perez-Duarte, Coach Pepe Villacis","El curso Accountability y gestión del desempeño para impulsar tus resultados, es una experiencia de vida en la que tú, como líder de una organización, puedes apropiarte de herramientas y destrezas ejecutivas (soft skills) que te permiten alcanzar niveles superiores de coherencia entre lo que sientes, lo que piensas para el cumplimiento de metas, la guía de tu equipo de trabajo y la generación de climas laborales armónicos y sanos.

Cada uno de los Bits se encuentra configurado para brindarte elementos claros, concisos y útiles para el desarrollo de tu accountability, como filosofía de vida, a través de la comprensión de su ciclo y el uso de sus herramientas, para que tengas éxito en cada una de las actividades que desarrolles. Además, te permitirán comprender y poner en práctica instrumentos de comunicación, gestión de estímulos, retroalimentación y evaluación de competencias, que, en el marco de la gestión del desempeño, te proporcionarán la claridad suficiente para adecuarlos a tu rol dentro de la organización.

Te invitamos a estudiar cada uno de los materiales, diseñados especialmente para ti, manteniendo una mente abierta al aprendizaje y centrada en la adquisición de nuevos conocimientos.",1672.0,5377.0,4.7,32.0
Advanced Information Literacy,https://www.coursera.org/learn/advanced-information-literacy,Personal Development,Personal Development,"Nicole Thomas, Roberta (Robin) Sullivan, Cynthia A. Tysick, Bryan Sajecki, Jocelyn Swick-Jemison","This course is designed to build upon a learner's search skills and expertise in the information literacy concepts that underpin scholarship at college or university. This badge incentivizes them to continue improving their information literacy competencies over their academic and workplace career. By participating in this course, one can use these advanced search skills to save time conducting literature reviews, efficiently gather and organize information, ethically use sources, and protect their own intellectual property.

Learners will work independently on a topic of their choosing and receive feedback from their peers throughout the process. The modules build on each other and provide learners with a framework (project outline). The final project is disseminated as a digital object that exemplifies the learner’s status as an emerging scholar or professional.

The modules are self-paced, the estimated completion time for each module is 2 hours. The content within each module can be paused at any time, with the exception of the quiz at the end of each module.

In addition to earning a certificate from Coursera for this course, you'll also receive a Micro-Credential Digital Badge from the University at Buffalo, the State University of New York recognizing your accomplishment. Use your verified digital badge to promote your achievement online, and access job insights related to your new skills. Upon completion of each individual course and the complete Specialization, you will receive an email from Coursera with directions on how to claim your badge. Payment or participation through an official Coursera promotional offer is required to have full access to the course and to qualify for the Coursera Certificate and Digital Badge.",,2401.0,,
Applying to U.S. Universities,https://www.coursera.org/learn/study-in-usa,Personal Development,Personal Development,Erick Hyde,"“It depends.”  That is what you’ll hear when asking about the U.S. university admission process.  With over 4,000 universities in the United States and no standard application system, the U.S. admission process can be confusing for everyone, but especially for students applying from other countries.

This course will help international students (non-U.S. citizens) and non-native English speakers navigate the U.S. university admission process by offering practical information about the documents and pieces that make up a U.S. university application.  More importantly, admission officers will discuss how they use those pieces to decide who is accepted and who is denied, so that you can understand the process beyond the pieces.

By the end of this course, you will understand application basics that include researching schools, creating a school list, and establishing an application plan.  This course will not answer all of your application questions, but it will teach you to ask the right questions of yourself and the universities.  Ultimately, you will have all the information you need to start your process the right way, putting you on the path to acceptance.

* Please note, while the English Language Programs are part of the University of Pennsylvania, this is not a course about applying to Penn.  Furthermore, this course is intended for international students educated in the national curriculum of their country.  While other students are welcome to enroll, the course is not intended for American students or students studying in an American, International Baccalaureate, or Advanced Placement curriculum.  The course is also intended for students who do not have access to university counseling – if you attend a school that offers university counseling, your counselor is the best source of information on applying to university.  Finally, this course is for undergraduate (Bachelors degree) freshmen (students who have not attended any university) applicants.  Undergraduate transfer applicants, students who have attended a university, will find some of the information helpful, but graduate (Masters and Doctoral) applicants will not.",97656.0,28884.0,4.8,484.0
Apprendre comment apprendre (ACA) : Des outils mentaux puissants qui vous aideront à maîtriser des sujets difficiles,https://www.coursera.org/learn/apprendre-comment-apprendre,Personal Development,Personal Development,"Barbara Oakley, Dr. Terrence Sejnowski, Nicole Marie-Thérèse Charest","Ce cours vous offre un accès facile aux méthodes d’apprentissage appréciées et utilisées par des experts de différentes disciplines dont les arts, la littérature, les mathématiques, les sciences et les sports.  Vous y apprendrez comment le cerveau apprend en utilisant deux modes de pensée très différents et comment il encode l’information, une étape essentielle à la maîtrise de tout sujet. Vous en apprendrez davantage sur plusieurs défis importants qui concernent l’apprentissage dont l'Einstellung, l’illusion d’apprendre, le surapprentissage, le syndrome de l'imposteur et la procrastination et comment leur faire face. Vous y découvrirez également les meilleures pratiques pour maîtriser des sujets difficiles et dont l'efficacité a été démontrée en recherche, notamment l'espacement, l'entrelacement, la pratique délibérée, le rappel et des techniques de mémorisation.

Vous pouvez changer votre façon de penser et changer votre vie en appliquant ces approches et ce, peu importe votre niveau d’expertise dans les sujets que vous voulez maîtriser. Si vous êtes déjà un expert, un regard sous le capot mental vous permettra de mieux comprendre le fonctionnement du cerveau et certaines approches qui peuvent vous aider à faire le plein d’apprentissages réussis, dont des conseils contre-intuitifs sur la manière d’aborder les tests et des renseignements pour faire un meilleur usage du temps que vous consacrez à vos devoirs et à la résolution de problèmes. Si vous êtes débutant ou qu’il vous est difficile d’apprendre, vous découvrirez un trésor bien structuré de techniques pratiques qui vous aideront à trouver ce dont vous avez besoin pour vous remettre sur les rails. Si vous avez toujours voulu devenir meilleur à quoi que ce soit, ce cours pourra vous servir de guide.

Ce cours peut être suivi indépendamment de, en concomitance avec, ou avant, son cours compagnon, Mindshift. (Apprendre comment apprendre est plus axé sur l'apprentissage, tandis que Mindshift est axé davantage sur le cheminement de carrière.)

Pour prendre part à la version totalement traduite en Portugais de ce cours, visitez : https://www.coursera.org/learn/aprender

Pour prendre part à la version totalement traduite en Espagnol de ce cours, visitez : https://www.coursera.org/learn/aprendiendo-a-aprender

Pour prendre part à la version totalement traduite en Chinois de ce cours, visitez : https://www.coursera.org/learn/ruhe-xuexi

Pour prendre part à la version totalement traduite en Français de ce cours visitez : https://www.coursera.org/learn/apprendre-comment-apprendre",36767.0,123110.0,4.8,484.0
Aprendendo a aprender: ferramentas mentais poderosas para ajudá-lo a dominar assuntos difíceis (em Português) [Learning How to Learn],https://www.coursera.org/learn/aprender,Personal Development,Personal Development,"Barbara Oakley, Dr. Terrence Sejnowski, Thiago Cesar Lousada Marsola","Este curso dá-lhe acesso fácil a técnicas de aprendizagem de valor inestimável, usadas por especialistas em Arte, Música, Literatura, Matemática, Ciência, Esportes e muitas outras disciplinas. 

Vamos aprender sobre a forma como o cérebro usa dois modos de aprendizagem muito diferentes e como ele encapsula (em ""pedaços"") informações. Também vamos falar sobre ilusões de aprendizagem, técnicas de memória, lidar com a procrastinação, e as melhores práticas apresentadas pela investigação a ser mais eficaz em o ajudar a dominar assuntos difíceis.

Usando essas abordagens, não importa os seus níveis de habilidade em tópicos que você gostaria de dominar, você pode mudar o seu pensamento e mudar sua vida. 
Se você já é um especialista, essa ""espiada embaixo do capô"" lhe dará ideias para turbinar sua aprendizagem de forma bem sucedida, incluindo dicas contra intuitivas para realização de testes, que lhe ajudarão a fazer o melhor uso do seu tempo em deveres de casa e situações de problemas. Se estiver com dificuldades, você verá um tesouro estruturado de técnicas práticas que lhe mostrarão o que precisa fazer para entrar nos trilhos. Se você já quis melhorar em qualquer coisa, este curso vai servir como um guia.

This is a translated version. To join the original English version, visit this page: https://www.coursera.org/learn/learning-how-to-learn

Este curso está disponível também em Espanhol. Para entrar na versão completamente traduzida, visite esta página:  https://www.coursera.org/learn/aprendiendo-a-aprender⏎

Este curso está disponível também em Chinês. Para entrar na versão completamente traduzida, visite esta página: https://www.coursera.org/learn/ruhe-xuexi",190321.0,56497.0,4.9,3681.0
Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn),https://www.coursera.org/learn/aprendiendo-a-aprender,Personal Development,Personal Development,"Barbara Oakley, Dr. Terrence Sejnowski, M.Sc. Orlando Trejo","Este curso te brinda acceso a invaluables técnicas de aprendizaje utilizadas por expertos en arte, música, literatura, matemáticas, ciencia, deportes y muchas otras disciplinas. Aprenderemos cómo el cerebro utiliza dos modos de aprendizaje muy distintos y cómo encapsula (“fragmenta”) la información. También hablaremos sobre ilusiones de aprendizaje, técnicas de memoria, cómo ocuparse de la procrastinación y las mejores prácticas, según lo demuestra la investigación, para ayudarte a dominar los temas más complicados.

Con estos enfoques, más allá de tus niveles de destreza en los temas que quieras dominar, puedes cambiar tu pensamiento y tu vida. Si ya eres un experto, este vistazo de la maquinaria cerebral te dará ideas para disparar un nuevo aprendizaje poderoso, con consejos contraintuitivos para presentar exámenes y perspectivas que te ayudarán a aprovechar al máximo el tiempo que dedicas a las tareas y a la resolución de problemas. Si estás teniendo dificultades, descubrirás un cofre del tesoro estructurado con técnicas prácticas que te orientan acerca de lo que debes hacer para mejorar. Si alguna vez deseaste ser mejor en algún ámbito del aprendizaje, este curso te servirá como guía.

Este curso también está disponible otros idiomas:
Para unirte a la versión en inglés, visita: https://www.coursera.org/learn/learning-how-to-learn
Para unirte a la versión en portugués, visita: https://www.coursera.org/learn/aprender
Para unirte a la versión en chino, visita: https://www.coursera.org/learn/ruhe-xuexi",339281.0,203622.0,4.9,9920.0
