name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
Advanced Chemistry,https://www.coursera.org/learn/advanced-chemistry,Physical Science and Engineering,Chemistry,"Dr. Allison Soult, Dr. Kim Woodrum","A chemistry course to cover selected topics covered in advanced high school chemistry courses, correlating to the standard topics as established by the American Chemical Society.

Prerequisites: Students should have a background in basic chemistry including nomenclature, reactions, stoichiometry, molarity and thermochemistry.",80773.0,22050.0,4.7,1185.0
Chemical Biology,https://www.coursera.org/learn/chemical-biology,Physical Science and Engineering,Chemistry,"Robbie Loewith, Marcus J. C. Long","Chemical biology is a burgeoning field that has rapidly risen to prominence. This surge of interest has been fuelled by chemical biology’s applicability to understanding critical processes in live cells or model organisms in real time. This success has arisen because chemical biology straddles a nexus between chemistry, biology, and physics. Thus, chemical biology can harness rapid chemistry to observe or perturb biological processes, that are in turn reported using physical assays, all in an otherwise unperturbed living entity. 

Although its boundaries are endless, the multidisciplinary nature of chemical biology can make the field seem daunting; we beg to differ! Here, we deconstruct chemical biology into its core components, and repackage the material. In the process we build up for each student a practical and theoretical knowledge bank that will set these students on their way to understanding and designing their own chemical biology experiments. 

We will discuss fluorescence as a general language used to read out biological phenomena as diverse as protein localization, membrane tension, surface phenomena, and enzyme activity. We will proceed to discuss protein labeling strategies and fusion protein design. Then we will discuss larger and larger scale chemical biology mechanism and screening efforts. Highlights include a large amount of new data, tailored in the lab videos, and a large number of skilled presenters.",15374.0,33737.0,4.7,93.0
Chemistry,https://www.coursera.org/learn/chemistry-1,Physical Science and Engineering,Chemistry,"Dr. Allison Soult, Dr. Kim Woodrum","This course is designed to cover subjects in advanced high school chemistry courses, correlating to the standard topics as established by the American Chemical Society. This course is a precursor to the Advanced Chemistry Coursera course. Areas that are covered include atomic structure, periodic trends, compounds, reactions and stoichiometry, bonding, and thermochemistry.",145234.0,49221.0,4.7,1874.0
General Chemistry: Concept Development and Application,https://www.coursera.org/learn/general-chemistry,Physical Science and Engineering,Chemistry,John Steven Hutchinson,"This course will cover the topics of a full year, two semester General Chemistry course.  We will use a free on-line textbook, Concept Development Studies in Chemistry, available via Rice’s Connexions project. 

The fundamental concepts in the course will be introduced via the Concept Development Approach developed at Rice University.  In this approach, we will develop the concepts you need to know from experimental observations and scientific reasoning rather than simply telling you the concepts and then asking you to simply memorize or apply them.

So why use this approach? 

One reason is that most of us are inductive learners, meaning that we like to make specific observations and then generalize from there.  Many of the most significant concepts in Chemistry are counter-intuitive.  When we see where those concepts come from, we can more readily accept them, explain them, and apply them. 

A second reason is that scientific reasoning in general and Chemistry reasoning in particular are inductive processes.  This Concept Development approach illustrates those reasoning processes.  

A third reason is that this is simply more interesting! The structure and reactions of matter are fascinating puzzles to be solved by observation and reasoning.  It is more fun intellectually when we can solve those puzzles together, rather than simply have the answers to the riddles revealed at the outset.

Recommended Background: 
The class can be taken by someone with no prior experience in chemistry.  However, some prior familiarity with the basics of chemistry is desirable as we will cover some elements only briefly.  For example, a prior high school chemistry class would be helpful.

Suggested Readings:
Readings will be assigned from the on-line textbook “Concept Development Studies in Chemistry”, available via Rice’s Connexions project. In addition, we will suggest readings from any of the standard textbooks in General Chemistry.  A particularly good free on-line resource is Dickerson, Gray, and Haight, ""Chemical Principles, 3rd Edition"".  Links to these two texts will be available in the Introduction module.",74555.0,27205.0,4.6,801.0
Iniciándome en la Química,https://www.coursera.org/learn/iniciandome-en-la-qumica,Physical Science and Engineering,Chemistry,"María Encarnación Mena Martínez, Carlos Juvencio López Jiménez","En este curso aprenderás los conocimientos básicos de química general que te permitirán tener una mejor comprensión del estudio de la química, así como de la naturaleza. A lo largo del curso aprenderás la clasificación de la materia y sus propiedades, las teorías atómicas, la clasificación periódica, los tipos de enlaces y nomenclatura inorgánica.

Este curso está basado en el curso de química de la UAM, unidades Lerma y Cuajimalpa, la cual está dentro de las 5 mejores universidades de México según la revista Forbes 2020. Este curso está, así mismo, dirigido a estudiantes de educación superior y a las personas que quieran adentrarse al fascinante mundo de la química.",14778.0,36107.0,4.6,46.0
Introducción a la Ingeniería Gastronómica - ¡Ciencia en la Cocina!,https://www.coursera.org/learn/ingenieria-gastronomica-ciencia-cocina,Physical Science and Engineering,Chemistry,"José Miguel Aguilera Radic, María Carolina Moreno Constenla","Este curso aborda la estrecha relación existente entre la ingeniería, los alimentos y la gastronomía. Proporciona conocimientos básicos para entender mejor el porqué de algunas recetas, de las prácticas de conservación de alimentos, y de las técnicas culinarias. Su énfasis está en la comprensión de que los alimentos y platos son estructuras deliciosas y nutritivas creadas por la naturaleza, y que sufren transformaciones que pueden estar bajo el control del cocinero. Por último, es una invitación a usar la cocina como un laboratorio para experimentar racionalmente con nuevas técnicas e ingredientes, modificar procedimientos y medir las propiedades físicas de platos y productos.   

El curso presenta, en primer lugar, el concepto de Ingeniería Gastronómica, que apunta a abordar las transformaciones culinarias desde el punto de la ingeniería de los materiales alimentarios y la microestructura productos y platos. Se describen las características de los diferentes componentes de los alimentos y sus principales transformaciones en estructuras gastronómicas mediadas por el agua y la aplicación del calor. A continuación se describe cuál es efecto que tiene el ambiente en el cual se preparan y conservan los alimentos en sus propiedades físicas y texturales. Además, se detallan los conceptos fundamentales de transferencia de calor y su relación con los cambios físicos en los alimentos en la medida que se cocinan. Finalmente, los contenidos del curso se demuestran a través de la preparación de platos para un menú.",8898.0,14816.0,4.9,41.0
Introduction to Chemistry:  Reactions and Ratios,https://www.coursera.org/learn/intro-chemistry,Physical Science and Engineering,Chemistry,Prof. Dorian A. Canelas,"This is an introductory course for students with limited background in chemistry; basic concepts involved in chemical reactions, stoichiometry, the periodic table, periodic trends, nomenclature, and chemical problem solving will be emphasized with the goal of preparing students for further study in chemistry as needed for many science, health, and policy professions.",99579.0,45028.0,4.7,1095.0
Introduction to Chemistry:  Structures and Solutions,https://www.coursera.org/learn/basic-chemistry,Physical Science and Engineering,Chemistry,Prof. Dorian A. Canelas,"This is an introductory course for students with limited background in chemistry; basic concepts such as atomic and molecular structure, solutions, phases of matter, and quantitative problem solving will be emphasized with the goal of preparing students for further study in chemistry.",50226.0,18094.0,4.6,452.0
Introduction to High-Throughput Materials Development,https://www.coursera.org/learn/high-throughput,Physical Science and Engineering,Chemistry,"Dr. Richard W. Neu, Dr. J. Carson Meredith","This course is an introduction to high-throughput experimental methods that accelerate the discovery and development of new materials.

It is well recognized that the discovery of new materials is the key to solving many technological problems faced by industry and society.  These problems include energy production and utilization, carbon capture, tissue engineering, and sustainable materials production, among many others.  This course will introduce the learner to a remarkable new approach to materials discovery and characterization: high-throughput materials development (HTMD).  

Engineers and scientists working in industry, academic or government will benefit from this course by developing an understanding of how to apply one element of HTMD, high-throughput experimental methods, to real-world materials discovery and characterization problems.  Internationally leading faculty experts will provide a historical perspective on HTMD, describe preparation of ‘library’ samples that cover hundreds or thousands of compositions, explain techniques for characterizing the library to determine the structure and various properties including optical, electronic, mechanical, chemical, thermal, and others.  Case studies in energy, transportation, and biotechnology are provided to illustrate methodologies for metals, ceramics, polymers and composites.

The Georgia Tech Institute for Materials (IMat) developed this course in order to introduce a broad audience to the essential elements of the Materials Genome Initiative.  Other courses will be offered by Georgia Tech through Coursera to concentrate on integrating (i) high-throughput experimentation with (ii) modeling and simulation and (iii) materials data sciences and informatics.


After completing this course, learners will be able to 
•	Identify key events in the development of High-Throughput Materials Development (HTMD)
•	Communicate the benefits of HTMDwithin your organization.
•	Explain what is meant by high throughput methods (both computational and experimental), and their merits for materials discovery/development. 
•	Summarize the principles and methods of high throughput creation/processing of material libraries (samples that contain 100s to 1000s of smaller samples).
•	State the principles and methods for high-throughput characterization of structure.
•	State the principles and methods for high throughput property measurements.
•	Identify when high-throughput screening (HTS) will be valuable to a materials discovery effort.
•	Select an appropriate HTS method for a property measurement of interest.
•	Identify companies and organizations working in this field and use this knowledge to select appropriate partners for design and implementation of HTS efforts.
•	Apply principles of experimental design, library synthesis and screening to solve a materials design challenge.
•	Conceive complete high-throughput strategies to obtain processing-structure-property (PSP) relationships for materials design and discovery.",11326.0,7028.0,4.6,165.0
Introduction to Molecular Spectroscopy,https://www.coursera.org/learn/spectroscopy,Physical Science and Engineering,Chemistry,"Patrick J O'Malley, D.Sc","The course introduces the three key spectroscopic methods used by chemists and biochemists to analyse the molecular and electronic structure of atoms and molecules. These are UV/Visible , Infra-red (IR) and Nuclear Magnetic Resonance (NMR) spectroscopies. The content is presented using short focussed and interactive screencast presentations accompanied by formative quizzes to probe understanding of the key concepts presented. Numerous exercises are provided to facilitate mastery of each topic. A unique virtual spectroscopic laboratory is made available to enable students to measure and analyse spectra online. Assessment is via summative quizzes completed during the course period.",47967.0,38253.0,4.7,2214.0
