name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
5G for Everyone,https://www.coursera.org/learn/5g-training-qualcomm,Physical Science and Engineering,Electrical Engineering,Nakul H. Navarange,"Take the next step in your career by gaining a greater understanding of 5G technology and how it is changing the way we operate both personally and professionally. Learn how 5G is revolutionizing the business world and begin to understand how 5G can benefit your business by helping you meet your ever-evolving needs. You do not need any prior knowledge of 5G or other wireless technology to take this course.

WHY TAKE THIS COURSE?
- Understand what 5G technology is, the endless possibilities it offers, and how you can leverage it to enhance business strategy.
- Receive 5G training from engineers at Qualcomm Technologies – a world leader in 5G tech and wireless communication.
- Receive a Qualcomm-branded certificate of completion that may help you get that next job or promotion.

COURSE OUTLINE:
- Overview of wireless and cellular communications.
- Overview of the 5G NR vision.
- Introduction to 5G networks and features.
- Discuss 5G spectrum and mmWave.
- Learn about Massive MIMO and its impact on wireless technology.
- Discuss the evolution of the 5G radio access network (RAN).
- Dive into 5G private networks and industrial IoT.
- Overview of 5G security.",7405.0,89555.0,4.8,149.0
Analizar e incrementar - Parte 1,https://www.coursera.org/learn/analizar-e-incrementar-p1,Physical Science and Engineering,Electrical Engineering,"Mohammad Reza Azarang Esfandiari, Edgardo Jorge Escalante Vázquez ","Es en esta fase ANALIZAR es donde se aplican una serie de técnicas tanto de Seis Sigma como de Lean para realizar un análisis profundo del proceso con la finalidad de determinar los factores significativos que influyen en el comportamiento del mismo y usarlos para obtener un mejor nivel de desempeño.

Los objetivos del curso son los siguientes:

➤ Aprender a realizar un análisis profundo de su proceso.
➤ Distinguir algunas técnicas estadísticas de Seis Sigma para determinar factores significativos de su proceso.
➤ Conocer algunas técnicas de Lean para determinar puntos críticos de su proceso.",,2840.0,,
Análisis de Sistemas Eléctricos y Transición Energética,https://www.coursera.org/learn/analisis-sistemas-electricos-y-transicion-energetica,Physical Science and Engineering,Electrical Engineering,"Gustavo Andrés Ramos López, Paulo Manuel De Oliveira De Jesús, Mario Alberto Ríos Mesías","En nuestra sociedad, nos hemos fijado metas que permitan reducir nuestra dependencia de recursos energéticos no renovables, en especial de los combustibles fósiles. Por lo tanto, se han planteado incentivos hacia lo que se denomina transición energética. En el ámbito del sector eléctrico, esa transición se ha centrado principalmente en la integración de fuentes no convencionales de energías renovables (FNCER) como la energía solar y eólica, así como el almacenamiento de esta en baterías, además de promover el desarrollo de la movilidad eléctrica.  Es importante tener en cuenta que en la medida que aumenta la integración de las FNCER se debe reconocer los posibles impactos en la operación del sistema de potencia. Estos impactos se podrán establecer con las técnicas analíticas de los sistemas de potencia. 

En este curso queremos brindarle un panorama del análisis de los sistemas eléctricos de potencia teniendo en cuenta la transición energética en la cadena de valor del sector eléctrico: generación, transmisión, distribución y uso final de la energía eléctrica. Este panorama te permitirá entender los impactos de la transición energética en los sistemas de potencia, y la manera como se pueden formalizar desde las técnicas de análisis de sistemas de potencia.  

El curso provee conceptos y técnicas de análisis de manera práctica, de fácil uso y apropiación, para que se aprenda sobre el rol de los ingenieros de sistemas de potencia que afrontan la transición energética, e identifiquen, además, las oportunidades de formación y desarrollo profesional en el sector energético, y, en particular, en la interesante área de los sistemas eléctricos de potencia.   

Adicionalmente, el curso propone realizar una evaluación al final de cada módulo que le permitirá revisar los aprendizajes con las realimentaciones registradas en la plataforma, de manera que se pueda continuar progresando al conectarse nuevamente; en el caso de que decida optar por el certificado entregado por la Universidad de los Andes.",,9756.0,,
Análisis estático lineal y no lineal de estructuras,https://www.coursera.org/learn/analisis-estatico-lineal-nolineal-estructuras,Physical Science and Engineering,Electrical Engineering,Juan Carlos Reyes Ortiz,"Este curso busca reforzar y ampliar los conceptos básicos del análisis lineal estático presentados en cursos de pregrado en ingeniería civil, y estudiar métodos no lineales estáticos para el análisis de estructuras más complejas. 

Al final del curso, el estudiante estará en capacidad de, primero, analizar estructuras complejas que presenten comportamiento lineal o no lineal cuando son sometidas a cargas estáticas. Segundo, desarrollar programas en Python para conducir los análisis de estructuras sencillas. Tercero, manejar a nivel básico la plataforma Opensees e interpretar correctamente los resultados e implicaciones de los análisis realizados. 

El curso está compuesto de cinco módulos. En los dos primeros se abordarán análisis lineales, y en los siguientes análisis incluyendo no linealidades geométricas y del material. Este curso exige la utilización intensiva de los programas de computador Python y Opensees. Se tendrán disponibles tutoriales sobre el uso de estos programas. La evaluación del curso se hará mediante la solución de problemas cerrados y un proyecto integrador de todos los conceptos.",,7620.0,,
Approximation Methods,https://www.coursera.org/learn/approximation-methods,Physical Science and Engineering,Electrical Engineering,Wounjhang Park,"This course can also be taken for academic credit as ECEA 5612, part of CU Boulder’s Master of Science in Electrical Engineering degree.

This course teaches commonly used approximation methods in quantum mechanics. They include time-independent perturbation theory, time-dependent perturbation theory, tight binding method, variational method and the use of finite basis set. In each case, a specific example is given to clearly show how the method works. 

At the end of this course learners will be able to:
1. use time-dependent perturbation theory to obtain first- and second -order corrections to energies and wavefunctions,
2. use time-dependent perturbation theory and obtain transition rates, and
3. use tight binding method, variational method and finite basis set to obtain approximate solutions of various quantum mechanics problems.",,3249.0,,
Automating Image Processing,https://www.coursera.org/learn/automating-image-processing,Physical Science and Engineering,Electrical Engineering,"Amanda  Wang, Matt Rich, Brandon Armstrong, Megan Thompson, Isaac Bruss, Sam Jones","In this course, you will build on the skills acquired in Image Segmentation, Filtering, and Region Analysis to explore large sets of images and video files. It’s impractical to manually inspect results in large data sets. Automating image processing allows you to do your work more efficiently. 

At the end of this course, you’ll apply all the skills learned in this specialization to a final project. You’ll take the role of an engineer being asked to monitor traffic on a busy road. You’ll detect cars from a noisy video and analyze the results.

You will use MATLAB throughout this course.  MATLAB is the go-to choice for millions of people working in engineering and science, and provides the capabilities you need to accomplish your image processing tasks.  You will be provided with free access to MATLAB for the duration of the course to complete your work.

To be successful in this course you should have a background in basic math and some exposure to MATLAB. If you want to familiarize yourself with MATLAB check out the free, two-hour MATLAB Onramp. Experience with image processing is not required.",,6249.0,,
Averaged-Switch Modeling and Simulation,https://www.coursera.org/learn/averagedswitchmodelingandsimulation,Physical Science and Engineering,Electrical Engineering,Dr. Dragan Maksimovic,"This course can also be taken for academic credit as ECEA 5705, part of CU Boulder’s Master of Science in Electrical Engineering degree.

This is Course #1 in the Modeling and Control of Power Electronics course sequence. The course is focused on practical design-oriented modeling and control of pulse-width modulated switched mode power converters using analytical and simulation tools in time and frequency domains. A design-oriented analysis technique known as the Middlebrook's feedback theorem is introduced and applied to analysis and design of voltage regulators and other feedback circuits. Furthermore, it is shown how circuit averaging and averaged-switch modeling techniques lead to converter averaged models suitable for hand analysis, computer-aided analysis, and simulations of converters. After completion of this course, the student will be able to practice design of high-performance control loops around switched-mode power converters using analytical and simulation techniques. 

We strongly recommend students complete the CU Boulder Power Electronics specialization before enrolling in this course (course numbers provided for students in CU Boulder's MS-EE program):
 
● Introduction to Power Electronics (ECEA 5700)
● Converter Circuits (ECEA 5701)
● Converter Control (ECEA 5702)

After completing this course, you will be able to:

● Explain operation and modeling of switched-mode power converters
● Model open-loop transfer functions and frequency responses
● Design closed-loop regulated switched-mode power converters
● Verify operation of switched-mode power converters by simulations
● Understand the Feedback Theorem principles
● Apply the Feedback Theorem to practical design examples
● Derive averaged switch models of and averaged circuit models of power converters
● Apply averaged-switch modeling techniques to analysis and design and simulations of power converters",5583.0,11852.0,4.7,66.0
Battery Pack Balancing and Power Estimation,https://www.coursera.org/learn/battery-pack-balancing-power-estimation,Physical Science and Engineering,Electrical Engineering,Gregory Plett,"This course can also be taken for academic credit as ECEA 5734, part of CU Boulder’s Master of Science in Electrical Engineering degree.

In this course, you will learn how to design balancing systems and to compute remaining energy and available power for a battery pack. By the end of the course, you will be able to:
-	Evaluate different design choices for cell balancing and articulate their relative merits
-	Design component values for a simple passive balancing circuit
-	Use provided Octave/MATLAB simulation tools to evaluate how quickly a battery pack must be balanced
-	Compute remaining energy and available power using a simple cell model
-	Use provided Octave/MATLAB script to compute available power using a comprehensive equivalent-circuit cell model",8807.0,13938.0,4.9,82.0
Battery State-of-Charge (SOC) Estimation,https://www.coursera.org/learn/battery-state-of-charge,Physical Science and Engineering,Electrical Engineering,Gregory Plett,"This course can also be taken for academic credit as ECEA 5732, part of CU Boulder’s Master of Science in Electrical Engineering degree.

In this course, you will learn how to implement different state-of-charge estimation methods and to evaluate their relative merits. By the end of the course, you will be able to:

-	Implement simple voltage-based and current-based state-of-charge estimators and understand their limitations
-	Explain the purpose of each step in the sequential-probabilistic-inference solution
-	Execute provided Octave/MATLAB script for a linear Kalman filter and evaluate results
-	Execute provided Octave/MATLAB script for state-of-charge estimation using an extended Kalman filter on lab-test data and evaluate results
-	Execute provided Octave/MATLAB script for state-of-charge estimation using a sigma-point Kalman filter on lab-test data and evaluate results
-	Implement method to detect and discard faulty voltage-sensor measurements",12680.0,41136.0,4.8,160.0
Battery State-of-Health (SOH) Estimation,https://www.coursera.org/learn/battery-state-of-health,Physical Science and Engineering,Electrical Engineering,Gregory Plett,"This course can also be taken for academic credit as ECEA 5733, part of CU Boulder’s Master of Science in Electrical Engineering degree.

In this course, you will learn how to implement different state-of-health estimation methods and to evaluate their relative merits. By the end of the course, you will be able to:
-	Identify the primary degradation mechanisms that occur in lithium-ion cells and understand how they work
-	Execute provided Octave/MATLAB script to estimate total capacity using WLS, WTLS, and AWTLS methods and lab-test data, and to evaluate results
-	Compute confidence intervals on total-capacity estimates 
-	Compute estimates of a cell’s equivalent-series resistance using lab-test data
-	Specify the tradeoffs between joint and dual estimation of state and parameters, and steps that must be taken to ensure robust estimates (honors)",9354.0,32910.0,4.7,93.0
