name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
21st Century Energy Transition: how do we make it work?,https://www.coursera.org/learn/21st-century-energy-transition,Physical Science and Engineering,Environmental Science and Sustainability,Brad Hayes,"Affordable, abundant and reliable energy is fundamental to human well-being and prosperity. For the past 150 years, more and more people have gained access to energy, primarily in the form of fossil fuels – coal, petroleum and natural gas. But now, even while half of humanity cannot access adequate energy supplies, we are beginning a profound transition to more diverse energy sources. Climate change, environmental sustainability, and energy poverty are all important – and sometimes conflicting – drivers as we strive to supply more energy to more people with fewer negative impacts on Earth’s environments. 

In this course from the University of Alberta and Canadian Society for Evolving Energy, you will join us to learn about the many energy sources available, and where technology is providing exciting new solutions to energy and environmental challenges. Find out what roles energy storage must play to support the transition, and discuss how we can optimize transition processes. Examine competing viewpoints (“realities”) to enable energy transition, focusing on the practical challenges in bringing about change on a global basis. Finally, you will bring all these issues together to examine how the energy transition process is progressing and what we must do to create pathways to achieve our goals.",,19180.0,,
A Circular Economy of Metals: Towards a Sustainable Societal Metabolism,https://www.coursera.org/learn/circular-economy-metals,Physical Science and Engineering,Environmental Science and Sustainability,Ester van der Voet,"Metals are present everywhere around us and are one of the major materials upon which our economies are built. Economic development is deeply coupled with the use of metals. During the 20th century, the variety of metal applications in society grew rapidly. In addition to mass applications such as steel in buildings and aluminium in planes, more and more different metals are in use for innovative technologies such as the use of the speciality metal indium in LCD screens.  

A lot of metals will be needed in the future. It will not be easy to provide them. In particular in emerging economies, but also in industrialised countries, the demand for metals is increasing rapidly. Mining and production activities expand, and with that also the environmental consequences of metal production.  

In this course, we will explore those consequences and we will also explore options to move towards a more sustainable system of metals production and use. We will focus especially on the options to reach a circular economy for metals: keeping metals in use for a very long time, to avoid having to mine new ones.  

This course is based on the reports of the Global Metals Flows Group of the International Resource Panel that is part of UN Environment.  An important aspect that will come back each week, are the UN Sustainable Development Goals, the SDGs. Those are ambitious goals to measure our progress towards a more sustainable world. We will use the SDGs as a touching stone for the assessment of the metals challenge, as well as the solutions we present in this course to solve that challenge.",5586.0,8480.0,4.7,78.0
"Act on Climate: Steps to Individual, Community, and Political Action",https://www.coursera.org/learn/act-on-climate,Physical Science and Engineering,Environmental Science and Sustainability,Michaela Zint,"Are you concerned about climate change? Would you like to learn how to address and respond to this challenge? If so, this course is for you.  

Act on Climate: Steps to Individual, Community, and Political Action is intended to help learners understand, address and respond to climate change as individuals and in partnership with their communities and political leaders. The course focuses on how to translate learning into action on climate change in the areas of food, energy, transportation and the built environment (cities). This course was co-developed and taught by Michaela Zint, Professor of Environmental Education and Communication, and University of Michigan Students. A range of academic climate change experts and professional leaders are featured.

As a result of completing this course, you will be able to:

1) Identify individual, community, and political actions you can engage in to effectively address and respond to climate change.

2) Describe how insights from the social sciences can be employed to create change at the individual, community, and political levels.

3) Feel empowered to continue to influence how you, your community, and political leaders address and respond to climate change.

Use #UMichActonClimate on social media to share what you're doing and connect with other learners.",13642.0,25759.0,4.8,140.0
Advanced Functional Ceramics,https://www.coursera.org/learn/advanced-functional-ceramics,Physical Science and Engineering,Environmental Science and Sustainability,Lee Kyu Hyoung,"To realize next-generation devices, novel ceramic materials with ultimate physical and chemical properties are required. For this purpose, a few intrinsic and extrinsic approaches for the development of new functional ceramics are proceeding. This course provides the fundamentals of functional ceramics and the materials design rules for developing advanced ceramics with ultimate physical and chemical properties.",3955.0,3581.0,4.7,123.0
Algae Biotechnology,https://www.coursera.org/learn/algae-biotechnology,Physical Science and Engineering,Environmental Science and Sustainability,"Dr. Stephen Mayfield, Ira ""Ike"" Levine","For decades, researchers have been studying microalgae to understand their biological functions and how we can use technology to harness algae’s power to create a wide range of commercial products. 

In this course, we will cover how synthetic biology, genetic engineering, and metabolic engineering is used in algae biotechnology, and also examine the current state of algae biotechnology research and tools.

We’ll also explore some of the common bio-products we can make from algae, and take a look at some real-world algae companies that are using algae biotechnology to create products consumers can buy today. 

This course is part of a series of courses produced by the Algae Technology Educational Consortium and UC San Diego with funding from the Algae Foundation, National Renewable Energy Lab, and the U.S. Department of Energy.",7998.0,14077.0,4.8,370.0
Análisis de Sistemas de Transporte,https://www.coursera.org/learn/analisis-sistemas-de-transporte,Physical Science and Engineering,Environmental Science and Sustainability,"Ricardo Giesen, Felipe Delgado, Juan de Dios Ortuzar","Este curso es una introducción a las metodologías fundamentales para la gestión, planificación y evaluación de sistemas de transporte de pasajeros. Se aprenderán técnicas usadas en la práctica para estimar la demanda, modelar la operación y realizar análisis económicos de proyectos de transporte. Algunos temas estudiados incluyen: modelo clásico de transporte de cuatro etapas, modelo de distribución de viajes gravitacional, modelo de elección discreta logit, teoría de colas, análisis de redes, paradoja de Braess, tarificación por congestión y evaluación social de proyectos de transporte.",25455.0,8738.0,4.7,724.0
Aprendizajes en Ingeniería y Agricultura con Arduino: Construcción y automatización de un invernadero,https://www.coursera.org/learn/aprendizajes-en-ingeniera-y-agricultura,Physical Science and Engineering,Environmental Science and Sustainability,"Paola Carmona Castañeda, Cristian David Dallos Loaiza, Julio Cesar Garcia Alvarez","En la sociedad actual con un ritmo acelerado de vida, mantener las plantas, cultivos o huertos domésticos resulta ser una tarea difícil, debido a que los suelos se secan por falta de hidratación o exceso de ella. Para evitar esto, este curso, enseñará a diseñar, construir e implementar un sistema de riego automatizado que una la ingeniería, la agricultura y las ciencias de la computación en un proyecto que permita solucionar esta problemática.

En el curso utilizarás Arduino, el cual permite trabajar en múltiples plataformas como Mac, Windows, Linux; tiene un entorno de programación simplificado, es de código libre (Open Source), permite flexibilidad para la conexión de elementos de entrada como sensores (nivel, humedad, temperatura, etc.) y elementos de salida como actuadores (motores, electrobombas, etc.), con el cual realizaras una aplicación real donde se automatizará un invernadero a escala.

En el curso encontrarás videos donde podrás ver como armar el invernadero, como descargar Arduino, el paso a paso para desarrollar el código, como programar, hacer la conexión y ensamblar todos los elementos, como construir un sistema de riego para el hogar entre otros; Además, encontraras lecturas que te llevaran paso a paso en el proceso, ilustraciones, listada de materiales que debes conseguir y herramientas que le facilitaran como estudiante, realizar el armado de un invernadero a escala y programar su automatización. Todos los elementos que requieres son de fácil adquisición en tiendas de electrónica, ferreterías y en el comercio electrónico para todos los países. 

Al final del curso se espera que puedas tener un sistema de riego automatizado funcional para tu hogar, oficina o cualquier entorno al que desees adaptarlo; además de desarrollar nuevas formas de aprender, crear, investigar, aprovechar las tecnologías de la información, comunicaciones y trabajo autónomo.

¡Esperamos que lo disfrutes!",,5950.0,4.7,11.0
Ash-Related Operational Challenges in Energy Utilization of Sustainable Fuels,https://www.coursera.org/learn/sustainability-fuels-ash-chemistry-deposits-corrosion-additives,Physical Science and Engineering,Environmental Science and Sustainability,Flemming Jappe Frandsen,"The basic idea behind this MOOC, is to present recent data on fuel characterization, slagging, fouling, corrosion, and trace element transformations, in a course that can be readily provided for students and industry people.

This ensures understanding and application of the research, and provides the students and industry with a forum for discussion of the very latest research results, as well as feedback from industry to the research group at DTU, on important new research subjects in the field.

The specific aim of the MOOC, is that students will be able to;
Explain basic physical and chemical differences between solid fuels like coal, biomass, waste etc., be able to characterize solid fuels, and to interpret fuel analyses of them
Interpret and utilize data from advanced fuel and ash analyses (SEM, DTA/TGA, chemical fractionation, ash melting temperatures)
Describe chemically and physically, how critical ash-forming elements are released to the gas phase, the mechanisms for formation of aerosols and fly ash particles, and explain how ash is transported from bulk gas to heat transfer surfaces
Quantify the processes of deposit build-up, sintering and shedding
Explain the fundamentals of high-temperature corrosion in thermal fuel conversion systems
Can calculate viscosities as a function of temperature and composition, temperature profiles in a deposit, rates of deposit build-up and sintering, as well as porosity changes vs. time.",1605.0,2622.0,4.8,23.0
Biosphere 2 Science for the Future of Our Planet,https://www.coursera.org/learn/biosphere-science-future,Physical Science and Engineering,Environmental Science and Sustainability,"Kevin E. Bonine, PhD","Are you ready to take an incredible journey around Planet Earth and beyond? In this course, you will delve into a world of innovative science and learn from a team of Biosphere 2 and University of Arizona researchers. From plants and soils, to oceans and rainforests, the Moon, Mars, and more, this course is an exciting opportunity for anyone interested in science and Earth stewardship. 

Learn how a unique research station in the Arizona desert is used to investigate big ideas, such as how Earth systems interact, the effects of climate change, and what our future holds. Go back in time thousands of years with information locked in ancient trees, and travel into an imagined future where humans become Martians. Collect and analyze your own scientific data, discuss big questions with participants from around the world, and gain novel insights and understanding about our wonderfully unique planet.",4893.0,4490.0,4.9,100.0
CAD/BIM技術與應用專項課程（CAD/BIM Specialization),https://www.coursera.org/learn/cad-bim-shiwu,Physical Science and Engineering,Environmental Science and Sustainability,謝尚賢,"本課程專題之設計乃與世界知名的Arup工程顧問公司合作，讓學員透過解決工程實務問題的過程，一方面能複習與綜整本系列課程中所學到的知識與技能，另一方面能更理解CAD/BIM在工程實務的運用上，可能遭遇的挑戰與相對應的解決方案，並期能激發學員之創意，讓本系列課程之學習成果更加豐富。修習完此課程之學員，將成為具有職場競爭力的初階CAD/BIM專業人才。本課程會先說明要學員解決的工程實務問題，及解決問題之階段性任務，接著便由學員逐步完成各階段性任務及提出期中報告，最後於期末時針對所完成的基本解決方案與創意加值部份，提出一期末報告。每期的頂尖學員，將可獲得提送履歷表給Arup公司的難得機會。

您可以單獨註冊此門課程，不需要完成專項課程中的所有課程才能加入。但因本門課縱整了專項課程中所學的知識與技術，因此建議學習者需具備專項課程的課綱中所列的知識與技術，否則難以順利地完成本課程的課程項目。
CAD/BIM技術與應用 專項課程： https://www.coursera.org/specializations/cad-bim-jianmo",,1690.0,,
