name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
3-Axis Machining with Autodesk Fusion 360,https://www.coursera.org/learn/3-axis-machining-autodesk-fusion-360,Physical Science and Engineering,Mechanical Engineering,Autodesk,"As our machining geometry gets more complicated, Autodesk® Fusion 360™ is up to the task!  With a host of standard and adaptive toolpaths we can rapidly remove material from even the most complicated 3d parts. In this course, we explore how to rough and finish geometry that requires tool motion in X, Y, and Z simultaneously, learning how to finish even the finest of details. We’ll wrap up this course by creating a full CNC program for a part, simulating it, and exporting it to G-code.

Want to take your learning to the next level? Complete the Autodesk CAD/CAM for Manufacturing Specialization, and you’ll unlock an additional Autodesk Credential as further recognition of your success! The Autodesk Credential comes with a digital badge and certificate, which you can add to your resume and share on social media platforms like LinkedIn, Facebook, and Twitter. Sharing your Autodesk Credential can signal to hiring managers that you’ve got the right skills for the job and you’re up on the latest industry trends like generative design.

Looking for Autodesk Fusion 360 certification prep courses? Check out additional learning resources to help you uplevel your skills: https://www.autodesk.com/learning",7224.0,7178.0,4.9,180.0
3D CAD Application,https://www.coursera.org/learn/3d-cad-application,Physical Science and Engineering,Mechanical Engineering,康仕仲,"Do you want to obtain all the necessary skills of a 3D modeler? Do you want to know how an engineer develop a building model in details? The “3D CAD Application” course, the second course of the new specialization, is coming! 

After finishing this course: You will be able to know how to use the SketchUp’s advanced functions by creating 3D building models. You will be able to develop a building as an engineer.
Let’s start the learning journey!",14417.0,13513.0,4.9,123.0
3D CAD Fundamental,https://www.coursera.org/learn/3d-cad-fundamental,Physical Science and Engineering,Mechanical Engineering,康仕仲,"There have many three-dimensional shape of the object in your brain that are wanted to share, but do not know how to express? How to ""sketch"" the three-dimensional image in your mind? 3D modeling technology can help us construct the most intuitive and understandable three-dimensional model. The use of floor plan interpret the three-dimensional object process－the most direct and effective expression of our ideas. We have designed many paradigms so that people can quickly understand the logic of using 3D CAD software Sketchup and drawing skills, from introduction to advanced, and introduce SketchUp 3D modeling technologies. After completing ""3D CAD Fundamental"", it is no longer difficult to draw ideas that are beyond imagination with 3D modeling technology! The goal of this course is to construct a three-dimensional model, with the computer as the main teaching material, to enrich the fun paradigm and the complete drawing process. Step-by-step teach you how to use Sketchup's 3D modeling software technology. With the completion of ""3D CAD Fundamental"", you will be able to realize the 3D objects that exist in the imagination through 3D modeling!",47139.0,174830.0,4.7,466.0
3D Model Creation with Autodesk Fusion 360,https://www.coursera.org/learn/3d-model-creation-fusion-360,Physical Science and Engineering,Mechanical Engineering,Autodesk,"Design is the first phase in the digital manufacturing process. In this course, through a series of lectures and hands-on lessons, we’ll examine a designer’s approach to the design and manufacturing process—from concept to 3D model. We’ll start by applying design thinking to understand user needs, and then we’ll explore design criteria as we dive deeper into Autodesk® Fusion 360™ sketching, modeling, rendering, and documentation features.

Looking for Autodesk Fusion 360 certification prep courses? Check out additional learning resources to help you uplevel your skills: https://www.autodesk.com/learning",25000.0,14292.0,4.8,742.0
Advanced Engineering Systems in Motion: Dynamics of Three Dimensional (3D) Motion,https://www.coursera.org/learn/motion-and-kinetics,Physical Science and Engineering,Mechanical Engineering,"Dr. Wayne Whiteman, PE","This course is an advanced study of bodies in motion as applied to engineering systems and structures.  We will study the dynamics of rigid bodies in 3D motion.  This will consist of both the kinematics and kinetics of motion.  Kinematics deals with the geometrical aspects of motion describing position, velocity, and acceleration, all as a function of time.  Kinetics is the study of forces acting on these bodies and how it affects their motion.

---------------------------
Recommended Background:

To be successful in the course you will need to have mastered basic engineering mechanics concepts and to have successfully completed my course entitled Engineering Systems in Motion: Dynamics of Particles and Bodies in 2D Motion.”   We will apply many of the engineering fundamentals learned in those classes and you will need those skills before attempting this course.

---------------------------
Suggested Readings:

While no specific textbook is required, this course is designed to be compatible with any standard engineering dynamics textbook.  You will find a book like this useful as a reference and for completing additional practice problems to enhance your learning of the material.

---------------------------
The copyright of all content and materials in this course are owned by either the Georgia Tech Research Corporation or Dr. Wayne Whiteman. By participating in the course or using the content or materials, whether in whole or in part, you agree that you may download and use any content and/or material in this course for your own personal, non-commercial use only in a manner consistent with a student of any academic course. Any other use of the content and materials, including use by other academic universities or entities, is prohibited without express written permission of the Georgia Tech Research Corporation. Interested parties may contact Dr. Wayne Whiteman directly for information regarding the procedure to obtain a non-exclusive license.",33049.0,10033.0,4.8,292.0
Advanced Manufacturing Enterprise,https://www.coursera.org/learn/advanced-manufacturing-enterprise,Physical Science and Engineering,Mechanical Engineering,Sara Behdad,"Enterprises that seek to become proficient in advanced manufacturing must incorporate manufacturing management tools and integrate data throughout the supply chain to be successful. This course will make students aware of what a digitally connected enterprise is, as they learn about the operational complexity of enterprises, business process optimization and the concept of an integrated product-process-value chain. 

Students will become acquainted with the available tools, technologies and techniques for aggregation and integration of data throughout the manufacturing supply chain and entire product life-cycle. They will receive foundational knowledge to assist in efforts to facilitate design, planning, and production scheduling of goods and services by applying product life cycle data.  

Main concepts of this course will be delivered through lectures, readings, discussions and various videos. 

This is the sixth course in the Digital Manufacturing & Design Technology specialization that explores the many facets of manufacturing’s “Fourth Revolution,”  aka Industry 4.0, and features a culminating project involving creation of a roadmap to achieve a self-established DMD-related professional goal. To learn more about the Digital Manufacturing and Design Technology specialization, please watch the overview video by copying and pasting the following link into your web browser: https://youtu.be/wETK1O9c-CA",14603.0,16220.0,4.6,608.0
Advanced Manufacturing Process Analysis,https://www.coursera.org/learn/advanced-manufacturing-process-analysis,Physical Science and Engineering,Mechanical Engineering,Rahul Rai,"Variability is a fact of life in manufacturing environments, impacting product quality and yield. Through this course, students will learn why performing advanced analysis of manufacturing processes is integral for diagnosing and correcting operational flaws in order to improve yields and reduce costs.   

Gain insights into the best ways to collect, prepare and analyze data, as well as computational platforms that can be leveraged to collect and process data over sustained periods of time. Become better prepared to participate as a member of an advanced analysis team and share valuable inputs on effective implementation.    

Main concepts of this course will be delivered through lectures, readings, discussions and various videos. 

This is the fourth course in the Digital Manufacturing & Design Technology specialization that explores the many facets of manufacturing’s “Fourth Revolution,”  aka Industry 4.0, and features a culminating project involving creation of a roadmap to achieve a self-established DMD-related professional goal. To learn more about the Digital Manufacturing and Design Technology specialization, please watch the overview video by copying and pasting the following link into your web browser: https://youtu.be/wETK1O9c-CA",20686.0,8703.0,4.6,1138.0
Applications in Engineering Mechanics,https://www.coursera.org/learn/engineering-mechanics-statics-2,Physical Science and Engineering,Mechanical Engineering,"Dr. Wayne Whiteman, PE","This course applies principles learned in my course “Introduction to Engineering Mechanics” to analyze real world engineering structures.  You will need to have mastered the engineering fundamentals from that class in order to be successful in this course offering.  This course addresses the modeling and analysis of static equilibrium problems with an emphasis on real world engineering systems and problem solving.  

---------------------------
Recommended Background:

You will need to have successfully completed my earlier course “Introduction to Engineering Mechanics” in order to be successful in this course.

---------------------------
The copyright of all content and materials in this course are owned by either the Georgia Tech Research Corporation or Dr. Wayne Whiteman. By participating in the course or using the content or materials, whether in whole or in part, you agree that you may download and use any content and/or material in this course for your own personal, non-commercial use only in a manner consistent with a student of any academic course. Any other use of the content and materials, including use by other academic universities or entities, is prohibited without express written permission of the Georgia Tech Research Corporation. Interested parties may contact Dr. Wayne Whiteman directly for information regarding the procedure to obtain a non-exclusive license.",62733.0,16390.0,4.8,1097.0
Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,https://www.coursera.org/learn/autodesk-autocad-design-drafting,Physical Science and Engineering,Mechanical Engineering,Autodesk,"Prove to potential employers that you’re up to the task by becoming an Autodesk Certified Professional. This online course from Autodesk prepares you by offering an overview of skills that match what is covered in the Autodesk Certified Professional: AutoCAD for Design and Drafting exam. The video lessons are structured to match the exam’s objective domains and follow the typical workflow and features of the AutoCAD software, including sections on drawing and organizing objects, drawing with accuracy, advanced editing functions, layouts, printing, and outputs, annotation techniques, and reusable content and drawing management. In the course, you will create drawing objects, manage layers, apply object snaps, and work with the User Coordinate System. You’ll edit objects and apply rotation and scale, array techniques, grip editing, offsets, fillet and chamfer, and trim and extend. You will also gain an understanding of exam topics such as layouts and viewports, output formats, and drawing management. Brush up on markup tools, hatch and fill, text, tables, multileaders, dimensioning, and much more.

About the Autodesk Certified Professional: AutoCAD for Design and Drafting Exam:
The Autodesk Certified Professional: AutoCAD for Design and Drafting exam is the recognized standard for measuring your skills and knowledge in AutoCAD. Certification at this level demonstrates a comprehensive skill set that provides an opportunity for individuals to stand out in a competitive professional environment. This type of experience typically comes from having worked with the software on a regular basis for at least 2 years, equivalent to approximately 400 hours (minimum) - 1200 hours (recommended), of real-world Autodesk software experience. Ready to take the exam? Schedule to take the exam online or find a testing center near you on pearsonvue.com/autodesk.

Looking for more skill-building courses? Check out Autodesk’s additional learning resources to help with your learning journey: https://www.autodesk.com/learning",125572.0,69758.0,4.7,2314.0
Autodesk Certified Professional: Civil 3D for Infrastructure Design Exam Prep,https://www.coursera.org/learn/autodesk-civil-3d-infrastructure-design,Physical Science and Engineering,Mechanical Engineering,Autodesk,"Prove to potential employers that you’re up to the task by becoming an Autodesk Certified Professional. This online course from Autodesk prepares you by offering an overview of skills that match what is covered in the Autodesk Certified Professional: Civil 3D for Infrastructure Design exam. The video lessons are structured to match the exam’s objective domains and follow the typical workflow and features of the Autodesk® AutoCAD® Civil 3D®  software, including sections on points, parcels, and surveying, surfaces and grading, alignments and profiles, corridors and sections, pipe networks, and plan production and data management. In the course, you'll review advanced infrastructure topics. You’ll work with points and point groups, parcels and parcel styles, and the surveying tools. You'll also gain an understanding of exam topics such as TIN surfaces and volume surfaces, profile views, and both pipe and pressure networks. Brush up on feature lines, sites and grading models, corridors, note label styles, data shortcuts, and much more.

The provided Civil 3D dataset allows you to follow along with the lessons and try out methods and workflows. Practice exercises and challenge assignments help you practice and review the exam topics on your own. Finally, you can test your knowledge by taking one of the full practice exams that accompany the course.

About the Autodesk Certified Professional: Civil 3D for Infrastructure Design exam: 
The Autodesk Certified Professional: Civil 3D for Infrastructure Design exam is the recognized standard for measuring your knowledge in Civil 3D. Certification at this level demonstrates a comprehensive skill set that provides an opportunity for individuals to stand out in a competitive professional environment. This type of experience typically comes from having worked with the software on a regular basis for at least 2 years, equivalent to approximately 400 hours (minimum) - 1200 hours (recommended), of real-world Autodesk software experience. Ready to take the exam? Schedule to take the exam online or find a testing center near you on pearsonvue.com/autodesk.

Looking for more skill-building courses? Check out Autodesk’s additional learning resources to help with your learning journey: https://www.autodesk.com/learning",32487.0,21278.0,4.7,326.0
