name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
Advanced Capstone Spacecraft Dynamics and Control Project,https://www.coursera.org/learn/advanced-capstone-spacecraft-dynamics-control-project,Physical Science and Engineering,Physics and Astronomy,Hanspeter Schaub,"This capstone course is the 3rd and final course of the specialization Advanced Spacecraft Dynamics and Control. It assumes you have completed the prior courses on ""Attitude Control with Momentum Exchange Devices"" and ""Analytical Mechanics for Spacecraft Dynamics"".  This project course investigates the dynamics of a complex spacecraft system where there is a rigid hub onto which a hinged panel is attached.  This simulates a spacecraft with a time varying geometry.

First, the three-dimensional kinematics of this system are explored.  Analytical relationships of the body and panel position and velocity states are derived, and the center of mass properties of this system are explored.

Next, a simplified system is used to use Lagrange's equations of motion to predict the dynamical response.  With these differential equations we are then able to apply attitude control torques and investigate the rotational response if the spacecraft hub has a spring-hinged panel attached.  Two open-loop control torque solutions are investigated.  The classical minimum time bang-bang control solution is applied first, illustrating how such a control can yield unwanted panel oscillations.  Finally, a filtered version of the bang-bang control is applied to illustrated how the panel oscillations can be significantly reduced at the cost of a slightly longer nominal maneuver time.",,,,
Analytical Mechanics for Spacecraft Dynamics,https://www.coursera.org/learn/analytical-mechanics-spacecraft-dynamics,Physical Science and Engineering,Physics and Astronomy,Hanspeter Schaub,"This course is part 2 of the specialization Advanced Spacecraft Dynamics and Control. It assumes you have a strong foundation in spacecraft dynamics and control, including particle dynamics, rotating frame, rigid body kinematics and kinetics.  The focus of the course is to understand key analytical mechanics methodologies to develop equations of motion in an algebraically efficient manner.  The course starts by first developing D’Alembert’s principle and how the associated virtual work and virtual displacement concepts allows us to ignore non-working force terms.  Unconstrained systems and holonomic constrains are investigated.  Next Kane's equations and the virtual power form of D'Alembert's equations are briefly reviewed for particles.

Next Lagrange’s equations are developed which still assume a finite set of generalized coordinates, but can be applied to multiple rigid bodies as well.  Lagrange multipliers are employed to apply Pfaffian constraints.  

Finally, Hamilton’s extended principle is developed to allow us to consider a dynamical system with flexible components.  Here there are an infinite number of degrees of freedom.  The course focuses on how to develop spacecraft related partial differential equations, but does not study numerically solving them.  The course ends comparing the presented assumed mode methods to classical final element solutions.",,6531.0,,
Analyzing Thermodynamics Processes using Wolfram notebook,https://www.coursera.org/learn/analyzing-thermodynamics-processes,Physical Science and Engineering,Physics and Astronomy,Ashish Dikshit,"In this 1-hour long project-based course, you will learn to compute & analysis of thermodynamic processes viz  Adiabatic process ,Isobaric process, Isochoric process, Isothermal and polytropic process.This project gives you easy access to the invaluable learning techniques used by experts in Physics. We’ll learn about the how the brain uses two very different learning modes and how it encapsulates (“chunks”) information. We’ll cover through the best practices shown by research to be most effective in helping you master tough topics of physics.Using these approaches, no matter what your skill levels in topics you would like to master, you can change your thinking and change your attitude towards physics.Classical thermodynamics considers three main kinds of thermodynamic process: (1) changes in a system, (2) cycles in a system, and (3) flow processes.(1) A change in a system is defined by a passage from an initial to a final state of thermodynamic equilibrium. In classical thermodynamics, the actual course of the process is not the primary concern, and often is ignored. A state of thermodynamic equilibrium endures unchangingly unless it is interrupted by a thermodynamic operation that initiates a thermodynamic process.(2) A cyclic process carries the system through a cycle of stages, starting and being completed in some particular state. The descriptions of the staged states of the system are not the primary concern.(3) Defined by flows through a system, a flow process is a steady state of flows into and out of a vessel with definite wall properties. The internal state of the vessel contents is not the primary concern.",,,,
Analyzing the Universe,https://www.coursera.org/learn/analyze,Physical Science and Engineering,Physics and Astronomy,Dr. Terry A. Matilsky,"Using publicly available data from NASA of actual satellite observations of astronomical  x-ray sources, we explore some of the mysteries of the cosmos, including neutron stars, black holes, quasars and supernovae.  We will analyze energy spectra and time series data to understand how these incredible objects work.  We utilize an imaging tool called DS9 to explore the amazing diversity of astronomical observations that have made x-ray astronomy one of the most active and exciting fields of  scientific investigation in the past 50 years.

Each week we will explore a different facet of x-ray astronomy.  Beginning with an introduction to the nature of image formation, we then move on to examples of how our imaging program, DS9,  can aid our understanding of real satellite data.  You will using the actual data that scientists use when doing their work.  Nothing is ""canned"".  You will be able to appreciate the excitement that astronomers felt when they made their important discoveries concerning periodic binary x-ray sources, supernovae and their remnants, and extragalactic sources that have shaped our understanding of cosmology.",15933.0,7155.0,4.8,216.0
Archaeoastronomy,https://www.coursera.org/learn/archaeoastronomy,Physical Science and Engineering,Physics and Astronomy,Giulio Magli,"Archaeoastronomy is the “science of stars and stones”.  It is an interdisciplinary science in between architecture, archaeology, and astronomy. It studies the relationships between the ancient monuments and the sky, in order to gain a better understanding of the ideas of the architects of the past and of their religious and symbolic world. The course provides the first complete, easy introduction to this fascinating discipline.

During the course, many spectacular ancient sites of archaeology – such as Stonehenge in England, Giza and Karnak in Egypt, Chichen Itzá in the Yucatan, Macchu Picchu in Peru and the Pantheon in Rome – will be visited and the fascinating events occurring there in special days of the year (such as solstices, equinoxes, or the day of the foundation of Rome) will be shown and explained. The course also provides the necessary background on Astronomy with the naked eye and a general introduction to the role of Astronomy in religion and in the management of power among ancient cultures.",41039.0,15520.0,4.5,1259.0
Astro 101: Black Holes,https://www.coursera.org/learn/black-holes-astro-101,Physical Science and Engineering,Physics and Astronomy,Sharon Morsink,"What is a black hole? Do they really exist? How do they form? How are they related

to stars? What would happen if you fell into one? How do you see a black hole if they
emit no light? What’s the difference between a black hole and a really dark star?
Could a particle accelerator create a black hole? Can a black hole also be a worm
hole or a time machine?

In Astro 101: Black Holes, you will explore the concepts behind black holes. Using the theme of black holes, you will learn the basic ideas of astronomy, relativity, and quantum physics.

After completing this course, you will be able to:

• Describe the essential properties of black holes.
• Explain recent black hole research using plain language and appropriate analogies.
• Compare black holes in popular culture to modern physics to distinguish science fact from science fiction.
• Describe the application of fundamental physical concepts including gravity, special and general relativity, and quantum mechanics to reported scientific observations.
• Recognize different types of stars and distinguish which stars can potentially become black holes.
• Differentiate types of black holes and classify each type as observed or theoretical.
• Characterize formation theories associated with each type of black hole.
• Identify different ways of detecting black holes, and appropriate technologies associated with each detection method.
• Summarize the puzzles facing black hole researchers in modern science.",35342.0,48722.0,4.8,934.0
AstroTech: The Science and Technology behind Astronomical Discovery,https://www.coursera.org/learn/astronomy-technology,Physical Science and Engineering,Physics and Astronomy,"Andy Lawrence, Catherine Heymans","""How do they know that?""

Modern astronomy has made some astonishing discoveries - how stars burn and how black holes form; galaxies from the edge of the universe and killer rocks right next door; where the elements come from and how the expanding universe is accelerating. But how do we know all that? The truth is that astronomy would be impossible without technology, and every advance in astronomy is really an advance in technology. But the technology by itself is not enough. We have to apply it critically with a knowledge of physics to unlock the secrets of the Universe.

Each week we will cover a different aspect of Astronomical technology, matching each piece of technology to a highlight science result. We will explain how the technology works, how it has allowed us to collect astronomical data, and, with some basic physics, how we interpret the data to make scientific discoveries.

The class will consist of video lectures, weekly quizzes, and discussion forums. Each week there will be five videos, totalling approximately 40 minutes. They will be in a regular pattern - a short introduction, an example science story, an explanation of the key technology area, a look at how the technology is used in practice, and finally a look at what the future may hold.",16251.0,8907.0,4.7,1018.0
Astrobiology and the Search for Extraterrestrial Life,https://www.coursera.org/learn/astrobiology,Physical Science and Engineering,Physics and Astronomy,Charles Cockell,Learn about the origin and evolution of life and the search for life beyond the Earth.,82764.0,15065.0,4.8,2479.0
Astrobiology: Exploring Other Worlds,https://www.coursera.org/learn/astrobiology-exploring-other-worlds,Physical Science and Engineering,Physics and Astronomy,Chris Impey,"How are astronomers approaching their search for life in the universe? What have we learned from the surge of exoplanets discoveries? How likely is it that Earth does not host the only life in the Universe? In this course we explore the field of astrobiology, an emerging multidisciplinary field. Progress in astrobiology is driven by telescopes on the ground and in space, and by new insights on how life emerged on Earth and its diversity. The topics in this course range from the science of how exoplanets are detected, to the chemistry that supports the argument that the ingredients for life are common in the Universe.  

We will follow the analyses of experts in chemistry, astronomy, geology and archaeology to build a strong foundation of understanding.  By the final assignment, students will be equipped with the knowledge necessary to identify what makes a planet habitable, and how likely it is that life exists there. Students will graduate from this course informed about one of the most exciting fields in all of science, and ready to discuss the current exoplanet news stories and discoveries.",23833.0,33196.0,4.9,386.0
Astronomy: Exploring Time and Space,https://www.coursera.org/learn/astro,Physical Science and Engineering,Physics and Astronomy,Chris Impey,This course is designed for anyone who is interested in learning more about modern astronomy. We will help you get up to date on the most recent astronomical discoveries while also providing support at an introductory level for those who have no background in science.,202758.0,113607.0,4.8,3356.0
Attitude Control with Momentum Exchange Devices,https://www.coursera.org/learn/attitude-control-momentum-exchange-devices,Physical Science and Engineering,Physics and Astronomy,Hanspeter Schaub,"This course is part 1 of the specialization Advanced Spacecraft Dynamics and Control. It is a direct continuation of the Coursera specialization Spacecraft Dynamics and Control.  This first course focuses on nonlinear attitude feedback control using a range of angular momentum devices.  The course provides a comprehensive review of prerequisite material.  Next it develops equations of motion of a spacecraft with momentum exchange devices such as reaction wheels (RWs), control momentum gyroscopes (CMGs) and variable speed control moment gyroscopes (VSCMGs). 

The course discusses developing a complex spacecraft simulation with a number VSCMGs and how to approach debugging such complex software.  The use of the work/energy theorem is discussed to assist with debugging the simulation by validating angular momentum, energy, changes in momentum and mechanical power. 

Further, the use of null motion is explored to reconfigure the attitude control devices to avoid singularities and gimbal lock.  The redundancy is exploited to seek control solutions that avoid classical CMG singularities.",,2275.0,,
Big History - From the Big Bang until Today,https://www.coursera.org/learn/bighistory,Physical Science and Engineering,Physics and Astronomy,Esther Quaedackers,"Welcome to this Big History course! In this course, renowned scientists and scholars from the University of Amsterdam and beyond will take you on a journey from the Big Bang until today while addressing key questions in their fields. After completing this journey you will have developed a better understanding of how you and everything around you became the way they are today. You will also have gained an understanding of the underlying mechanisms that have helped shape the history of everything and how they wil help  shape the future. Last but not least, you will have developed the skill to use this knowledge to put smaller subjects into a bigger perspective with the aid of the little big history approach, which can help you develop some new ideas on these smaller subjects.",32197.0,12391.0,4.6,225.0
Conceptos y Herramientas para la Física Universitaria,https://www.coursera.org/learn/fisica-universitaria,Physical Science and Engineering,Physics and Astronomy,"Dr. Genaro Zavala Enríquez, Ing. Rodolfo Fernández de Lara Hadad, Ing. José Rodrigo  Salmón Folgueras","Este curso provee al estudiante con conceptos y herramientas matemáticas para modelar problemas en física, que al aplicar podrá enfrentar con éxito los cursos de física universitarios.

Así pues, la filosofía de este curso consiste en cubrir temas conceptuales relativos a la Física y desarrollar tu capacidad de aprender y aplicarlos en tu vida profesional.

El curso se aborda en dos fases a través de las cuales el alumno:

- Aprenderá a aplicar el cálculo diferencial e integral para interpretar y modelar la cinemática de una partícula en una dimensión,
- Aprenderá el manejo de cantidades físicas vectoriales en forma gráfica y analítica en dos y tres dimensiones.",39658.0,41093.0,4.6,402.0
Confronting The Big Questions: Highlights of Modern Astronomy,https://www.coursera.org/learn/astronomy,Physical Science and Engineering,Physics and Astronomy,Adam Frank,An introduction to modern astronomy's most important questions. The four sections of the course are Planets and Life in The Universe; The Life of Stars; Galaxies and Their Environments; The History of The Universe.,21145.0,8091.0,4.6,451.0
Control of Nonlinear Spacecraft Attitude Motion,https://www.coursera.org/learn/nonlinear-spacecraft-attitude-control,Physical Science and Engineering,Physics and Astronomy,Hanspeter Schaub,"This course trains you in the skills needed to program specific orientation and achieve precise aiming goals for spacecraft moving through three dimensional space. First, we cover stability definitions of nonlinear dynamical systems, covering the difference between local and global stability. We then analyze and apply Lyapunov's Direct Method to prove these stability properties, and develop a nonlinear 3-axis attitude pointing control law using Lyapunov theory. Finally, we look at alternate feedback control laws and closed loop dynamics. 

After this course, you will be able to...

* Differentiate between a range of nonlinear stability concepts
* Apply Lyapunov’s direct method to argue stability and convergence on a range of dynamical systems
* Develop rate and attitude error measures for a 3-axis attitude control using Lyapunov theory
* Analyze rigid body control convergence with unmodeled torque",8217.0,5777.0,4.7,61.0
Crash couse in Gnuplot,https://www.coursera.org/learn/crash-couse-in-gnuplot,Physical Science and Engineering,Physics and Astronomy,Arthur Prado,"By the end of this project, you will be able to edit and plot your own functions and data points with Gnuplot. You will be familiar with the basic utilization of the command-driven plotting of  Gnuplot, making it easier to learn any other skill in Gnuplot. Plotting  your functions, data points and even automatizing the  production of many graphics will not be a challenge anymore.",,,,
