name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
(Non) Status quo Attitudes with NetLogo,https://www.coursera.org/learn/nonstatusquo-attitudes-netlogo,Physical Science and Engineering,Research Methods,Danilo Oliveira Vaz,"Have you ever wondered what is behind different cultural traits and attitudes towards the status quo? Or more broadly, what influences the Zeitgeist of a society? Generally speaking, when it comes to changing (or not) the current spirit and state of affairs of a given society or community, some people show themselves as idealists, and they can even inspire others. At the same time, some other people are traditionalists, and some are just neutral about how things are. In this guided-project you will develop an agent-based model using NetLogo that tries to use these personas to touch and generate insights around theses questions. And while doing so, you will gain some hands-on knowledge on model building and debugging.

Note: This project works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",,,,
Análises de Rede com Kumu,https://www.coursera.org/learn/analises-rede,Physical Science and Engineering,Research Methods,Danilo Oliveira Vaz,"Neste curso de aproximadamente 1.5 horas, com base em projeto, você irá criar um grande mapa de rede utilizando dados reais de bolsistas de uma instituição brasileira. Com essa rede mapeada, você irá fazer análises de métricas para entender algumas de suas principais características estruturais, bem como fazer uma detecção de comunidades existentes nessa rede. Os resultados dessas análises serão embutidos no mapa através de visualizações personalizadas que serão, por fim, compiladas em uma apresentação de slides interativa.

Nota: Este curso funciona melhor para aprendizes da região da América do Norte. No momento, estamos trabalhando para proporcionar a mesma experiência em outras regiões.",,,,
Being a researcher (in Information Science and Technology),https://www.coursera.org/learn/being-researcher,Physical Science and Engineering,Research Methods,Carlo Ghezzi,"The course provides a broad view of how to become and progress as a researcher. It spans over a wide range of topics, from the historical development of scientific thought to research methodology, to the pragmatics of publication, research funding, evaluation, and promotion in a researcher’s career. It also stresses the ethical aspects of research. Although the course speaks about scientific research in general, it especially focuses on the field on Information and Communication Science and Technology.

The course is mainly directed to students engaging in research and beginning researchers. It may also be of interest for senior researcher in their role as supervisors or mentors, and to all those who are interested in how scientific research works. The main topics addressed in the course are:
- Research, its historical development, and its role in society;
- Research methodology;
- The products of research: publications and artifacts;
- The professional researcher: roles and career progress;
- Research evaluation, from peer review to bibliometrics;
- Research ethics.",7370.0,23250.0,4.8,156.0
Building an Ecosystem model with Insight Maker,https://www.coursera.org/learn/ecosystem-insight-maker,Physical Science and Engineering,Research Methods,Danilo Oliveira Vaz,"In this 1-hour long project-based course, you will create a model that simulates the interrelated dynamics of three different species populations within an environment: plants, deer, and wolves

By doing so, you’ll be introduced to Insight Maker, a free web-based simulation environment that supports both System Dynamics modeling and Agent Based modeling. This will equip you with everything you need to know in order to build tailor-made models and simulations.

Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",3781.0,,4.7,105.0
CFD Simulation Through a Centrifugal Pump,https://www.coursera.org/learn/cfd-simulation-through-a-centrifugal-pump-obg1d,Physical Science and Engineering,Research Methods,Jousef Murad,"In this hands-on project, you will learn about Computational Fluid Dynamics (CFD) and perform a pump simulation using the cloud-based simulation tool SimScale. We will set up simulation cases with provided geometries to learn the fundamentals of CFD and how a pump simulation is approached and set up in the first place. We will walk through the classical three step process of every simulation which includes the pre-processing, processing and post-processing step.

SimScale is an engineering simulation platform that is revolutionizing the way engineers, designers, scientists, and students design products. The SimScale platform is accessible completely via a standard web browser, with an easy-to-use interface which supports numerous simulation types including solid mechanics (FEM), fluid dynamics (CFD) & thermodynamics.

This course runs on Coursera's hands-on project platform called Rhyme. On Rhyme, you do projects in a hands-on manner in your browser. You will get instant access to pre-configured cloud desktops containing all of the software and data you need for the project, for this project you need no special setup or any data. Everything is already set up directly in your internet browser so you can just focus on learning!

Notes:
- This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",3371.0,,4.6,77.0
"Computers, Waves, Simulations: A Practical Introduction to Numerical Methods using Python",https://www.coursera.org/learn/computers-waves-simulations,Physical Science and Engineering,Research Methods,Heiner Igel,"Interested in learning how to solve partial differential equations with numerical methods and how to turn them into python codes? This course provides you with a basic introduction how to apply methods like the finite-difference method, the pseudospectral method, the linear and spectral element method to the 1D (or 2D) scalar wave equation. The mathematical derivation of the computational algorithm is accompanied by python codes embedded in Jupyter notebooks. In a unique setup you can see how the mathematical equations are transformed to a computer code and the results visualized. The emphasis is on illustrating the fundamental mathematical ingredients of the various numerical methods (e.g., Taylor series, Fourier series, differentiation, function interpolation, numerical integration) and how they compare. You will be provided with strategies how to ensure your solutions are correct, for example benchmarking with analytical solutions or convergence tests. The mathematical aspects are complemented by a basic introduction to wave physics, discretization, meshes, parallel programming, computing models. 

The course targets anyone who aims at developing or using numerical methods applied to partial differential equations and is seeking a practical introduction at a basic level. The methodologies discussed are widely used in natural sciences,  engineering, as well as economics and other fields.",18945.0,25053.0,4.7,306.0
Designing Effective Science Communication,https://www.coursera.org/learn/designing-effective-science-communication,Physical Science and Engineering,Research Methods,Melanie Peffer,"Although many would prefer to leave science in the past and no longer engage with it once completing compulsory science classes in school, the reality is that engaging with science is an integral part of our daily lives. Moreover, for the safety and wellness of human society, it is necessary to engage with scientific information. We are faced with the necessity of examining scientific evidence on topics ranging from conservation to public health and make decisions that impact not only our families but those around us. However, in spite of decades of science education reform and dedicated efforts to improving science literacy, many members of the general public lack the confidence, skills, or interest in engaging with scientific issues, instead choosing to align their scientific decisions with non-scientific stakeholders, such as political or pop culture figures. These problems are ongoing and destructive. How do we communicate science more effectively with the general public? With other scientists? 

This course is designed for scientists, science educators, and science communicators who are interested in re-thinking how we communicate science to diverse audiences, particularly to the general public. Topics include evidence-based considerations of human learning as well as effective communication through a variety of modalities, including oral presentations, written forms of communication, technology, and artistic media. The objective of this course is to equip learners with the skills needed to design and implement effective methods of science communication. Learners will be able to identify key principles of human learning that undergird science communication, describe pitfalls in “popular” avenues for science outreach, and apply best practices to science communication in a variety of media.",2292.0,6000.0,4.5,18.0
"Ethics, Technology and Engineering",https://www.coursera.org/learn/ethics-technology-engineering,Physical Science and Engineering,Research Methods,Lambèr Royakkers,"There is an increasing attention to ethics in engineering practice. Engineers are supposed not only to carry out their work competently and skilfully, but also to be aware of the broader ethical and social implications of engineering and to be able to reflect on these.  According to the Engineering Criteria 2000 of the Accreditation Board for Engineering and Technology (ABET) in the US, engineers must have “an understanding of professional and ethical responsibility” and should ""understand the impact of engineering solutions in a global and societal context.” 

This course provides an introduction to ethics in engineering and technology. It helps engineers and students in engineering to acquire the competences mentioned in the ABET criteria or comparable criteria formulated in other countries. More specifically, this course helps engineers to acquire the following moral competencies:

- Moral sensibility: the ability to recognize social and ethical issues in engineering;
- Moral analysis skills: the ability to analyse moral problems in terms of facts, values, stakeholders and their interests;
- Moral creativity: the ability to think out different options for action in the light of (conflicting) moral values and the relevant facts;
- Moral judgement skills: the ability to give a moral judgement on the basis of different ethical theories or frameworks including professional ethics and common sense morality;
- Moral decision-making skills: the ability to reflect on different ethical theories and frameworks and to make a decision based on that reflection.

With respect to these competencies, our focus is on the concrete moral problems that engineers encounter in their professional practice. With the help of concrete cases is shown how the decision to develop a technology, as well as the process of design and production, is inherently moral. The attention of the learners is drawn towards the specific moral choices that engineers face. In relation to these concrete choices learners will encounter different reasons for and against certain actions, and they will discover that these reasons can be discussed. In this way, learners become aware of the moral dimensions of technology and acquire the argumentative capacities that are needed in moral debates with stakeholders (e.g. governments, users, and commercial business departments).",21521.0,108430.0,4.7,621.0
Frozen in the Ice: Exploring the Arctic,https://www.coursera.org/learn/frozen-in-the-ice,Physical Science and Engineering,Research Methods,"Anne U. Gold, Dr. Matthew Shupe","Why would hundreds of scientists from around the world intentionally freeze a ship in Arctic sea ice for an entire year, braving subzero temperatures and months of polar darkness? This may sound like a fictional adventure movie plot, but from September 2019 through October 2020, the MOSAiC (Multidisciplinary drifting Observatory for the Study of Arctic Climate) Arctic research expedition did just this. 

In this course, you’ll hear directly from MOSAiC scientists and Arctic experts as they describe why this expedition is so key for increasing our understanding of the Arctic and global climate systems and what kinds of data they will be collecting during MOSAiC on the ice, under the sea, and in the air. The course kicks off with content around Arctic geography, climate, and exploration history, and then walks learners through the basics of the components of the Arctic system: atmosphere, ocean, sea ice and ecosystems. You will also learn how the data collected during MOSAiC will be used to improve climate model projections. Finally, we will wrap up the course by exploring challenges the new Arctic faces, including how indigenous peoples in the Arctic are being impacted in different ways by a changing Arctic environment.",3337.0,2802.0,4.8,17.0
Human Predicament Complex Modeling,https://www.coursera.org/learn/predicament-modeling,Physical Science and Engineering,Research Methods,Danilo Oliveira Vaz,"The convergence of different crises pressuring the world today is probably one of the most complex human-made phenomena we can observe. From biodiversity loss to the threat to democracy, all of these crises are deeply intertwined. Therefore, tools from the complexity and systems-thinking toolsets become very relevant for anyone seeking to have a slight grasp of what is going on and what is probably going to happen. This project is about using two of these tools to have a minimal understanding of how all of these crises are interconnected and to simulate possible future scenarios.

The aforementioned tools are Loopy and Mental Modeler, which combine provide a insightful framework for the study of the current Human Predicament and other highly complex situations. Moreover, in this project you will have the opportunity to participate in an experiment that tries to touch on the collective intelligence permeating us all in order to have a better understanding of our current situation - and maybe find more suitable paths. Are you ready?

Note: This project works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",,,4.4,10.0
