name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
(Non) Status quo Attitudes with NetLogo,https://www.coursera.org/learn/nonstatusquo-attitudes-netlogo,Physical Science and Engineering,Research Methods,Danilo Oliveira Vaz,"Have you ever wondered what is behind different cultural traits and attitudes towards the status quo? Or more broadly, what influences the Zeitgeist of a society? Generally speaking, when it comes to changing (or not) the current spirit and state of affairs of a given society or community, some people show themselves as idealists, and they can even inspire others. At the same time, some other people are traditionalists, and some are just neutral about how things are. In this guided-project you will develop an agent-based model using NetLogo that tries to use these personas to touch and generate insights around theses questions. And while doing so, you will gain some hands-on knowledge on model building and debugging.

Note: This project works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",,,,
21st Century Energy Transition: how do we make it work?,https://www.coursera.org/learn/21st-century-energy-transition,Physical Science and Engineering,Environmental Science and Sustainability,Brad Hayes,"Affordable, abundant and reliable energy is fundamental to human well-being and prosperity. For the past 150 years, more and more people have gained access to energy, primarily in the form of fossil fuels – coal, petroleum and natural gas. But now, even while half of humanity cannot access adequate energy supplies, we are beginning a profound transition to more diverse energy sources. Climate change, environmental sustainability, and energy poverty are all important – and sometimes conflicting – drivers as we strive to supply more energy to more people with fewer negative impacts on Earth’s environments. 

In this course from the University of Alberta and Canadian Society for Evolving Energy, you will join us to learn about the many energy sources available, and where technology is providing exciting new solutions to energy and environmental challenges. Find out what roles energy storage must play to support the transition, and discuss how we can optimize transition processes. Examine competing viewpoints (“realities”) to enable energy transition, focusing on the practical challenges in bringing about change on a global basis. Finally, you will bring all these issues together to examine how the energy transition process is progressing and what we must do to create pathways to achieve our goals.",,19180.0,,
3-Axis Machining with Autodesk Fusion 360,https://www.coursera.org/learn/3-axis-machining-autodesk-fusion-360,Physical Science and Engineering,Mechanical Engineering,Autodesk,"As our machining geometry gets more complicated, Autodesk® Fusion 360™ is up to the task!  With a host of standard and adaptive toolpaths we can rapidly remove material from even the most complicated 3d parts. In this course, we explore how to rough and finish geometry that requires tool motion in X, Y, and Z simultaneously, learning how to finish even the finest of details. We’ll wrap up this course by creating a full CNC program for a part, simulating it, and exporting it to G-code.

Want to take your learning to the next level? Complete the Autodesk CAD/CAM for Manufacturing Specialization, and you’ll unlock an additional Autodesk Credential as further recognition of your success! The Autodesk Credential comes with a digital badge and certificate, which you can add to your resume and share on social media platforms like LinkedIn, Facebook, and Twitter. Sharing your Autodesk Credential can signal to hiring managers that you’ve got the right skills for the job and you’re up on the latest industry trends like generative design.

Looking for Autodesk Fusion 360 certification prep courses? Check out additional learning resources to help you uplevel your skills: https://www.autodesk.com/learning",7224.0,7178.0,4.9,180.0
3D CAD Application,https://www.coursera.org/learn/3d-cad-application,Physical Science and Engineering,Mechanical Engineering,康仕仲,"Do you want to obtain all the necessary skills of a 3D modeler? Do you want to know how an engineer develop a building model in details? The “3D CAD Application” course, the second course of the new specialization, is coming! 

After finishing this course: You will be able to know how to use the SketchUp’s advanced functions by creating 3D building models. You will be able to develop a building as an engineer.
Let’s start the learning journey!",14417.0,13513.0,4.9,123.0
3D CAD Fundamental,https://www.coursera.org/learn/3d-cad-fundamental,Physical Science and Engineering,Mechanical Engineering,康仕仲,"There have many three-dimensional shape of the object in your brain that are wanted to share, but do not know how to express? How to ""sketch"" the three-dimensional image in your mind? 3D modeling technology can help us construct the most intuitive and understandable three-dimensional model. The use of floor plan interpret the three-dimensional object process－the most direct and effective expression of our ideas. We have designed many paradigms so that people can quickly understand the logic of using 3D CAD software Sketchup and drawing skills, from introduction to advanced, and introduce SketchUp 3D modeling technologies. After completing ""3D CAD Fundamental"", it is no longer difficult to draw ideas that are beyond imagination with 3D modeling technology! The goal of this course is to construct a three-dimensional model, with the computer as the main teaching material, to enrich the fun paradigm and the complete drawing process. Step-by-step teach you how to use Sketchup's 3D modeling software technology. With the completion of ""3D CAD Fundamental"", you will be able to realize the 3D objects that exist in the imagination through 3D modeling!",47139.0,174830.0,4.7,466.0
3D Model Creation with Autodesk Fusion 360,https://www.coursera.org/learn/3d-model-creation-fusion-360,Physical Science and Engineering,Mechanical Engineering,Autodesk,"Design is the first phase in the digital manufacturing process. In this course, through a series of lectures and hands-on lessons, we’ll examine a designer’s approach to the design and manufacturing process—from concept to 3D model. We’ll start by applying design thinking to understand user needs, and then we’ll explore design criteria as we dive deeper into Autodesk® Fusion 360™ sketching, modeling, rendering, and documentation features.

Looking for Autodesk Fusion 360 certification prep courses? Check out additional learning resources to help you uplevel your skills: https://www.autodesk.com/learning",25000.0,14292.0,4.8,742.0
5G for Everyone,https://www.coursera.org/learn/5g-training-qualcomm,Physical Science and Engineering,Electrical Engineering,Nakul H. Navarange,"Take the next step in your career by gaining a greater understanding of 5G technology and how it is changing the way we operate both personally and professionally. Learn how 5G is revolutionizing the business world and begin to understand how 5G can benefit your business by helping you meet your ever-evolving needs. You do not need any prior knowledge of 5G or other wireless technology to take this course.

WHY TAKE THIS COURSE?
- Understand what 5G technology is, the endless possibilities it offers, and how you can leverage it to enhance business strategy.
- Receive 5G training from engineers at Qualcomm Technologies – a world leader in 5G tech and wireless communication.
- Receive a Qualcomm-branded certificate of completion that may help you get that next job or promotion.

COURSE OUTLINE:
- Overview of wireless and cellular communications.
- Overview of the 5G NR vision.
- Introduction to 5G networks and features.
- Discuss 5G spectrum and mmWave.
- Learn about Massive MIMO and its impact on wireless technology.
- Discuss the evolution of the 5G radio access network (RAN).
- Dive into 5G private networks and industrial IoT.
- Overview of 5G security.",7405.0,89555.0,4.8,149.0
A Circular Economy of Metals: Towards a Sustainable Societal Metabolism,https://www.coursera.org/learn/circular-economy-metals,Physical Science and Engineering,Environmental Science and Sustainability,Ester van der Voet,"Metals are present everywhere around us and are one of the major materials upon which our economies are built. Economic development is deeply coupled with the use of metals. During the 20th century, the variety of metal applications in society grew rapidly. In addition to mass applications such as steel in buildings and aluminium in planes, more and more different metals are in use for innovative technologies such as the use of the speciality metal indium in LCD screens.  

A lot of metals will be needed in the future. It will not be easy to provide them. In particular in emerging economies, but also in industrialised countries, the demand for metals is increasing rapidly. Mining and production activities expand, and with that also the environmental consequences of metal production.  

In this course, we will explore those consequences and we will also explore options to move towards a more sustainable system of metals production and use. We will focus especially on the options to reach a circular economy for metals: keeping metals in use for a very long time, to avoid having to mine new ones.  

This course is based on the reports of the Global Metals Flows Group of the International Resource Panel that is part of UN Environment.  An important aspect that will come back each week, are the UN Sustainable Development Goals, the SDGs. Those are ambitious goals to measure our progress towards a more sustainable world. We will use the SDGs as a touching stone for the assessment of the metals challenge, as well as the solutions we present in this course to solve that challenge.",5586.0,8480.0,4.7,78.0
"Act on Climate: Steps to Individual, Community, and Political Action",https://www.coursera.org/learn/act-on-climate,Physical Science and Engineering,Environmental Science and Sustainability,Michaela Zint,"Are you concerned about climate change? Would you like to learn how to address and respond to this challenge? If so, this course is for you.  

Act on Climate: Steps to Individual, Community, and Political Action is intended to help learners understand, address and respond to climate change as individuals and in partnership with their communities and political leaders. The course focuses on how to translate learning into action on climate change in the areas of food, energy, transportation and the built environment (cities). This course was co-developed and taught by Michaela Zint, Professor of Environmental Education and Communication, and University of Michigan Students. A range of academic climate change experts and professional leaders are featured.

As a result of completing this course, you will be able to:

1) Identify individual, community, and political actions you can engage in to effectively address and respond to climate change.

2) Describe how insights from the social sciences can be employed to create change at the individual, community, and political levels.

3) Feel empowered to continue to influence how you, your community, and political leaders address and respond to climate change.

Use #UMichActonClimate on social media to share what you're doing and connect with other learners.",13642.0,25759.0,4.8,140.0
Advanced Capstone Spacecraft Dynamics and Control Project,https://www.coursera.org/learn/advanced-capstone-spacecraft-dynamics-control-project,Physical Science and Engineering,Physics and Astronomy,Hanspeter Schaub,"This capstone course is the 3rd and final course of the specialization Advanced Spacecraft Dynamics and Control. It assumes you have completed the prior courses on ""Attitude Control with Momentum Exchange Devices"" and ""Analytical Mechanics for Spacecraft Dynamics"".  This project course investigates the dynamics of a complex spacecraft system where there is a rigid hub onto which a hinged panel is attached.  This simulates a spacecraft with a time varying geometry.

First, the three-dimensional kinematics of this system are explored.  Analytical relationships of the body and panel position and velocity states are derived, and the center of mass properties of this system are explored.

Next, a simplified system is used to use Lagrange's equations of motion to predict the dynamical response.  With these differential equations we are then able to apply attitude control torques and investigate the rotational response if the spacecraft hub has a spring-hinged panel attached.  Two open-loop control torque solutions are investigated.  The classical minimum time bang-bang control solution is applied first, illustrating how such a control can yield unwanted panel oscillations.  Finally, a filtered version of the bang-bang control is applied to illustrated how the panel oscillations can be significantly reduced at the cost of a slightly longer nominal maneuver time.",,,,
