name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
Advertising and Society,https://www.coursera.org/learn/role-of-advertising,Social Sciences,Economics,Professor William M. O'Barr,"This course examines the relation of advertising to society, culture, history, and the economy.  Using contemporary theories about visual communications, we learn to analyze the complex levels of meaning in both print advertisements and television commercials.

About the Course

The course covers a wide range of topics, including the origins of advertising, the creation of ads, the interpretation of ads, the depiction of race, class, gender, and sexuality in advertising, sex and selling, adverting and ethics, and the future of advertising. The lectures will discuss theoretical frameworks and apply them to specific advertisements.

Course Syllabus

Week 1: What is advertising and where did it come from?

Week 2: Am I being manipulated by advertising?

Week 3: What’s in an ad beyond that which meets the eye?

Week 4: How do ads get made?

Week 5: What do ads teach us about race, class, gender, and sexuality?

Week 6: Does sex sell?

Week 7: What is the future of advertising?

Recommended Background

No background is required; everyone is welcome!

Suggested Readings

Although the lectures are designed to be self-contained, we recommend that students refer to the free online textbook ADTextOnline.org. Other free resources will be suggested for each week’s module.

Course Format

Most videos will be lectures with instructor talking. Each lecture will be illustrated with PowerPoint slides, print advertisements, and TV commercials. The videos for each week will consist of segments that add up to about an hour. Each week will have one quiz that will appear as stand-alone homework. All resources beyond lectures will be available online to students at no charge. Most of these will be from ADTextOnline.org. Others will be visits to the sites of ad agencies in the US and abroad, open access websites that deal with course topics, and open-access journal articles.",27640.0,12833.0,4.7,864.0
African development – from the past to the present,https://www.coursera.org/learn/african-development--from-the-past-to-the-present,Social Sciences,Economics,Ellen Hillbom,"African development – from the past to the present -- offers a unique economic history perspective on Africa's development. Over a period of five weeks, the course covers a logical account of historical events and decisions that have shaped the current political-economical landscape of Sub-Saharan Africa - from the pre-colonial and the colonial era, to the era of liberalisation, modern day Africa and the future prospects of the continent. 

One does not need to have a dedicated historical interest to benefit from the course. The course targets a broad range of professional groups, actors, organisations and curious individuals - all sharing a common interest in improving their understanding of the limitations and opportunities inherent in the Sub-Saharan African continent.",3103.0,14152.0,4.0,31.0
"Agriculture, Economics and Nature",https://www.coursera.org/learn/agriculture-economics-nature,Social Sciences,Economics,"Professor David Pannell, BSc(Agric), BEc, PhD","Sound economic thinking is crucial for farmers because they depend on good economic decision making to survive. Governments depend on economic information to make good policy decisions on behalf of the community. This course will help you to contribute to better decision making by farmers, or by agencies servicing agriculture, and it will help you to understand why farmers respond to policies and economic opportunities in the ways they do. 

You can use this course to improve your skills and knowledge and to assess whether this is a subject that you'd like to study further. The course includes high-quality video lectures, interviews with experts, demonstrations of how to build economic models in spreadsheets, practice quizzes, and a range of recommended readings and optional readings. Assessment is by quizzes and a final exam. 

The key economic principles that we’ll learn about can help us understand changes that have occurred in agriculture, and support improved decision making about things like agricultural production methods, agricultural input levels, resource conservation, and the balance between agricultural production and its environmental impacts. 

There are literally thousands of agricultural economists around the world who work on these issues, so there is a wealth of knowledge to draw on for the course.

Watch a brief video about our course here: https://youtu.be/Y8OGswUXx48",38438.0,25190.0,4.7,366.0
Analizando las Políticas Económicas,https://www.coursera.org/learn/analizando-politicas-economicas,Social Sciences,Economics,Gayle Allard,"Este curso utiliza un enfoque no técnico para analizar la forma en la que los gobiernos utilizan políticas económicas para influenciar la economía de sus países. Al finalizar el curso el participante hablará con propiedad sobre temas tan importantes como la deuda y el déficit de los países, podrá examinar las políticas fiscales y monetarias así como las reformas estructurales de los países. Estos conceptos le ofrecerán los conocimientos necesarios para estar informados y poder crear su propio criterio respecto a los debates económicos de la actualidad: estímulos fiscales vs. austeridad, las virtudes de las innovaciones de los bancos centrales en política monetaria, cuándo se necesitan altas tasas de interés y el camino hacia el crecimiento para muchas de las economías más avanzadas.",20375.0,52663.0,4.8,396.0
"Arctic Change & the Nexus of Governance, Economics & Culture",https://www.coursera.org/learn/arctic-change-governance-economics-culture,Social Sciences,Economics,"Mark C. Serreze, Mistia Zuckerman","In this course, you will learn how the changing Arctic environment is tied to the growing economic and strategic importance of the North. After setting the stage through a review of the peoples of the Arctic and how they are dealing with change, Arctic governance, economies national defense, attention turns to marine use of the Arctic, oil and gas exploration, mining, fisheries and tourism. The course ends with a survey of recent Arctic events.

Learning Objectives: Articulate the drivers of the growing economic and strategic importance of the Arctic in the context of the environmental changes unfolding in the region, governance, and geopolitics. Identify the impacts of the changing Arctic, both positive and negative, on the peoples of the North.",,1636.0,4.7,10.0
Arctic Economy,https://www.coursera.org/learn/arctic-economy,Social Sciences,Economics,"Brenda Parlee , Rasmus Gjedssø Bertelsen","Arctic communities have diverse histories and roles in local, regional and global economies. However, the scope and scale of globalization has increased so quickly that vulnerable Arctic communities are facing new kinds of challenges to their survival. In this 3-week MOOC, a unique collaboration between the University of Alberta and UiT The Arctic University of Norway, you will investigate the challenges faced by Indigenous, North American, Russian and Nordic Arctic communities in a modern world.  So join us as we venture above the 60th parallel North, and explore how these fascinating communities adjust to change while maintaining their ways of life, socio-economic histories, and cultural traditions.",1696.0,3882.0,4.6,54.0
Business Opportunities and Risks in a Globalized Economy,https://www.coursera.org/learn/business-opportunities-and-risks-in-a-globalized-economy,Social Sciences,Economics,Gayle Allard,"This is the last of the three courses part of the Globalization, Economic Growth and Stability Specialization.¨Business Opportunities and Risks in a Globalized World¨ is the the 3rd and final course of the ¨Globalization, Economic Growth and Stability¨ Specialization taught by IE Business School's Professor Gayle Allard. This course is designed to help an investor, businessperson or economist approach macroeconomic, institutional and international data and derive information from the indicators that point to the types of opportunities and risks that they present.  Students will gain practice by handling the data of some of the largest economies in the world –the United States, Japan, the European Union, China and India—and “reading the story” of their economies from their data, yielding surprisingly profound conclusions about their present and future. The course is the third in a series for the specialization but it is also a stand-alone course for anyone who wants practice in practical macroeconomics.

This course includes 4 modules, each one deep-diving into the macroeconomic circumstances that have been brought up in the recent history of four key regions: the USA, Japan, Europe, and China and India.  Students will analyze the ways in which international economies relate with one another, the benefits of trade and migration and economic development and how it occurs, among other themes.  

Professor Allard takes overarching macroeconomic theory and turns it into a practical tool for those interested in the opportunities and risks of investment and doing business in each of the four regions covered.",7743.0,7191.0,4.8,145.0
China’s Economic Transformation Part 1: Economic Reform and Growth in China,https://www.coursera.org/learn/econtransform1,Social Sciences,Economics,Albert Park,"In 1978, after nearly 30 years of socialist planning under Mao Zedong, China was one of the world’s poorest countries, saddled with an inefficient, inward-looking economy. Today, China is an upper-middle income country and the world’s largest trading nation, contributing more to global economic growth than any other nation. How could such a remarkable transformation take place? 

This course will examine in detail the reforms that have contributed to China’s economic development and the current challenges facing the Chinese economy. After completing this course, you will be able to: 
- describe the origin and consequences of China’s key economic reforms since 1978; 
- explain how features of China’s fiscal and financial systems have impacted development outcomes; 
- assess the extent to which China has integrated itself into the global economy and the consequences of such integration for China and other countries;
- explain the importance of different sources of economic growth during different periods since 1978; and 
- critically assess the economic and policy challenges facing China going forward.

This course does not offer certificate at the moment. 

Course Overview video: https://youtu.be/YBkhpvWUoIw",9816.0,6251.0,4.8,165.0
"Comercio, Inmigración y Tipos de Cambio en un Mundo Globalizado",https://www.coursera.org/learn/comercio-inmigracion-tipos-de-cambio,Social Sciences,Economics,Gayle Allard,"Este es el segundo de los tres cursos que forman parte de la Especialización en Globalización, Crecimiento Económico y Estabilidad. Este curso se enfocará en las facetas de la globalización que afectan las perspectivas y decisiones económicas de un país. La globalización ha sido recientemente el tema predominante en muchos debates políticos, y este curso abordará los determinantes de la globalización. Será separado en cuatro módulos; el primer módulo explicará las tasas de cambio. Cubrirá lo que determina el tipo de cambio y cómo los diferentes tipos de cambio afectan la economía y la realidad de las monedas. El segundo módulo explorará el comercio, la realidad del libre comercio y lo que le ocurre a la economía de un país con proteccionismo. El tercer módulo se incluirá en la balanza de pagos, te ayudará a comprender cómo funcionan las transacciones económicas entre un país y el resto del mundo. El cuarto módulo se centrará en Inmigración, que es probablemente uno de los temas más controvertidos de la actualidad. Explicará cómo la migración afecta a los países de acogida y cubrirá las tendencias de migración actuales. El quinto módulo pondrás todos tus conocimientos en práctica y tendrás que analizar cinco variables sobre la economía española en dos periodos 2004-2012 y 2013-2018.",2881.0,5589.0,4.9,77.0
Criterios para la Gestión y el Aseguramiento de la Calidad en la Educación Superior,https://www.coursera.org/learn/calidadeducacionsuperior,Social Sciences,Economics,Oscar Jerez,"El presente curso tiene como propósito comprender el concepto, componentes e implicancias en la Gestión y Aseguramiento de la Calidad en la Educación Superior. Por ello, se revisará: los fines de las educación superior; qué son los sistemas de educación superior, criterios o ámbitos a considerar en la educación superior; procesos de enseñanza y aprendizaje; sistemas de acreditación entre otros. Así́ mismo, se analizarán los criterios e indicadores a tener en cuenta en los procesos de gestión, ""accountability"" y aseguramiento involucrados en dichos procesos.

Metas del curso son:

•	Analizar las implicancias y alcances de los distintos conceptos, modelos e instrumentos involucrados en procesos de calidad en la educación superior.

•	Identificar los componentes y dimensiones consideradas en los procesos de aseguramiento de la calidad en la educación superior, y su vinculación con los procesos de gestión organizacional.

•	Aplicar los criterios para el aseguramiento de la calidad en la ES, en diversos casos o situaciones, proponiendo eventuales vías de solución.",7352.0,3163.0,4.2,83.0
