name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
ADHD: Everyday Strategies for Elementary Students,https://www.coursera.org/learn/adhd-treatment,Social Sciences,Education,Greg Fabiano,"This course will provide an overview of ADHD diagnosis and treatment. Course participants can expect to learn about ADHD as a developmental disorder that begins early in childhood, and participants will also learn about evidence-based approaches for diagnosing ADHD. Following that, two evidence-based treatment approaches (the Daily Report Card and Parenting Strategies) will be introduced. (Note these course activities are informational and are not intended to replace working with a licensed/trained professional). 

Learning Objectives: Students will be able to identify the behaviors characteristic of ADHD, the components of a diagnosis, and evidence-based treatment procedures that can be used in the school or home. 
1. Identify the key areas of functional impairment, symptom presentation, and diagnostic decision-making for youth with ADHD.  
2. Develop a behavioral intervention suitable for treating ADHD in the school setting. 
3. Apply effective parenting and teaching strategies for supporting youth with ADHD in the home, classroom, and neighborhood.",63650.0,25962.0,4.7,1955.0
Aboriginal Worldviews and Education,https://www.coursera.org/learn/aboriginal-education,Social Sciences,Education,Jean-Paul Restoule,"Intended for both Aboriginal and non-Aboriginal learners, this course will explore indigenous ways of knowing and how they can benefit all students. Topics include historical, social, and political issues in Aboriginal education; terminology; cultural, spiritual and philosophical themes in Aboriginal worldviews; and how Aboriginal worldviews can inform professional programs and practices, including but not limited to the field of education.",22859.0,33118.0,4.7,388.0
Academic Skills for University Success: Capstone,https://www.coursera.org/learn/academic-skills-project,Social Sciences,Education,"Katherine Olston, Luke Alexander, Lydia Dutcher, Jessica Blackburn","This Specialization is aimed at preparing students for undergraduate study in an English-speaking university. The course equips you for full participation and engagement with your studies by building awareness and understanding of the core values and expectations of academic culture, and providing you with practical strategies to apply to your studies. 

In the Capstone Project, you will apply the academic knowledge and skills you have learnt throughout courses 1-4 to research, write and present a project proposal that addresses a complex, real-world problem related to your field of interest and/or future study. After completing this course, you will be able to:

1.	Apply a range of idea generation techniques 
2.	Apply research strategies to search, collect, select, process, and cite information
3.	Use the research process to develop and critically analyse ideas 
4.	Apply critical thinking skills to evaluate and analyse ideas and evidence
5.	Use problem-solving skills to identify gaps in knowledge and define issues 
6.	Develop creative and innovative solutions to real-world problems
7.	Use appropriate academic genres for written texts and multi-media presentations
8.	Use written and oral skills to communicate ideas effectively for academic contexts",22723.0,259252.0,4.9,1138.0
Advanced Instructional Strategies in the Virtual Classroom,https://www.coursera.org/learn/teaching-strategies,Social Sciences,Education,Racquel Stephens,"Welcome to Advanced Instructional Strategies in the Virtual Classroom! This course will help you apply strategies to the critical areas of K-12 virtual instruction to significantly impact virtual education. We will examine the pitfalls beginning teachers run into and learn how to overcome them by focusing on the fundamentals that have the greatest impact on student learning in a blended or online environment. By the end of the course, you will be able to empower your students to be voracious learners who are ready to go out and make the world a better place to live.

Upon completing this course, you will be able to:
• Identify the role of direct instruction within a virtual course.
• Establish direct communication and meaningful relationships with your students. 
• Use instructional strategies that motivate and challenge your students to think more critically.
• Define at-risk students and examine effective strategies for teaching this demographic.
• Build an inclusive and thriving online community with students, parents, and other teaching professionals.",17064.0,10088.0,4.6,545.0
Aprender,https://www.coursera.org/learn/aprendo,Social Sciences,Education,Guadalupe Vadillo,"¿Quieres conocer tus recursos y niveles de desempeño relacionadas con tu proceso de aprender? ¿Te interesa desarrollar habilidades para aprender más y mejor? 

En APRENDER conocerás y pondrás en práctica, de forma sencilla y práctica, resultados de investigación recientes sobre los procesos de lectura, almacenamiento de información, recuperación de recuerdos y velocidad de procesamiento. Así, podrás utilizar, de forma eficiente, estrategias y técnicas muy útiles en tu vida académica, profesional y cotidiana.",259438.0,50155.0,4.9,5185.0
Aprendiendo a Aprender,https://www.coursera.org/learn/aprendiendo-a-aprender-ie,Social Sciences,Education,"Teresa Martin-Retortillo Rubio, Antonio Gil-Nagel Rein M.D., Ph.D., Barbara Oakley","Con el propósito de desarrollar habilidades y herramientas mentales que favorecen el aprendizaje, Aprendiendo a Aprender busca ayudar a los participantes a dominar temas complejos y difíciles; además de motivarlos a continuar aprendiendo a lo largo de la vida. 

Aprendiendo a Aprender se encuentra divido en cuatro grandes módulos: en el primero, se explica en qué consiste realmente aprender, qué pasa en el cerebro cuando aprendemos, el rol de la memoria, la práctica regular, y el hecho de que, durmiendo, también se puede aprender. En el segundo módulo, se presenta la fragmentación como una técnica muy sencilla, que trata de fragmentar ideas y conceptos, a modo de poder retenerlos y utilizar el pensamiento de manera más eficaz. En el tercer módulo, se aborda los problemas de procrastinación, ese gran reto que hace difícil reconciliar nuestra vida diaria con el aprendizaje. Por último, en el cuarto módulo, se expone cómo liberar todo tu potencial y utilizar el aprendizaje realmente para todo aquello que el participante se plantee: aquí se busca convencer a la persona, la edad o el envejecimiento no son limitantes, tampoco se necesita envidiar a los genios; pues una vez que se aprende, se descubrirá todo lo que realmente una persona es capaz de aprender.",22922.0,16289.0,4.9,393.0
Aprendiendo a aprender para jóvenes,https://www.coursera.org/learn/aprendiendo-a-aprender-para-jovenes,Social Sciences,Education,"Barbara Oakley, María Guijarro García, José Fernando Gallego Nicholls","Aprender a aprender para Jóvenes es para ti, para darte una visión práctica de cómo aprender más profundamente y con menos frustración. Las lecciones de este curso pueden ayudarte a aprender muchos temas y habilidades diferentes. Tanto si te gustan los idiomas como las matemáticas, la música o la física, la psicología o la historia, te divertirás mucho y aprenderás MUCHO sobre cómo aprender.",3403.0,58241.0,4.9,241.0
Art & Inquiry: Museum Teaching Strategies For Your Classroom,https://www.coursera.org/learn/artinquiry,Social Sciences,Education,"Larissa Raphael, Francis Estrada, Lisa Mazzola",Explore how to integrate works of art into your classroom with inquiry-based teaching methods originally developed for in-gallery museum education.,33591.0,12295.0,4.7,427.0
Artificial Intelligence (AI) Education for Teachers,https://www.coursera.org/learn/artificial-intelligence-education-for-teachers,Social Sciences,Education,"Dr Anne Forbes, Dr Markus Powling","Today’s learners need to know what artificial intelligence (AI) is, how it works, how to use it in their everyday lives, and how it could potentially be used in their future. Using AI requires skills and values which extend far beyond simply having knowledge about coding and technology.

This course is designed by teachers, for teachers, and will bridge the gap between commonly held beliefs about AI, and what it really is. AI can be embedded into all areas of the school curriculum and this course will show you how. 

This course will appeal to teachers who want to increase their general understanding of AI, including why it is important for learners; and/or to those who want to embed AI into their teaching practice and their students’ learning. There is also a unique opportunity to implement a Capstone Project for students alongside this professional learning course.

Macquarie School of Education at Macquarie University and IBM Australia have collaborated to create this course which is aligned to AITSL ‘Proficient Level’ Australian Professional Standards at AQF Level 8.",5288.0,6148.0,4.8,177.0
Assessing Achievement with the ELL in Mind,https://www.coursera.org/learn/ell-assessment,Social Sciences,Education,"Claire McLaughlin, Ellen Manos","In this course, you will learn how to design assessments around the needs of your ELL students and their language level.  You will learn how to incorporate language and content requirements for both formative and summative assessment types. You will learn to assess your ELL students through the use of project and task-based assignments.  You will learn to use and modify rubrics to align to and measure student achievement of your language and content learning objectives.  The course will also briefly cover strategies for supporting ELL students during standardized testing. 

Upon completing this course, you will be able to:
    * Conceptualize theories of authentic assessment as they apply to second language learners
    * Design formative assessment types incorporating language and content objectives
    * Design summative assessment types incorporating language and content objectives
    * Incorporate project and task-based assignments as assessment tools for ELLs
    * Design rubrics that align to language and content objectives for your ELL(s)
    * Apply the use of rubrics, both language and content, to the work of your ELL(s). 
    * Support your ELL(s)  as they participate in standardized testing",4431.0,3405.0,4.5,86.0
