name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
"""Espace mondial"" الرؤية الفرنسية للدراسات العالمية",https://www.coursera.org/learn/espace-mondial-ar,Social Sciences,Governance and Society,"Bertrand Badie, Marie-Françoise Durand, Jana Jabbour","حول هذه المادة التدريسية

لكي نفسّر كيف أن العولمة تعيد بناء السياسات العامة والسلوكيات الاجتماعية، ندرس التبادلات والتفاعلات بين مختلف الجهات الفاعلة السياسية والاقتصادية، والاجتماعية - العامة أو الخاصة، الفردية أو الجماعية- والطريقة التي تعيد فيها صياغة العلاقات الدولية. هذه المادة التدريسية تعتمد على المقاربات السوسيولوجية والتاريخية الفرنسية العائدة للعلاقات الدولية. وهي متوفرة  أيضاً في نسخة باللغة الإنجليزية 
(www.coursera.org/learn/global-studies)، وأخرى باللغة الفرنسية (www.coursera.org/learn/espace-mondial-fr)

Course will be ending soon

Dear Learners
We are reaching out to let you know that Espace Mondial course will close for new learner enrollment on17th November 2022 . Since you have already enrolled, you will continue to see it on your Coursera Dashboard as long as you remain enrolled in the course.
If you are interested in earning a Course Certificate for this course, please upgrade or apply for Financial Aid by 15th November 2022, if you have not already done so. If you are a Coursera for Business learner, you can continue to use your sponsored credit. In order to earn a Course Certificate, you will need to complete all graded assignments, including peer reviews, by February 17th, 2023 . After that point, no new assignment submissions will be accepted for Certificate credit.
While we hope that you will be able to complete the course, you can find more information about requesting a refund (https://www.coursera.support/s/article/209819043-Request-a-refund) or unenrolling from a course (https://www.coursera.support/s/article/208279756-Unenroll-from-a-course) in our Learner Help Center.
Happy Learning",2108.0,1820.0,4.7,37.0
"""Making"" Progress Teach-Out",https://www.coursera.org/learn/makingprogress,Social Sciences,Governance and Society,Pablo Palomino,"What is “progress”? How do we decide when we’re moving forward and not taking steps backward? And how do we explore the idea of progress around public sites of memory? This Teach-Out is an invitation to think about what progress means, and how you can look for it wherever you are—in your city, community, or neighborhood—and reflect upon your own ideas about the place you live in.

Changes in the built environment of our communities are themselves the result of human actions and intentions, such as municipal planning, commercial enterprises, or communities transforming their own space. In other words, in our cities we can see the results of our plans—our attempts to create and shape the future. Neighbors, political groups, corporations, governments, schools, and other organizations, they all shape the community, leaving traces that allow us to see in what directions they transformed our lives. 

This Teach-Out will ask the following questions:
•	What are the forces that shape and change the places we inhabit? 
•	How do people connect with places in our modern cities? 
•	Do places progress? 
•	How can we measure in them whether there is any “progress”? 

We will interview a number of people who work in Atlanta, Georgia, but the questions and places we will see here are comparable to many of other places in the world on what it means to progress. In this Teach-Out you will learn how to find the history of public spaces in any community and how to reflect upon the idea of progress. Finally, you can join a conversation to discuss what has been explored, uncovered, and possibly transformed both within ourselves and our communities.

A Teach-Out is: 
– an event – it takes place over a fixed, short period of time 
– an opportunity – it is open for free participation to everyone around the world 
– a community – it will be joined by a large number of diverse individuals 
– a conversation – an opportunity to give and take ideas and information from people 

This community learning event invites participants from around the world to come together in conversation with the Emory campus community, including faculty experts. This Teach-Out is part of Emory’s commitment to engage the local and global community in exploring and understanding problems, events, and phenomena most important to our society. 

Originating from University of Michigan (Teach-Out.org), Teach-Outs are short learning experiences focused on a specific current issue. Attendees will come together over a few days not only to learn about a subject or event but also to gain skills. Teach-Outs are open to the world and are designed to bring together individuals with wide-ranging perspectives in respectful and deep conversation. These events are an opportunity for diverse learners and a multitude of experts to come together to ask questions of one another and explore new solutions to the pressing concerns of our global community. Come, join the conversation!",2063.0,,,
A la recherche du Grand Paris,https://www.coursera.org/learn/grand-paris-metropole,Social Sciences,Governance and Society,Patrick Le Galès,"À PROPOS DU COURS

A quoi sert le Grand Paris ? Qu'est ce qui se joue dans la transformation du rapport Paris/banlieue ? ""A la recherche du Grand Paris"" est un Mooc orignal qui associe des paroles d'habitants, des témoignages de représentants d'associations, d'experts, de chercheurs, mais aussi des images d'archives et documents, des analyses comparatives avec Londres et Bruxelles ou d'autres villes françaises. Le Mooc combine des approches historiques et comparatives, des sujets de controverse, questionne les notions d'échelles et les enjeux du Grand Paris. Il traite des évolutions de Paris et de la région parisienne, de questions de ségrégation sociale et ethnique, de développement économique, de sécurité, d'environnement, de logement, de transport, d'aménagement, d'éducation, de culture. 

LES ENSEIGNANTS
Patrick Le Galès
Patrick Le Galès est politiste et sociologue, directeur de recherche CNRS au Centre d’études européennes de Sciences Po et professeur à Sciences Po. Il est le doyen de la nouvelle Ecole urbaine de Sciences Po Ses recherches comparatives s’organisent autour de trois thématiques : Sociologie urbaine, mobilités, sociologie de l’Europe ; Gouvernance, Action publique, transformation de l’État ; Sociologie économique.

PRÉREQUIS
Ce Mooc est un cours qui s’adresse à un public large. Il traite des questions et enjeux lié au développement du Grand Paris, il ne nécessite aucun prérequis

PLAN DU COURS
Séance 1 : Métropolisation et développement économique
Séance 2 : Peuplement et migrations
Séance 3 : Logement et aménagement
Séance 4 : Transports et mobilité
Séance 5 : Risques sécuritaires et environnementaux
Séance 6 : Culture et éducation

Chaque séance est composée de six sous-sections sur le modèle suivant : 

1 - Introduction
2 - Approche historique
3 - Echelles et enjeux contemporains
4 - Débats & controverses
5 - Approche comparative
6 - Conclusion (et forum)

ÉVALUATION
Un section QCM est proposée en fin de Mooc.

EQUIPE PÉDAGOGIQUE
Héloïse Thibault, Valentine Quinio, Judith Lienhard, Ninon Beillard, Juliette Guichardet, Odile Gaultier-Voituriez, Miyuki Tsuchiya, Maxime Crépel, Pôle Audiovisuel Sciences Po

CONDITIONS D'UTILISATION
Conditions d’utilisation du contenu du cours
Droits réservés
Licence restrictive : la production relève de la propriété intellectuelle de son auteur et ne peut donc pas être réutilisée.

Conditions d’utilisation des contenus produits par les participants
Droits réservés
Licence restrictive : la production relève de la propriété intellectuelle de son auteur et ne peut donc pas être réutilisée.

PARTENAIRES

Mairie de Paris | Ecole urbaine de SciencesPo Paris | Grand Public",8396.0,5845.0,4.5,80.0
Acción Comunitaria. Enfoques para la transformación social,https://www.coursera.org/learn/accion-comunitaria,Social Sciences,Governance and Society,"Joan Subirats Humet, Ernesto Morales Morales, Ismael Blanco, Nuria Reguero Jimenez, Joel Martí Olivé, Begoña Román Maestre, Margarita León, Magalí Permanyer de Swert, Oscar Rebollo Izquierdo","¿Te interesan el trabajo comunitario y los movimientos sociales? El curso ""Acción Comunitaria. Enfoques para la transformación social"" ofrece un panorama global y un conjunto de herramientas para analizar políticas y desenvolverte de forma crítica en la dinamización comunitaria. Partiremos de una mirada general, poniendo el foco en las desigualdades de nuestra sociedad, y adentrándonos en la ética. A continuación, revisaremos una serie de principios en las políticas públicas sociales, y veremos casos concretos en diferentes sectores, como la salud. Finalizaremos el curso conociendo técnicas de dinamización y participación para diferentes tipos de procesos colectivos.",,,,
Acuerdos globales para el desarrollo sostenible,https://www.coursera.org/learn/acuerdos-globales,Social Sciences,Governance and Society,Beverly Hernández Castro,"Los fenómenos naturales son factores de riesgo relevantes, que causan importantes daños y pérdidas económicas, afectando con una fuerza particular al sector agropecuario y al medio rural. 

En este contexto la acción climática es determinante y debe ser considerada parte decisiva del desarrollo. Precisamente durante el año 2015 se generaron importantes acuerdos globales sobre el desarrollo sostenible, que representan una ambiciosa agenda de transformación hacia al 2030 para luchar contra la pobreza y garantizar un desarrollo ambientalmente sostenible que considera la urgente necesidad de contar con una decisiva acción climática.

En este curso se expondrá el nuevo marco global para el desarrollo sostenible, su relevancia, implicaciones y oportunidades, a efectos de beneficiar el agro, la seguridad alimentaria y el medio rural; para lo cual se están considerando como instrumentos clave: el Marco de Sendai para la Reducción del Riesgo de Desastres 2015-2030, la Agenda de Acción de Addis Abeba de la Tercera Conferencia Internacional sobre la Financiación del Desarrollo, la Agenda 2030 para el Desarrollo Sostenible, los Objetivos de Desarrollo Sostenible y el Acuerdo de París.

El objetivo general del curso es: 
Comprender el nuevo marco global, su relevancia, implicaciones y oportunidades para el sector agrícola; la trascendencia del nuevo marco global de acción, su alcance y el compromiso de los países contenidos en el Marco de Sendai, Agenda de Acción de Addis Abeba, Agenda 2030 para el Desarrollo Sostenible y Acuerdo de París.

Este curso fue desarrollado por la Universidad Nacional Autónoma de México en conjunto con el Instituto Interamericano de Cooperación para la Agricultura.",19557.0,4827.0,4.8,626.0
African cities : An Introduction to Urban Planning,https://www.coursera.org/learn/african-cities1,Social Sciences,Governance and Society,Jérôme Chenal,"This course teached the basics of urban planning in Africa through technical, environmental, social and economical dimensions.

It focuses on African cities only. Although, they exemplify well cities in the Global South, and potentially all cities, we will make the African context highly topical.

The course is provided by the Urban and Regional community at the Swiss Federal Insitute of Technology in Lausanne (EPFL). More information can be found here https://ceat.epfl.ch/",4949.0,3864.0,4.7,17.0
"Afrique et mondialisation, regards croisés",https://www.coursera.org/learn/afrique-mondialisation,Social Sciences,Governance and Society,"Bertrand Badie, Marie-Françoise Durand","Au-delà des relations internationales classiques, le processus de mondialisation mobilise quantité d'acteurs économiques, sociaux et culturels, individuels et collectifs,  qui agissent dans l'espace mondial. Nous étudions ensemble, Africains, Latino-américains et Européens, comment il en dérive de nouvelles relations internationales. Ce cours prend sa source dans les approches sociologique et historique françaises des relations internationales, comme celles promues en Afrique et en Amérique latine.

Bertrand Badie, Marie-Françoise Durand, Delphine Allès, Atta El Battahani, Carlos Milani, Gaïdz Minassian, Papa Samba Ndiaye, Karen Smith, Folashadé Soule-Kohndou.",8240.0,5668.0,4.7,169.0
After the Arab Spring – Democratic Aspirations and State Failure,https://www.coursera.org/learn/after-the-arab-spring,Social Sciences,Governance and Society,Dr. Ebrahim Afsah,"Learn why the hope and excitement of the Arab Spring is gone, why so many Arab states are falling apart, why the youth are so frustrated, why there are so many refugees, and what can be done about it.

The so-called Arab Spring appeared to end decades of exceptionalism and bring the Arab world back into the mainstream of global developments. The rebellions promised the return of politics and the reassertion of popular sovereignty against their corrupt and geriatric leaders. Much hope and flowery language greeted the young men and women who deposed their leaders and tried to build new, better societies.

Today, the Arab world is in deep crisis. Of the 22 member states of the Arab League, at least five have essentially collapsed: Iraq, Libya, Yemen, Somalia and Syria exist only in name today, as their territories have fallen to competing, murderous armed groups. In the remaining countries, the old autocracies have reasserted themselves. The repression at home is now worsened by regional conflict on an unprecedented scale, and the resulting frustration has led to the biggest refugee flows in recent memory. What went wrong?

This course offers an overview of the structural shortcomings of Arab states and societies, which help us understand why the democratic awakening did not happen but instead “has given way to civil wars, ethnic, sectarian and regional divisions and the reassertion of absolutism.” This raises the obvious and renewed question whether there is something inherent in the Arab, and by analogy Muslim, condition that makes them special. Does this condition make this part of the world impervious to generally observable trends towards greater accountability, popular participation in political decision-making, greater generation and fairer division of economic wealth? Join this course to find out!",14827.0,7041.0,4.7,497.0
Alternative Mobility Narratives,https://www.coursera.org/learn/alternative-mobility-narratives,Social Sciences,Governance and Society,"Anna Nikolaeva, Marco te Brömmelstroet, George Liu","Ready to imagine a radically different mobility future? This course is about the stories that we tell ourselves about why and how we move. By critically examining our current narratives, we help you think about mobility in a new way. Using systems dynamics modelling, we explore how a mobility innovation (of your choice) impacts our mobility system as a whole, for better or for worse. This course will invite you to reflect on our mainstream mobility narrative built on engineering and economics. But warning: you may end up never looking at mobility in the same way again! 

This online course is supported by the EIT Urban Mobility’s Competence Hub. EIT Urban Mobility is an initiative of the European Institute of Innovation and Technology (EIT) that has been working since January 2019 to encourage positive changes in the way people move around cities in order to make them more sustainable and liveable places.",3355.0,9435.0,4.8,17.0
America's Written Constitution,https://www.coursera.org/learn/written-constitution,Social Sciences,Governance and Society,Akhil Reed Amar,"An introduction to the main themes of the American Constitution—popular sovereignty, separation of powers, federalism, and rights.",27092.0,5046.0,4.7,417.0
