name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
A Law Student's Toolkit,https://www.coursera.org/learn/law-student,Social Sciences,Law,Ian Ayres,"Whether you are an advanced law student looking to review the basics, or an aspiring law student looking for head start, this course will help you build the foundation you will need to succeed in law school and beyond. This course will introduce you to terminology, concepts, and tools lawyers and legal academics use to make their arguments. It will help you follow these arguments—and make arguments of your own.

This course consists of a series of short lectures and assignments. A reading list complements each lesson, providing you with a roadmap to help you explore the subject matter more deeply on your own. Although the lessons may cross-reference each other, they are modular in nature: you should feel free to approach them in whatever order fits your schedule, interests, and needs.",142071.0,36934.0,4.7,1299.0
AI & Law,https://www.coursera.org/learn/ai-law,Social Sciences,Law,"Jeffery Atik, Lena Wahlberg, Valentin Jeutner, Niklas Selberg, Ulrika Andersson, Titti Mattsson , Ana Nordberg, Julian Nowag, Vilhelm Persson","About this Course

This four-week course titled AI and Law explores the way in which the increasing use of artificially intelligent technologies (AI) affects the practice and administration of law defined in a broad sense. Subject matters discussed include the connection be between AI and Law in the context of legal responsibility, law-making, law-enforcing, criminal law, the medical sector and intellectual property law.
The course aims to equip members of the general public with an elementary ability to understand the meaningful potential of AI for their own lives. The course also aims to enable members of the general public to understand the consequences of using AI and to allow them to interact with AIs in a responsible, helpful, conscientious way. Please note that the law and content presented in this course is current as of the launch date of this course. 

At the end of this course, you will have a basic understanding of how to:
•	Understand the legal significance of the artificially intelligent software and hardware.
•	Understand the impact of the emergence of artificial intelligence on the application and administration of law in the public sector in connection with the enforcement of criminal law, the modelling of law and in the context of administrative law.
•	Understand the legal relevance of the use of artificially intelligent software in the private sector in connection with innovation and associated intellectual property rights, in the financial services sector and when predicting outcomes of legal proceedings.
•	Understand the importance of artificial intelligence for selected legal fields, including labour law, competition law and health law.

Syllabus and Format

The course consists of four modules where one module represents about one week of part-time studies. A module includes a number of lectures and readings, and finishes with an assessment – a quiz and/or a peer graded assignment. The assessments are intended to encourage learning and ensure that you understand the material of the course. Participating in forum discussions is voluntary. 

Modules
Module 1.	AI and Law 
Module 2.	Legal AI in the Public Sector 
Module 3.	Legal AI in the Private Sector
Module 4.	Selected Challenges 

Lund University

Lund University was founded in 1666 and has for a number of years been ranked among the world’s top 100 universities. The University has 47 700 students and 7 500 staff based in Lund, Sweden. Lund University unites tradition with a modern, dynamic, and highly international profile. With eight different faculties and numerous research centers and specialized institutes, Lund is the strongest research university in Sweden and one of Scandinavia's largest institutions for education and research. The university annually attracts a large number of international students and offers a wide range of courses and programmes taught in English. 

The Faulty of Law is one of Lund University’s four original faculties, dating back to 1666. It is a modern faculty with an international profile, welcoming both international and Swedish students. Education, research and interaction with the surrounding community are the main focus of the Faculty’s work. The connection between the three is particularly apparent in the programmes and courses offered by the university, including the university’s MOOC course in European Business Law. The students get the chance to engross themselves in traditional legal studies, while interacting with both researchers and professionally active lawyers with qualifications and experience from various areas of law.

The faculty offers three international Masters: two 2-year Master’s programmes in International Human Rights Law and European Business Law, and a 1-year Master’s in European and International Tax Law. Students from around 40 countries take part in the programmes which offer a unique subject specialization within each field, with highly qualified researchers and professional legal practitioners engaged in the teaching.",14112.0,20581.0,4.8,224.0
America's Unwritten Constitution,https://www.coursera.org/learn/unwritten-constitution,Social Sciences,Law,Akhil Reed Amar,An introduction to basic techniques of constitutional interpretation.,24006.0,20031.0,4.8,251.0
American Contract Law I,https://www.coursera.org/learn/contracts-1,Social Sciences,Law,Ian Ayres,"American Contract Law I (along with its sister course Contracts II) provides a comprehensive overview of contract law in the United States. The course covers most of the key concepts found in a first year law school class. Each lecture is based on one or more common-law cases, integrating legal doctrines with policy discussions. The course also covers key sections from the Uniform Commercial Code (UCC), which governs the sale of goods. 

By the end of the course, the learner should be able to understand: 

Formation: how a valid and enforceable contract is created, including concepts such as offer, acceptance, consideration, and promissory estoppel.",49516.0,47889.0,4.9,791.0
American Contract Law II,https://www.coursera.org/learn/contracts-2,Social Sciences,Law,Ian Ayres,"Course description: Contracts I & II provides a comprehensive overview of contract law in the United States. The course covers most of the key concepts found in a first year law school class. Each lecture is based on one or more common-law cases, integrating legal doctrines with policy discussions. The course also covers key sections from the Uniform Commercial Code (UCC), which governs the sale of goods. 

By the end of the course, the learner should be able to understand: 

Formation defenses: how an otherwise valid contract can be void, including the statute of frauds, mistake, misrepresentation, duress, unconscionability, and illegality. 
Performance: the scope and content of a contractual obligation, including conditions, the duty of good faith, and the impracticability defense. 
Remedies: the types of available remedies for a breach of contract, including various types of money damages and injunctive relief.",12398.0,14382.0,4.9,196.0
An Introduction to American Law,https://www.coursera.org/learn/american-law,Social Sciences,Law,"Anita Allen, Shyam Balganesh, Stephen Morse, Theodore Ruger, Tess Wilkinson-Ryan, Tobias Barrington Wolff","This course will give you a glimpse into six different areas of American law: Tort Law, Contract Law, Property, Constitutional Law, Criminal Law, and Civil Procedure. You will gain insight into the complexities and dilemmas that arise from the application of law in different settings, and what is distinctive about American approaches.",164397.0,64935.0,4.8,4403.0
Becoming a Sports Agent,https://www.coursera.org/learn/sports-agent,Social Sciences,Law,"Peter A. Carfagna, Richard J. Volante, Esq.","An immersive experience in the world of sports that will take students through the four stages of a professional athlete's career. Utilizing lectures, guest speakers, reading assignments and hypothetical walkthroughs, students will learn how the best sports agents manage clients at each of these four stages.

This course will provide each student with the skills necessary to guide an athlete through the difficult decisions that can make or lose the athlete millions of dollars, as well as affect their public image and career. Walking through the four stages of an athlete's career, we will provide a broad scope of the landscape of amateur and professional sports so that you can avoid the pitfalls and traps that so many have fallen into in the past; not to mention, bringing you updates throughout the course regarding the rapidly changing sports world that we live in today. Analyzing the best practices in the management of the superstar athletes with whom Professor Carfagna, Professor Volante and their expert guests have worked, we will show you how to manage the career of any professional athlete who might seek your guidance at any stage of his or her professional career.",12856.0,10715.0,4.7,132.0
Challenging Forensic Science: How Science Should Speak to Court,https://www.coursera.org/learn/challenging-forensic-science,Social Sciences,Law,"Alex Biedermann, Franco Taroni, Christophe Champod, Tacha Hicks","The aim of this course is to promote critical thinking with regard to forensic science. Today, in general, most people are dazzled by the technical possibilities offered by forensic science. They somewhat live in the illusion that forensic evidence is fool proof and brings factual findings with 100% certainty. This course – given by specialists in the field – goes beyond the conventional image that is promoted through TV series such as CSI. It alerts (without alarming) the public on the limits of the techniques in order to promote a sound administration of forensic science in the criminal justice system.  It allows participants to understand the importance of probabilistic reasoning in forensic science, because uncertainty is a constitutive part of forensic science. The course is constructed as a series of causes célèbres that could or have led to miscarriages of justice. Some of these cases have been part of case reviews carried out at the School of Criminal Justice of the University of Lausanne.

******************
Special thanks to our translators, in particular the University of Lausanne and the School of Criminal Justice sincerely thank Massimiliano Stabile (forensic biologist), Francesco Zampa (forensic chemist) and Giampietro Lago (forensic biologist) for the Italian translation of the course.",13045.0,9705.0,4.8,399.0
Chemerinsky on Constitutional Law - The Structure of Government,https://www.coursera.org/learn/chemerinsky-on-constitutional-law-structure-of-government,Social Sciences,Law,Erwin Chemerinsky,"This course will highlight the construction and interpretation of the U.S. Constitution through the centuries. You'll learn the history behind the Constitution, cases that formed important precedent, and how changes in interpretation have been dependent on shifts in cultural and political climate as well as the composition of the Supreme Court.

We'll start with an overview of the Constitution where we'll consider questions such as ""Why the Constitution?"" and ""What function does the Constitution serve?"" Next we'll examine how the Constitution and its subsequent interpretation established the powers of the federal, legislative, and judicial branches of government and allocated powers to the states.

Join me as we look at the questions both raised and answered by the Constitution and those that interpret it!

By the end of this course, you should be able to:

- Describe how the structure of the United States government has been shaped by both the text of the Constitution and by subsequent interpretation and practice of political actors in all branches of government

- Illustrate compromises found in the Constitution by citing examples and historic background

- Articulate the importance of key cases such as Marbury v. Madison, McCullough v. Maryland, and Lochner v. New York

- Explain how the outcome of cases is often dependent upon the current cultural and political climate as well as the composition of the court by citing particular cases and important shifts in the court's jurisprudence

- Assess the relative suitability of various approaches to constitutional interpretation and analysis",12032.0,4860.0,4.8,84.0
Chemerinsky on Constitutional Law – Individual Rights and Liberties,https://www.coursera.org/learn/chemerinsky-individual-rights,Social Sciences,Law,Erwin Chemerinsky,"Chemerinsky on Constitutional Law: Individual Rights and Liberties will highlight the construction and interpretation of the U.S. Constitution through the centuries with an emphasis on protections of individual liberties and the evolution of equal protection. You'll learn the history behind the Constitution, cases that formed important precedent, and how changes in interpretation have been dependent on shifts in cultural and political climate as well as the composition of the Supreme Court.

In this course we will investigate the protection of individual rights and liberties and take a look at what rights are and are not protected and investigate several important shifts in jurisprudence. We'll begin by examining the structure of the Constitution's protection of individual rights. We'll then examine the circumstances under which, various rights and liberties can be regulated by the federal, state, and local government. We'll examine when the government can permissibly treat people unequally and when it can't. In our final two lectures, we'll take a close look at what is probably the most famous amendment to the Constitution, the First Amendment.

Join me as we look at the questions both raised and answered by the Constitution and those that interpret it!

By the end of this course, you should be able to:

- Describe the individual liberties protected by the Constitution and account for the history and structure of their protection

- Illustrate compromises found in the Constitution by citing examples and historic background

- Articulate the importance of key cases such as Brown v. Board, Lemon v. Kurtzman, and Lochner v. New York

- Explain how the outcome of cases is often dependent upon the current cultural and political climate as well as the composition of the court by citing particular cases and important shifts in the court's jurisprudence

- Assess the relative suitability of various approaches to constitutional interpretation and analysis",9891.0,5210.0,4.9,70.0
