name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
"""Espace mondial"" الرؤية الفرنسية للدراسات العالمية",https://www.coursera.org/learn/espace-mondial-ar,Social Sciences,Governance and Society,"Bertrand Badie, Marie-Françoise Durand, Jana Jabbour","حول هذه المادة التدريسية

لكي نفسّر كيف أن العولمة تعيد بناء السياسات العامة والسلوكيات الاجتماعية، ندرس التبادلات والتفاعلات بين مختلف الجهات الفاعلة السياسية والاقتصادية، والاجتماعية - العامة أو الخاصة، الفردية أو الجماعية- والطريقة التي تعيد فيها صياغة العلاقات الدولية. هذه المادة التدريسية تعتمد على المقاربات السوسيولوجية والتاريخية الفرنسية العائدة للعلاقات الدولية. وهي متوفرة  أيضاً في نسخة باللغة الإنجليزية 
(www.coursera.org/learn/global-studies)، وأخرى باللغة الفرنسية (www.coursera.org/learn/espace-mondial-fr)

Course will be ending soon

Dear Learners
We are reaching out to let you know that Espace Mondial course will close for new learner enrollment on17th November 2022 . Since you have already enrolled, you will continue to see it on your Coursera Dashboard as long as you remain enrolled in the course.
If you are interested in earning a Course Certificate for this course, please upgrade or apply for Financial Aid by 15th November 2022, if you have not already done so. If you are a Coursera for Business learner, you can continue to use your sponsored credit. In order to earn a Course Certificate, you will need to complete all graded assignments, including peer reviews, by February 17th, 2023 . After that point, no new assignment submissions will be accepted for Certificate credit.
While we hope that you will be able to complete the course, you can find more information about requesting a refund (https://www.coursera.support/s/article/209819043-Request-a-refund) or unenrolling from a course (https://www.coursera.support/s/article/208279756-Unenroll-from-a-course) in our Learner Help Center.
Happy Learning",2108.0,1820.0,4.7,37.0
"""Making"" Progress Teach-Out",https://www.coursera.org/learn/makingprogress,Social Sciences,Governance and Society,Pablo Palomino,"What is “progress”? How do we decide when we’re moving forward and not taking steps backward? And how do we explore the idea of progress around public sites of memory? This Teach-Out is an invitation to think about what progress means, and how you can look for it wherever you are—in your city, community, or neighborhood—and reflect upon your own ideas about the place you live in.

Changes in the built environment of our communities are themselves the result of human actions and intentions, such as municipal planning, commercial enterprises, or communities transforming their own space. In other words, in our cities we can see the results of our plans—our attempts to create and shape the future. Neighbors, political groups, corporations, governments, schools, and other organizations, they all shape the community, leaving traces that allow us to see in what directions they transformed our lives. 

This Teach-Out will ask the following questions:
•	What are the forces that shape and change the places we inhabit? 
•	How do people connect with places in our modern cities? 
•	Do places progress? 
•	How can we measure in them whether there is any “progress”? 

We will interview a number of people who work in Atlanta, Georgia, but the questions and places we will see here are comparable to many of other places in the world on what it means to progress. In this Teach-Out you will learn how to find the history of public spaces in any community and how to reflect upon the idea of progress. Finally, you can join a conversation to discuss what has been explored, uncovered, and possibly transformed both within ourselves and our communities.

A Teach-Out is: 
– an event – it takes place over a fixed, short period of time 
– an opportunity – it is open for free participation to everyone around the world 
– a community – it will be joined by a large number of diverse individuals 
– a conversation – an opportunity to give and take ideas and information from people 

This community learning event invites participants from around the world to come together in conversation with the Emory campus community, including faculty experts. This Teach-Out is part of Emory’s commitment to engage the local and global community in exploring and understanding problems, events, and phenomena most important to our society. 

Originating from University of Michigan (Teach-Out.org), Teach-Outs are short learning experiences focused on a specific current issue. Attendees will come together over a few days not only to learn about a subject or event but also to gain skills. Teach-Outs are open to the world and are designed to bring together individuals with wide-ranging perspectives in respectful and deep conversation. These events are an opportunity for diverse learners and a multitude of experts to come together to ask questions of one another and explore new solutions to the pressing concerns of our global community. Come, join the conversation!",2063.0,,,
A Law Student's Toolkit,https://www.coursera.org/learn/law-student,Social Sciences,Law,Ian Ayres,"Whether you are an advanced law student looking to review the basics, or an aspiring law student looking for head start, this course will help you build the foundation you will need to succeed in law school and beyond. This course will introduce you to terminology, concepts, and tools lawyers and legal academics use to make their arguments. It will help you follow these arguments—and make arguments of your own.

This course consists of a series of short lectures and assignments. A reading list complements each lesson, providing you with a roadmap to help you explore the subject matter more deeply on your own. Although the lessons may cross-reference each other, they are modular in nature: you should feel free to approach them in whatever order fits your schedule, interests, and needs.",142071.0,36934.0,4.7,1299.0
A la recherche du Grand Paris,https://www.coursera.org/learn/grand-paris-metropole,Social Sciences,Governance and Society,Patrick Le Galès,"À PROPOS DU COURS

A quoi sert le Grand Paris ? Qu'est ce qui se joue dans la transformation du rapport Paris/banlieue ? ""A la recherche du Grand Paris"" est un Mooc orignal qui associe des paroles d'habitants, des témoignages de représentants d'associations, d'experts, de chercheurs, mais aussi des images d'archives et documents, des analyses comparatives avec Londres et Bruxelles ou d'autres villes françaises. Le Mooc combine des approches historiques et comparatives, des sujets de controverse, questionne les notions d'échelles et les enjeux du Grand Paris. Il traite des évolutions de Paris et de la région parisienne, de questions de ségrégation sociale et ethnique, de développement économique, de sécurité, d'environnement, de logement, de transport, d'aménagement, d'éducation, de culture. 

LES ENSEIGNANTS
Patrick Le Galès
Patrick Le Galès est politiste et sociologue, directeur de recherche CNRS au Centre d’études européennes de Sciences Po et professeur à Sciences Po. Il est le doyen de la nouvelle Ecole urbaine de Sciences Po Ses recherches comparatives s’organisent autour de trois thématiques : Sociologie urbaine, mobilités, sociologie de l’Europe ; Gouvernance, Action publique, transformation de l’État ; Sociologie économique.

PRÉREQUIS
Ce Mooc est un cours qui s’adresse à un public large. Il traite des questions et enjeux lié au développement du Grand Paris, il ne nécessite aucun prérequis

PLAN DU COURS
Séance 1 : Métropolisation et développement économique
Séance 2 : Peuplement et migrations
Séance 3 : Logement et aménagement
Séance 4 : Transports et mobilité
Séance 5 : Risques sécuritaires et environnementaux
Séance 6 : Culture et éducation

Chaque séance est composée de six sous-sections sur le modèle suivant : 

1 - Introduction
2 - Approche historique
3 - Echelles et enjeux contemporains
4 - Débats & controverses
5 - Approche comparative
6 - Conclusion (et forum)

ÉVALUATION
Un section QCM est proposée en fin de Mooc.

EQUIPE PÉDAGOGIQUE
Héloïse Thibault, Valentine Quinio, Judith Lienhard, Ninon Beillard, Juliette Guichardet, Odile Gaultier-Voituriez, Miyuki Tsuchiya, Maxime Crépel, Pôle Audiovisuel Sciences Po

CONDITIONS D'UTILISATION
Conditions d’utilisation du contenu du cours
Droits réservés
Licence restrictive : la production relève de la propriété intellectuelle de son auteur et ne peut donc pas être réutilisée.

Conditions d’utilisation des contenus produits par les participants
Droits réservés
Licence restrictive : la production relève de la propriété intellectuelle de son auteur et ne peut donc pas être réutilisée.

PARTENAIRES

Mairie de Paris | Ecole urbaine de SciencesPo Paris | Grand Public",8396.0,5845.0,4.5,80.0
ADHD: Everyday Strategies for Elementary Students,https://www.coursera.org/learn/adhd-treatment,Social Sciences,Education,Greg Fabiano,"This course will provide an overview of ADHD diagnosis and treatment. Course participants can expect to learn about ADHD as a developmental disorder that begins early in childhood, and participants will also learn about evidence-based approaches for diagnosing ADHD. Following that, two evidence-based treatment approaches (the Daily Report Card and Parenting Strategies) will be introduced. (Note these course activities are informational and are not intended to replace working with a licensed/trained professional). 

Learning Objectives: Students will be able to identify the behaviors characteristic of ADHD, the components of a diagnosis, and evidence-based treatment procedures that can be used in the school or home. 
1. Identify the key areas of functional impairment, symptom presentation, and diagnostic decision-making for youth with ADHD.  
2. Develop a behavioral intervention suitable for treating ADHD in the school setting. 
3. Apply effective parenting and teaching strategies for supporting youth with ADHD in the home, classroom, and neighborhood.",63650.0,25962.0,4.7,1955.0
AI & Law,https://www.coursera.org/learn/ai-law,Social Sciences,Law,"Jeffery Atik, Lena Wahlberg, Valentin Jeutner, Niklas Selberg, Ulrika Andersson, Titti Mattsson , Ana Nordberg, Julian Nowag, Vilhelm Persson","About this Course

This four-week course titled AI and Law explores the way in which the increasing use of artificially intelligent technologies (AI) affects the practice and administration of law defined in a broad sense. Subject matters discussed include the connection be between AI and Law in the context of legal responsibility, law-making, law-enforcing, criminal law, the medical sector and intellectual property law.
The course aims to equip members of the general public with an elementary ability to understand the meaningful potential of AI for their own lives. The course also aims to enable members of the general public to understand the consequences of using AI and to allow them to interact with AIs in a responsible, helpful, conscientious way. Please note that the law and content presented in this course is current as of the launch date of this course. 

At the end of this course, you will have a basic understanding of how to:
•	Understand the legal significance of the artificially intelligent software and hardware.
•	Understand the impact of the emergence of artificial intelligence on the application and administration of law in the public sector in connection with the enforcement of criminal law, the modelling of law and in the context of administrative law.
•	Understand the legal relevance of the use of artificially intelligent software in the private sector in connection with innovation and associated intellectual property rights, in the financial services sector and when predicting outcomes of legal proceedings.
•	Understand the importance of artificial intelligence for selected legal fields, including labour law, competition law and health law.

Syllabus and Format

The course consists of four modules where one module represents about one week of part-time studies. A module includes a number of lectures and readings, and finishes with an assessment – a quiz and/or a peer graded assignment. The assessments are intended to encourage learning and ensure that you understand the material of the course. Participating in forum discussions is voluntary. 

Modules
Module 1.	AI and Law 
Module 2.	Legal AI in the Public Sector 
Module 3.	Legal AI in the Private Sector
Module 4.	Selected Challenges 

Lund University

Lund University was founded in 1666 and has for a number of years been ranked among the world’s top 100 universities. The University has 47 700 students and 7 500 staff based in Lund, Sweden. Lund University unites tradition with a modern, dynamic, and highly international profile. With eight different faculties and numerous research centers and specialized institutes, Lund is the strongest research university in Sweden and one of Scandinavia's largest institutions for education and research. The university annually attracts a large number of international students and offers a wide range of courses and programmes taught in English. 

The Faulty of Law is one of Lund University’s four original faculties, dating back to 1666. It is a modern faculty with an international profile, welcoming both international and Swedish students. Education, research and interaction with the surrounding community are the main focus of the Faculty’s work. The connection between the three is particularly apparent in the programmes and courses offered by the university, including the university’s MOOC course in European Business Law. The students get the chance to engross themselves in traditional legal studies, while interacting with both researchers and professionally active lawyers with qualifications and experience from various areas of law.

The faculty offers three international Masters: two 2-year Master’s programmes in International Human Rights Law and European Business Law, and a 1-year Master’s in European and International Tax Law. Students from around 40 countries take part in the programmes which offer a unique subject specialization within each field, with highly qualified researchers and professional legal practitioners engaged in the teaching.",14112.0,20581.0,4.8,224.0
Aboriginal Worldviews and Education,https://www.coursera.org/learn/aboriginal-education,Social Sciences,Education,Jean-Paul Restoule,"Intended for both Aboriginal and non-Aboriginal learners, this course will explore indigenous ways of knowing and how they can benefit all students. Topics include historical, social, and political issues in Aboriginal education; terminology; cultural, spiritual and philosophical themes in Aboriginal worldviews; and how Aboriginal worldviews can inform professional programs and practices, including but not limited to the field of education.",22859.0,33118.0,4.7,388.0
Academic Skills for University Success: Capstone,https://www.coursera.org/learn/academic-skills-project,Social Sciences,Education,"Katherine Olston, Luke Alexander, Lydia Dutcher, Jessica Blackburn","This Specialization is aimed at preparing students for undergraduate study in an English-speaking university. The course equips you for full participation and engagement with your studies by building awareness and understanding of the core values and expectations of academic culture, and providing you with practical strategies to apply to your studies. 

In the Capstone Project, you will apply the academic knowledge and skills you have learnt throughout courses 1-4 to research, write and present a project proposal that addresses a complex, real-world problem related to your field of interest and/or future study. After completing this course, you will be able to:

1.	Apply a range of idea generation techniques 
2.	Apply research strategies to search, collect, select, process, and cite information
3.	Use the research process to develop and critically analyse ideas 
4.	Apply critical thinking skills to evaluate and analyse ideas and evidence
5.	Use problem-solving skills to identify gaps in knowledge and define issues 
6.	Develop creative and innovative solutions to real-world problems
7.	Use appropriate academic genres for written texts and multi-media presentations
8.	Use written and oral skills to communicate ideas effectively for academic contexts",22723.0,259252.0,4.9,1138.0
Acción Comunitaria. Enfoques para la transformación social,https://www.coursera.org/learn/accion-comunitaria,Social Sciences,Governance and Society,"Joan Subirats Humet, Ernesto Morales Morales, Ismael Blanco, Nuria Reguero Jimenez, Joel Martí Olivé, Begoña Román Maestre, Margarita León, Magalí Permanyer de Swert, Oscar Rebollo Izquierdo","¿Te interesan el trabajo comunitario y los movimientos sociales? El curso ""Acción Comunitaria. Enfoques para la transformación social"" ofrece un panorama global y un conjunto de herramientas para analizar políticas y desenvolverte de forma crítica en la dinamización comunitaria. Partiremos de una mirada general, poniendo el foco en las desigualdades de nuestra sociedad, y adentrándonos en la ética. A continuación, revisaremos una serie de principios en las políticas públicas sociales, y veremos casos concretos en diferentes sectores, como la salud. Finalizaremos el curso conociendo técnicas de dinamización y participación para diferentes tipos de procesos colectivos.",,,,
Acuerdos globales para el desarrollo sostenible,https://www.coursera.org/learn/acuerdos-globales,Social Sciences,Governance and Society,Beverly Hernández Castro,"Los fenómenos naturales son factores de riesgo relevantes, que causan importantes daños y pérdidas económicas, afectando con una fuerza particular al sector agropecuario y al medio rural. 

En este contexto la acción climática es determinante y debe ser considerada parte decisiva del desarrollo. Precisamente durante el año 2015 se generaron importantes acuerdos globales sobre el desarrollo sostenible, que representan una ambiciosa agenda de transformación hacia al 2030 para luchar contra la pobreza y garantizar un desarrollo ambientalmente sostenible que considera la urgente necesidad de contar con una decisiva acción climática.

En este curso se expondrá el nuevo marco global para el desarrollo sostenible, su relevancia, implicaciones y oportunidades, a efectos de beneficiar el agro, la seguridad alimentaria y el medio rural; para lo cual se están considerando como instrumentos clave: el Marco de Sendai para la Reducción del Riesgo de Desastres 2015-2030, la Agenda de Acción de Addis Abeba de la Tercera Conferencia Internacional sobre la Financiación del Desarrollo, la Agenda 2030 para el Desarrollo Sostenible, los Objetivos de Desarrollo Sostenible y el Acuerdo de París.

El objetivo general del curso es: 
Comprender el nuevo marco global, su relevancia, implicaciones y oportunidades para el sector agrícola; la trascendencia del nuevo marco global de acción, su alcance y el compromiso de los países contenidos en el Marco de Sendai, Agenda de Acción de Addis Abeba, Agenda 2030 para el Desarrollo Sostenible y Acuerdo de París.

Este curso fue desarrollado por la Universidad Nacional Autónoma de México en conjunto con el Instituto Interamericano de Cooperación para la Agricultura.",19557.0,4827.0,4.8,626.0
